생산자,설명
롱 와인스Long Wines,치비노(Civino)는 1985년에 설립된 와이너리 ‘Long Wines’에 의해 양조되며 카바의 중심지 Sant Sadurni d’Anoia보다 약간 대륙안에 위치해 있다. 충적된 석회암이 흩어져 있는 곳에서 따뜻한 기후에서 포도가 잘 자라며 인근 최고의 포도밭에서 자라는 와인들을 사용하며 최신식 현대적인 양조 시설이 와인양조를 더욱 뛰어나게 뒷받침한다.
치아봇 베르통Ciabot Berton,
칸티나 트라민Cantina Tramin,칸티나 트라민(Cantina Tramin)은 1898년 트라민의 사제이자 후에 오스트리아 의회 의원이 된 크리스티안 슈롯(Christian Schrott)은 험준한 산악지대에서 포도를 재배하던 알토 아디제의 와인 생산자들의 생계와 미래를 위해 협동 조합을 설립한다. 이를 바탕으로 만들어진 칸티나 트라민은 알토 아디제에서 가장 존경받는 와이너리이자 전 세계에 인정을 받는 곳이 되었다.
에디 케버Edi Keber,"에디 케버(Edi Keber)는 프리울리-베네치아 지울리아의 ‘Collio’지역에서 가장 전통적인 와이너리 중 하나로 가족경영 와이너리이다. Keber 가문은 원래 오스트리아의 빈(Vienna)출신으로 와인양조에서 350년이 넘는 역사를 지닌 유서 깊은 가문이다. 현 오너 Edi Keber는 아버지와 삼촌으로부터 포도재배와 와인양조에 대한 기술을 물려 받아 그의 아들, Kristian과 함께 농장을 운영하고 있다."
토마소 부쏠라Tommaso Bussola,
포카스Pocas,
트림Trim,
엣지 와인스Edge Wines,
퓨즈 와인스Fuse Wines,
씨그노렐로Signorello,
라 토레La Torre,
아지엔다 아그리콜라 카날리치오 디 소프라Azienda Agricola Canalicchio di Sopra,
두에마니Duemani,"두에마니(Duemani)는 레디가피, 메쏘리오의 신화를 쓴 유명 와인양조가 Luca d’Attoma가 그의 부인이자 파트너인 Elena Celli와 함께 직접 운영하고 있는 바이오 다이내믹 와이너리이다."
일 카르나샬레Il Carnasciale,
파토리아 일 카피타노Fattoria il Capitano,
토레 데이 비티Torre Dei Beati,
파뷸라스Fabulas,
콜레프리지오Collefrisio,
멘힐 살렌토Menhir Salento,
아테나Athena,
피에르 폰넬Pierre Ponnelle,
그라씨-가야Graci-Gaja,
아지엔다 아그리콜라 페리니 카를로Azienda Agricola Ferrini Carlo,
알-칸타라Al-Cantara,
칸티나 마릴리나Cantina Marilina,
그래머시 셀라스Gramercy Cellars,그래머시 셀라스(Gramercy Cellars)는 마스터 소믈리에 그렉 해링턴과 그의 부인 팸 해링턴이 워싱턴주에서 론 및 보르도 스타일을 기반으로 하는 와인을 만들겠다는 꿈을 가지고 2005년에 설립한 와이너리이다.
제이제이 한 와인JJ Hahn Wine Co,"1997년에 Rolf Binder와 Hahn 가족의 협력으로 설립된 이 와이너리는, 현재 바로사 밸리의 초창기 정착민이었던 Hahn 가문의 전통을 이어가고 있습니다. 오늘날 바로사 와인 메이커인 Thomas White와 Rolf Binder는 1840년대부터 내려온 전통을 계승하고 있습니다."
아라우카노Araucano,아라우카노(Araucano)는 세계에서 가장 많은 지역에 와이너리를 갖고 있는 Lurton가문의 칠레 프로젝트. 칠레의 여러 지역을 돌아보고 연구해온 프랑스 보르도 와인 생산자인 Frncois Lurton은 척박한 토양과 건강하고 균형 잡힌 기후를 지닌 떼루아를 찾아 포도원을 만들었다.
비나 본 씨에벤탈Vina Von Siebenthal,
보데가 피에드라 네그라Bodega Piedra Negra,"보데가 피에드라 네그라(Bodega Piedra Negra)는 세계에서 가장 많은 지역에 와이너리를 갖고 있는 Lurton가문의 아르헨티나 프로젝트. Francois Lurton과 그의 형제는 1996년 아르헨티나의 여러 지역을 광범위하게 조사한 후 고도 1,100m의 안데스 코르디에라(Andes Cordillera) 기슭에 있는 우코 밸리 내에 200ha의 처녀지를 구입하여 새로운 벤처 와이너리를 만들었다."
부켄하우츠클로프Boekenhoutskloof,부켄하우츠클로프(Boekenhoutskloof)는 1776년 시작되어 남아프리카 공화국의 수도인 케이프 타운에서 80km 떨어진 프렌치호크(Franschhoek) 밸리에 위치한다. 프렌치호크란 지명이 암시하듯 이 곳은 프랑스 이민자들이 최초로 정착하여 포도 재배에 이상적인 토양과 지중해성 기후를 활용하여 포도 재배를 시작한 장소이다.
레미 르로아Remi Leroy,
그룹 발도뷰Groupe Val d'Orbieu,"그룹 발도뷰(Groupe Val d'Orbieu)는 와인 생산량에서 ';French No.1 Wine Producer';, 'Top 5 Wine Producer in the World' 의 수식어를 지닐만큼 규모가 크다. 발도뷰 그룹은 2,100 명의 포도 재배업자와 11개의 와인 조합으로 이루어진 프랑스 남부 랑그독 루시옹 지역을 대표하는 와인 회사이다."
크로닉 셀라Chronic Cellar,
파밀리아 발델라나Familia Valdelana,
샴페인 쇼팽 디디에Chopin Didier,"쇼팽 디디에(Chopin Didier)는 가족경영으로 이루어진다. 1989년 창립된 유럽국가를 중심으로 현재 전세계에 수출을 하며 명성도를 더하고 있다. 특히, 영국과 미국시장의 인기도가 높아지며 그 수요량이 늘어나고 있다."
복Bock,복(Bock)은 헝가리 대표 와인 생산지 빌라니의 명품 브랜드로 크로아티아와 경계선에 자리잡은 레드와인 명산지 빌라니 마을에서 생산된다. 빌라니는 헝가리 최남단의 따뜻한 지역으로 지중해성 기후로 길고 더운 여름을 가져 와인을 생산하기에 이상적인 지역이다.
샤토 베가다네Chateau Begadanet,
샤토 안드롱 블랑케Chateau Andron Blanquet,
샤토 투르 데 테름Chateau Tour des Termes,
빌까르 살몽Billecart-Salmon,"빌까르 살몽(Billecart-Salmon)은 1818년 니콜라 프랑수아 빌까르(Nicolas Francois Billecart)와 엘리자베스 살몽(Elizabeth Salmon) 부부가 설립한 유서 깊은 샴페인 하우스이다. 200년 가까이 현재까지도 가문 대대로 이어져 오는 가족경영형 샴페인 생산자이며 ';섬세한, 균형감, 우아함';을 모토로 샴페인을 생산하고 있다."
지아코모 보르고뇨Giacomo Borgogno,
이노바투스Innovatus,
보르가Borga,
보데가스 에스메랄다Bodegas Esmeralda,
리카솔리Ricasoli,"리카솔리(Ricasoli) 가문은 끼안티 와인을 논함에 있어 빼놓을 수 없는 가장 역사적이며 중요한 역할을 한 와인 생산자이다. 샤를마뉴 황제(Emperor Charlemagne, 748~814) 시대 부터 역사가 기록되어 온 유서 깊은 이탈리아의 귀족 가문으로, 1141년부터 가이올레 인 끼안티(Gaiole in Chianti) 지역의 역사적인 고성인 카스텔로 브롤리오(Castello di Brolio)를 소유해왔다."
도멘 조블로Domaine Joblot,"도멘 조블로(Domaine Joblot)는 지브리의 고급와인의 전형을 보여주는 대표적인 와이너리로서, 부르고뉴 와인애호가들에게 꼭 마셔보고 싶은 와인 중 하나로 꼽힌다. 1978년 이후로 포도재배와 와인양조 과정에서 어떠한 화학적 비료도 사용하지 않고 있다."
샤를 엘너Charles Ellner,"샤를 엘너(Charles Ellner)는 프랑스 파리에서 북동쪽에 떨어져 있는 Epernay(에페르네)라는, 샴페인의 수도라고 불리우는 곳에 위치한다. Charles Ellner는 숙련된 Riddler로 활동하면서 상파뉴 지역 최고의 포도밭으로인정받는 꼬또 데 블랑(Cote des Blancs)과 라 그랑드 몽따뉴 드 랭스(La GrandMontagne de Reims), 세잔느(Sezanne region) 등 15곳의 마을 여러 지역의 빈야드를 조금씩 사들였다."
켄 라이트 셀라즈Ken Wright Cellars,'Master of Pinot Noir in Oregon'로 오리건 최초로 Wine Spectator 표지를 장식한 영향력 있는 와인메이커 Ken Wright의 Ken Wright Cellars는 1994년 설립되었습니다. Willamette Valley 북부에 있는 13개의 다른 포도밭에서 싱글 빈야드 피노누아를 생산하고 있습니다.
레미 페부라스Remy Ferbras,
만자노스 엔터프라이즈Manzanos Enterprises,
프리밧Privat,
마유Mayu,마유(Mayu) 와이너리는 2005년 마우로 올리버 (Mauro Olivier)에 의하여 칠레 북부에 위치한 엘키 벨리 (Elqui Valley) 에 설립되었다. 마우로 올리버의 아버지는 엘키 밸리 최초 개척자 중 한 명으로 1998년부터 엘키 밸리에서 포도밭을 가꾸었다. 마우로는 아버지가 가꾸던 포도밭 일을 도우며 자란 덕에 자연스럽게 와인 생산자의 꿈을 키워왔으며 2005년 마침내 그 꿈을 이루고야 만다.
필립 비엣Philippe Viet,
에레디스Heredis,
샤토 드 피제이Chateau de Pizay,
브레짜Brezza,"브레짜(Brezza)는 150년 넘는 전통을 보유한 바롤로를 대표하는 와이너리, 레스토랑, 호텔로 명성이 높으며 현재 CEO인 엔조 브레짜는 ‘알베이자 협회’ 회장 직을 맡고 있는 등 전통 바롤로를 대표하는 명가 이다. 최초의 바롤로 생산지 중 하나이며 최고의 바롤로 크뤼인 ‘깐누비’ 크뤼 소유주 중 하나이기도 하다."
시에라 깐따브리아Sierra Cantabria,시에라 깐따브리아(Sierra Cantabria)는 1800년대부터 스페인에서 와인을 양조하던 에구렌(Eguren) 가​문에서 1957년 설립한​ 와이너리이다.
죠르쥬 뒤뵈프Georges Duboeuf,"조르쥬 뒤뵈프(Georges Duboeuf)는 보졸레 누보를 전 세계적으로 유행시켜 프랑스의 지역와인에 불과하던 보졸레 와인을 세계적인 인기 와인으로 만들어 보졸레 지역을 부유하게 만든 인물로 '보졸레의 황제' 라는 존칭을 얻은 살아있는 와인의 전설이다. 조르쥬 뒤뵈프사는 보졸레 지역뿐 아니라 프랑스 전역에서 뱅드 뻬이, 테이블 와인을 생산하고 있다."
보데가스 라 레메디아도라Bodegas La Remediadora,"Our winery is specialized in producing great wines with an amazing quality-value under DO Mancha. Each year, we elaborate more than 500.00 bottles of La Villa Real, which covers a wide range of young and oaked wines, which have obtains a lot of awards and great scores in the main international wine guides."
보데가스 로메로 디 아빌라 살세도Bodegas Romero de Avila Salcedo,로메로 디 아빌라 살세도(Romero de avila salcedo)는 세계에서 가장 광활한 빈야드가 위치한 Castilla La Mancha. 그 중에서도 상급산지인 La Solana 에서 3대째 가족경영을 해온 와이너리이다.
보데가 팔도 톨로사Bodega Pardo Tolosa,"Located in Alborea, province of Albacete, Pardo Tolosa emerges from the lands of Castilla-La Mancha to certify the power of these lands and their vineyards."
핀카 로란케Finca Loranque,"Finca Loranque is a family estate winery located in a priviledge natural protected environment just 40 minutes south Madrid. We elaborate fresh & natural red wines from 42 organic certified hectares. The real magic comes from our 200 years winery where our handpicked grapes are crafted by 100-points parker consulting winemaker, Pablo Eguzkiza, creating a unique bottled landscape."
비니콜라 데 카스티야Vinicola de Castilla,비니꼴라 데 까스띠야(Vinicola de Castilla)는 1976년 스페인 만자나레스(Manzares) 마을에 설립된 후 라만차 지역에서 최대 와이너리로 성장하였다.
로스 바스코스Los Vascos [Vina Los Vascos],로스 바스코스(Vina Los Vascos)는 1750년대 스페인 바스크 지방의 가문이 칠레로 이주해 콜차구아 밸리에 설립한 유서 깊은 와이너리이다. 가문의 고향인 바스크를 잊지 않기 위해 이름을 로스 바스코스로 지었다.
볼레로Vollereaux,"볼레로(Vollereaux)는 1805년 설립되어 6대에 걸쳐 215여년을 이어온 샴페인 명가이다. 100% 가족 소유 포도로만 생산하고, 생산 전 과정을 100% 컨트롤하며 최고의 품질을 이어오고 있다."
카르페네 말볼티Carpene Malvolti,까르뻬네 말볼띠(Carpene Malvolti)는 1968년 유명한 양조학자이자 화학자인 안토니오 까르뻬네(Antonio Carpene)에 의해 설립되었다. 까르뻬네 말볼띠는 스파클링 프로세코(Prosecco)의 발달에 있어 핵심적인 역할을 해왔고 연구와 개발에 있어 역사라고 할 수도 있다. 그리고 이 유명한 스파클링 와인양조의 전통 기술은 4세대에 거쳐 전수되고 있다.
조세프 드라센JOSEF DRATHEN GmbH & Co. KG,
비토 알베티Vitteaut Alberti,비토 알베르트(Vitteaut-Alberti)는 버건디 와인 생산의 중심지인 Rully지역에 위치하며 부르고뉴 크레망을 전문 생산 와이너리이다.
칸티나 사바Cantina Sava,칸티나 사바(Cantina Sava)는 프리미티보 디 만두리아(Primitivo di Manduria)의 심장부인 사바에 위치하고 있으며 100년된 올드바인에서 포도밭에 최적화된 알베렐로(Alberello) 라고 하는 트레이닝 시스템으로 뜨거운 햇볕에서도 건강한 포도를 재배하고 있습니다.
자임Zyme,
맥퍼슨McPherson,
옥서 와인즈Oxer Wines,
지로 리보Giro Ribot,지로 리보(Giro Ribot)는 100% 가족 경영으로 운영되는 와이너리로 전체 면적은 100ha로 이중 까바가 60ha 그리고 화이트 품종이 20ha에서 재배된다. 전 세계적으로 사랑 받는 까바 중 하나이다. 특히 일본 시장에서 주목을 받고 있는 곳이기도 하다.
홀라Hola,
워룸 셀러즈Warroom Cellars,
존테스 풋스텝Zonte's Footstep,
파이어 브랜드Fire Brand,
밸레 프리오 와인Valle Frio Wine,
라벤토스 꼬도르뉴Raventos Codorniu,
바론 도베른Baron Dauvergne,
샤또 롬보Chateau Rombeau,
에스코리우엘라Escorihuela,
트리벤토Trivento Bodegas y Vinedos,"트리벤토 (Trivento Bodegas y Vinedos) 는 1996년에 칠레 꼰차 이 또로(Concha y Toro)사에 의해 아르헨티나에서 고품격 와인을 생산하는 멘도자 지역에 설립된 와이너리로, 첨단 기술과 오랜 전통을 이어받아 급격한 성장을 계속하여 현재는 아르헨티나 와인 산업을 이끌어가는 최고의 글로벌 와인 브랜드로 자리잡게 되었다."
햄메켄 셀라즈Hammeken Cellars,
비노 델 솔Vino del Sol,
플뢰르 드 미라발Fluer de Miraval,
마타히위Matahiwi Estate,마타히위(Matahiwi Estate)는 뉴질랜드 북섬 와이라라파(Wairarapa)의 가장 중심에 위치하고 있다. 이 지역은 뉴질랜드에서도 가장 춥고 건조한 지역으로 고품질의 피노 누아와 소비뇽 블랑을 생산해 내는 곳으로 유명하다. 마타히위는 뉴질랜드에서 성공한 가족경영 와이너리라는 데에 강한 자부심을 가지고 있다.
크룩Krug,크루그(Krug)는 1843년 프랑스 상파뉴 지방에 설립됐다. 창립자 요셉 크루그(Joseph Krug)의 뜻대로 다른 샴페인과는 비교할 수 없는 독자적인 맛의 프레스티지 퀴베를 전문적으로 생산해 왔다. 요셉 크루그는 ‘좋은 원료와 좋은 떼루아가 없이는 좋은 와인이 나올 수 없다.’는 원칙 하에 누구도 따라올 수 없는 품질의 샴페인을 창조하는 것을 열망하였다.
아스트랄Astrale,
빌라 알 코르틸레Villa Al Cortile,
산 마르티노San Martino,"산 마르티노(San Martino)는 60년대부터 와인에 대한 열정을 이어 받아 3대째 와인을 생산하고 있으며, 피아베강에서부터 프로세코로 유명한 언덕까지 포도를 경작하고 있습니다. 산 마르티노의 생산자이자 오너인 지오바니와 월터는"
코디스 씨트라CODICE CITRA,
로젠베일Rosenvale,
미구엘Miguels,
로네아Rhonea,
알렉시스 리신Alexis Lichine,알렉시스 리신(Alexis Lichine)은 2005년 프랑스 네고시앙 중 최고의 수출액을 기록한 명실 상부한 프랑스 와인의 리더라고 할수있는 Les Grands Chais de France 그룹에 속해 있는 최고의 와이너리 중 하나이다.
나인 햇츠 와인즈Nine Hats Wines,"롱 쉐도우(Long Shadows)는 워싱턴을 와인의 땅으로 만들어 낸 주역인 알렌 슙(Allen Shoup)에 의해 2002년 설립 되 었습니다. 그는 Chateau St. Michelle, Columbia Crest 등 다수의 와이너리를 소유하고 있는 스팀슨 레인와인 그룹에서 37년간 청춘을 바쳤고, 그중 17년 동안 CEO를 역임했으며 은퇴 후, 워싱턴을 세계 최고의 와인들과 어깨를 견줄 수 있는 곳으로 만들기 위해 끊임없이 노력했"
칸티네 젬마Cantine Gemma,"칸티네 젬마 (Cantine Gemma)는 1978년 탄생했다. 실바노 피아첸티니 (Silvano Piacentini)가 세라룽가 달바(Serralunga d';Alba) 지역의, 예전에는 마르케지 팔레티 (Marchesi Falletti)의 오페라 피아 바롤로 (Opera Pia Barolo)에 속해 있던 오래된 와이너리에 새로운 와인 생산업체를 설립하기로 결심한 것이다."
카스텔로 디 몬테포Castello di Montepo,
파토리아 데이 바르비Fattoria dei Barbi,파토리아 데이 바르비(Fattoria dei Barbi)는 이태리에서 가장 오래된 와이너리 중 하나이자 가장 존경받는 와인 프로듀서 중 하나이다. 콜롬비니 패밀리는 1352년 부터 몬딸치노 지역에 토지를 가지고 있었으며 1790년 부터 파또리아 데이 바르비가 운영되었다.
테누타 산 안토니오Tenuta Sant'Antonio,"산 안토니오 (Tenuta Sant'Antonio) 는 베로나(Verona)의 남동쪽으로 ""발 디라시(Val d’Illasi)""라는 곳에 베네토(Veneto)의 유명한 와인산지 두 곳을 만날 수 있다. 발폴리첼라(Valpolicella)와 소아베(Soave) 지역이다. 이곳은 일라시(Illasi)와 메짜네(Mezzane) 계곡의 언덕에 형성된 곳으로 카스타니에디(Castagnedi) 형제들이 소유한 산 안토니오 와이너리 48헥타의 포도밭이 존재하는 곳이기도 하다."
페로 13Ferro 13,
카시나 치쿠Cascina Chicco,
칼린 드 파올로Carlin de Paolo,
카사 세코Casa Cecco,
디엠오지DMOG,
그라티엔 & 메이어Gratien & Meyer,
이노와인Innowine,
메종 까밀 지로Maison Camille Giroud,"메종 까밀 지로(Maison Camille Giroud)는 1865년 까밀지로에 의해 설립되어 수년간 그의 아들 Lucien의 노력으로 명성을 쌓아갔습니다. Lucien의 뒤를 이어 손자인 Bernard와 Francois가 경영하여 오면서 그들은 침용작용을 마친 포도를 사들여 18~36개월 케스크에서 보관후 3,4년후에 출하 전 병입하는 전통방식을 고수, 와인사업에 성공을 거둡니다."
그루버 뢰시츠Gruber Roeschitz,
가브리엘 애슐리Gabrielle Ashley,
큐레이터 와인Curator Wine,"자연이 빚은 작품. 열정이 담긴 선택. 바로사 밸리의 아이코닉한 하위 지역이나 마을에 점재한 오래된 소규모 포도밭에 초점을 맞추고 있습니다. 여기에는 Marananga, Seppeltsfield, Moppa, Ebenezer, Greenock, Stone Well, Eden Valley, Lyndoch, Nuriootpa, Vine Vale가 포함됩니다."
알프레드 그라티엔Alfred Gratien,
라바날 와인Ravanal Wine,
에스꼬리후엘라 가스콘Escorihuela Gascon,
칸티네 산 마르코Cantine San Marco,"칸티네 산 마르코(Cantine San Marco)는 42개국이상, 수출 지향적인 Cantine San Marco 와이너리는 항상 제품 및 부자재, 보틀링 장비에 대한 우수성을 지향하고 있으며 아래와 같이 인증을 받고 있습니다."
나바로 로페즈Navarro Lopez,
카브 드 퀸스Cave de Quins,
씨아 유러피아 익스포타도라 드 비노스Cia. Europea Exportadora de vinos,
르 마르키 드 마리약Le Marquis de Marillac,
까스텔 델 레메이Castell del Remei,까스텔 델 레메이 (Castell del Remei) 의 역사는 1780년으로 거슬러 올라간다. 그리고 아래의 수식어들이 붙는다.
뷸러 빈야드Buehler Vineyards,뷸러 빈야드 (Buehler Vineyards) 는 1934년 웨스트 포인트 육군 사관학교를 졸업한 죤 뷸러 경은 20년의 군복무 생활과 20년의 Bethtel 사에서의 경영 임원 생활을 마친 뒤 1971년 나파 밸리의 언덕쪽에 위치한 포도 재배지역을 매입하였다. 1978년 이전까지는 재배한 포도를 나파 밸리의 다른 와인 메이커들에게 판매하였고 꾸준한 고품질의 포도의 맛과 향을 바탕으로 1978년부터 700 케이스의 와인을 주조하기 시작하였다.
설리반 루더포드 에스테이트Sullivan Rutherford Estate,
패트리티Patritti,
쇼테스브룩Shottesbrooke,
윌로우브룩 셀러Willowbrook Cellars,
커스텀 드링스Custom Drinks,
에노이탈리아Enoitalia,
리브렛 앤 밀스 리프 와이너리Leveret & Mills Reef Winery,
슈와더러 와인즈Schwaderer Wines,
샤또 몽레동Chateau Mont-Redon,"샤또 몽레동(Chateau Mont-Redon)은 1344년 설립되었으며 프랑스에서 가장 오래된 와인생산지 중의 하나이다. 가장 큰 단일 포도원인 샤또네프 뒤 파프를 가지고 있는 와이너리이며, 그밖의 꼬뜨 드 론 , 리락에 포도원을 가지고 있다."
까비로Caviro sca-Forli,"까비로(Caviro sca-Forli)는 1983년 설립 당시부터 유명세를 겪었다. 이태리의 19,000명의 포도재배자들과 유기적인 관계를 유지, 손으로 수확된 상급의 포도들만을 엄선해 생산하는 와이너리로 명성이 높다."
포울스Fowles,
제이콥스 크릭Jacob's Creek,"제이콥스 크릭(Jacob's Creek) 은 1976년 최초의 빈티지 1973 Shiraz Cabernet Malbec를 출시한 이래, 호주 와인 산업의 리더로써 5대륙 65개 국가에 수출하며, 하루 소비량이 2백 만잔에 다다른다. 생산량의 80%를 해외에 수출하고 있으며 영국, 뉴질랜드, 아시아에서 1위의 호주와인으로 1994년 권위있는 'Maurice O'shea 상'을 수상하여 호주 와인 산업에 큰 공을 세웠다. 2006년 최근 10년간 1,300개 와인 대회에 출전하여 다"
메종 카스텔Maison Castel,
오프리Offley,
오리온 와인즈Orion Wines,
파이크Pikes,
페마르Femar,
로드니 스트롱Rodney Strong,로드니 스트롱(Rodney Strong) 은 12개의 포도밭을 소유하고 있는 와이너리로 캘리포니아에서 가족 경영 와이너리로는 가장 큰 규모이다. 주로 소노마 카운티에 위치하고 있는 로드니 스토롱은 1960 부터 시작하여 45년간의 시간을 통해 포도밭 확장 및 프리미엄급 와인을 만드는 와이너리로 레스토랑이나 호텔에서도 쉽게 찾아볼 수 있을 정도로 정평나있다.
보데가스 넬레만Bodegas Neleman,
비냐 마티Vina Marty,
저스틴 지라르댕Justin Girardin,
인테그랄레Integrale,
칠라노Chilano,
노비노포비아Novinophobia Wines,
투스 앤 네일Tooth and Nail,투스 앤 네일(Tooth and Nail) 와이너리와 포도밭은 캘리포니아 주 센트럴 코스트(Central Coast) 안에 파소로블스(Paso Robles) 윌로우 크릭 디스트릭트 AVA(Willow Creek District AVA)에 위치하고 있다. 윌로우 크릭(Willow Creek)은 해안가 침식 지형의 템플턴 갭(Templeton Gap)을 지나 시원한 해안의 영향을 받고 있는 작은 지역이다.
테누타 일 팔라지오Tenuta Il Palagio,
본 블루Borne Blue,
바글리오Vaglio,
칸티네 무치Cantine Mucci,
샤또 도레Chateau D'Haurets,
프리츠 레인 패밀리 와이너리Fritz Lane Family Winery,
캘리포니아 드리머California Dreamer,
기센 와인Giesen Wines,"기센 와인(Giesen Wines)은 1981년 기센(Giesen) 가문의 세 형제 (Theo, Alex, Marcel)가 말보로(Malborough)에서 시작했다. 30년이 지나면서 그들은 이 지역에 깊게 뿌리를 내렸으며 포도밭은 계속 진화하였다."
도멘 아르누 페레 앤 피스Domaine Arnoux Pere et Fils,
테일즈Tales,
에밀리아나 오가닉 빈야즈Emiliana Organic Vineyards,"에밀리아나 오가닉 빈야즈(Emiliana Organic Vineyards)는 1986년 Bodegas y Vinedos Santa Emiliana라는 이름으로 설립되었다. 설립목표는 포도밭을 통합적, 체계적으로 관리해 정성을 다해 포도를 재배해 훌륭한 와인을 생산해내는 것이었다."
비냐 산 에스테반Viña San Esteban,"비냐 산 에스테반(Viña San Esteban)은 아콩카구아 밸리 제일 높은 곳, 안데스산에서 칠레와 아르헨티나 국경지대, 아콩카구아 산 꼭대기(해발 22,835ft)까지 뻗어있는 곳에 위치한 가족 경영 와이너리다."
비스퀘르트Bisquertt,비스퀘르트(Bisquertt)는 오스발도 비스퀘르트(Osvaldo Bisquertt)가 40여 년 전 설립한 가족 경영 와이너리다. 콜차구아 밸리의 마르치웨(Marchihue) 지역의 선구자이며 현재 칠레에서 프리미엄 와인을 생산하는 와이너리 중 한 곳이다. 마르치웨는 코스탈 마운틴 레인지(Coastal Mountain Range) 끝자락에 위치하며 프리미엄 와인을 생산하기에 훌륭한 조건을 갖추고 있다.
더 그레이프 그라인더The Grape Grinder,더 그레이프 그라인더(The Grape Grinder)는 2004년에 The Juno Wine Company를 공동 설립한 Oliver Kirsten과 Johan du Toit이 2010년 새롭게 리뉴얼한 와이너리다. 퀄리티 피노타주 와인 생산을 시작으로 현재 모던 스타일의 남아공 와인 생산에 집중하고 있다. 21개국으로 수출하고 있으며 특히 플래그쉽인 피노타주의 경우 캐나다에서 가장 높은 판매를 일으키고 있다.
칠리안 와인즈 컴패니 [비냐 하시엔다 마울레]Chilean Wines Company [Viña Hacienda Maule],칠리안 와인즈 컴퍼니(CWC)는 센트럴 칠레 중심에 있는 마울레 밸리에 위치해 있는 가족 경영 회사이다. 구에라(Guerra) 가문은 마울레 밸리 전역에 약 750 헥타르의 포도를 심었다. 이들의 목표는 이 지역의 다양한 기후를 바탕으로 한 다양한 품종의 탐구과 실험을 통하여 각 테루아 고유의 색을 잘 표현하는 와인을 만드는 것이다.
보셰bauchet,
아이콜리로시I Collirossi,
와인즈 앤 로지스Wines N' Roses,
도멘 드 라 크와 스나이에Domaine de la Croix Senaillet,
S.F H 뒤보스크 & 피스S.F H Duboscq & Fils,
샤또 라 노즈Chateau La Nauze,
샤또 라요가 뒤보스크Chateau Layauga Duboscq,
