와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
"스탠리 힐, 말보로 소비뇽 블랑","Stanley Hill, Marlborou Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164252&lq=LIST,스탠리 힐  Stanley Hill,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) 100%,,12 %,10~12 ℃,"생굴, 초밥 등과 잘 어울린다.",*단종되었음*Vivino 평점 3.5 이상,,1/5,3/5,2/5,1/5,멜론,"초밥, 생굴",New Zealand Sauvignon Blanc,,
"들릴 셀라즈, 샬러 블랑","DeLille Cellars, Chaleur Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164253&lq=LIST,들릴 셀라즈  DeLille Cellars,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),Columbia Valley AVA,,10~12 ℃,"참치, 연어, 생선회, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,치즈,,,
"들릴 셀라즈, 샬러 에스테이트","DeLille Cellars, Chaleur Estate",https://www.wine21.com/13_search/wine_view.html?Idx=164254&lq=LIST,들릴 셀라즈  DeLille Cellars,미국(U.S.A) / 워싱턴(Washington State) / 레드 마운틴(Red Mountain),카베르네 소비뇽 (Cabernet Sauvignon) 65% / 메를로 (Merlot) 25% / 카베르네 프랑 (Cabernet Franc) 8% / 쁘띠 베르도 (Petit Verdot) 2%,Red Mountain AVA,,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,치즈,,,
"들릴 셀라즈, D2",DeLille Cellars. D2,https://www.wine21.com/13_search/wine_view.html?Idx=164255&lq=LIST,들릴 셀라즈  DeLille Cellars,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),메를로 (Merlot) 58% / 카베르네 소비뇽 (Cabernet Sauvignon) 36% / 카베르네 프랑 (Cabernet Franc) 5% / 쁘띠 베르도 (Petit Verdot) 1%,Columbia Valley AVA,,15~17 ℃,"스테이크, 바비큐, 소시지, 불고기, 파스타, 한국음식 과 잘 어울린다.",,,1/5,4/5,4/5,3/5,,"스테이크, 파스타",,,
"들릴 셀라즈, 포 플래그즈 카베르네 소비뇽","DeLille Cellars, Four Flags Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164256&lq=LIST,들릴 셀라즈  DeLille Cellars,미국(U.S.A) / 워싱턴(Washington State) / 레드 마운틴(Red Mountain),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Red Mountain AVA,,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,"양갈비, 치즈",,,
"들릴 셀라즈, 그랑 시엘 카베르네 소비뇽","DeLille Cellars, Grand Ciel Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164257&lq=LIST,들릴 셀라즈  DeLille Cellars,미국(U.S.A) / 워싱턴(Washington State) / 레드 마운틴(Red Mountain),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Red Mountain AVA,,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,"양갈비, 치즈",,,
"슈타츠바인굿 프라이부르크, 슈페트레제 피노 그리","Staatsweingut Freiburg, Spatlese Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=164258&lq=LIST,슈타츠바인굿 프라이부르크  Staatsweingut Freiburg,독일(Germany) / 바덴(Baden) / 블랑켄호른스베르거(Blankenhornsberger ),피노 그리 (Pinot Gris) 100%,Spätlese(QmP),,10~12 ℃,"훈제연어, 참치회, 시트러스 소스를 곁들인 해산물 요리, 커리 요리, 간장 베이스의 일본식 소스를 곁들인 요리 등과 잘 어울린다.",,,3/5,4/5,4/5,1/5,"배, 열대과일, 미네랄",해산물,,,
"슈타츠바인굿 프라이부르크, 아우스레제 리슬링","Staatsweingut Freiburg, Auslese Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=164259&lq=LIST,슈타츠바인굿 프라이부르크  Staatsweingut Freiburg,독일(Germany) / 바덴(Baden) / 블랑켄호른스베르거(Blankenhornsberger ),리슬링 (Riesling) 100%,Auslese(QmP),,10~12 ℃,"생선류, 샐러드, 가벼운 육류, 과일소스오 함께 요리된 가금류 등과 잘 어울린다.",*DLG(독일농업협회) 품평회 금메달,,4/5,2/5,3/5,1/5,파인애플,"가금류, 샐러드, 과일",,,
"브라이다, 라 레지나","Braida, La Regina",https://www.wine21.com/13_search/wine_view.html?Idx=164260&lq=LIST,브라이다 [지아코모 볼로냐 브라이다]  Braida [Giacomo Bologna Braida],이탈리아(Italy) / 피에몬테(Piemonte) / 트레조 티넬라(Trezzo Tinella),나세타  (Nascetta) 100%,Langhe DOC(DOP),12~13 %,10~12 ℃,"생선회, 신선한 치즈 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,"미네랄, 건초","생선회, 치즈",Northern Italy White,,
"페우디, 프리미티보 디 만두리아","Feudi, Primitivo di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=164261&lq=LIST,페우디 [페우디 디 산 그레고리오]  Feudi [Feudi di San Gregorio],이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo) 100%,Primitivo di Manduria DOC(DOP),14.5 %,16~18 ℃,불에 구운 고기 요리 등과 잘 어울린다.,*2009 빈티지: Wine Enthusiast 86점*2011 빈티지: Wine Spectator 88점*2012 빈티지: Wine Spectator 88점,,1/5,3/5,4/5,3/5,"열대과일, 미네랄, 시나몬",,Southern Italy Red,,
"레알체, 소비뇽 블랑","Realce, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164262&lq=LIST,보데가 유니온 캄페시나 이니에스텐스 [유씨아이]  Bodega Union Campesina Iniestense [UCI],스페인(Spain) / 만추엘라(Manchuela),소비뇽 블랑 (Sauvignon Blanc) 100%,Manchuela DO(DOP),,10~12 ℃,"회, 어패류, 연어회 등과 잘 어울린다.",*2016 Golden League Winner - Best Producer 2016,,1/5,4/5,2/5,1/5,레몬,연어,,,
이칼레스켄,Ikalesken,https://www.wine21.com/13_search/wine_view.html?Idx=164263&lq=LIST,보데가 유니온 캄페시나 이니에스텐스 [유씨아이]  Bodega Union Campesina Iniestense [UCI],스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 70% / 시라/쉬라즈 (Syrah/Shiraz) 30%,,,15~17 ℃,"삼겹살, 목살, 등심구이 등과 잘 어울린다.",*Berlin Wine Trophy 2014 - Grand Gold,,1/5,4/5,4/5,3/5,"바닐라, 허브, 커피",등심,,,
세로 힐,Cerro Gil,https://www.wine21.com/13_search/wine_view.html?Idx=164264&lq=LIST,보데가 유니온 캄페시나 이니에스텐스 [유씨아이]  Bodega Union Campesina Iniestense [UCI],스페인(Spain) / 만추엘라(Manchuela),템프라니요 (Tempranillo) 100%,,,15~17 ℃,"갑각류, 가금류, 고기류 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"바닐라, 허브, 가죽",가금류,,,
"까스띠요 데 에네리즈, 크리안자","Castillo de Enériz, Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=164265&lq=LIST,까스띠요 데 에네리즈  Castillo de Eneriz,스페인(Spain) / 나바라(Navarra),가르나차 (Garnatxa) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 30% / 메를로 (Merlot) 10% / 템프라니요 (Tempranillo) 10%,Navarra DO(DOP),,15~17 ℃,"바베큐, 삼겹살, 목살, 볼로네제 스파게티, 살라미와 베이컨 등이 토핑된 피자, 까망베르 치즈, 브뤼 치즈, 과일 치즈, 반연성 치즈 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,"딸기, 후추, 가죽","베이컨, 살라미, 피자, 과일",,,
"돈 자코보, 크리안자","Don Jacobo, Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=164266&lq=LIST,보데가스 코랄  Bodegas Corral,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) 85% / 가르나차 (Garnatxa) 10% / 마주엘로 (Mazuelo) / 그라시아노 (Graciano) 5%,Rioja DOCa(DOQ),,15~17 ℃,"안심 스테이크, 티본 스테이크, 꽃등심, 갈비살, 볼로네제 스파게티, 까망베르 치즈, 브뤼 치즈 등과 잘 어울린다.",*리오하 지역을 지나는 산티아고 순례자의 길 중 유일하게 그 길과 맞닿아 있는 돈 하코보는 일명 '순례자의 와인'으로 유명하다.,,1/5,3/5,4/5,4/5,"체리, 바닐라, 허브, 오크, 가죽",,,,
브이 드 발미,V de Valmy,https://www.wine21.com/13_search/wine_view.html?Idx=164267&lq=LIST,샤또 발미  Chateau Valmy,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),그르나슈 (Grenache) 70% / 시라/쉬라즈 (Syrah/Shiraz) 30%,Côtes du Roussillon AOC(AOP),,15~17 ℃,"삼겹살, 목살, 과실적인 느낌을 주는 소스를 곁들인 스테이크, 포모도로 스파게티, 마르게리타 피자, 크림 치즈, 리코타 치즈, 모짜렐라 치즈, 스트링 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,딸기,"스테이크, 피자",,,
샤또 발미,Chateau Valmy,https://www.wine21.com/13_search/wine_view.html?Idx=164268&lq=LIST,샤또 발미  Chateau Valmy,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),그르나슈 (Grenache) 70% / 시라/쉬라즈 (Syrah/Shiraz) 30%,Côtes du Roussillon AOC(AOP),,15~17 ℃,"바베큐, 양갈비, 삼겹살, 목살, 볼로네제 스파게티, 까망베르 치즈, 브뤼 치즈 등과 잘 어울린다.",,,1/5,3/5,4/5,3/5,감초,양갈비,,,
르 프리미에 드 발미,Le Premier de Valmy,https://www.wine21.com/13_search/wine_view.html?Idx=164269&lq=LIST,샤또 발미  Chateau Valmy,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),무르베드르 (Mourvedre) 70% / 시라/쉬라즈 (Syrah/Shiraz) 30%,Côtes du Roussillon AOC(AOP),,15~17 ℃,"안심 스테이크, 티본 스테이크, 꽃등심, 등심, 갈비살, 라자냐, 고다 치즈, 체다 치즈, 에멘탈 치즈, 파마산 치즈, 훈제 치즈 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"배, 커피",라자냐,,,
샤또 몽테뉴,Chateau Montaigne,https://www.wine21.com/13_search/wine_view.html?Idx=164270&lq=LIST,샤또 몽테뉴  Chateau Montaigne,프랑스(France) / 보르도(Bordeaux) / 보르도 쒸뻬리외르(Bordeaux Superieur),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec),Bordeaux Supérieur AOC(AOP),,15~17 ℃,"안심스테이크, 티본 스테이크, 꽃등심, 등심, 갈비살, 갈비찜, 진한 소스가 곁들여 나오는 스테이크 등과 잘 어울린다.",*Gilbert & Gaillard - Gold Medal,,1/5,4/5,3/5,3/5,커피,갈비찜,,,
테라 토스카나 키안티,Terra Toscana Chianti,https://www.wine21.com/13_search/wine_view.html?Idx=164271&lq=LIST,칸티나 바인 티피키 아레티노  Cantina Vine Tipici Aretino,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 75% / 카나이올로 (Canaiolo) 10% / 메를로 (Merlot) 5% / 카베르네 소비뇽 (Cabernet Sauvignon) 5% / 트레비아노 (Trebbiano) / 말바시아 (Malvasia) 5%,Chianti DOCG(DOP),,15~17 ℃,"삼겹살, 목살, 등심구이, 볼로네제 스파게티, 피자 등과 잘 어울린다.",,,1/5,4/5,3/5,3/5,"체리, 토마토, 바닐라","등심, 피자",,,
아르탄 쉬라즈,Artan Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=164272&lq=LIST,라임스톤 코스트 와인즈  Limestone Coast Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 라임스톤 코스트(Limestone Coast),시라/쉬라즈 (Syrah/Shiraz) 100%,,,15~17 ℃,"삼겹살, 목살, 스테이크, 포모도로 스파게티, 마르게리타 피자, 리코타 치즈, 스트링 치즈 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,"체리, 정향, 허브, 초콜릿","스테이크, 피자",,,
"아르탄, 리저브 쉬라즈","Artan, Reserve Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164273&lq=LIST,라임스톤 코스트 와인즈  Limestone Coast Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 라임스톤 코스트(Limestone Coast),시라/쉬라즈 (Syrah/Shiraz) 100%,,,15~17 ℃,"바베큐, 양갈비, 삼겹살, 목살, 갈비찜, 불고기 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,"체리, 정향, 초콜릿",양갈비,,,
모티크 쉬라즈,Motique Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=164274&lq=LIST,라임스톤 코스트 와인즈  Limestone Coast Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 라임스톤 코스트(Limestone Coast),시라/쉬라즈 (Syrah/Shiraz) 100%,,,15~17 ℃,"안심 스테이크, 티본 스테이크, 꽃등심, 등심, 갈비살, 갈비찜, 불고기, 라자냐, 에멘탈 치즈, 체다 치즈, 고다 치즈, 훈제 치즈 등과 잘 어울린다.",*2016년 호주 베스트 20위에 들어간 최상급 호주 와인,,1/5,3/5,4/5,4/5,"체리, 정향, 초콜릿",라자냐,,,
"찰스 & 찰스, 메를로","Charles & Charles, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=164275&lq=LIST,찰스 앤 찰스  Charles & Charles,미국(U.S.A) / 워싱턴(Washington State),메를로 (Merlot),,,15~17 ℃,"스테이크, 바비큐, 소시지, 불고기, 파스타, 한국음식 과 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 파스타",,,
"고젤리노 비니, 브루나 모스카토 다스티","Gozzelino Vini, Bruna Moscata d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=164276&lq=LIST,고젤리노 비니  Gozzelino Vini,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,5.5 %,8~10 ℃,"해산물 파스타, 야채 요리, 샐러드 등과 잘 어울린다.",*2018 Decanter Bronze*Il Mio Vino - 가성비 훌륭한 와인을 생산하는 와이너리 선정,,4/5,2/5,1/5,1/5,"세이지, 꿀","해산물, 파스타",Northern Italy White,,
"고젤리노 비니, 브릭 다 루 모스카토 다스티","Gozzelino Vini, Bric da Lu Moscato d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=164277&lq=LIST,고젤리노 비니  Gozzelino Vini,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,5.5 %,8~10 ℃,"각종 디저트, 신선한 과일, 리치한 치즈 등과 잘 어울린다.",*VinItaly Grand Menzione 수상*2017 Decanter Bronze 수상,신동와인,4/5,2/5,1/5,1/5,"복숭아, 시트러스","복숭아, 과일, 치즈, 디저트",Northern Italy White,,
"알베르토 로이, 테리아","Alberto Loi, Theria",https://www.wine21.com/13_search/wine_view.html?Idx=164278&lq=LIST,알베르토 로이  Alberto Loi,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",베르멘티노 (Vermentino),Vermentino di Sardegna DOC(DOP),,10~12 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,
"알베르토 로이, 사 몰라","Alberto Loi, Sa Mola",https://www.wine21.com/13_search/wine_view.html?Idx=164279&lq=LIST,알베르토 로이  Alberto Loi,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau),Cannonau di Sardegna DOC(DOP),,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,"바비큐, 탕수육, 치즈",,,
"알베르토 로이, AL","Alberto Loi, AL",https://www.wine21.com/13_search/wine_view.html?Idx=164280&lq=LIST,알베르토 로이  Alberto Loi,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau),Cannonau di Sardegna DOC(DOP),,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,"바비큐, 탕수육, 치즈",,,
"알베르토 로이, 리세르바","Alberto Loi, Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=164281&lq=LIST,알베르토 로이  Alberto Loi,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau),Cannonau di Sardegna DOC(DOP),,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,"바비큐, 탕수육, 치즈",,,
"알베르토 로이, 나나","Alberto Loi, Nana",https://www.wine21.com/13_search/wine_view.html?Idx=164282&lq=LIST,알베르토 로이  Alberto Loi,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",,Isola dei Nuraghi IGT(IGP),,8~10 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,
리바 데이 프라티 발돕비아데네 프로세코 수페리오레 브뤼,Riva dei Frati Valdobbiadene Prosecco Superiore Brut,https://www.wine21.com/13_search/wine_view.html?Idx=164283&lq=LIST,아지엔다 빈 리바 데이 프라티  Az. Vin Riva dei Frati,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),Conegliano Valdobbiadene Prosecco Superiore DOCG(DOP),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
리바 데이 프라티 발돕비아데네 프로세코 수페리오레 디 카르티쩨,Riva dei Frati Valdobbiadene Prosecco Superiore di Cartizze,https://www.wine21.com/13_search/wine_view.html?Idx=164284&lq=LIST,아지엔다 빈 리바 데이 프라티  Az. Vin Riva dei Frati,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),Valdobbiadene Superiore di Cartizze DOCG(DOP),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
리바 데이 프라티 발돕비아데네 프로세코 수페리오레 엑스트라 드라이,Riva dei Frati Valdobbiadene Prosecco Superiore Extra Dry,https://www.wine21.com/13_search/wine_view.html?Idx=164285&lq=LIST,아지엔다 빈 리바 데이 프라티  Az. Vin Riva dei Frati,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),Conegliano Valdobbiadene Prosecco Superiore DOCG(DOP),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
