와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,알코올,기타정보
"모나스테리오, 올드 바인 셀렉티드 하베스트","Monasterio, Old Vines Selected Harvest",https://www.wine21.com/13_search/wine_view.html?Idx=171867&lq=LIST,모나스테리오  Monasterio de la Vinas,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) / 템프라니요 (Tempranillo) / 시라/쉬라즈 (Syrah/Shiraz),,,6개월 숙성,16~18 ℃,"강한 양념의 육류음식, 치즈를 곁들인 요리, 가금류와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,"블루베리, 바닐라","가금류, 치즈",Spanish Grenache,13~14 %,
"프랑수아 티안퐁, 테라 부르디 갈라","Francois Thienpont, Terra Burdigala",https://www.wine21.com/13_search/wine_view.html?Idx=171868&lq=LIST,프랑수아 티안퐁  Francois Thienpont,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),,,,16~18 ℃,"치즈, 양고기, 미트소스 파스타와 잘 어울린다.",비노테크,1/5,3/5,3/5,4/5,"자두, 육두구","미트, 양고기, 파스타, 치즈",Bordeaux Red,,
"프랑수아 티안퐁, 테라 부르디갈라 블랑","Francois Thienpont, Terra Burdigala Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171869&lq=LIST,프랑수아 티안퐁  Francois Thienpont,프랑스(France) / 보르도(Bordeaux),소비뇽 블랑 (Sauvignon Blanc) 100%,,,,8~10 ℃,"돼지고기, 가금류, 샐러드, 에피타이저 음식과 잘 어울린다.",비노테크,1/5,4/5,1/5,1/5,,"가금류, 샐러드",Bordeaux White,,
"자이엉스, 클래렛 드 디 뀌베 티투스","Jaillance, Clairette de Die Cuvee Titus",https://www.wine21.com/13_search/wine_view.html?Idx=171870&lq=LIST,자이엉스  Jaillance,프랑스(France) / 론(Rhone),클레렛  (Clairette) 100%,,,,6~8 ℃,"케이크, 과일등과 잘 어울린다.",비노테크,1/5,3/5,1/5,1/5,레몬,"과일, 케이크",,,
"자이엉스, 크레망 드 디 그랑 리저브","Jaillance, Cremant de Die Grand Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=171871&lq=LIST,자이엉스  Jaillance,프랑스(France) / 론(Rhone),클레렛  (Clairette) / 알리고테 (Aligote) / 뮈스까 (Muscat),,,,6~8 ℃,"생선요리, 조개류 요리와 잘 어울린다.",비노테크,1/5,4/5,2/5,1/5,"감귤, 꽃, 아몬드","생선회, 해산물, 오일파스타, 중국요리, 아시아요리, 샐러드, 치즈, 콩테",,,
"도멘 제라르 피유, 상세르 블랑","Domaine Gerard Fiou, Sancerre Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171872&lq=LIST,도멘 제라르 피유  Domaine Gerard Fiou,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),,,,8~10 ℃,"돼지고기, 생선과 해산물, 매운 음식, 야채샐러드, 염소치즈와 잘 어울린다.",비노테크,1/5,3/5,1/5,1/5,"감귤, 열대과일, 꽃","해산물, 치즈",Upper Loire White,,
"도멘 제라르 피유, 상세르 그랑 록","Domaine Gerard Fiou, Sancerre Le Grand Roc",https://www.wine21.com/13_search/wine_view.html?Idx=171873&lq=LIST,도멘 제라르 피유  Domaine Gerard Fiou,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),,,,8~10 ℃,"굴, 가리비 등의 갑각류와 해산물, 매운 음식, 채소샐러드, 치즈 플래터와 잘 어울린다.",비노테크,1/5,4/5,1/5,1/5,허브,"해산물, 치즈",Upper Loire White,,
"라 젤라, 포지오 글리 앙겔리","La Gerla, Poggio gli Angeli",https://www.wine21.com/13_search/wine_view.html?Idx=171874&lq=LIST,라 젤라  La Gerla,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),,,"슬라보니아 목재의 통에서 4개월 숙성, 그리고 병입 후 2개월의 숙성",16~18 ℃,"파스타, 로스트 비프, 그릴에 구운 돼지고기와 잘 어울린다.",비노테크,1/5,3/5,3/5,3/5,"체리, 가죽","비프, 파스타",,,
"보쉔달, 라노이 카베르네 소비뇽 메를로","Boschendal, Lanoy Cabernet Sauvignon Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=171875&lq=LIST,보쉔달  Boschendal,남아프리카(South Africa),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,스테인리스 스틸 발효,프렌치 오크 배럴 12개월 숙성,16~18 ℃,,비케이 트레이딩,1/5,3/5,4/5,4/5,"블랙커런트, 자두",자두,,14~15 %,
"샤를 미뇽, 프리미엄 리저브 브뤼 로제","Charles Mignon, Premium Reserve Brut Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171876&lq=LIST,샤를 미뇽  Charles Mignon,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),,"프리미엄 리저브 브뤼를 베이스로 블랜딩, 스테인리스 탱크에서 양조",24에서 36개월 동안 셀러에서 숙성,6~8 ℃,,바쿠스,1/5,4/5,2/5,1/5,,,French Champagne,12~13 %,
"몬테 델 프라, 까델마그로 쿠스토자 수페리오레","Monte del Fra, Ca del Magro Custoza Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=171877&lq=LIST,몬테 델 프라  Monte del Fra,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega) / 트레비아노 (Trebbiano) / 코르테제 (Cortese) / 인크로시오 만조니  (Incrocio Manzoni),,스테인리스 탱크에서 리와 함께 발효 후 부드럽게 주기적인 펌핑 오버 실행,"시멘트 통에서 보관, 병입 후 6개월 동안 숙성",8~10 ℃,"식전 주로 훌륭하며 파스타, 수프, 민물고기 요리, 아시안 요리, 지중해 요리, 베지터리안 요리와 잘 어울리며 튀김, 피자, 치킨과도 잘 어울린다.",호메오와인갤러리,1/5,3/5,2/5,1/5,"망고, 꽃, 미네랄, 생강","치킨, 튀김",,13~14 %,*Wine Spectator 91점*Wine Enthusiast 92점*James Suckling 92점*Tom Hyland Forbes 97점*Winescritics.com 95점*Jancis Robinson 17.5점
"몬테 델 프라, 테누타 레나 디 메쪼 아마로네 델라 발폴리첼라 클라시코","Monte del Fra, Tenuta Lena Di Mezzo Amarone Della Valpolicella Classico",https://www.wine21.com/13_search/wine_view.html?Idx=171878&lq=LIST,몬테 델 프라  Monte del Fra,이탈리아(Italy) / 베네토(Veneto),코르비나 베로네제  (Corvina Veronese) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),,"포도나무에서 짧게 자연 건조 후 10월 초에 열흘 동안 수확함. 당도가 28-30%까지 이르기까지 온도와 습도가 통제된 과일 저장고에 120일 동안 건조함. 줄기를 제거하고 부드럽게 압착 후, 아로마와 폴리페놀의 추출의 극대화를 위해 작은 스틸 통에서 껍질과 함께 오랫동안 침용 및 천천히 발효","2000-3000리터 크기의 프렌치 오크에서 24개월 동안 숙성 후, 출시 전 최소 6개월 병입 숙성 진행",16~18 ℃,"붉은 고기 조림, 그릴, 로스트 요리, 지방 함량이 풍부한 생선 요리, 아시안 퀴진 및 숙성 치즈와 잘 어울린다.",,1/5,3/5,5/5,4/5,가죽,치즈,Italian Amarone,15~16 %,*VIVINO - 4.2*Wine Spectator – 91 points*James Suckling – 91 points*Robert Parker – 91 points*Jancis Robinson – 17.5*Doctor Wine – 92 points*Winescritics.com – 92 points
"몬테 델 프라, 스카노끼오 아마로네 델라 발폴리첼라 클라시코 리제르바","Monte del Fra, Scarnocchio Amarone Della Valpolicella Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=171879&lq=LIST,몬테 델 프라  Monte del Fra,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 베로네제  (Corvina Veronese) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),,,,16~18 ℃,"잼, 숙성 치즈와 잘 어울린다.",,1/5,3/5,4/5,4/5,꽃,치즈,Italian Amarone,15~16 %,*VIVINO - 4.5*Wine Spectator – 91 points*James Suckling – 93 points*Robert Parker – 93 points*Jancis Robinson – 17.5*Tom Hyland Forbes – 94 points*Winescritic.com – 94 points
"몬테 델 프라, 까사 카피테이 아마로네 델라 발폴리첼라","Monte del Fra, Casa Capitei Amarone Della Valpolicella",https://www.wine21.com/13_search/wine_view.html?Idx=171880&lq=LIST,몬테 델 프라  Monte del Fra,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 베로네제  (Corvina Veronese) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),,9월 말부터 10월 중순 정도까지 선별 수확 후 포도의 과즙과 당도가 충분히 농축될 때까지 과일 저장고에서 건조함. 줄기 제거하고 부드럽게 압착 후 며칠간 저온 침용한 뒤 작은 스틸 통에서 펌핑 오버를 수작업으로 진행. 충분한 시간에 걸쳐 껍질과 침용 후 발효,오크에서 최소 24-30개월 숙성 및 6-8개월 병입 숙성,16~18 ℃,"멧돼지 요리, 로스트 미트나 고기 찜 요리, 치즈 및 아마로네 리조또, 볼로네제 파스타 등 매콤한 요리에도 잘 어울림. 와인이 동글동글하고 조화로워 생선 요리나 이국적인 요리와도 잘 어울린다.",,1/5,4/5,5/5,4/5,"블랙체리, 체리, 자두, 바닐라, 감초, 시나몬, 타바코, 가죽","미트, 돼지, 양고기, 건육, 치즈",Italian Amarone,16~17 %,*VIVINO - 4.1*Wine Spectator – 92 points*James Suckling – 92 points*Winescritic.com – 94 points*Tom Hyland Forbes – 92 points*Jancis Robinson – 17.5
"파라디소 디 카쿠치, 브루넬로 디 몬탈치노","Paradiso di Cacuci, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=171881&lq=LIST,파라디소 디 카쿠치  Paradiso di Cacuci,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),,온도가 통제되는 스테인리스 탱크에서 21-25일 동안 발효,슬로베니아산 오크 배럴에서 3년 숙성 및 6개월 병입 숙성,16~18 ℃,"스테이크와 페어링이 완벽하고 향이 강렬한 사냥 고기, 특히 멧돼지 요리와 페어링이 훌륭함. 트러플이나 버섯 요리, 강렬한 향의 치즈나 숙성 치즈와 추천. 고기나 소스가 들어간 인터내셔널 요리에도 잘 어울린다.",,1/5,3/5,4/5,3/5,블랙베리,"스테이크, 돼지, 치즈",,14~15 %,*Jancis Robinson Score – Superior 17++*Wine Enthusiast Critics – 93 points*London Wine Competition 2020 – Gold*Consorzio del Brunello – 5 out of 5 star*Vivino: 4.5
"파라디소 디 카쿠치, 파블라 토스카나 로쏘","Paradiso di Cacuci, Pavla Toscana Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=171882&lq=LIST,파라디소 디 카쿠치  Paradiso di Cacuci,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,온도가 통제되는 스테인리스 탱크에서 랙킹 및 데레스따즈,슬로베니아산 오크 배럴에서 최소 1년 숙성 및 2개월 병입 숙성,16~18 ℃,"소고기, 양고기 등 붉은 육류 및 가금류 요리, 샤퀴테리와 잘 어울린다.",,1/5,3/5,4/5,3/5,블랙베리,"소고기, 양고기, 가금류",,14~15 %,*Vivino: 4.1
"라 젤라, 라 피에베","La Gerla, Brunello di Montalcino La Pieve",https://www.wine21.com/13_search/wine_view.html?Idx=171883&lq=LIST,라 젤라  La Gerla,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),,,,16~18 ℃,"염소 치즈, 라구 파스타, 훈제 오리고기와 잘 어울린다.",비노테크,1/5,3/5,4/5,3/5,"체리, 허브, 가죽","오리고기, 파스타, 치즈",,,
"토르나토레, 에트나 비앙코","Tornatore, Etna Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=171884&lq=LIST,토르나토레  Tornatore,이탈리아(Italy) / 시칠리아(Sicilia),카리칸테 (Carricante),,,,8~10 ℃,"조개류, 각갑류, 샐러드, 치즈와 잘 어울린다.",비노테크,1/5,3/5,1/5,1/5,"레몬, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,
"토르나토레, 에트나 로쏘","Tornatore, Etna Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=171885&lq=LIST,토르나토레  Tornatore,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) / 네렐로 카푸치오 (Nerello Cappuccio),,,,16~18 ℃,"불에 구운 붉은 고기류, 파스타, 라자냐와 잘 어울린다.",비노테크,1/5,3/5,3/5,3/5,"체리, 딸기, 라스베리, 미네랄","미트, 그릴요리, 스테이크, 붉은육류, 꼬치구이, 바비큐, 돼지고기, 양념갈비, 족발, 동그랑땡, 라자냐, 파스타, 토마토파스타, 피자",Southern Italy Red,,
"토르나토레, 트리마르키사 에트나 로쏘","Tornatore, Trimarchisa Etna Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=171886&lq=LIST,토르나토레  Tornatore,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) / 네렐로 카푸치오 (Nerello Cappuccio),,,,16~18 ℃,"불에 구운 붉은 고기류, 파스타, 라자냐와 잘 어울린다.",비노테크,1/5,3/5,4/5,3/5,,,,,*James Suckling 94
"아스케리, 랑게 아르네이스","Ascheri, Langhe Arneis",https://www.wine21.com/13_search/wine_view.html?Idx=171887&lq=LIST,아스케리  Ascheri,이탈리아(Italy) / 피에몬테(Piemonte),아르네이스 (Arneis) 100%,,,,8~10 ℃,"파스타, 각갑류, 살라미, 치즈, 기름기없는 생선요리와 잘 어울린다.",비노테크,1/5,3/5,1/5,1/5,"레몬, 열대과일, 꽃, 미네랄","살라미, 파스타, 치즈",,,
"아스케리, 랑게 네비올로","Ascheri, Langhe Nebbiolo",https://www.wine21.com/13_search/wine_view.html?Idx=171888&lq=LIST,아스케리  Ascheri,이탈리아(Italy) / 피에몬테(Piemonte),네비올로 (Nebbiolo),,,,14~16 ℃,"소스가 가미된 요리, 사슴고기, 양고기와 잘 어울린다.",비노테크,1/5,3/5,3/5,3/5,"장미, 가죽",양고기,Italian Nebbiolo,,*Robert Parker 90
"아스케리, 랑게 바롤로","Ascheri, Langhe Barolo",https://www.wine21.com/13_search/wine_view.html?Idx=171889&lq=LIST,아스케리  Ascheri,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),,,,14~16 ℃,"꼬치요리, 바비큐, 치즈와 잘 어울린다.",비노테크,1/5,3/5,3/5,3/5,"꽃, 미네랄, 타르, 가죽","바비큐, 치즈",Italian Barolo,,*Wine Enthusiast 93*Robert Parker 91*Decanter 91 (Silver Medal 2022)*Jancis Robinson 16.5/20
"노바이아, 발폴리첼라 클라시코","Novaia, Valpolicella Classico",https://www.wine21.com/13_search/wine_view.html?Idx=171890&lq=LIST,노바이아  Novaia,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),,,,16~18 ℃,"리코타치즈 샐러드, 관자버터구이, 파스타, 리조토와 잘 어울린다.",비노테크,1/5,3/5,3/5,3/5,,샐러드,,,
카스티요 델 엠페라도 리저바도 레드 블렌드,Castillo del Emperador Riservado Red Blend,https://www.wine21.com/13_search/wine_view.html?Idx=171891&lq=LIST,보데가스 타구아 타구아  Bodegas Tagua Tagua,칠레(Chile),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,,16~18 ℃,"치즈, 바비큐와 잘 어울린다.",오지노와인,1/5,3/5,4/5,4/5,자두,"바비큐, 자두, 치즈",Chilean Cabernet Sauvignon,,
"바슐레 모노, 퓔리니 몽라셰 프리미에 크뤼 레 레페","Bachelet Monnot, Puligny Montrachet 1er Les Referts",https://www.wine21.com/13_search/wine_view.html?Idx=171892&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,,,"오크 12개월, 20% 새오크, 스틸탱크 6개월",8~10 ℃,,크리스탈와인,1/5,3/5,3/5,1/5,,,Burgundy Côte de Beaune White,,
"샤토 벨에어, 라그라브","Chateau Bel Air, Lagrave Moulis en Medoc",https://www.wine21.com/13_search/wine_view.html?Idx=171893&lq=LIST,샤또 벨 레르  Château Bél Air,프랑스(France) / 보르도(Bordeaux) / 물리(Moulis),카베르네 소비뇽 (Cabernet Sauvignon) 60% / 메를로 (Merlot) 35% / 쁘띠 베르도 (Petit Verdot) 5%,Moulis-en-Médoc AOC(AOP),,"1/3 뉴 배럴을 포함, 오크 배럴에서 18개월 동안 숙성 후, 20년 이상 병 숙성",16~18 ℃,"소고기와 양고기, 닭고기 스테이크 등과 잘 어울린다.",비노테크,1/5,2/5,4/5,3/5,"블랙베리, 바닐라","양고기, 닭고기",,,
샤토 아르망스,Chateau Armens,https://www.wine21.com/13_search/wine_view.html?Idx=171894&lq=LIST,샤토 아르망스  Chateau Armens,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) 70% / 카베르네 프랑 (Cabernet Franc) 25% / 카베르네 소비뇽 (Cabernet Sauvignon) 5%,Saint-Émilion AOC(AOP),,60% 비율의 뉴 오크에서 12~18개월 숙성,16~18 ℃,"비프 스테이크, 양고기 바비큐, 그릴 요리, 치즈 등과 잘 어울린다.",비노테크,1/5,2/5,3/5,3/5,오크,"바비큐, 양고기, 치즈",,,
"샤토 데 송즈, 송 바이 봉 그랑 뱅 드 보르도","Chateau des Songes, Song by Bong Grand Vin de Bordeaux",https://www.wine21.com/13_search/wine_view.html?Idx=171895&lq=LIST,샤토 데 송즈  Chateau des Songes,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) 100%,Saint-Émilion AOC(AOP),,,16~18 ℃,"모든 종류의 육류, 데리야끼 소스를 곁들인 장어구이 등과 잘 어울린다.",비노테크,1/5,3/5,4/5,4/5,"자두, 삼나무",,,,
"바슐레 모노, 뫼르소 끌로 뒤 크로망","Bachelet Monnot, Meursault Clos du Cromin",https://www.wine21.com/13_search/wine_view.html?Idx=171896&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Meursault AOC(AOP),"토착 효모 사용, 350L 오크 배럴에서 알코올 양조","350L 오크 배럴에서 12개월 숙성, 20% 새 오크, 스테인리스 스틸 탱크에서 6개월 숙성",8~10 ℃,,크리스탈와인,1/5,4/5,3/5,1/5,,,,,* 2019 빈티지:Burghound 92점* 2018 빈티지:Burghound 92점
"바슐레 모노, 포마르 레 샹랭","Bachelet Monnot, Pommard Les Chanlins",https://www.wine21.com/13_search/wine_view.html?Idx=171897&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir) 100%,Pommard AOC(AOP),"토착 효모 사용, 228L 오크 배럴에서 알코올 발효","228L 오크 배럴에서 12개월 숙성, 20% 뉴 오크 사용, 스테인리스 스틸 탱크에서 6개월 숙성",14~16 ℃,,크리스탈와인,1/5,3/5,3/5,2/5,,,,,* 2019 빈티지:Burghound 91점* 2018 빈티지:Burghound 92점
"바슐레 모노, 마랑쥬 프리미에 크뤼 '라 퓌시에르'","Bachelet Monnot, Maranges 1er 'La Fuissiere'",https://www.wine21.com/13_search/wine_view.html?Idx=171898&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 마랑쥬(Maranges),피노 누아 (Pinot Noir) 100%,"Maranges 1er Cru AOC(AOP), 'La Fussière'","토착 효모 사용, 228L 오크 배럴에서 알코올 발효","228L 오크 배럴에서 12개월 숙성, 20% 뉴 오크 사용, 스테인리스 스틸 탱크에서 6개월 숙성",14~16 ℃,,크리스탈와인,1/5,3/5,3/5,2/5,,,,,* 2019 빈티지:Burghound 91점
"바슐레 모노, 마랑쥬 비에이으 비뉴","Bachelet Monnot, Maranges Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=171899&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 마랑쥬(Maranges),피노 누아 (Pinot Noir) 100%,Maranges AOC(AOP),"토착 효모 사용, 228L 오크 배럴에서 알코올 발효","228L 오크 배럴에서 12개월 숙성, 20% 뉴 오크 사용, 스테인리스 스틸 탱크에서 6개월 숙성",14~16 ℃,,크리스탈와인,1/5,3/5,3/5,2/5,,,,,* 2019 빈티지:Burghound 89점* 2018 빈티지:Burghound 89점
