와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,양조,숙성,수입사,등급,추천음식
"드 보르톨리, 에머리스가든 모스카토","De Bortoli, Emeri's Garden Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=176014&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 리베리나(Riverina),프론테낙 그리 (Frontenac Gris) / 뮈스까 (Muscat),,8~9 %,6~8 ℃,"* 2022 빈티지 - 비니아시아 서울 2023 Gold* 2022 비니아시아 - Silver* 2023 인테너셔널 와인&스피릿 -Bronze* 2023 퍼스 와인쇼 - Bronze""",3/5,2/5,2/5,1/5,"살구, 복숭아, 열대과일, 파인애플, 꽃","꼬치구이, 건육, 양념치킨, 닭강정, 떡볶이, 피자, 동남아요리, 아시아요리, 튀김, 샐러드, 복숭아, 과일, 가공치즈, 디저트, 케이크, 티라미수",,스테인레스 탱크 숙성.,젠니혼주류,,
"드 보르톨리, 에머리스가든 핑크 모스카토","De Bortoli, Emeri's Garden Pink Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=176015&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 리베리나(Riverina),프론테낙 블랑 (Frontenac Blanc) / 뮈스까 (Muscat) / 시라/쉬라즈 (Syrah/Shiraz),,8~9 %,6~8 ℃,* 2022 빈티지 - 비니아시아 서울 2023 Silver* 2022 비니아시아 - Silver* 2023 리버랜드 와인쇼 - Silver* 2023 차이나 와인&스피릿 - Trophy,3/5,2/5,2/5,1/5,"딸기, 크랜베리, 라스베리","꼬치구이, 건육, 양념치킨, 닭강정, 떡볶이, 만두, 피자, 동남아요리, 아시아요리, 샐러드, 콩테, 타르트, 케이크, 티라미수",,스테인레스 탱크 숙성.,젠니혼주류,,
"타르 앤 로지스, 피노 그리지오","Tar & Roses, Pinot Grigio",https://www.wine21.com/13_search/wine_view.html?Idx=176016&lq=LIST,Tar & Roses  타르&로지스,호주(Australia) / 빅토리아(Victoria),피노 그리지오 (Pinot Grigio),Australian Pinot Gris,13~14 %,8~10 ℃,* 2022 Vintage: Halliday Wine Companion 94 points* 2021 Vintage: Halliday Wine Companion 93 points* 2020 Vintage: Halliday Wine Companion 91 points* 2019 Vintage: Royal Melbourne Wine Awards TROPHY,1/5,3/5,3/5,1/5,"배, 시트러스, 멜론","생선구이, 광어, 생선회, 농어, 참돔, 흰살생선, 장어구이, 해산물, 랍스터, 문어숙회, 조개구이, 잡채, 어묵, 오일파스타, 크림파스타, 견과류, 리코타, 크림치즈, 모짜렐라",Cold tank fermentation. Where possible the pressings and free run are fermented separately before being blended back with the free run for stabilisation prior to bottling.,,,,
"메종 요하네스 부베, 보프레 블랑드블랑 브뤼","Maison Johanès Boubée, Sire de Beaupré Brut",https://www.wine21.com/13_search/wine_view.html?Idx=176017&lq=LIST,메종 요하네스 부베  Maison Johanès Boubée,프랑스(France),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 콜롱바르 (Colombard),,10~11 %,6~8 ℃,* NV - 비니아시아 서울 2023 Gold,1/5,3/5,2/5,1/5,"시트러스, 흰꽃, 아몬드, 캐슈넛","꼬치구이, 돼지고기, 양꼬치, 양념치킨, 닭강정, 후라이드, 치킨, 생선회, 새우, 중국요리, 탕수육, 동남아요리, 아시아요리, 식전주, 샐러드, 치즈, 모짜렐라",샤르마 방식 양조.,,젠니혼주류,,
"타르 앤 로지스, 쉬라즈","Tar & Roses, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=176018&lq=LIST,Tar & Roses  타르&로지스,호주(Australia) / 빅토리아(Victoria) / 히스코트(Heathcôte),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,* 2020 Vintage: Halliday Wine Companion 92 points* 2019 Vintage: Halliday Wine Companion 91 points* 2018 Vintage: Halliday Wine Companion 90 points,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 미네랄, 후추, 바닐라, 흙","살치살, 소고기, 육회, 스테이크, 바비큐, 항정살, 오겹살, 돼지고기, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 서양요리, 양장피, 난자완스, 자두, 말린과일, 말린과일, 에뿌아쓰, 로크포르, 블루치즈, 스모크",The machine harvested volumes were crushed and destemmed into static fermenters and pumped over twice a day.,The wine was racked off gross lees and put into barrel to mature in a combination of new French and older,,,
"메종 요하네스 부베, 보프레 블랑드블랑 드미섹","Maison Johanès Boubée, Sire de Beaupré Demi-Sec",https://www.wine21.com/13_search/wine_view.html?Idx=176019&lq=LIST,메종 요하네스 부베  Maison Johanès Boubée,프랑스(France),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 콜롱바르 (Colombard),,10~11 %,6~8 ℃,,3/5,2/5,2/5,1/5,"시트러스, 아카시아, 흰꽃, 꽃, 꿀","꼬치구이, 양념치킨, 닭강정, 후라이드, 치킨, 떡볶이, 피자, 동남아요리, 아시아요리, 튀김, 타르트, 디저트, 케이크, 티라미수",샤르마 방식 양조.,,젠니혼주류,,
"타마 릿지, 논 빈티지 피리","Tamar Ridge, Non Vintage Pirie",https://www.wine21.com/13_search/wine_view.html?Idx=176020&lq=LIST,타마 릿지  Tamar Ridge,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,12~13 %,4~6 ℃,*Trophy2022 Australian Sparkling Wine Show - Best Sparkling 24 to 60 months Tirage*Gold Medal2022 Perth Royal Wine Show2022 Australian Sparkling Wine Show2022 Tasmanian Wine Show2021 Sydney Wine Show (Class 48)2021 Australian Sparkling (Class 2)2020 Perth Royal Wine Show (Class 42)2020 Tasmanian Wine Show (Class 3)2019 National Wine Show of Australia (Class 3)*Silver Medal2022 Royal Adelaide Wine Show2022 Perth Royal Wine Show2022 Sydney Wine Show2021 Royal Melbourne Wine Awards,1/5,4/5,1/5,1/5,"청사과, 시트러스, 미네랄, 비스켓","돼지고기, 닭고기, 치킨, 해산물, 한식, 아시아요리, 식전주, 샐러드, 과일",,,,,
"메종 요하네스 부베, 제이키퍼 블랑드블랑 브뤼","Maison Johanès Boubée, J.Kieffer, Blanc de Blancs, Brut",https://www.wine21.com/13_search/wine_view.html?Idx=176021&lq=LIST,메종 요하네스 부베  Maison Johanès Boubée,프랑스(France),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 콜롱바르 (Colombard),,11~12 %,8~10 ℃,* NV - 비니아시아 2023 Silver,1/5,3/5,2/5,1/5,"서양배, 열대과일, 파인애플, 브리오슈","꼬치구이, 건육, 양념치킨, 닭강정, 후라이드, 치킨, 해산물, 샐러드, 견과류, 치즈",샤르마 방식 양조.,,젠니혼주류,,
"메종 요하네스 부베, 제이키퍼 블랑드블랑 드미섹","Maison Johanès Boubée, J.Kieffer, Blanc de Blancs Demi-Sec",https://www.wine21.com/13_search/wine_view.html?Idx=176022&lq=LIST,메종 요하네스 부베  Maison Johanès Boubée,프랑스(France),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 콜롱바르 (Colombard),,11~12 %,6~8 ℃,* NV - 비니아시아 2023 Bronze,3/5,2/5,2/5,1/5,"복숭아, 배, 서양배, 시트러스","꼬치구이, 양념치킨, 닭강정, 후라이드, 치킨, 떡볶이, 피자, 동남아요리, 아시아요리, 매운요리, 샐러드, 복숭아, 타르트, 디저트, 케이크",샤르마 방식 양조.,,젠니혼주류,,
"타마 릿지, 피노 누아","Tamar Ridge, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176023&lq=LIST,타마 릿지  Tamar Ridge,호주(Australia) / 태즈매니아(Tasmania),피노 누아 (Pinot Noir),Australian Pinot Noir,12~13 %,12~14 ℃,*2023 Internation Cool Climate Wine Show- Silver*2023 Royal Queensland Wine Awards - Bronze*2023 Royal Hobart Wine Show - Bronze*2023 Royal Adelaide Wine Show- Bronze*2023 Australian Pinot Noir Challenge- Bronze,1/5,4/5,3/5,2/5,"레드커런트, 라스베리, 정향","스테이크, 훈제오리, 오리로스, 참치, 견과류, 치즈",MLF is used to provide stability and to reduce the wine's high natural acidity,A small component of the blend matured in older oak material contributes,,,
"타르 앤 로지스, 더 로즈 플래그십 쉬라즈","Tar & Roses, The Rose Flagship Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=176024&lq=LIST,Tar & Roses  타르&로지스,호주(Australia) / 빅토리아(Victoria) / 히스코트(Heathcôte),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,* 2019 Vintage: Halliday Wine Companion 95 points* 2018 Vintage: Halliday Wine Companion 95 points* 2016 Vintage: Halliday Wine Companion 95 points,1/5,3/5,4/5,4/5,"블랙체리, 자두, 리치, 바닐라, 민트, 초콜릿",자두,"The fruit was crushed and destemmed and pumped over twice a day. After approximately ten days of fermentation, during which time the temperature and acid levels were monitored, they were individually pressed to tank.","The wine was racked off gross lees and put into barrel to complete malolactic fermentation and mature in a combination of new French and older barriques. From each of these parcels, the barrels were individually selected to make the blend.",,,
"타마 릿지, 피노 누아 리저브","Tamar Ridge, Pinot Noir Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=176025&lq=LIST,타마 릿지  Tamar Ridge,호주(Australia) / 태즈매니아(Tasmania),피노 누아 (Pinot Noir),Australian Pinot Noir,12~13 %,12~14 ℃,*2023 Royal Queensland Wine Awards - Bronze*2023 Royal Sydney Wine Show - Bronze*2023 Royal Hobart Wine Show - Bronze*2023 Royal Adelaide Wine Show- Bronze*James Suckling Tasmania Annual Wine Report - 91 points,1/5,4/5,3/5,2/5,"블루베리, 라스베리, 시나몬, 동물","스테이크, 하몽, 훈제오리, 참치, 견과류, 치즈",,,,,
"타르 앤 로지스, 템프라니요","Tar & Roses, Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=176026&lq=LIST,Tar & Roses  타르&로지스,호주(Australia) / 빅토리아(Victoria) / 히스코트(Heathcôte),템프라니요 (Tempranillo),,14~15 %,16~18 ℃,* 2021 Vintage; Halliday Wine Companion 94 points* 2020 Vintage; Halliday Wine Companion 93 points* 2020 Vintage; Royal Adelaide Wine Show TROPHY -* 2018 Vintage: Halliday Wine Companion 95 points,1/5,3/5,4/5,3/5,"블랙체리, 장미, 감초, 모카","살치살, 소고기, 육회, 스테이크, 항정살, 오겹살, 돼지고기, 양갈비, 불고기, 양념갈비, 갈비찜, 서양요리, 탕수육, 양장피, 난자완스, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,,,,
"펠릭스 솔리스, 꽁뜨 드 샹베리 브륏","Felix Solis, Comte de Chamberi Brut",https://www.wine21.com/13_search/wine_view.html?Idx=176027&lq=LIST,펠리스 솔리스  Felix Solis,스페인(Spain) / 라 만차(La Mancha),아이렌 (Airen) / 비우라 (Viura),Spanish Sparkling,,6~8 ℃,,1/5,3/5,2/5,1/5,"백도, 서양배, 시트러스, 자몽, 감귤, 레몬, 밀싹, 토스트","돼지고기, 양꼬치, 건육, 닭강정, 닭고기, 치킨, 생선회, 해산물, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 견과류, 치즈, 모짜렐라",,,(주)와이넬,,
"타르 앤 로지스, 산지오베제","Tar & Roses, Sangiovese",https://www.wine21.com/13_search/wine_view.html?Idx=176028&lq=LIST,Tar & Roses  타르&로지스,호주(Australia) / 빅토리아(Victoria) / 히스코트(Heathcôte),산지오베제 (Sangiovese),,13~14 %,16~18 ℃,* 2021 Vintage: Halliday Wine Companion 94 points* 2020 Vintage: Halliday Wine Companion 93 points* 2020 Vintage: Victorian Wine Show TROPHY* 2018 Vintage: Halliday Wine Companion 95 points,1/5,4/5,3/5,3/5,"체리, 빌베리, 말린허브, 흙, 먼지","로스트비프, 소고기, 스테이크, 바비큐, 삼겹살, 돼지고기, 불고기, 양념갈비, 갈비찜, 서양요리, 중국요리, 까망베르, 에뿌아쓰, 로크포르, 페타",,,,,
"클레어럴트 스트래이커, 에스테이트 카베르네 소비뇽","Clairault Streicker, Estate Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176029&lq=LIST,클레어럴트 스트래이커  Clairault Streicker,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,14~15 %,16~18 ℃,*Ray Jordan WA Wine Guide - 95 points*2022 Wine Companion - 94 points*James Suckling - 93 points,1/5,3/5,4/5,4/5,"블랙커런트, 레드커런트, 블랙베리, 제비꽃, 감초","스튜, 소고기, 양고기, 건육, 불고기, 견과류, 치즈",the wine is pumped over three times a day and on skins in the fermenter for 14 days,aged in 50% new French barriques for 18 months,,,
"맥기건, 리저브 블랙 쉬라즈","Mcguigan, Reserve Black Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=176030&lq=LIST,맥기건  Mcguigan,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,16~18 ℃,"* IWSC 2009, 2011, 2012, 2016 International Winemaker of the Year* IWC 2009, 2012 International White Winemaker of the Year",1/5,3/5,4/5,4/5,"딸기, 블루베리, 라스베리, 자두, 후추, 정향, 삼나무, 오크","그릴요리, 소고기, 스테이크, 붉은육류, 바비큐, 양갈비, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 토마토파스타, 자두, 랑그르, 치즈, 파르미지아노, 그라노파다노, 로크포르, 테트드무안",포도는 프레스 후 저온에서 5~7일 동안 오크 배럴에서 발효. 저온 발효를 통해 과일 아로마가 더욱 풍부해지고 품종 고유의 특성이 유지.,일부는 스테인리스 스틸 탱크에서 다른 일부는 오크 배럴에서 숙성된 후 블렌딩.,(주)와이넬,,
"그랑 사쏘, 그랑 사쏘 피노 그리지오","Gran Sasso, Gran Sasso Pinot Grigio",https://www.wine21.com/13_search/wine_view.html?Idx=176031&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 시칠리아(Sicilia),피노 그리지오 (Pinot Grigio) 1000%,Southern Italy White,,10~12 ℃,,1/5,3/5,2/5,1/5,"복숭아, 자몽, 라임, 레몬, 육두구, 바닐라, 삼나무, 오크","항정살, 돼지고기, 오리고기, 찜닭, 오리로스, 치킨, 생선구이, 생선회, 조개구이, 오일파스타, 복숭아, 치즈, 리코타, 크림치즈, 모짜렐라","분쇄, 줄기 제거, 소프트 프레싱하여 가라앉힌 후 맑은 머스트는 12~14°C에서 발효.",약 3~5개월 동안 리(lees) 컨택 숙성.,(주)와이넬,Terre Siciliane IGT(IGP),
"그랑 사쏘, 그랑 사쏘 산지오베제","Gran Sasso, Gran Sasso Sangiovese",https://www.wine21.com/13_search/wine_view.html?Idx=176032&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),산지오베제 (Sangiovese) 100%,,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙베리, 블루베리, 자두, 붉은꽃, 정향, 감초","스테이크, 육류요리, 양갈비, 양고기, 건육, 살라미, 프로슈토, 불고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 탕수육, 난자완스, 자두, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테",포도의 줄기를 제거하고 분쇄한 후 이틀 동안 초기 저온 침용을 거친 후 20~22°C에서 9~11일 동안 침용 및 발효.,"10~20%는 오크 배럴에서 숙성, 나머지는 스테인리스 스틸에서 숙성 후 블렌딩.",(주)와이넬,Terre di Chieti IGT(IGP),
"클레어럴트 스트래이커, 에스테이트 샤도네이","Clairault Streicker, Estate Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176033&lq=LIST,클레어럴트 스트래이커  Clairault Streicker,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),샤르도네 (Chardonnay),Australian Chardonnay,13~14 %,8~10 ℃,*2023 Wine Companion - 95 points*2022 Halliday Chardonnay Challenge - Silver*James Suckling - 92 points,1/5,3/5,2/5,1/5,"복숭아, 자몽, 레몬, 꽃, 부싯돌, 캐슈넛","돼지고기, 오리고기, 닭고기, 해산물, 새우, 샐러드, 치즈",,aged in oak for 9 months and battonaged every two weeks,,,
"클레어럴트 스트래이커, 마가렛 리버 샤도네이","Clairault Streicker, Margaret River Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176034&lq=LIST,클레어럴트 스트래이커  Clairault Streicker,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),샤르도네 (Chardonnay),Australian Chardonnay,13~14 %,8~10 ℃,*2022 Halliday Chardonnay Challenge - Silver*2023 Wine Companion - 91 points,1/5,3/5,2/5,1/5,"복숭아, 배, 레몬, 흰꽃, 미네랄, 시나몬","삼겹살, 돼지고기, 닭볶음탕, 닭고기, 생선찜, 랍스터, 샐러드, 치즈","barrel fermented in roughly 40% new, 30% 2nd fill and 30% 3rd fill French oak barriques and a portion of wine is allowed to undergo malolactic fermentation",aged in oak for 9 months and battonaged every two weeks,,,
"그랑 사쏘, 그랑 사쏘 몬테풀치아노 다브루쪼","Gran Sasso, Gran Sasso Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=176035&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),Italian Montepulciano d'Abruzzo,,16~18 ℃,* Frankfurt International Trophy 2020 - Silver Medal,1/5,3/5,4/5,3/5,"블랙체리, 라스베리, 자두, 흰꽃, 후추, 정향, 오크","스테이크, 붉은육류, 돼지고기, 양갈비, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 족발, 동그랑땡, 라자냐, 리조또, 탕수육, 난자완스, 랑그르, 파르미지아노, 그라노파다노","부드럽게 분쇄된 후 줄기가 제거. 포도는 4일 동안 저온 숙성과정을 거친 후, 스테인리스 스틸 탱크에서 24~26°C의 온도에서 8~10일 동안 발효가 진행.",,,Montepulciano d'Abruzzo DOC(DOP),
