와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
라이밀 파이어니어 소비뇽 블랑,"Rymill, Pioneer Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178073&lq=LIST,라이밀 쿠나와라  Rymill Coonawarra [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),소비뇽 블랑 (Sauvignon Blanc),,,13~14 %,10~12 ℃,,1/5,4/5,3/5,1/5,"청사과, 배, 라임, 패션프루트, 자스민","후라이드, 닭고기, 치킨, 생선회, 해산물, 중국요리, 아시아요리, 샐러드",,,Australian Sauvignon Blanc,
"라이밀, 쿠나와라 브뤼 스파클링","Rymill, Coonawarra Brut Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=178074&lq=LIST,라이밀 쿠나와라  Rymill Coonawarra [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),"2010, 2011, 2012, 2013, 2014, 2015, 2018년의 여러 빈티지를 혼합. 리 숙성.",,11~12 %,8~10 ℃,* JCampbell Mattinson - Halliday Wine Companion 2023 88 pts,1/5,4/5,2/5,1/5,"백도, 복숭아, 시트러스, 레몬, 페이스트리, 헤이즐넛","초밥, 생선회, 연어, 참치, 해산물, 오일파스타, 아시아요리, 샐러드, 치즈",,,,
"라이밀, 클래식 카베르네 소비뇽","Rymill, Classic Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178075&lq=LIST,라이밀 쿠나와라  Rymill Coonawarra [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 자두, 감초, 아니스, 허브, 민트, 타바코, 코코아","소고기, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 치즈",,,Australian Cabernet Sauvignon,
"틸리 제이 와인즈, 야라 밸리 피노누아","Tillie J Wines, Yarra Valley Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178076&lq=LIST,틸리 제이 와인즈  Tillie J Wines [B2B],호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir),3분의 1은 통 발효. 나머지는 송이 제거 후 발효.,8개월 동안 오크 배럴 숙성.,12~13 %,14~16 ℃,* James Halliday Wine Companion - 95점,1/5,3/5,3/5,3/5,"체리, 딸기, 라스베리, 바닐라, 감초","로스트비프, 까르파치오, 돼지고기, 건육, 훈제오리, 한식, 서양요리, 치즈",,,,
"헤어스 체이스, 마라난가 카베르네 쉬라즈","Hare's Chase, Marananga Cabernet Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178077&lq=LIST,헤어스 체이스  Hare's Chase,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,*Wine Pilot – Ken Gargett - 93점,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 라스베리, 자두, 육두구, 시나몬, 코코넛, 초콜릿","소고기, 돼지고기, 양고기, 건육, 한식, 자두",,,Australian Cabernet - Shiraz,
"헤어스 체이스, 마라난가 쉬라즈","Hare's Chase, Marananga Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178078&lq=LIST,헤어스 체이스  Hare's Chase,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,*Wine Orbit – Sam Kim - 96점*Certificated by Sustainable Winegrowing Australia Vegan Friendly,1/5,3/5,4/5,4/5,"블랙체리, 자두, 후추, 시나몬, 타바코, 동물","소고기, 양고기, 건육, 한식",,,Australian Shiraz,
"이든베일, 스파클링 뀌베","Edenvale, Sparkling Cuvee",https://www.wine21.com/13_search/wine_view.html?Idx=178079&lq=LIST,이든베일 베버리지   Edenvale Beverages,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),샤르도네 (Chardonnay) / 콜롱바르 (Colombard) / 피아노 (Fiano),"일반 와인처럼 제조한 후, 최첨단 Go/Lo 기술을 사용하여 알코올을 제거",,0~1 %,6~8 ℃,"*Silver medal, World Alcohol Free Awards 2024*Bronze medal, IWSC 2024*Gold medal, Wine Showcase Magazine 2023*Silver medal, IWSC 2023*Silver medal, Drinks Business Global Low & No Alcohol Wine Masters 2023",1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 꽃","닭고기, 해산물, 한식, 아시아요리, 튀김",,,,
"이든베일, 소비뇽블랑","Edenvale, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178080&lq=LIST,이든베일 베버리지   Edenvale Beverages,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),소비뇽 블랑 (Sauvignon Blanc),일반 와인으로 제작한 후 최첨단 Go/Lo 기술을 사용해 알코올을 제거,,0~1 %,8~10 ℃,"*Bronze medal, IWSC 2024*Gold medal, Drinks Business Global Low & No Alcohol Wine Masters 2023*Silver medal, Wine Showcase Magazine 2023*Silver medal, IWSC 2023*Winner, Healthy Food Guide Awards Australia 2023",1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 열대과일, 꽃, 미네랄","생선회, 해산물, 서양요리, 아시아요리, 튀김",,,,
"헤어스 체이스, 비질런스 마라난가 쉬라즈","Hare's Chase, Vigilance Marananga Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178081&lq=LIST,헤어스 체이스  Hare's Chase,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,"*Wine Orbit – Sam Kim - 96pts*Wine Pilot – Ken Gargett - 95pts*Wine Pilot – Jeni Port - 94pts*The Vintage Journal – Andrew Caillard MW - 93pts*Wine Companion – Dave Brookes - 93pts*""SAKURA"" Japan Women's Wine Awards 2024 – Gold*The Drinks Business Spring Tasting 2024 – Gold*Mundus Vini Spring Tasting 2024 – Gold*Marananga Wine Show 2023 – Silver",1/5,3/5,4/5,4/5,"블랙체리, 자두, 아니스, 바닐라, 후추, 타바코, 흙",,,,Australian Shiraz,
"이든베일, 쉬라즈","Edenvale, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178082&lq=LIST,이든베일 베버리지   Edenvale Beverages,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),시라/쉬라즈 (Syrah/Shiraz) / 기타 품종 (Other Grapes),일반 와인으로 제작한 후 최첨단 Go/Lo 기술을 사용해 알코올을 제거,,0~1 %,16~18 ℃,"*Bronze medal, IWSC 2024*Gold medal, Wine Showcase Magazine 2023*Silver medal, IWSC 2023*Bronze medal, Drinks Business Global Low & No Alcohol Wine Masters 2023*Winner, Healthy Food Guide Awards NZ 2024",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 꽃, 허브","소고기, 돼지, 양꼬치, 건육",,,,
"이든베일,카베르네 소비뇽","Edenvale, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178083&lq=LIST,이든베일 베버리지   Edenvale Beverages,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),카베르네 소비뇽 (Cabernet Sauvignon) / 기타 품종 (Other Grapes),일반 와인으로 제작한 후 최첨단 Go/Lo 기술을 사용해 알코올을 제거,,0~1 %,16~18 ℃,"*Gold medal, World Alcohol Free Awards 2024*Gold medal, IWSC 2023*Silver medal, Wine Showcase Magazine 2023*Silver medal, Drinks Business Global Low & No Alcohol Wine Masters 2023",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 꽃, 허브, 카카오, 오크","로스트비프, 소고기, 오겹살, 양고기",,,,
"이든베일, 핑크 모스카토","Edenvale, Pink Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=178084&lq=LIST,이든베일 베버리지   Edenvale Beverages,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),모스카토  (Moscato ) / 게뷔르츠트라미너 (Gewurztraminer) / 기타 품종 (Other Grapes),일반 와인으로 제작한 후 최첨단 Go/Lo 기술을 사용해 알코올을 제거,,0~1 %,8~10 ℃,"*Silver medal, Wine Showcase Magazine 2023",3/5,3/5,2/5,1/5,"체리, 복숭아, 배, 시트러스, 꽃","닭고기, 해산물, 한식, 서양요리, 복숭아",,,,
"이든베일, 프리미엄 리저브 스파클링 쉬라즈","Edenvale, Premium Reserve Sparkling Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178085&lq=LIST,이든베일 베버리지   Edenvale Beverages,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),시라/쉬라즈 (Syrah/Shiraz) / 기타 품종 (Other Grapes),일반 와인으로 제작한 후 최첨단 Go/Lo 기술을 사용해 알코올을 제거,,0~1 %,8~10 ℃,"*Best Wine Trophy, World Alcohol Free Awards 2024*Low and No Wine Trophy, IWSC 2024*Gold Medal, World Alcohol Free Awards 2024*Gold medal, IWSC 2024*Gold Medal, World Alcohol Free Awards 2023*Gold medal, IWSC 2023*Silver medal, Wine Showcase Magazine 2023",1/5,4/5,3/5,1/5,"체리, 빌베리, 시트러스, 꽃, 허브","그릴요리, 소고기, 육류요리, 돼지고기, 양갈비, 치즈",,,,
"프랭클랜드 에스테이트, 아이솔레이션 릿지 시라","Frankland Estate, Isolation Ridge Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=178086&lq=LIST,프랭클랜드 에스테이트  Frankland Estate [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia),시라/쉬라즈 (Syrah/Shiraz),각기 다른 블록에서 수확 후 상황에 맞게 천천히 블렌딩,"3,500리터 통에서 14개월간 숙성",14~15 %,16~18 ℃,"97 Points, Decanter UK, April 202497 Points, Ray Jordan, Winepilot.com 2023*95+ Points, Robert Parker Wine Advocate, April 2023*96 Points, James Halliday Wine Companion 2025*95 Points, Campbell Mattinson, The Wine Front 2023*95 Points, Stuart Know, The Real Review 2023*94 Points, Ned Goodwin MW, Jamessuckling.com 2023",1/5,3/5,4/5,4/5,"블랙커런트, 레드커런트, 체리, 라스베리, 꽃, 미네랄, 허브","그릴요리, 스테이크, 항정살, 돼지고기, 양고기",,,,
"프랭클랜드 에스테이트, 아이솔레이션 릿지 리슬링","Frankland Estate, Isolation Ridge Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=178087&lq=LIST,프랭클랜드 에스테이트  Frankland Estate [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia),리슬링 (Riesling),와이너리에서 즉석발효,"약 9개월간 리숙성, 10% 배럴숙성",13~14 %,8~10 ℃,"*97 Points, Nick Ryan, The Australian Magazine 2024*97 Points, Ray Jordan, Winepilot.com 2024*97 Points, Jeni Port, Winepilot.com 2024*96 Points, Jane Faulkner, Halliday Wine Companion 2025*95 Points, Gary Walsh, The Wine Front 2024*94 Points, Angus Hughson, Vinous 2024",1/5,3/5,1/5,1/5,"백도, 배, 사과, 열대과일, 꽃","해산물, 한식, 서양요리, 아시아요리",,,Australian Riesling,
"프랭클랜드 에스테이트, 올모즈 리워드","Frankland Estate, Olmo's Reward",https://www.wine21.com/13_search/wine_view.html?Idx=178088&lq=LIST,프랭클랜드 에스테이트  Frankland Estate [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia),카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon) / 무르베드르 (Mourvedre) / 말벡 (Malbec),27도가 넘지 않게 오픈탱크에서 천천히 발효,500리터 프렌치오크에서 약 15개월 숙성,14~15 %,16~18 ℃,"*97 Points & #7 in Top 100 AU Wines, Ned Goodwin MW, Jamessuckling.com 2023*97 Points, Ray Jordan, Winepilot.com 2023*96 Points, James Halliday Wine Companion 2024*96 Points, Decanter UK, April 2024*95 Points, Huon Hooke, The Real Review 2023*94 Points, Angus Hughson, Winepilot.com & Vinous USA 2023*92 Points, Robert Parker Wine Advocate, July 2023",1/5,3/5,4/5,4/5,"블랙커런트, 레드커런트, 블루베리, 꽃, 허브, 오크","소고기, 스테이크, 돼지고기, 하몽, 닭고기",,,,
"프랭클랜드 에스테이트, 리슬링","Frankland Estate, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=178089&lq=LIST,프랭클랜드 에스테이트  Frankland Estate [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia),리슬링 (Riesling),포도는 와이너리에서 도착 후 랙킹 전 탱크에서 자연압착. 스틸탱크에서 12-15도로 4주간 천천히 발효,약 8개월간 리숙성,13~14 %,8~10 ℃,"*93 Points, Jane Faulkner*93 Points, James Halliday Wine Companion 2024*90 Points, Angus Hughson*90 Points, Vinous 2024",1/5,3/5,1/5,1/5,"모과, 백도, 배, 사과, 열대과일, 꽃","생선회, 해산물, 서양요리, 아시아요리",,,,
"프랭클랜드 에스테이트, 쉬라즈","Frankland Estate, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178090&lq=LIST,프랭클랜드 에스테이트  Frankland Estate [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia),시라/쉬라즈 (Syrah/Shiraz) / 투리가 나시오날 (Touriga Nacional) / 비오니에 (Viognier),28도가 넘지않게 오픈탱크에서 천천히 발효,500리터 프렌치 오크에서 약 14개월간 숙성,14~15 %,16~18 ℃,"*93 Points, Jane Faulkner*93 Points, Halliday Wine Companion 2025",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 꽃, 허브","살치살, 로스트비프, 포크, 양고기, 건육",,,Australian Shiraz,
"프랭클랜드 에스테이트, 카베르네 소비뇽","Frankland Estate, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178091&lq=LIST,프랭클랜드 에스테이트  Frankland Estate [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec) / 무르베드르 (Mourvedre),27도를 넘지않게 오픈탱크에서 천천히 발효,500리터 프렌치 오크 숙성,14~15 %,16~18 ℃,"*91 Points, Jane Faulkner*91 Points, Halliday Wine Companion 2025",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 꽃, 피망, 후추, 허브","로스트비프, 스테이크, 바비큐, 햄, 양갈비, 하몽",,,,
"틸리 제이 와인스, 야라 밸리 샤도네이","Tillie J Wines, Yarra Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=178092&lq=LIST,틸리 제이 와인즈  Tillie J Wines [B2B],호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),샤도네이 (Chardonnay),프렌치 오크 배럴 발효. 리 첨가 후 추가 발효.,8 개월 간 리 숙성 후 병입.,12~13 %,10~12 ℃,* The Wine Front - 95점,1/5,3/5,3/5,1/5,"시트러스, 레몬, 망고, 멜론, 아카시아, 꽃, 오크","돼지고기, 생선회, 연어, 참치, 해산물, 오일파스타, 중국요리, 샐러드",,,Australian Chardonnay,
"양가라 에스테이트, 올드 바인 그르나슈","Yangarra Estate, Old Vine Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=178093&lq=LIST,양가라 에스테이트 빈야드   Yangarra Estate Vineyard [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),그르나슈 (Grenache),손 수확 후 부드럽게 압착. 50% 줄기제거,프렌치와 오스트리아 오크에서 숙성,13~14 %,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 블루베리, 라스베리, 시트러스, 꽃, 허브","스테이크, 돼지고기, 양갈비, 가금류, 중국요리",,,,
"양가라 에스테이트, 후싼","Yangarra Estate, Roussanne",https://www.wine21.com/13_search/wine_view.html?Idx=178094&lq=LIST,양가라 에스테이트 빈야드   Yangarra Estate Vineyard [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),루산느 (Roussanne),이산화황 무첨가,MLF 하지 않으면 프렌츠 오크에서 8개월 리숙성,13~14 %,10~12 ℃,"*95 Points - Campbell Mattinson, The Wine Front, Sep 2024*95 Points - Marcus Ellis, Halliday Wine Companion, Oct 2024",1/5,3/5,3/5,3/5,"백도, 복숭아, 배, 사과, 시트러스, 열대과일","닭고기, 생선회, 한식, 아시아요리, 복숭아",,,,
"틸리 제이 와인즈, 킹 밸리 알리고떼","Tillie J Wines, King Valley Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=178095&lq=LIST,틸리 제이 와인즈  Tillie J Wines [B2B],호주(Australia) / 빅토리아(Victoria) / 킹 밸리(King Valley),알리고테 (Aligote),전송이 압착. 프렌치 오크 바리끄 발효. 리 발효.,8개월 간 리 숙성.,13~14 %,8~10 ℃,,1/5,4/5,3/5,1/5,"배, 사과, 흰꽃, 꽃, 비스켓","생선회, 참치, 해산물, 오일파스타, 샐러드",,,,
"틸리 제이 와인즈, 안나스 로제","Tillie J Wines, Anna's Rose",https://www.wine21.com/13_search/wine_view.html?Idx=178096&lq=LIST,틸리 제이 와인즈  Tillie J Wines [B2B],호주(Australia) / 빅토리아(Victoria) / 히스코트(Heathcôte),시라/쉬라즈 (Syrah/Shiraz),"전송이 압착,  탱크 발효.",,13~14 %,10~12 ℃,,1/5,3/5,3/5,2/5,"딸기, 라스베리, 꽃, 허브","돼지고기, 닭고기, 치킨, 스시, 생선회, 참치, 해산물, 오일파스타, 중국요리, 스낵",,,,
"양가라 에스테이트, 쉬라즈","Yangarra Estate, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178097&lq=LIST,양가라 에스테이트 빈야드   Yangarra Estate Vineyard [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz),야생효모 및 껍질 침용 15일,프렌치 오크 13개월 리숙성,14~15 %,16~18 ℃,"*95 Points – Marcus Ellis, Halliday Wine Companion, August 2024*93 Points – Huon Hooke, The Real Review, August 2024*93 Points – Stuart Knox, The Real Review, January 2024*93 Points – Ned Goodwin, JamesSuckling.com, February 2024",1/5,3/5,4/5,4/5,"블랙커런트, 레드커런트, 블랙베리, 꽃, 허브","로스트비프, 항정살, 양고기",,,Australian Shiraz,
"자이언트 스텝스, 야라 밸리 샤도네이","Giant Steps, Yarra Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=178098&lq=LIST,자이언트 스텝스   Giant Steps [B2B],호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),샤르도네 (Chardonnay),손 수확 후 송이째로 압착. 야생효모로 10일간 발효,"15% 뉴오크 사용, 리숙성 후 블렌딩 및 병입",12~13 %,8~10 ℃,"*95 Points - Campbell Mattinson, The Wine Front, Sep 2024*95 Points - Marcus Ellis, Halliday Wine Companion, Oct 2024",1/5,3/5,2/5,1/5,"청사과, 배, 사과, 꽃, 오크","해산물, 한식, 서양요리, 아시아요리, 튀김",,,Australian Chardonnay,
"자이언트 스텝스, 야라 밸리 피노누아","Giant Steps, Yarra Valley Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178099&lq=LIST,자이언트 스텝스   Giant Steps [B2B],호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,"*96 Points – Philip Rich, Halliday Wine Companion, April 2024*Gold Medal – 2024 Sydney Royal Wine Show*Gold Medal – Royal Queensland Wine Awards",1/5,3/5,3/5,2/5,"딸기, 라스베리, 빌베리, 꽃, 허브","로스트비프, 항정살, 양고기, 하몽",,,,
