와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,알코올
"로랑 뻬라숑, 쥘리에나 레 비뉴 상뜨네","Domaine Laurent Perrachon, Julienas Les Vignes Centenaires",https://www.wine21.com/13_search/wine_view.html?Idx=167398&lq=LIST,도멘 로랑 뻬라숑  Domaine Laurent Perrachon,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 쥘리에나(Julienas),가메이 (Gamay),,Juliénas AOC(AOP),,,14~16 ℃,"파스타, 치즈, 샤퀴테리 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,,"파스타, 치즈",,
"테데스키, 라 파브리세리아 발폴리첼라 클라시코 수페리오레","Tedeschi, La Fabriseria Valpolicella Classico Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=167399&lq=LIST,테데스키  Tedeschi,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) 40% / 코르비노네 (Corvinone) 40% / 론디넬라 (Rondinella) 15% / 오세레타 (Oseleta) 5%,,Valpolicella DOC(DOP),,,16~18 ℃,"붉은 육류, 스테이크, 숙성된 치즈 등과 잘 어울린다.",(주)와이넬,1/5,3/5,4/5,4/5,"체리, 자두, 미네랄, 바닐라, 오크","스테이크, 자두, 치즈",* 2016 빈티지 - Falstaff Magazine 94점* 2016 빈티지 - 2020 Korea Wine Challenge(KWC) - Gold Medal,
"테데스키, 마르네 180 아마로네 델라 발폴리첼라","Tedeschi, Marne 180 Amarone della Valpolicella",https://www.wine21.com/13_search/wine_view.html?Idx=167400&lq=LIST,테데스키  Tedeschi,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 기타 품종 (Other Grapes),,Amarone della Valpolicella DOCG(DOP),,,16~18 ℃,"로스트 치킨, 버섯을 곁들인 스테이크, 숙성 치즈 등과 잘 어울린다.",(주)와이넬,1/5,3/5,5/5,4/5,"건포도, 바닐라, 오크","스테이크, 치킨, 버섯, 치즈","* 2017 빈티지 - Wine Spectator TOP 100 - 56위/93점* 2015 빈티지: Wine Advocate 94점, Wine Spectator 91점* 2014 빈티지: James Suckling 91점",
"테누타 부온 템포, 로쏘 디 몬탈치노","Tenuta Buon Tempo, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=167402&lq=LIST,테누타 부온 템포  Tenuta Buon Tempo,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 그로쏘  (Sangiovese Grosso) 100%,,Rosso di Montalcino DOC(DOP),,,16~18 ℃,"신선한 야채를 곁들인 프로슈토, 살라미, 햄, 토마토 베이스의 파스타 등과 잘 어울린다.",(주)와이넬,1/5,4/5,3/5,3/5,"체리, 후추, 오크","햄, 파스타, 야채",*2018 빈티지: Antonio Galloni Vinous 91점*2016 빈티지:	Decanter World Wine Awards 89점*2015 빈티지: James Suckling 91점,
"테누타 부온 템포, 브루넬로 디 몬탈치노","Tenuta Buon Tempo, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=167403&lq=LIST,테누타 부온 템포  Tenuta Buon Tempo,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 그로쏘  (Sangiovese Grosso) 100%,,Brunello di Montalcino DOCG(DOP),,,16~18 ℃,"치즈, 토마토 바질을 얹은 피자, 피오렌티나 스테이크 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,4/5,"자두, 꽃, 미네랄, 로즈마리, 오크","스테이크, 피자, 자두, 치즈","*2015 빈티지: James Suckling 94점, Antonio Galloni Vinous 91점, Jancis Robinson 16.5점*2013 빈티지: James Suckling 93점",
"테누타 부온 템포, 브루넬로 디 몬탈치노 p.56","Tenuta Buon Tempo, Brunello di Montalcino p.56",https://www.wine21.com/13_search/wine_view.html?Idx=167404&lq=LIST,테누타 부온 템포  Tenuta Buon Tempo,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 그로쏘  (Sangiovese Grosso) 100%,,Brunello di Montalcino DOCG(DOP),,,16~18 ℃,"스테이크, 양갈비 등과 잘 어울린다.",(주)와이넬,1/5,4/5,5/5,4/5,"딸기, 꽃, 미네랄","스테이크, 양갈비",,
"말도나도, 파 빈야드 샤도네이","Maldonado, Parr Vineyard, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167405&lq=LIST,말도나도 빈야즈  Maldonado Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 나이츠 밸리(Knights Valley),샤르도네 (Chardonnay) 100%,,Knights Valley AVA,100% malolactic 발효,14개월 동안 French oak에서 숙성,10~12 ℃,"치즈, 해산물, 샐러드 등과 잘 어울린다.",와인투유코리아,1/5,3/5,4/5,1/5,"멜론, 바닐라, 브리오슈","해산물, 샐러드, 치즈",,14~15 %
"레 파셀레르 드 쏘, 부르고뉴 샤르도네","Les Parcellaire de Saulx, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167406&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),샤르도네 (Chardonnay) 100%,,Bourgogne AOC(AOP),,,10~12 ℃,"흰살 육류, 리조또, 초밥, 염소 치즈 등과 잘 어울린다.",(주)와이넬,1/5,3/5,2/5,1/5,"미네랄, 토스트, 오크","초밥, 리조또, 치즈",,
"레 파셀레르 드 쏘, 부르고뉴 피노 누아","Les Parcellaire de Saulx, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167407&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,Bourgogne AOC(AOP),,,14~16 ℃,"와인 소스를 얹은 참치 필레, 양갈비 스테이크, 등심 스테이크 등과 잘 어울린다.",(주)와이넬,1/5,4/5,3/5,3/5,"후추, 오크","양갈비, 참치",,
"레 파셀레르 드 쏘, 페르낭 베르쥴레스 '수 르 부아 드 노엘'","Les Parcellaire de Saulx, Pernand Vergelesses 'Sous le Bois de Noel'",https://www.wine21.com/13_search/wine_view.html?Idx=167408&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),샤르도네 (Chardonnay) 100%,,"Pernand-Vergelesses AOC(AOP), 'Sous le Bois de Noël et Belles Filles'",,,10~12 ℃,"초밥, 화이트 소스 해산물 파스타, 리조또, 그뤼에르 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,1/5,오크,"초밥, 해산물","*2017 빈티지: Dacanter 93점, Jancis Robinson 17+점",
"레 파셀레르 드 쏘, 뫼르소 '레 나르보'","Les Parcellaire de Saulx, Meursault 'Les Narvaux'",https://www.wine21.com/13_search/wine_view.html?Idx=167409&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,"Meursault AOC(AOP), 'Les Narvaux'",,,10~12 ℃,"랍스터, 로스트 치킨, 화이트 소스를 얹은 송아지 구이, 블루치즈, 푸아그라 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,1/5,"꽃, 헤이즐넛","송아지, 랍스터",,
"레 파셀레르 드 쏘, 뫼르소 프리미에 크뤼 '레 뽀뤼조'","Les Parcellaire de Saulx, Meursault 1er Cru 'Les Poruzots'",https://www.wine21.com/13_search/wine_view.html?Idx=167410&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,"Meursault 1er Cru AOC(AOP), 'Le Porusot'",,,12~14 ℃,"버터로 조리한 왕새우와 랍스터, 푸아그라, 오븐에 조리한 가금류, 염소젖 치즈 등과 잘 어울린다.",(주)와이넬,1/5,5/5,4/5,1/5,"꽃, 부싯돌, 헤이즐넛",치즈,*2017 빈티지: Decanter 95점,
"레 파셀레르 드 쏘, 샤샤뉴 몽라셰 프리미에 크뤼 '모르조'","Les Parcellaire de Saulx, Chassagne Montrachet 1er Cru 'Morgeot'",https://www.wine21.com/13_search/wine_view.html?Idx=167411&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Morgeot'",,,10~12 ℃,"흰살 생선 요리, 버터로 조리한 랍스터, 푸아그라 등과 잘 어울린다.",(주)와이넬,1/5,5/5,4/5,1/5,"배, 꽃, 미네랄, 아몬드, 오크, 꿀","푸아그라, 랍스터",*2017 빈티지: Jancis Robinson 17+점,
"레 파셀레르 드 쏘, 샤샤뉴 몽라셰 프리미에 크뤼 '끌로 생 장'","Les Parcellaire de Saulx, Chassagne Montrachet 1er Cru 'Clos St Jean'",https://www.wine21.com/13_search/wine_view.html?Idx=167412&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Clos Saint-Jean'",,,10~12 ℃,"채소, 고기, 쿠스쿠스, 카레, 아시안요리, 연어, 랍스터 등과 잘 어울린다.",(주)와이넬,1/5,5/5,4/5,1/5,"라임, 미네랄, 오크","연어, 랍스터, 채소",*2017 빈티지: Decanter 95점,
"레 파셀레르 드 쏘, 본 '레 프레볼'","Les Parcellaire de Saulx, Beaune 'Les Prévoles'",https://www.wine21.com/13_search/wine_view.html?Idx=167413&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 본(Beaune),피노 누아 (Pinot Noir) 100%,,Beaune AOC(AOP),,,14~16 ℃,"꿩, 메추리 등의 야생 가금류, 에뿌아스, 묑스테르 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,3/5,3/5,"꽃, 오크",가금류,,
"레 파셀레르 드 쏘, 볼네","Les Parcellaire de Saulx, Volnay",https://www.wine21.com/13_search/wine_view.html?Idx=167414&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,,Volnay AOC(AOP),,,14~16 ℃,"라즈베리 소스를 올린 오리 콩피, 오븐에 조리한 돼지고기 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,오크,,"*2017 빈티지: Jancins Robinson 17.5점, Decanter 90점",
"레 파셀레르 드 쏘, 모레이 생 드니","Les Parcellaire de Saulx, Morey Saint Denis",https://www.wine21.com/13_search/wine_view.html?Idx=167415&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir) 100%,,Morey-Saint-Denis AOC(AOP),,,14~16 ℃,"찌거나 구워서 요리한 꿩 등의 가금류, 양갈비, 비프 스테이크 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,"체리, 오크","양갈비, 가금류",*2017 빈티지: Jancis Robinson 17점,
"레 파셀레르 드 쏘, 본 로마네","Les Parcellaire de Saulx, Vosne Roamnee",https://www.wine21.com/13_search/wine_view.html?Idx=167416&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir) 100%,,Vosne-Romanée AOC(AOP),,,14~16 ℃,"오븐에 조리한 양고기, 육즙이 풍부한 소고기 등심 스테이크, 푸아그라 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,"레드커런트, 꽃, 오크","양고기, 푸아그라",,
"레 파셀레르 드 쏘, 뉘 생 조르쥬","Les Parcellaire de Saulx, Nuits Saint Georges",https://www.wine21.com/13_search/wine_view.html?Idx=167417&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir) 100%,,Nuits-Saint-Georges AOC(AOP),,,14~16 ℃,"와인 소스를 곁들인 생선 요리, 양고기, 소고기 등의 붉은 육류, 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,오크,"소고기, 양고기, 치즈",*2017 빈티지: Decanter 92점,
"레 파셀레르 드 쏘, 뉘 생 조르쥬 프리미에 크뤼 '레 뮈르제'","Les Parcellaire de Saulx, Nuits Saint Georges 1er Cru 'Les Murgers'",https://www.wine21.com/13_search/wine_view.html?Idx=167418&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir) 100%,,"Nuits-Saint-Georges 1er Cru AOC(AOP), 'Aux Murgers'",,,14~16 ℃,"양갈비 스테이크, 티본 스테이크, 에뿌아스, 랑그르 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,5/5,3/5,"체리, 오크","스테이크, 양갈비",*2017 빈티지: Decanter 94점,
"레 파셀레르 드 쏘, 쥬브리 샹베르땅","Les Parcellaire de Saulx, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=167419&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,Gevrey-Chambertin AOC(AOP),,,14~16 ℃,"와인 소스를 곁들인 소고기와 양갈비 스테이크, 에뿌아스 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,"블랙베리, 오크",양갈비,"*2017 빈티지: Jancis Robinson 17점, Decanter 94점",
"레 파셀레르 드 쏘, 쥬브리 샹베르땅 프리미에 크뤼 '레 꼬르보'","Les Parcellaire de Saulx, Gevrey Chambertin 1er cru 'Les Corbeaux'",https://www.wine21.com/13_search/wine_view.html?Idx=167420&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,"Gevrey-Chambertin 1er Cru AOC(AOP), 'Les Corbeaux'",,,14~16 ℃,"소고기 찜, 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,오크,"소고기, 치즈",,
"레 파셀레르 드 쏘, 쥬브리 샹베르땅 프리미에 크뤼 '퐁트니'","Les Parcellaire de Saulx, Gevrey Chambertin 1er cru 'Fonteny'",https://www.wine21.com/13_search/wine_view.html?Idx=167421&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,"Gevrey-Chambertin 1er Cru AOC(AOP), 'Fonteny'",,,14~16 ℃,"헤이즐넛 소스를 곁들인 에스카르고, 송아지 스테이크 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,"레몬, 미네랄, 허브, 오크",,*2017 빈티지: Dacanter 95점,
"레 파셀레르 드 쏘, 샤펠 샹베르땅 그랑 크뤼","Les Parcellaire de Saulx, Chapelle Chambertin Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=167422&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,Chapelle-Chambertin Grand Cru AOC(AOP),,,14~16 ℃,"그레이비 소스를 곁들인 양고기 스테이크, 레드 와인 소스를 올린 닭 안심 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,4/5,오크,양고기,,
"레 파셀레르 드 쏘, 꼬르통 그랑 크뤼 '레 페리에르'","Les Parcellaire de Saulx, Corton Grand Cru 'Les Perrières'",https://www.wine21.com/13_search/wine_view.html?Idx=167423&lq=LIST,레 파셀레르 드 쏘  Les Parcellaires de Saulx,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,,,,,14~16 ℃,"오븐 혹은 그릴에 조리한 소고기, 야생 사냥 고기, 블루 치즈 등과 잘 어울린다.",(주)와이넬,1/5,4/5,4/5,3/5,오크,"소고기, 치즈",*2017 빈티지: Decanter 93점,
"도멘 데 쉐조, 샹볼 뮈지니 프르미에르 크뤼 '레 샤름'","Domaine des Chezeaux, Chambolle-Musigny 1er Cru 'Les Charmes'",https://www.wine21.com/13_search/wine_view.html?Idx=167424&lq=LIST,도멘 데 쉐조   Domaine des Chezeaux,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),,"Chambolle-Musigny 1er Cru AOC(AOP), 'Les Charmes'",,,14~16 ℃,"오리고기, 파스타, 치즈 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,,"오리고기, 파스타, 치즈",,
"리니에 미쉘로, 부르고뉴 피노 누아","Lignier Michelot, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167425&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),,Bourgogne AOC(AOP),,,14~16 ℃,"치즈, 오리고기 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,오크,"오리고기, 치즈",,
"리니에 미쉘로, 모레 생 드니 프리미에르 크뤼 오 세죠","Lignier Michelot, Morey Saint Denis 1er cru Aux Cheseaux",https://www.wine21.com/13_search/wine_view.html?Idx=167426&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),,"Morey-Saint-Denis 1er Cru AOC(AOP), 'Aux Cheseaux'",,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,"블랙베리, 오크","오리고기, 치즈",,
"리니에 미쉘로, 샹볼 뮈지니 프리미에르 크뤼 퀴베 쥴","Lignier Michelot, Chambolle Musigny 1er cru Cuvee Jules",https://www.wine21.com/13_search/wine_view.html?Idx=167427&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),,Chambolle-Musigny 1er Cru AOC(AOP),,,14~16 ℃,"오리고기, 치즈, 아시안요리 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,"미네랄, 오크","오리고기, 치즈",,
"리니에 미쉘로, 클로 드 라 로슈 그랑 크뤼","Lignier Michelot, Clos de la Roche Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=167428&lq=LIST,도멘 리니에 미쉘로  Domaine Lignier Michelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir),,Clos de La Roche Grand Cru AOC(AOP),,,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",에노테카코리아,1/5,4/5,4/5,4/5,"꽃, 오크, 가죽","오리고기, 치즈",,
