와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"바벤코프, 꼬또 부르기뇽 블랑","Bavencoff, Coteaux Bourguignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175149&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),20년 수령의 나무에서 재배된 포도를 수확하여 전통적 방법으로 양조.,스테인리스 스틸 통에서 발효 및 숙성 후 병입.,,10~12 ℃,"치킨, 닭강정, 오리로스, 회, 해산물, 굴, 치즈, 오일파스타 등과 잘 어울린다.",비노에이치,1/5,3/5,3/5,1/5,"시트러스, 자몽, 감귤, 레몬, 흰꽃, 꽃, 미네랄","닭강정, 닭고기, 오리로스, 생선회, 해산물, 생굴, 견과류, 치즈",,Burgundy White,
"바벤코프, 꼬또 부르기뇽 루즈","Bavencoff, Coteaux Bourguignon Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=175150&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 가메이 (Gamay),20년 수령의 나무에서 재배된 포도를 수확하여 전통적 방법으로 양조.,스테인리스 스틸 통에서 발효 및 숙성 후 병입.,,14~16 ℃,"삼겹살, 베이컨, 로스트치킨, 연어, 참치, 초밥, 수육, 만두, 물냉면, 크림치즈 등과 잘 어울린다.",비노에이치,1/5,4/5,2/5,2/5,"블랙커런트, 블랙베리, 블루베리, 붉은꽃, 꽃, 허브","베이컨, 삼겹살, 돼지고기, 닭고기, 오리로스, 치킨, 연어, 참치, 편육, 만두, 수육, 오일파스타, 서양요리, 치즈, 리코타, 크림치즈",,,
"바벤코프, 부르고뉴 샤도네이","Bavencoff, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175151&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),20년 수령의 나무에서 재배된 포도를 수확하여 전통적 방법으로 양조.,스테인리스 스틸 통에서 발효 및 숙성 후 병입.,,10~12 ℃,,비노에이치,1/5,3/5,3/5,1/5,"시트러스, 라임, 레몬, 열대과일, 꽃, 미네랄","돼지고기, 건육, 닭고기, 오리로스, 초밥, 생선회, 해산물, 오일파스타, 중국요리, 동남아요리, 아시아요리, 샐러드, 과일, 치즈, 리코타",,Burgundy White,
"바벤코프, 부르고뉴 피노누아","Bavencoff, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=175152&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),20년 수령의 나무에서 재배된 포도를 수확하여 전통적 방법으로 양조.,10~12개월 간 스테인리스 스틸 통(80%)과 오크 배럴(20%)에서 발효 및 숙성 후 병입.,,14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",비노에이치,1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 장미, 꽃, 후추, 시나몬, 오크","로스트비프, 까르파치오, 돼지고기, 건육, 훈제오리, 닭고기, 오리로스, 참치, 족발, 편육, 수육, 크림파스타, 서양요리, 치즈, 파르미지아노, 그라노파다노, 콩테",,Burgundy Red,
"바벤코프, 뉘 생 조르쥬","Bavencoff, Nuits Saint Georges",https://www.wine21.com/13_search/wine_view.html?Idx=175153&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),25년 수령의 나무에서 재배된 포도를 수확하여 전통적 방법으로 양조.,10~12개월 간 스테인리스 스틸 통(80%)과 오크 배럴(20%)에서 발효 및 숙성 후 병입.,,14~16 ℃,,비노에이치,1/5,4/5,2/5,2/5,"블랙커런트, 블랙체리, 블랙베리, 딸기, 크랜베리, 라스베리, 꽃, 바닐라, 카라멜","로스트비프, 까르파치오, 소고기, 건육, 훈제오리, 닭고기, 오리로스, 참치, 불고기, 한식, 크림파스타, 서양요리, 치즈, 파르미지아노, 그라노파다노",,,
"바벤코프, 쥬브레 샹베르땡","Bavencoff, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=175154&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),25년 수령의 나무에서 재배된 포도를 수확하여 전통적 방법으로 양조.,8~12개월 간 오크 배럴에서 발효 및 숙성 후 병입.,,14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",비노에이치,1/5,4/5,3/5,2/5,"블랙체리, 블랙베리, 딸기, 제비꽃, 장미, 감초, 타바코, 가죽, 흙","로스트비프, 까르파치오, 소고기, 바비큐, 돼지고기, 양꼬치, 건육, 닭강정, 찜닭, 참치, 한식, 편육, 수육, 크림파스타, 송이버섯, 치즈, 파르미지아노, 그라노파다노, 콩테",,Burgundy Côte de Nuits Red,
"바벤코프, 뫼르소","Bavencoff, Meursault",https://www.wine21.com/13_search/wine_view.html?Idx=175155&lq=LIST,바벤코프  Bavencoff,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),신선한 과즙을 위해 양조장에 도착하자 마자 포도를 압착하여 스테인리스 스틸 통에서 16도 온도에서 알코올 발효.,8~10개월 오크배럴 숙성 후 병입.,,10~12 ℃,,비노에이치,1/5,3/5,3/5,1/5,"살구, 복숭아, 아카시아, 흰꽃, 꽃, 아몬드","돼지고기, 건육, 닭고기, 오리로스, 생선구이, 해산물, 동그랑땡, 만두, 오일파스타, 서양요리, 중국요리, 튀김, 견과류",,Burgundy White,
"샴페인 뵈브 두쏘, 트라디씨옹 브뤼","Champagne Veuve Dussot, Tradition Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175156&lq=LIST,샴페인 뵈브 두쏘   Champagne Veuve Doussot,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,"생산 구획 별로 수확한 포도는 세심하게 분류를 하고 1차, 2차 발효 및 총 18개월 숙성 과정을 거친 후 병입.",,8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",비노에이치,1/5,4/5,3/5,1/5,"시트러스, 자몽, 레몬, 페이스트리, 브리오슈, 비스켓","돼지고기, 건육, 초밥, 생선회, 해산물, 킹크랩, 오일파스타, 서양요리, 중국요리, 탕수육, 아시아요리, 튀김, 식전주, 치즈, 리코타, 모짜렐라, 타르트, 티라미수",* GOLD - Concours International de Lyon 2016 & 2022* GOLD - Gilbert & Gillard 2015* GOLD - Concours des vins Féminalise 2015* SILVER - Concours des Oenologues de France 2020* 1 Etoile - Le Guide Hachette des vins 2015* 90 pts - Burghound.com* 92 pts - Stephen Tanzer* 16/20 - Jancis Robinson 2015,French Champagne,Champagne AOC(AOP)
"볼레로, 골든블랑 빈티지 세븐스타","Vollereaux, Golden Blacn Vintage Seven Stars",https://www.wine21.com/13_search/wine_view.html?Idx=175157&lq=LIST,볼레로  Vollereaux,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,,12~13 %,8~10 ℃,"스테이크나 오리고기, 트러플이든 리조또와 같은 쌀요리나 치즈요리",,1/5,4/5,3/5,1/5,"살구, 서양배, 시트러스, 열대과일, 페이스트리, 브리오슈, 오크, 꿀","까르파치오, 스테이크, 돼지고기, 건육, 오리고기, 초밥, 장어구이, 장어, 해산물, 동그랑땡, 순대, 라자냐, 서양요리, 리조또, 중국요리, 식전주, 치즈, 리코타, 콩테","* 프레스티지 퀴베급 샴페인의 캐릭터를 온전히 경험할 수 있는 빈티지 샴페인.* 골든블랑의 뮤즈이자 상징인 페가수스가 새겨진 순금 99.9% 팬던트가 달려있어 제품의 화려함을 더하며, 1천병 한정 생산됨.",French Champagne,Champagne AOC(AOP)
"볼레로, 골든블랑 빈티지 식스스타","Vollereaux, Golden Blacn Vintage Six Stars",https://www.wine21.com/13_search/wine_view.html?Idx=175158&lq=LIST,볼레로  Vollereaux,프랑스(France) / 샹빠뉴(Champagne),,,,12~13 %,8~10 ℃,"각종 에피타이저,  생선이나 흰살 고기로 만든 모든 음식, 캐비어, 신선한 해산물 등",,1/5,4/5,3/5,1/5,"자두, 복숭아, 서양배, 시트러스, 흰꽃, 꽃, 미네랄","까르파치오, 돼지고기, 건육, 후라이드, 오리고기, 오리로스, 스시, 초밥, 생선회, 해산물, 동그랑땡, 잡채, 한식, 오일파스타, 서양요리, 중국요리, 아시아요리, 식전주, 자두, 복숭아, 과일, 치즈, 리코타, 콩테, 모짜렐라","* '100년 이래 최고의 빈티지'라 불리는 2015년 생산된 샤르도네, 피노누아 그리고 피노뫼니에를 블렌딩하여 화사한 빈티지 샴페인의 캐릭터를 잘 살렸음.* 4천병 한정 생산.",French Champagne,Champagne AOC(AOP)
"마이클 몬다비, 캔버스 까베르네 소비뇽","Michael Mondavi, Canvas Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175159&lq=LIST,마이클 몬다비 패밀리  Michael Mondavi Family,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,"소고기, 스테이크, 양갈비, 바비큐, 불고기, 족발, 파스타, 햄버거, 버섯, 다양한 치즈 등과 잘 어울린다.",동원와인플러스,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 타바코, 오크","소고기, 스테이크, 바비큐, 양갈비, 불고기, 족발, 파스타, 햄버거, 트러플, 치즈",,Californian Cabernet Sauvignon,California AVA
"마이클 몬다비, 캔버스 샤도네이","Michael Mondavi, Canvas Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175160&lq=LIST,마이클 몬다비 패밀리  Michael Mondavi Family,미국(U.S.A) / 캘리포니아(California),,,,12~13 %,6~8 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타, 잡채, 만두 등과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"사과, 꽃, 오크","오리고기, 오리로스, 가금류, 치킨, 장어구이, 해산물, 잡채, 만두, 파스타, 오일파스타, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 스모크",* 마이클 몬다비와 하얏트 호텔 그룹의 협업으로 탄생한 모던 프리미엄 샤도네이,Californian Chardonnay,California AVA
"보글 빈야드, 트웬티 에이커 바이 보글 까베르네 소비뇽","Bogle Vineyards, Twenty Acres by Bogle Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175161&lq=LIST,보글 빈야드  Bogle Vineyards,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah),,올드 미국 오크 배럴 12개월 숙성+뉴 프렌치 오크 배럴 2개월 숙성,13~14 %,16~18 ℃,"블루치즈 립아이스테이크, 프로볼로네치즈, 다크 초코무스와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 블루베리, 크랜베리, 라스베리, 후추, 바닐라, 삼나무","그릴요리, 로스트비프, 스테이크, 불고기, 양념갈비, 치즈, 블루치즈, 초콜릿",,Californian Red Blend,California AVA
"듀런트 앤 부스, 카베르네 쇼비뇽","Durant & Booth, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175162&lq=LIST,듀런트 앤 부스  Durant & Booth,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 카베르네 프랑 (Cabernet Franc),,,14~15 %,16~18 ℃,,와인투유코리아,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 블루베리, 자두, 바닐라, 토스트, 삼나무, 연기, 모카, 커피, 오크","소고기, 스테이크, 육류요리, 꼬치구이, 바비큐, 양갈비, 양고기, 양념갈비, 갈비찜, 족발, 한식, 크림파스타, 햄버거, 서양요리, 피자, 랑그르, 치즈, 체다, 테트드무안","* Opus One, Robert Mondavi로 유명한 고급 와인 생산지 Oakville에 설립한 세계적인 와인 브랜드* 나파밸리의 진가를 알아본 부르고뉴 랭킹 1위의 와인 기업 Boisset의 새로운 포트폴리오* 유서깊은 나파의 상징적인 건물에 영감을 받아 탄생한 브랜드",Californian Cabernet Sauvignon,
"보글 빈야드, 트웬티 에이커 바이 보글 샤도네이","Bogle Vineyards, Twenty Acres by Bogle Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175163&lq=LIST,보글 빈야드  Bogle Vineyards,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County),샤르도네 (Chardonnay) / 슈냉 블랑 (Chenin Blanc),,"54% 뉴 아메리칸 오크, 28% 뉴올드 프렌치 오크 조합 숙14개월 숙성. 슈냉블랑 100% 스테인리스 숙성",13~14 %,10~12 ℃,"신선한 해산물, 닭가슴살 샐러드, 애플파이와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"청사과, 서양배, 바닐라, 버터, 크림","닭고기, 해산물, 생굴, 샐러드, 타르트, 페스트리",,Californian White Blend,California AVA
"실레누스 와이너리, 실레누스 리저브 까베르네 소비뇽","Silenus Winery, Silenus Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175164&lq=LIST,실레누스 와이너리  Silenus Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크 놀 디스트릭트 오브 나파 밸리(Oak Knoll District of Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,"80%는 새 프렌치 오크, 10% 새 아메리칸 오크에서 28개월 간 숙성",14~15 %,16~18 ℃,"붉은 육류고기, 가벼운 스타일의 치즈와 잘 어울린다.",동원와인플러스,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 체리, 크랜베리, 자두, 석류, 바닐라","샤브샤브, 육회, 육류요리, 붉은육류, 베이컨, 꼬치구이, 소시지, 햄, 살라미, 하몽, 프로슈토, 동그랑땡, 자두, 치즈, 리코타, 크림치즈, 모짜렐라",,Napa Valley Cabernet Sauvignon,Oak Knoll District of Napa Valley AVA
"실레누스 와이너리, 실레누스 오크놀 까베르네 소비뇽","Silenus Winery, Silenus Oak Knoll Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175165&lq=LIST,실레누스 와이너리  Silenus Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크 놀 디스트릭트 오브 나파 밸리(Oak Knoll District of Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot),,"60% 새 프렌치 오크통, 5% 새 아메리칸 오크통, 35% 재사용 오크통에서 22개월간 숙성",14~15 %,16~18 ℃,"붉은 육류 고기, 가벼운 스타일의 치즈와 잘 어울린다.",동원와인플러스,1/5,4/5,4/5,4/5,"블랙체리, 블랙베리, 자두, 장미, 바닐라","미트, 샤브샤브, 육회, 붉은육류, 살라미, 하몽, 프로슈토, 동그랑땡, 만두, 자두, 치즈, 리코타, 크림치즈, 모짜렐라",,Napa Valley Cabernet Sauvignon,Oak Knoll District of Napa Valley AVA
"실레누스 와이너리, 실레누스 오크놀 멜롯","Silenus Winery, Silenus Oak Knoll Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=175166&lq=LIST,실레누스 와이너리  Silenus Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크 놀 디스트릭트 오브 나파 밸리(Oak Knoll District of Napa Valley),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,"40% 새 프렌치 오크통, 10% 새 아메리칸 오크통, 50% 재사용 오크통에서 22개월간 숙성",14~15 %,16~18 ℃,"티본 스테이크, 구운 치킨 요리와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,"블루베리, 크랜베리, 자두, 후추, 바닐라, 코코아","그릴요리, 등심, 안심, 스테이크, 바비큐, 항정살, 오겹살, 삼겹살, 훈제오리, 닭고기, 치킨, 난자완스, 자두",,Napa Valley Bordeaux Blend,Oak Knoll District of Napa Valley AVA
"실레누스 와이너리, 실레누스 오크놀 샤도네이","Silenus Winery, Silenus Oak Knoll Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175167&lq=LIST,실레누스 와이너리  Silenus Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크 놀 디스트릭트 오브 나파 밸리(Oak Knoll District of Napa Valley),샤르도네 (Chardonnay),,30% 새 프렌치 오크통에서 앙금과 함께 10개월간 숙성,14~15 %,6~8 ℃,"프렌치 프라이드 치킨, 가벼운 샐러드와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"청사과, 배, 레몬껍질, 레몬, 멜론, 바닐라","후라이드, 치킨, 나물, 볶음밥, 물냉면, 양장피, 샐러드, 치즈",,Napa Valley Chardonnay,Oak Knoll District of Napa Valley AVA
"오닐 빈트너스, 하켄 샤도네이","O'Neill Vintners, Harken Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175168&lq=LIST,오닐 빈트너스  O'Neill Vintners,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),"100% 배럴 발효, 젖산 발효","50% 프렌치 오크통, 50% 아메리칸 오크통에서 8개월간 숙성",13~14 %,6~8 ℃,"프렌치 후라이드 치킨, 햄버거와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"배, 열대과일, 토스트, 삼나무, 버터, 크림","삼계탕, 후라이드, 치킨, 동그랑땡, 햄버거, 치즈",* 2022 Wine Enthusiast 100 Top Best Buy 2등 (90점),Californian Chardonnay,California AVA
"오닐 빈트너스, 컬테라 까베르네 소비뇽","O'Neill Vintners, Culterra Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175169&lq=LIST,오닐 빈트너스  O'Neill Vintners,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 쁘띠 시라  (Petite Sirah) / 말벡 (Malbec),미니멀리즘 접근 방식,,14~15 %,16~18 ℃,"안심 스테이크, 프라임 립, 버섯 요리, 치즈류와 잘 어울린다.",동원와인플러스,1/5,3/5,5/5,4/5,"블랙커런트, 블랙체리","그릴요리, 안심, 로스트비프, 스테이크, 불고기, 양념갈비, 갈비찜, 족발, 버섯, 트러플, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 콩테, 스모크",* Vivino 4.1점,Californian Red Blend,California AVA
"오닐 빈트너스, 쓰리 블락 까베르네 소비뇽","O'Neill Vintners, Three Blocks Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175170&lq=LIST,오닐 빈트너스  O'Neill Vintners,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 시라/쉬라즈 (Syrah/Shiraz),스테인레스 스틸 발효,"프렌치, 아메리칸 오크 숙성",12~13 %,16~18 ℃,"소갈비, 햄버거, 양고기, 치즈류와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,"체리, 정향, 오크","그릴요리, 등심, 안심, 살치살, 소고기, 양갈비, 양고기, 햄버거, 치즈, 파르미지아노, 체다, 고다, 브리, 그라노파다노, 콩테",,Californian Red Blend,California AVA
"오닐 빈트너스, 쓰리 블락 샤도네이","O'Neill Vintners, Three Blocks Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175171&lq=LIST,오닐 빈트너스  O'Neill Vintners,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) / 콜롱바르 (Colombard) / 기타 품종 (Other Grapes),스테인레스 스틸 발효,"프렌치, 아메리칸 오크 숙성",13~14 %,6~8 ℃,"생선요리, 대구튀김, 해산물, 수육과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"배, 사과, 바나나, 페이스트리, 오크, 크림","생선구이, 생선찜, 붉은살생선, 생선 까르파치오, 흰살생선, 해산물, 게살, 랍스터, 문어숙회, 조개구이, 킹크랩, 보쌈, 수육, 새우튀김, 오징어튀김, 튀김",,Californian White Blend,California AVA
"웰라켄즈 에스테이트, 윌라켄지 윌라멧 밸리 샤도네이","Willakenzie Estate, Willakenzie Willamette Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175172&lq=LIST,웰라켄즈 에스테이트  Willakenzie Estate,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 얌힐-칼튼(Yamhill-Carlton),샤르도네 (Chardonnay),전체 중 75%는 젖산 발효,프렌치 오크(20% 새 오크)에서 12개월간 숙성,13~14 %,6~8 ℃,"닭가슴살 샐러드, 올리브 파스타, 생선 요리와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"시트러스, 오렌지, 감귤, 잼, 생강","삼계탕, 닭고기, 생선구이, 생선조림, 생선찜, 붉은살생선, 생선 까르파치오, 흰살생선, 장어구이, 파스타, 오일파스타",,Oregon Chardonnay,Yamhill-Carlton AVA
"웰라켄즈 에스테이트, 윌라켄지 윌라멧 밸리 피노누아","Willakenzie Estate, Willamette Valley Pinot Noi",https://www.wine21.com/13_search/wine_view.html?Idx=175173&lq=LIST,웰라켄즈 에스테이트  Willakenzie Estate,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 얌힐-칼튼(Yamhill-Carlton),피노 누아 (Pinot Noir),,프렌치 오크통(20% 새 오크)에서 12개월간 숙성,14~15 %,16~18 ℃,"크림파스타, 버섯 스프, 오리구이, 치킨 마르살라와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,2/5,"블랙체리, 라스베리, 장미","닭볶음탕, 오리고기, 훈제오리, 찜닭, 오리로스, 치킨, 크림파스타, 버섯, 트러플",,Oregon Pinot Noir,Yamhill-Carlton AVA
"그레이모어, 그레이모어 샤도네이","Graymore, Graymore Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175174&lq=LIST,그레이모어  Graymore,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 에드나 밸리(Edna Valley),샤르도네 (Chardonnay),,"프렌치 오크통, 오스트리안 오크통에서 23일간 숙성",14~15 %,6~8 ℃,"그릴에 구운 닭고기, 로마노 치즈, 버섯크림 파스타와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"청사과, 배, 라임, 레몬, 구아바, 파인애플, 꽃","훈제오리, 닭고기, 크림파스타, 리조또, 피자, 치즈",,Californian Chardonnay,Edna Valley AVA
"도멘 프리 바론, 크레망 드 루아르 로제","Domaine Pre Baron, Cremant de Loire Rose",https://www.wine21.com/13_search/wine_view.html?Idx=175176&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc) / 슈냉 누아 (Chenin Noir),,,12~13 %,6~8 ℃,,,1/5,4/5,2/5,1/5,"체리, 딸기, 크랜베리, 석류, 시트러스, 꽃","돼지고기, 양꼬치, 건육, 닭강정, 후라이드, 닭고기, 초밥, 생선회, 해산물, 편육, 떡볶이, 오일파스타, 서양요리, 중국요리, 동남아요리, 아시아요리, 샐러드, 치즈, 모짜렐라","* 30년 수령의 포도나무의 피노 도니와 카베르네 프랑으로 만들어 졌으며, 연간 5,000병만 생산",French Crémant,Crémant de Loire AOC(AOP)
"라스 비노, 그르나슈","L.A.S Vino, Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=175177&lq=LIST,라스 비노  L.A.S Vino,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),그르나슈 (Grenache),"자연적 발효 위해 간섭을 최소화하고, 가볍게 프레싱.","675L짜리 암포라와, 2개의 오크통에서 숙성이 진행.",13~14 %,16~18 ℃,"소고기, 스테이크, 불고기, 양꼬치, 족발, 한국음식, 피자, 햄버거 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"블랙베리, 체리, 블루베리, 자두, 바닐라, 정향, 감초, 허브","소고기, 스테이크, 양꼬치, 불고기, 갈비찜, 족발, 햄버거, 피자, 자두, 치즈",* Real Review 94* 작은 싱글빈야드에서 2톤의 포도만 수확을 하여 아주 소량만 생산. 특히 2020년도 빈티지는 기후적인 이유로 인해 포도 알맹이들이 평소보다 1/3 정도 작음. 이렇게 작은 알맹이들은 다른 해보다 더 좋은 집중도 와 복합미를 부여.* 약 30%는 포도송이채 발효가 진행되는데 이 과정을 통해 와인에 earthy한 느낌과 녹색 채소와 같은 향을 부여.,,
"미션 에스테이트 와이너리, 미션 카베르네 소비뇽","Mission Estate Winery, Mission Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175178&lq=LIST,미션 에스테이트 와이너리  Mission Estate Winery,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,,,1/5,3/5,3/5,3/5,"블랙커런트, 블랙베리, 블루베리, 자두, 붉은꽃, 꽃, 감초, 시나몬, 허브","소고기, 스테이크, 바비큐, 양갈비, 건육, 불고기, 족발, 한식, 햄버거, 서양요리, 피자, 자두, 치즈, 파르미지아노, 그라노파다노, 테트드무안",,New Zealand Cabernet Sauvignon,
"미션 에스테이트 와이너리, 미션 메를로",Mission Estate Winery. Mission Merlot,https://www.wine21.com/13_search/wine_view.html?Idx=175179&lq=LIST,미션 에스테이트 와이너리  Mission Estate Winery,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),메를로 (Merlot),,,13~14 %,16~18 ℃,,,1/5,3/5,3/5,3/5,"레드커런트, 블랙체리, 체리, 블루베리, 라스베리, 자두, 붉은꽃, 꽃, 감초, 오크","로스트비프, 소고기, 스테이크, 바비큐, 양꼬치, 건육, 찜닭, 불고기, 족발, 동그랑땡, 한식, 햄버거, 피자, 자두, 치즈, 체다, 고다",,New Zealand Merlot,
"미션 에스테이트 와이너리, 미션 메를로 카베르네","Mission Estate Winery, Mission Merlot Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=175180&lq=LIST,미션 에스테이트 와이너리  Mission Estate Winery,뉴질랜드(New Zealand) / 노스 아일랜드(North Island) / 혹스 베이(Hawke's Bay),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,,,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 체리, 블루베리, 자두, 후추, 정향, 감초, 오크","소고기, 스테이크, 바비큐, 양꼬치, 건육, 불고기, 족발, 한식, 햄버거, 피자, 자두, 랑그르, 치즈, 그뤼에르",,,
