와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급,추천음식
"셀러 프리삭, 라 부르넷 네그레","Celler Frisach, L'Abrunet Negre",https://www.wine21.com/13_search/wine_view.html?Idx=177056&lq=LIST,셀러 프리삭  Celler Frisach,스페인(Spain) / 테라 알타(Terra Alta),가르나차  (Garnacha) / 까리네나 (Carinena),"포도밭 블렌드의 전통을 되살린 양조, 가르나차는 해발 425m 언덕의 모래, 철/석회석 토양 포도밭(수령 26년), 까리네나는  해발 330m 석회진흙 토양의 포도밭(수령 31년)에서 같은 시기에 수확. 두 품종을 함께 지하 시멘트 탱크에서 발효, 숙성 후 여과를 하지 않고 병입하는 내추럴 와인.",,13~14 %,16~18 ℃,콤마 와인,1/5,3/5,3/5,3/5,"블랙체리, 자두, 붉은꽃, 꽃, 미네랄, 후추, 바닐라, 허브, 크림","소고기, 붉은육류, 바비큐, 닭볶음탕, 훈제오리, 찜닭, 불고기, 양념갈비, 족발, 파스타, 중국요리, 자두, 치즈, 그라노파다노, 콩테",,,,"바베큐, 피짜, 족발, 찜닭"
"셀러 프리삭, 레 알리페레","Celler Frisach, Les Alifares",https://www.wine21.com/13_search/wine_view.html?Idx=177057&lq=LIST,셀러 프리삭  Celler Frisach,스페인(Spain) / 테라 알타(Terra Alta),가르나차 블랑카  (Garnacha Blanca),수령 65년 이상 된 싱글 빈야드에서 손수확하여 가볍게 밟은 후 30일 동안 콘크리트 탱크에서 껍질을 포함한 채 다른 아무 것도 넣지 않고 발효. 침전물 제거 후 9개월 동안 앙금 위 숙성을 한 후 여과나 SO2 투입없이 병입.,,13~14 %,14~16 ℃,콤마 와인,1/5,3/5,3/5,2/5,"자몽, 오렌지, 꽃, 미네랄, 홍차, 말린허브","송아지, 초밥, 연어, 리조토, 튀김, 치즈, 모짜렐라","* 2020 빈티지 - Vivino 3.9* 스페인 내추럴 와인의 스타 – 셀러 프리작셀러 프리작은 스페인 남부 카탈로니아의 Terra Alta(High Land) 원산지에 있는 가족 와이너리로 두형제, 프란체스크와 후안 페레,가 와인을 생산합니다. 그들의 조상은 200년간 포도를 재배했으나 와인을 만들게 된 것은 프란체스크가 2009년 양조학을 공부하고 돌아온 후였습니다. 포도를 판매하는 대신 직접 와인을 만들겠다는 결심은 이 작은 마을, Corbera d'Ebre에서는 아주 획기적인 사건으로 자영 가족 와이너리가 그만큼 드문 곳이었습니다. 증조할아버지의 성을 따서 셀러 프리작으로 이름을 짓고 더 훌륭한 내추럴 와인을 목표로 매년 더 적은 인위적 개입, 더 가벼운 추출을 통해 더 우아하고 투명한 와인을 생산하고 있습니다. 프란체스크는 곧 내추럴 와인의 본 고장이라 할 수 있는 카탈로니아 지역에서 수퍼스타가 되었습니다.",,,
"셀러 프리삭, 상 데 꼬르브","Celler Frisach, Sang de Corb",https://www.wine21.com/13_search/wine_view.html?Idx=177058&lq=LIST,셀러 프리삭  Celler Frisach,스페인(Spain) / 테라 알타(Terra Alta),가르나차  (Garnacha) / 가르나차 펠루다 (Garnatxa Peluda) / 까리네나 (Carinena),"수령 65년 이상된 단일 포도밭에서 함께 자라는 가르나챠 피나, 가르나챠 펠루다, 까리네나를 동시에 손수확. 스테인레스 스틸 탱크에서 토착효모로 자연발효하며 300L 오크통에서 12개월 동안 숙성. 여과나 정제를 하지 않으며 병입 할 때 최소한의 SO2만 사용.",,14~15 %,16~18 ℃,콤마 와인,1/5,3/5,4/5,3/5,"블랙체리, 딸기, 라스베리, 자두, 제비꽃, 꽃, 미네랄, 바닐라","로스트비프, 바비큐, 오리고기, 오리로스, 순대, 만두, 파스타, 전채요리, 채소, 샐러드, 자두",* Sang de Corb(코르브의 피)는 스페인 내추럴 와인의 스타인 셀러 프리작이 스페인 내전에서 큰 희생을 치른 그들의 마을 Corbera d'Ebre 주민들에게 헌정하는 의미로 생산한 와인입니다. Corb는 바로 Corbera 마을을 의미합니다. 와인의 첫 빈티지는 2011년으로 바로 스페인 내전 75주년이 되는 해였습니다. 라벨에 쓰인 'lo vi fa sang'은 와인이 당신의 피를 더 강하게 만들어 모든 장애물을 극복하고 앞으로 전진하게 만든다는 카탈로니아식 표현입니다. 와인메이커인 프란체스크 페레는 이 와인으로 카탈로니아의 역사와 사람을 알리고 싶었다고 합니다. 아직 끝나지 않은 분쟁에 맞선 그들의 단호한 결심을 나타내는 라벨입니다.,,,
"도멘 드 라 슈페트, 마랑쥐 비에이비뉴","Domaine De La Choupette, Maranges Vielles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=177059&lq=LIST,도멘 드 라 슈페트  Domaine de la Choupette,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 마랑쥬(Maranges),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,4/5,3/5,2/5,"체리, 라스베리, 붉은꽃, 꽃, 허브, 오크, 버섯, 흙","로스트비프, 까르파치오, 소고기, 양고기, 훈제오리, 불고기, 족발, 파스타, 서양요리, 버섯, 치즈, 그라노파다노, 콩테",,Burgundy Côte de Beaune Red,,
"도멘 드 라 슈페트, 쌍뜨네 컴듀스","Domaine de la Choupette, Santenay Comme Dessus",https://www.wine21.com/13_search/wine_view.html?Idx=177060&lq=LIST,도멘 드 라 슈페트  Domaine de la Choupette,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 상트네(Santenay),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,4/5,3/5,3/5,"체리, 라스베리, 꽃, 허브, 버섯, 흙","소고기, 돼지고기, 양고기, 건육, 훈제오리, 파스타, 치즈",,Burgundy Côte de Beaune Red,,
"도멘 드 라 슈페트, 쌍뜨네 프뤼미에 '클로 루쏘'","Domaine De La Choupette, Santenay 1er 'Clos Rousseau'",https://www.wine21.com/13_search/wine_view.html?Idx=177061&lq=LIST,도멘 드 라 슈페트  Domaine de la Choupette,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 상트네(Santenay),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,4/5,3/5,3/5,"체리, 라스베리, 붉은꽃, 허브, 버섯, 흙","소고기, 양고기, 훈제오리, 불고기, 파스타, 치즈",,Burgundy Côte de Beaune Red,,
"프랑수와 파랑, 본로마네","Francois Parent, Vosne Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=177062&lq=LIST,프랑수와 파랑  Francois Parent,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 라스베리, 꽃, 버섯, 흙","소고기, 훈제오리, 서양요리, 피자, 치즈",,Burgundy Côte de Nuits Red,,
"알방 마티노, 롤랑","Albin Martinot, Rollon",https://www.wine21.com/13_search/wine_view.html?Idx=177063&lq=LIST,알방 마티노  Albin Martinot,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,1/5,4/5,3/5,1/5,"청사과, 사과, 시트러스, 미네랄, 바닐라, 허브, 브리오슈","돼지고기, 건육, 닭고기, 초밥, 생선회, 참치, 오일파스타, 중국요리, 식전주, 샐러드, 치즈, 꽁떼",,French Champagne,,
"알방 마티노, 끌레르 슈아지","Albin Martinot, Clair Choisi",https://www.wine21.com/13_search/wine_view.html?Idx=177064&lq=LIST,알방 마티노  Albin Martinot,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,1/5,4/5,3/5,1/5,"살구, 배, 시트러스, 꽃, 미네랄, 바닐라, 브리오슈","돼지고기, 건육, 가금류, 초밥, 생선회, 파스타, 식전주, 샐러드, 과일, 치즈, 꽁떼",,French Champagne,,
"뱅상 다스트레, 프리미에 크뤼","Vincent D'astree, Premier",https://www.wine21.com/13_search/wine_view.html?Idx=177065&lq=LIST,뱅상 다스트레  Vincent D'astree,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) / 샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,1/5,4/5,3/5,1/5,"배, 서양배, 시트러스, 꽃, 미네랄, 브리오슈","돼지고기, 건육, 가금류, 초밥, 생선회, 참치, 해산물, 파스타, 중국요리, 치즈",,French Champagne,,
"뱅상 다스트레, 블랑 드 누아","Vincent D'astree, Blanc de Noir",https://www.wine21.com/13_search/wine_view.html?Idx=177066&lq=LIST,뱅상 다스트레  Vincent D'astree,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier),,,12~13 %,10~12 ℃,,1/5,4/5,3/5,1/5,"서양배, 시트러스, 말린살구, 말린자두, 미네랄, 브리오슈","돼지고기, 건육, 가금류, 초밥, 생선회, 참치, 해산물, 파스타, 중국요리, 식전주, 샐러드, 치즈, 콩테",,French Champagne,,
"뱅상 다스트레, 블랑 드 블랑","Vincent D'astree, Blanc de Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177067&lq=LIST,뱅상 다스트레  Vincent D'astree,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,1/5,4/5,3/5,1/5,"복숭아, 흰꽃, 미네랄, 브리오슈","돼지고기, 가금류, 초밥, 생선회, 해산물, 파스타, 중국요리, 식전주, 치즈, 콩테",,French Champagne,,
"바론 도베른, 블랑 드 블랑 그랑크뤼","Baron Dauvergne, Blanc De Brancs Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=177068&lq=LIST,바론 도베른  Baron Dauvergne,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,,1/5,4/5,3/5,1/5,"사과, 시트러스, 레몬, 꽃, 미네랄, 브리오슈","생선회, 참치, 해산물, 피자, 중국요리, 아페리티프, 식전주, 샐러드, 치즈, 콩테",,French Champagne,,
"칸티나 젬마, 바롤로 지블린 리제르바","Cantine Gemma, Barolo Giblin Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=177069&lq=LIST,칸티네 젬마  Cantine Gemma,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),,,14~15 %,16~18 ℃,,1/5,4/5,4/5,4/5,"레드커런트, 체리, 딸기, 라스베리, 자두, 장미, 꽃, 바닐라, 정향","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 리조토, 치즈, 그라노파다노, 테트드무안, 콩테, 그뤼에르",,Italian Barolo,,
"지로 리보, 아방 까바 브뤼 리제르바","Giro Ribot, Avant Brut Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=177070&lq=LIST,지로 리보  Giro Ribot,스페인(Spain) / 페네데스(Penedes),샤르도네 (Chardonnay) / 자렐로 (Xarel.lo) / 마카베오 (Macabeo),,,12~13 %,6~8 ℃,,1/5,4/5,2/5,1/5,"서양배, 시트러스, 레몬, 꽃, 미네랄, 허브","돼지고기, 건육, 치킨, 초밥, 생선회, 해산물, 파스타, 중국요리, 아시아요리, 식전주, 샐러드, 치즈",,Spanish Cava,,
