와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"라 트라베르사따, 몬테풀치아노 다브루쪼","La Traversata, Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=170506&lq=LIST,라 트라베르사따  La Traversata,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),Italian Montepulciano d'Abruzzo,"온도가 제어되는 환경에서 10일간 껍질과 함께 침용, 유기농 인증, 비건 인증",스테인레스 스틸 탱크에서 숙성,16~18 ℃,토마토 소스와 요리된 음식과 함께하기 좋다. 또 붉은 육류와 치즈들과도 아주 잘 어울린다.,더블유에스통상,1/5,3/5,4/5,3/5,"블랙베리, 후추, 시나몬, 감초",치즈,,,Montepulciano d'Abruzzo DOC(DOP)
"라 트라베르사따, 프리미티보","La Traversata, Primitivo",https://www.wine21.com/13_search/wine_view.html?Idx=170507&lq=LIST,라 트라베르사따  La Traversata,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),Southern Italy Primitivo,"온도가 제어되는 환경에서 알코올 발효와 젖산 발효를 진행, 유기농 인증, 비건 인증",스테인레스 스틸 탱크와 배럴에서 숙성,16~18 ℃,붉은 육류 특히 그릴드 스테이크와 아주 잘 어울린다. 그리고 감칠맛 나는 버섯과 함께 요리된 음식과도 잘 어울린다.,더블유에스통상,1/5,4/5,4/5,4/5,"크랜베리, 딸기, 체리, 라스베리","스테이크, 버섯",,,
"따발리, 베타스 블랑카스 소비뇽 블랑","Tabali, Vetas Blancas Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170508&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),소비뇽 블랑 (Sauvignon Blanc),Chilean Sauvignon Blanc,,,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,"시트러스, 라임, 레몬, 흰꽃, 꽃, 미네랄","오리로스, 광어, 생선회, 생선 까르파치오, 해산물, 문어숙회, 양장피, 야채, 샐러드",,* 2021 빈티지 - Descorchados 93점,
"따발리, 베타스 블랑카스 말벡 카베르네 프랑","Tabali, Vetas Blancas Malbec Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=170509&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),말벡 (Malbec) 60% / 카베르네 프랑 (Cabernet Franc) 40%,Chilean Malbec,,14개월 프랜치 오크(used) 숙성,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,꽃,"양갈비, 치즈",,*2018: Tim Atkin 92 /100*2018: Descorchados 93/ 100,
"따발리, 베타스 블랑카스 시라","Tabali, Vetas Blancas Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=170510&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Chilean Syrah,수확은 5월 셋째 주에 이뤄지며 20kg 바스켓에 손상 없이 100% 손수확으로 포도 재배,침용이 끝난 뒤 프렌치 오크에서 12개월 숙성 된 뒤 출시,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",신세계엘앤비,1/5,2/5,4/5,3/5,"블랙체리, 체리, 자두, 말린자두, 후추, 바닐라, 정향, 타바코, 삼나무, 연기, 오크","스테이크, 붉은육류, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 자두, 치즈, 파르미지아노, 고다, 에멘탈, 그라노파다노",,* 2018 빈티지 - Descorchados 90/100* 2017 빈티지 - Descorchados 93/100* 2017 빈티지 - LA CAV 96 /100,
"따발리, 베타스 블랑카스 카베르네 프랑","Tabali, Vetas Blancas Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=170511&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),카베르네 프랑 (Cabernet Franc),,,,16~18 ℃,"스테이크, 로스트비프, 소시지, 바비큐, 훈제오리, 치킨, 하몽, 살라미 와 잘 어울린다",,1/5,4/5,4/5,5/5,흑연,,,*2018 - Tim Atkin 92/100*2018 - Descorchados 96/ 100* 2018 - LA CAV 94/ 100,
"따발리, 미카스","Tabali, MICAS",https://www.wine21.com/13_search/wine_view.html?Idx=170512&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),카르메네르 (Carmenere) 100%,Chilean Carménère,70년 수령의 올드바인에서 생산한 포도로 양조,프랜치 오크 18개월 숙성,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,"정향, 오크","스테이크, 양갈비",,*2018 - Vincus 91/ 100,
"따발리, 탈루드","Tabali, Talud",https://www.wine21.com/13_search/wine_view.html?Idx=170513&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,프랜치 오크에서 18개월 숙성,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 육두구, 바닐라, 정향, 삼나무, 오크","스테이크, 붉은육류, 바비큐, 양갈비, 불고기, 갈비찜, 파스타, 햄버거, 자두, 랑그르, 치즈, 체다, 브리, 블루치즈",,* 2017 빈티지 - Tim Atkin MW 93/ 100* 2017 빈티지 - Descorchados 95 /100* 2017 빈티지 - La Cav 97 / 100,
"따발리, 딸리나이 파이","Tabali, Talinay PAI",https://www.wine21.com/13_search/wine_view.html?Idx=170514&lq=LIST,비냐 따발리  Vina Tabali,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),피노 누아 (Pinot Noir) 100%,Chilean Pinot Noir,야생효모를 사용하여 양조,프렌치 오크통에서 12개월간 숙성,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,미네랄,"파스타, 버섯, 치즈",,*2018 - Tim Atkin 96 /100*2018 - Descorchados 98 /100,
"얀 베르트랑, 플뢰리 꾸 드 푸드르","Yann Bertrand, Fleurie Coup de Foudre",https://www.wine21.com/13_search/wine_view.html?Idx=170515&lq=LIST,얀 베르트랑  Yann Bertrand,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),가메이 (Gamay) 100%,Beaujolais Red,50 kg 전용 바구니로 손 수확한 포도는 엄격한 선별 과정을 거쳐 17 20 일 간 저온 탄산 침용,80 는 225 L 배럴에 20 는 600 L 배럴에 7 8 개월 숙성 최소 6 가지 와인에 사용된 올드 배럴을 사용하 며 부유물을 중력에 의해 가라앉힌 후 달의 주기에 따라 정해진 날에 여과 과정 없이 병입,14~16 ℃,장봉 Jambon 등의 샤퀴테리 매콤한 프랑스식 찜닭 Poulet basquaise 요리 등과 잘 어울린다.,(주)와이넬,1/5,3/5,3/5,2/5,"딸기, 미네랄",찜닭,,* 2020 빈티지 - Jasper Morris 90점* 2019 빈티지 - The Wine Front 94점,
"리파 디 소토, 네그로아마로","Ripa di Sotto, Negroamaro",https://www.wine21.com/13_search/wine_view.html?Idx=170516&lq=LIST,리파 디 소토  Ripa di Sotto,이탈리아(Italy),네그로아마로 (Negroamaro),,손으로 수확,,16~18 ℃,"버섯, 베이컨 소테, 수란, 숙성된 치즈등과 잘 어울린다.",,1/5,3/5,4/5,3/5,바닐라,"베이컨, 버섯, 치즈",14~15 %,,
"리파 디 소토, 진판델","Ripa di Sotto, Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=170517&lq=LIST,리파 디 소토  Ripa di Sotto,이탈리아(Italy) / 뿔리아(Puglia),진판델 (Zinfandel) 100%,,,"와인을 숙성시킨 다음,발효 제어온도(24)도에서 강철 탱크 내 프로세스 26도 와인은 몇 달 동안 바리케로 정제",16~18 ℃,구운 고기와 진한치즈와 잘 어울린다.,비노스와인,1/5,3/5,5/5,5/5,"바닐라, 초콜릿",치즈,15~16 %,,
마르코 '스킨',Marko 'Skin',https://www.wine21.com/13_search/wine_view.html?Idx=170518&lq=LIST,옥서 와인즈  Oxer Wines,스페인(Spain) / 차콜리 디 비즈카야 (비즈카이코 차콜리나)(Chacoli de Vizcaya (Bizkaiko Txakolina)),온다라비 수리 (Hondarrabi Zuri),,암포레이에서 8일간의 매시 발효,8개월 동안 효모에서 숙성하기 위해 프랑스 225리터 오크 배럴 여과없이 병입,8~10 ℃,"파스타, 핑거 푸드 등 모든 음식과 잘 어울린다.",비노스와인,1/5,3/5,1/5,1/5,"미네랄, 샤프란",파스타,13~14 %,Pobert Parker - 92Points,
"보데가스 로메로, 깐토 데 시레나스","Bodegas Romero, Cantos de Sirenas",https://www.wine21.com/13_search/wine_view.html?Idx=170519&lq=LIST,보데가스 로메로  Bodegas Romero,스페인(Spain),게뷔르츠트라미너 (Gewurztraminer),,가장 위생적인 방법으로 점토항아리에 담아 포도자체 천연효모로 적정온도를 조절하며 15~20일간 발효 진행,"최소 6개월 지난후, 병은 뿌삐 뜨레러 옮겨 8일동안 연속으로 8분1의 회전을 주어 가장 두꺼운 퇴적물을 제거하기위해 후속 해체 작업진행",8~10 ℃,생선 해산물 및 채식음식과 잘 어울린다.,,1/5,3/5,1/5,1/5,"자몽, 파인애플",해산물,12~13 %,,
"보데가스 로메로, 라포사 나랑하","Bodegas Romero, Raposa Naranja",https://www.wine21.com/13_search/wine_view.html?Idx=170520&lq=LIST,보데가스 로메로  Bodegas Romero,스페인(Spain),마카베오 (Macabeo),,"이른새벽 손 수확, 채집한 포도를 선별 작업, 진흙으로 빚은 항아리에 담아 적정온도로 조절 10일간 발효","정제작업,여과작업 없이 병입",8~10 ℃,육류및 빠데와 잘 어울린다.,,1/5,3/5,1/5,1/5,꽃,,13~14 %,,
더 빅 레드 몬스터,The Big Red Monster,https://www.wine21.com/13_search/wine_view.html?Idx=170521&lq=LIST,워룸 셀러즈  Warroom Cellars,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) 76% / 쁘띠 베르도 (Petit Verdot) 14% / 쁘띠 시라  (Petite Sirah) 10%,Californian Cabernet Sauvignon,"부드럽게 줄기를 제거하고 으깬후 각 발효, 매일 두번 이상 펌프질, 28일 이상 추출",,16~18 ℃,"육류와 구운야채,치즈와 잘 어울린다.",,1/5,4/5,4/5,4/5,초콜릿,"야채, 치즈",15~16 %,,
디 락 로제 샴페인,Champagne D. Rock Rose,https://www.wine21.com/13_search/wine_view.html?Idx=170522&lq=LIST,샹파뉴 디락  Champagne D.Rock,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),French Champagne,,,6~8 ℃,"빨강과일, 크램블, 초콜렛 케이크와 잘어울린다.",,1/5,4/5,3/5,1/5,,과일,12~13 %,,Champagne AOC(AOP)
"마이클 포잔, 샤도네이","Michael Pozzan, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170523&lq=LIST,마이클 포잔  Michael Pozzan,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),Californian Chardonnay,,프렌치 오크 숙성 12개월,8~10 ℃,"감귤류 비네그레트에서 샐러드와 함께 소테 가리비, 버터를 바른 옥수수와 잘 어울린다.",,1/5,3/5,2/5,1/5,"배, 바닐라, 크림",샐러드,14~15 %,,
"마이클 포잔, 피노 누아","Michael Pozzan, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170524&lq=LIST,마이클 포잔  Michael Pozzan,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 로스 카네로스(Los Carneros),피노 누아 (Pinot Noir),Californian Pinot Noir,,프렌치 오크에서 20개월 숙성,14~16 ℃,"두꺼운 옥수수 토르티야에 타코, 양갈비,구운야채,한식과 잘어울린다.",,1/5,3/5,3/5,2/5,"크랜베리, 오렌지","양갈비, 한식, 야채",14~15 %,,
"미쉘 퐁느, 맘부르그 리슬링 그랑크뤼","Michel Fonne, Mambourg Riesling Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=170525&lq=LIST,미쉘 퐁느  Michel Fonne,프랑스(France) / 알자스(Alsace),리즐링 (Rizling),Alsace Riesling,프레스하는 동안 정기적으로 저온(10도)의 스태인리스 탱크로 보내짐. 48시간후 잔여물과 퇴적물을 제거하는 작업수행,,8~10 ℃,"생선 요리, 해산물 샐러드,훈제 연어, 조개, 바닷가재와 잘 어울린다.",비노스와인,1/5,3/5,1/5,1/5,"배, 꽃, 미네랄","연어, 샐러드",12~13 %,,
"매디슨 랜치, 나파밸리 까베르네 소비뇽","Madison's Ranch, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170526&lq=LIST,스미스 앤더슨  Smith-Anderson Enterprises. Inc.,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),Californian Cabernet Sauvignon,"손으로 수확을하며, 발효를 시작하기 전 ,48시간 동안 으깨고 차갑게 보관, 와인 컬리티을 보장하기 위해 맛,색 탄닌 추출물을 추출한후 압축","프랑스오크 50%,아메리칸오크50% 사용, 숙성은 8개월동안 숙성",16~18 ℃,구운 야채와 치즈가 잘 어울린다.,,1/5,3/5,4/5,4/5,코코아,"야채, 치즈",14~15 %,,
"미우라, 피노 누아","Miura, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170527&lq=LIST,미우라  Miura,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County) / 몬터레이(Monterey),피노 누아 (Pinot Noir),Californian Pinot Noir,,,14~16 ℃,구운야채와 치즈가 잘 어울린다.,비노스와인,1/5,3/5,3/5,2/5,체리,"야채, 치즈",14~15 %,Wine Searcher - 89pVivino 4.1,
"보데가스 로메로, 마리뽀세안도","Bodegas Romero, Mariposeando",https://www.wine21.com/13_search/wine_view.html?Idx=170528&lq=LIST,보데가스 로메로  Bodegas Romero,스페인(Spain),가르나차  (Garnacha) / 템프라니요 (Tempranillo) / 알리칸테 부쉐 (Alicante Bouschet),Spanish Grenache,"토기항아리에 담아 적정온도를 조절하며, 10~15일간 발효진행 발효가 진행하는 동안 매일매일 2~3회 휘젓는 작업시행",껍질이 항아리 바닥에 가라 앉으며 와인의 산화작용을 막기위해 항아리 입구까지 가득채워 뚜껑을덮고 60일간 껍질과 함께숙성,16~18 ℃,"흰살육류, 생선및 미디움치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,블루베리,치즈,13~14 %,,
"보데가스 로메로, 아베하스 알파레라스","Bodegas Romero, Abejas Alfareras",https://www.wine21.com/13_search/wine_view.html?Idx=170529&lq=LIST,보데가스 로메로  Bodegas Romero,스페인(Spain),알리칸테 부쉐 (Alicante Bouschet) / 템프라니요 (Tempranillo),,"토기항아리에 담아 적정온도를 조절하며, 10~15일간 발효진행 발효가 진행하는 동안 매일매일 2~3회 휘젓는 작업시행",항아리 내부에는 친환경 꿀벌의 밀납이 발라져 있으며 와인은 이곳에서 몇 개월동안 정제 및 숙성 과정을 진행,16~18 ℃,"붉은육류, 바비큐,젖산치즈 또는 블루치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,꿀,"붉은육류, 바비큐",14~15 %,,
아임 유어 올가닉 레드,I'm Your Organic Red,https://www.wine21.com/13_search/wine_view.html?Idx=170530&lq=LIST,햄메켄 셀라즈  Hammeken Cellars,스페인(Spain),템프라니요 (Tempranillo),Spanish Tempranillo,,와인의 20%는 프랑스 오크통에서 4개월 동안 숙성,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"체리, 자두, 카카오","하몽, 자두, 견과류, 치즈",,,
아임 유어 올가닉 화이트,I'm Your Organic White,https://www.wine21.com/13_search/wine_view.html?Idx=170531&lq=LIST,햄메켄 셀라즈  Hammeken Cellars,스페인(Spain),소비뇽 블랑 (Sauvignon Blanc) / 비우라 (Viura),,,,8~10 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,꽃,"생선구이, 중국요리, 아시아요리, 튀김, 샐러드",,,
"보데가스 로메로, 알마 뿌라 띤토","Bodegas Romero, Alma Pura Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=170532&lq=LIST,보데가스 로메로  Bodegas Romero,스페인(Spain),템프라니요 (Tempranillo) / 가르나차  (Garnacha),,"와인은 신선도,산도 낮은 알콜올 함량을 얻기위해 포도의 상태가 최적의 상태에 도달하기전 수확, 섭씨 영하4도의 냉동고 저장하며 10~15일보관 포도을 냉동실에 꺼내 선별, 줄기을 제거한후 점토항아리에 담아 자체효모로 적정온도로 조절하며 20일발효",와인을 항아리에 담아 최소 8개월 정제 및 숙성,16~18 ℃,"붉은살코기, 로스트, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,"바닐라, 토스트",치즈,14~15 %,,
엘 카스티야 가르나차,El Castilla Garnacha,https://www.wine21.com/13_search/wine_view.html?Idx=170533&lq=LIST,GCF 그룹  GCF Group,스페인(Spain),가르나차  (Garnacha),Spanish Grenache,온도 조절 가능한 탱크에서 발효,오크통에서 숙성,16~18 ℃,"붉은색의 육류 및 파스타, 핑거 푸드 등 모든 음식과 잘 어울린다.",비노스와인,1/5,3/5,3/5,3/5,"체리, 무화과, 바닐라",파스타,14~15 %,,
"펠릭스 솔리스, 풀포 소비뇽 블랑(남아공)","Felix Solis, Pulpo Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170534&lq=LIST,펠리스 솔리스  Felix Solis,남아프리카(South Africa),소비뇽 블랑 (Sauvignon Blanc),South African Sauvignon Blanc,"으깬 후, 아로마의 최대 발현을 위해 저온에서 6~8시간 동안 담가두며, 발효는 14-16°C의 스테인리스 탱크에서 제어된 온도에서",,8~10 ℃,"생선 요리, 해산물 샐러드,염소 치즈와 잘 어울린다.",,1/5,4/5,2/5,1/5,"감귤, 열대과일, 꽃","해산물, 샐러드, 치즈",12~13 %,,
"마이클 포잔, 욘트 밀 하우스 피노 누아","Michael Pozzan, Yount Mill House Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170535&lq=LIST,마이클 포잔  Michael Pozzan,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 로스 카네로스(Los Carneros),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,,프렌치 오크에서 20개월 숙성,14~16 ℃,구운 연어와 간단한 비네그레트와 염소 치즈로 장식된 샐러드와 잘 어울린다.,,1/5,3/5,3/5,2/5,"딸기, 바닐라, 크림","연어, 샐러드, 치즈",14~15 %,,
"오로펠라, 로제 엑스트라 드라이 스푸만테 밀레지마토","Oroperla, Rose Extra Dry Spumante Millesimato",https://www.wine21.com/13_search/wine_view.html?Idx=170536&lq=LIST,오로펠라  Oropela,이탈리아(Italy) / 베네토(Veneto),피노 누아 (Pinot Noir),,"손으로 수확, 줄기를 제거하고 부드럽게 압착되어 꽃과  과일 특성이 있는 머스트만 추출 저온 침강 후 스테인리스 스틸 탱크에서 발효",,8~10 ℃,"생선 요리, 해산물 샐러드,염소 치즈와 잘 어울린다.",비노스와인,1/5,4/5,2/5,2/5,"라임, 꽃, 꿀","해산물, 샐러드, 치즈",12~13 %,* Luca Maroni - 93점* Berliner Wine Trophy - Gold* The WineHunter - Gold,
샤또 시몽 바르삭,Chateau Simon Barsac,https://www.wine21.com/13_search/wine_view.html?Idx=170537&lq=LIST,샤또 시몽  Chateau Simon,프랑스(France) / 보르도(Bordeaux),세미용 (Semillon) / 소비뇽 블랑 (Sauvignon Blanc) / 뮈스까델 (Muscadelle),Bordeaux White,,,10~12 ℃,"브리, 블루, 로크포르 등 다양한 치즈, 건육, 과일, 타르트, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,3/5,1/5,1/5,,"건육, 과일",14~15 %,,
