와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급
"쟝 마크 브와이요, 풀리니 몽라쉐","Jean Marc Boilllot, Puligny Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=169475&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,화학적인 농업없이 곳에서 자라난 포도를 손으로 수확,25~30% 새 프렌치 오크에 11개월 숙성,13~14 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱) / 에노테카코리아,1/5,4/5,4/5,1/5,"시트러스, 파인애플, 크림","해산물, 치즈",,
"쟝 마크 브와이요, 풀리니 몽라쉐 프르미에 크뤼 수즈 레 피트","Jean Marc Boilllot, Puligny Montrachet 1er Cru Sous le Puits",https://www.wine21.com/13_search/wine_view.html?Idx=169476&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),Burgundy Côte de Beaune White,,,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,,"해산물, 치즈",,
"체사리, '마라' 발폴리첼라 리파소 수페리오레","Cesari, 'MARA' Valpolicella Ripasso Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=169477&lq=LIST,체사리  Cesari,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) 75% / 론디넬라 (Rondinella) 20% / 로시뇰라 (Rossignola) / 네그라라 (Negrara),Italian Ripasso,,,,17 ~ 19 ℃,"굽거나 훈제한 붉은 육류/가금류, 하드 치즈와 잘 어울린다.",나라셀라,1/5,3/5,3/5,3/5,체리,"가금류, 치즈",,
"쟝 마크 브와이요, 샤샤뉴 몽라쉐","Jean Marc Boillot, Chassagne Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=169478&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,이 곳에서 자라난 포도를 손으로 수확,말로라틱 발효와 11개월 간 오크통 숙성,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,0/5,1/5,"백도, 감귤","해산물, 치즈",,
"쟝 마크 브와이요, 뫼르소","Jean Marc Boillot, Meursault",https://www.wine21.com/13_search/wine_view.html?Idx=169479&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,이 곳에서 자라난 포도를 손으로 수확,11개월 간 프렌치 오크통에서 숙성,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"사과, 레몬, 꽃","해산물, 수육, 탕수육, 치즈",,
"쟝 마크 브와이요, 부르고뉴 루지","Jean Marc Boillot, Bourgogne Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=169480&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,이 곳에서 자라난 포도를 손으로 수확,말로라틱 발효와 16개월 간 오크통 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",,
"쟝 마크 브와이요, 볼네","Jean Marc Boillot, Volnay",https://www.wine21.com/13_search/wine_view.html?Idx=169481&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,포도를 손으로 수확 후 3가지 단계를 거쳐 발효,"25~30% 새 프렌치 오크에 13개월 숙성, 여과 후 병입",13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱) / 에노테카코리아,1/5,4/5,2/5,3/5,"배, 감초, 커피, 동물","파스타, 버섯, 치즈",,
"쟝 마크 브와이요, 볼네 프르미에 크뤼 르 론씨에","Jean Marc Boillot, Volnay 1er Cru Le Roncere",https://www.wine21.com/13_search/wine_view.html?Idx=169482&lq=LIST,도멘 쟝 마크 브와이요  Domaine Jean Marc Boillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir),Burgundy Côte de Beaune Red,포도를 손으로 수확 후 3가지 단계를 거쳐 발효,말로라틱 발효를 거쳐 13개월 간 오크 숙성을 한뒤 병입,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,"배, 꽃, 오크",,,
"도멘 파비앙 코쉬, 부르고뉴 알리고떼","Domaine Fabien Coche, Bourgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=169483&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),알리고테 (Aligote) 100%,Burgundy Côte de Beaune White,오래된 포도 나무에서 1950 년대부터 1970 년대까지 Les Penteaux를 대신하여 Meursault 코뮌에 심음,,,8~10 ℃,"참치, 연어, 새우, 해산물, 하몽, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,꽃,"파스타, 치즈",,
"도멘 파비앙 코쉬, 부르고뉴 코트 도르 샤도네이","Domaine Fabien Coche, Bourgogne Cote d'Or Chandonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169484&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,전체 다발을 압축,"3000리터 Foudre라고 불리우는 오크통에서 발효, 스틸 탱크에서 6개월 동안 숙성 후 청직 작업이나 필터링 없이 병입",,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"해산물, 수육, 탕수육, 치즈",,
"도멘 파비앙 코쉬, 쌩 호망","Domaine Fabien Coche, Saint-Romain",https://www.wine21.com/13_search/wine_view.html?Idx=169485&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,손 수확 후 전체 다발을 압착,알코올 발효와 숙성은 오크통에서 이루어지면 숙성은 12개월 간 진행,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,꽃,"해산물, 수육, 탕수육, 치즈",,
"도멘 파비앙 코쉬, 쌩 또방 레 콤브 프르미에 크뤼","Domaine Fabien Coche, Saint-Aubin Les Combes 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=169486&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 생-오방(Saint-Aubin),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,전체 다발을 압축,오크통에서 발효 후 숙성은 스테인레스 스틸에서 진행,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"레몬, 바닐라, 버터","해산물, 치즈",,
"도멘 파비앙 코쉬, 뫼르소 '레 시발리에'","Domaine Fabien Coche, Meursault 'Les Chevalieres'",https://www.wine21.com/13_search/wine_view.html?Idx=169487&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"레몬, 꽃, 육두구, 아몬드","해산물, 수육, 탕수육, 치즈",,
"도멘 파비앙 코쉬, 뫼르소 구떼 도르 프르미에 크뤼","Domaine Fabien Coche, Meursault Goutte d'Or 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=169488&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,포도원은 최고의 1er Cru 포도원 중 하나로 80년 이상된 포도나무에서 채집,오크통에서 발효 후 스테인레스 스틸에서 추가 숙성,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,,"해산물, 치즈",,
"도멘 파비앙 코쉬, 뫼르소 페리에 프르미에 크뤼","Domaine Fabien Coche, Meursault Perrieres 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=169489&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,미네랄,"해산물, 치즈",,
"도멘 파비앙 코쉬, 풀리니 몽라쉐 프르미에 크뤼 레 플라티에","Domaine Fabien Coche, Puligny Montrachet 1er Cru Les Folatieres",https://www.wine21.com/13_search/wine_view.html?Idx=169490&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,5-20%의 새 오크를 사용,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"꽃, 토스트, 오크","해산물, 치즈",,
"도멘 파비앙 코쉬, 부르고뉴 코트 도르 루지","Domaine Fabien Coche, Bourgogne Cote d'Or Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=169491&lq=LIST,도멘 파비앙 코쉬  Domaine Fabien Coche,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,수령이 30-60년 된 구역에서 수확한 포도를 사용하여 전부 줄기를 제거한 후 양조,300L 배럴에서 숙성,,14~16 ℃,"다양한 야채와 함께 제공되는 구운 가금류, 횐살 고기, 또는 로스트 비프,  숙성된 치즈등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,감초,"비프, 가금류, 야채, 치즈",,
"도멘 로렌존, 메르뀌레 프르미에 크뤼 레 샴프 마르탱","Domaine Lorenzon, Mercurey 1er Cru les Champs Martin",https://www.wine21.com/13_search/wine_view.html?Idx=169492&lq=LIST,도멘 로렌존  Domaine Lorenzon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),Burgundy Côte Chalonnaise Red,,"천연효모만을 이용하여 발효시킨다. 100% (사용한) 오크 통에서 13개월간 숙성시킨 뒤, 스테인레스 스틸 탱크에서 약 5개월간 정제의 과정을 거쳐 병입",13~14 %,14~16 ℃,"붉은 살의 육류나 가금류, 버섯, 치즈가 들어간 음식과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,,"가금류, 버섯, 치즈",,
"도멘 로렌존, 메로뀌레 끌로 르 샤피테","Domaine Lorenzon, Mercurey Clos Le Chapitre",https://www.wine21.com/13_search/wine_view.html?Idx=169493&lq=LIST,도멘 로렌존  Domaine Lorenzon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),Burgundy Côte Chalonnaise Red,"손수확 후, 불순물을 제거한 줄기까지 통째로 넣어 압착",천연 효모로 오크통에서 14개월 이상 발효 후 스테인레스 탱크에서 6개월 정제,13~14 %,14~16 ℃,"바비큐나 적포도주 소스를 곁들인 스테이크 그리고 닭고기 요리, 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,체리,"스테이크, 바비큐, 닭고기, 치즈",,
"도멘 로렌존, 몽따니 프르미에 크뤼 르 몽 로랑","Domaine Lorenzon, Montagny 1er Cru Le Mont Laurent",https://www.wine21.com/13_search/wine_view.html?Idx=169494&lq=LIST,도멘 로렌존  Domaine Lorenzon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),샤르도네 (Chardonnay) 100%,Burgundy Côte Chalonnaise White,"석회질이 매우 많은 토양에서 자란 포도나무는 화학적인 물질없이 길러졌으며, 수확은 손으로 진행",와인메이커 브루노 로렌존은 배럴에서 1년이상 통에 담아 100% 완벽하고 공정한 숙성을 진행하려고 노력,13~14 %,8~10 ℃,"생선요리, 퐁듀와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,,,,
"도멘 로렌존, 부르고뉴 끌로 알프레드 블랑","Domaine Lorenzon, Bourgogne Clos Alfred Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=169495&lq=LIST,도멘 로렌존  Domaine Lorenzon,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),샤르도네 (Chardonnay) 100%,Burgundy Côte Chalonnaise White,로렌존의 1er cru 포도밭인 Mercurey Premier Crus 바로 옆에 위치한 Chardonnay 포도밭에서 나온 포도로 양조,,13~14 %,8~10 ℃,"갑각류와 구운 생선 요리, 그리고 단단한 치즈가 들어간 음식과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,감귤,치즈,*30년간 제초제를 사용하지 않은 유기농 인증 포도원,
"도멘 구펜스 하이넨, 마꽁 피에르끌로 뜨리 데 샤빈","Domaine Guffens Heynen, Macon pierreclos Tri de Chavigne",https://www.wine21.com/13_search/wine_view.html?Idx=169496&lq=LIST,도멘 구펜스 하이넨  Domaine Guffens Heynen,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,포도밭 중 여러 곳의 포도밭으로 부터 각기 다른 숙성도를 나타내는 포도를 선별하여 각 포도의 개성을 잘 조화시켜 만듬,새 오크통과 사용한 오크통을 조화시켜 숙성,13~14 %,8~10 ℃,"랍스터, 화이트 소스로 마무리된 생선, 송아지 스튜 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"바닐라, 토스트, 아몬드",랍스터,,
"도멘 구펜스 하이넨, 마꽁 피에르끌로 쥴리에트 엣 레 비에이 드 샤빈느","Domaine Guffens Heynen, Macon Pierreclos Juliette Et Les Vielles De Chavigne",https://www.wine21.com/13_search/wine_view.html?Idx=169497&lq=LIST,도멘 구펜스 하이넨  Domaine Guffens Heynen,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,"샤빈느 포도밭 중 언덕 꼭대기에 위치한 3,3ha의 포도밭에서 수확한 포도로 제조",,15~16 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"감귤, 꽃, 미네랄, 감초, 헤이즐넛","해산물, 수육, 탕수육, 치즈",,
"도멘 구펜스 하이넨, 쌩 베랑 프르미에 쥬","Domaine Guffens Heynen, Saint Veran 1er Jus",https://www.wine21.com/13_search/wine_view.html?Idx=169498&lq=LIST,도멘 구펜스 하이넨  Domaine Guffens Heynen,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,와인은 포도를 부드럽게 압착하여 첫 번째 프레싱을 통해 순수한 포도즙을 얻어 양조,,14~15 %,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,"배, 감귤","해산물, 수육, 탕수육, 치즈",,
