포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
비오니에Viognier,"비오니에(Viognier)는 프랑스 론 밸리 화이트 품종이다. 이 품종은 과거 로마의 중심 도시였던 비엔(Vienne)에서 유래했다고 한다. 비오니에는 만생종으로 완전히 익은 경우 와인은 알코올 도수가 13%를 넘는다. 와인은 그럼에도 무게와 향이 균형을 잘 잡고 있는 모습을 보인다. 론 밸리에서 특히 꽁드리우(Condrieu)는 가파른 테라스 포도원으로 되어 있으며, 열을 머금은 화강암 토양을 가지고 있어 비오니에 재배에 적합하다. 론 밸리를 벗어나면, 호주, 미국 캘리포니아, 이탈리아 중부에서도 비오니에를 재배한다. 와인은 멜론, 쟈스민, 장미, 살구, 복숭아 향을 내며, 피네스와 유연함을 지니며, 크리미한 질감을 지닌다. 신선하고 젊은 비오니에는 식전주로 즐기며 로즈마리 혹은 샤프론이 들어간 음식과 잘 맞는다. 비오니에는 돼지고기 혹은 닭고기 요리와 주로 즐긴다. 부드러운 캐릭터를 지닌 풀바디 와인. 복숭아, 배, 제비꽃과 미네널러티 등의 자연적인 노트.",3/5,2/5,3/5,1/5,"탠저린, 복숭아, 망고, 인동덩굴, 장미","새우 요리, 돼지고기, 고르곤 졸라 치즈, 카레 요리"
뮈스까Muscat,"뮈스까(Muscat)는 거의 전세계에서 재배되는 화이트 품종이다. 뮈스까는 그 조상이 고대 이집트와 페르시아 시대에서 찾을 수 있을 정도로 오래된 품종이며, 변종 또한 200종이 넘는다.",1/5,1/5,3/5,1/5,"살구, 꿀, 인동덩굴, 레몬, 리치, 복 숭아, 배, 모과, 익은 멜론, 바닐라빈","블루 치즈, 인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림"
몬테풀치아노Montepulciano,"몬테풀치아노(Montepulciano)는 이탈리아 레드 품종이다. 이탈리아 움브리아(Umbria)와 토스카나 남부 지방에서 주로 재배된다. 가장 좋은 몬테풀치아노 와인은 몬테풀치아노 다브루쪼(Montepulciano d'Abruzzo)이다. 와인은 자두 풍미가 둥글게 전해지며, 무게, 잘 익은 타닌과 좋은 산미가 부드럽다. 가격 접근성이 매우 좋다.",4/5,4/5,4/5,3/5,"레드 자두, 오레가노, 보이젠베리, 타르","양고기 케밥, 라쟈나, 버섯이 들어간 햄버거, 볼로네즈 파스타, 카르보나라"
산지오베제Sangiovese,산지오베제(Sangiovese)는 이탈리아 레드 품종이다. 산지오베제라는 이름은 라틴어로 '제우스의 피(Sanguis Jovis)'에서 유래했다.,4/5,5/5,3/5,4/5,"레드 커런트, 구운 토마토, 라즈베리, 포푸리, 토기","토마토 소스를 베이스로 한 라자냐, 볼로네즈 파스타, 미트로프(Meatloaf), 구운 야채, 뇨키"
Ciliegolo,,,,,,,
말바시아Malvasia,"말바시아(Malvasia)는 그리스와 지중해 연안 국가에서 자라는 화이트 품종이다. 말바시아는 과거 맘지(Malmsey)로 불렸으나 이 이름은 더 이상 사용되지 않는다. 말바시아는 이탈리아에서는 프리올리-베네치아 줄리아(Griuli-Venezia Giulia), 롬바르디아(Lombardia), 에밀리아-로마냐(Emilia-Romagna), 슬로베니아, 코르시카(Corsica), 이베리아 반도(Iberian Peninsula), 마데이라(Madeira), 캘리포니아, 호주, 브라질 등에서 재배된다. 말바시아는 화이트 와인, 디저트 와인, 주정 강화 와인으로 만들어지며, 와인의 이름도 말바시아(Malvasia)로 부른다. 빈 산토(Vin Santo)와인에 혼합되기도 한다. 말바시아 종은 원래 그리스 크레테 섬에서 유래했으며, 이름은 모넴바시아(Monemvasia)에서 따왔다. 유전자 분석에 따르면, 말바시아의 부모 중 하나가 그리스의 앗시리(Athiri)로 밝혀졌다. 말바시아 와인은 색이 옅으며, 복숭아, 살구, 화이트 커런트 풍미를 낸다. 주정 강화된 말바시아(마데이라 와인의 한 종류)는 숙성에 따라 훈연향과 좋은 산미를 보여주며, 숙성된 경우 견과류 풍미를 오래도록 전해준다.",2/5,3/5,3/5,1/5,"복숭아, 살구, 화이트, 커런트, 훈연향, 견과류","교자 만두, 무쉬러우, 팟타이"
카베르네 프랑Cabernet Franc,"카베르네 프랑(Cabernet Franc)은 카베르네 소비뇽과 메를로의 교배 품종이다. 프랑스 보르도, 루아르 밸리 등지에서 재배되며, 루아르 밸리 쉬농(Chinon)과 부르게이(Bourgueil)에서 난 와인의 맛이 좋다. 프랑스 이외 지역으로는 이탈리아 북부와 일부 신세계 와인 생산국에서 이 품종을 재배하는데, 와인의 완성도가 매우 좋은 편이다.",4/5,4/5,3/5,2/5,"딸기, 구운 파프리카, 레드 자두, 으깬 자갈, 칠리 후추","허브로 맛을 낸 구운 치킨 혹은 양고기, 샤르퀴트리 (돼지고기 요리의 일종)"
피노 누아Pinot Noir,피노 누아(Pinot Noir)는 프랑스 부르고뉴 대표 레드 품종이다. 피노누아는 부르고뉴 지역에 약 2천년 전 전해졌다고 알려져 있다. 피노 누아는 소나무(Pine tree)와 검정(Noir)을 의미하는 프랑스어에서 유래했다. 이는 피노 누아의 포도 송이 모양이 솔방울과 닮았기 때문이다. 피노 누아 송이는 포도알이 매우 작고 껍질이 얇으며 빽빽하게 자리잡는다.,1/5,3/5,2/5,2/5,"크랜베리, 체리, 라즈베리, 정향, 버섯","코코뱅(Coq au vin), 타라곤(Tarragon)을 곁들인 닭고기 요리, 겨자를 곁들인 토끼 요리, 졸인 햄이나 뵈브 부르기뇽(Boeuf Bourgignon)"
투리가 나시오날Touriga Nacional,"투리가 나시오날(Touriga Nacional)은 포르투갈의 레드 품종이다. 투리가 나시오날은 포르투갈 와인의 르네상스 시대를 불러온 주역 품종으로 색이 짙고, 바이올렛, 자두 등의 풍미를 진한 향수처럼 풍긴다. 이 품종은 주정 강화 와인에서도 매우 중요한 역할을 한다. 숙성된 투리가 나시오날 와인은 풍부한 멀베리와 블랙베리 향을 내며, 흑 후추 향과 꽃 향이 잔잔히 전해진다. 와인은 장기 숙성 잠재력 또한 어마어마하다.",5/5,4/5,5/5,5/5,"제비꽃, 블루베리, 자두, 민트, 젖은 슬레이트","바베큐 고기, 스파이시한 타이 음식, 구운 감자, 커스타드 타르트, 채끝살"
틴타 로리즈Tinta Roriz,틴타 로리즈(Tinta Roriz)는 포르투갈에서는 지역에 따라 아라고네스(Aragones) 혹은 틴타 로리즈라 부른다. 틴타로리즈는 주로 도우로와 다웅 지역에서 많이 부르는 레드 품종명이다. 스페인 품종 템프라니요(Temprnillo)와 동일한 품종이다. 틴타 로리즈는 풍부하면서도 활기찬 레드와인을 만드는데 베리류의 과일과 스파이시한 향기를 가지고 있다. 투리가 나시오날(Touriga Nacional) 과 투리가 프란카(Touriga Franca)와,,,,,"체리, 말린 무화과, 삼나무, 담배, 딜","토마토 소스 베이스의 라자냐, 피자, 바베큐 그릴에 구운 고기, 폴렌타(옥수수 스프의 일종), 타코와 나초 등 멕시코 음식"
투리가 프란카Touriga Franca,투리가 프란카(Touriga Franca)는 포르투갈 레드 품종으로 2001년까지 투리가 프란체사(Touriga Francesa)로 불렸다. 주정 강화 와인에 쓰이는 5개의 주요 품종 중 하나로 이 품종은 색과 탄닌을 준다. 투리가 프란카는 장미와 멀베리 향이 강해서 주정 강화 와인에 이국적인 느낌을 부여해준다. 이 품종은 투리가 나시오날과 다른 품종 사이 접합종으로 알려져 있다.,1/5,2/5,4/5,4/5,"장미, 야생 꽃, 블랙 베리","검은 콩, 소시지, 렌틸 캐서롤, 브리스킷, 비프 스튜"
쁘띠 베르도Petit Verdot,"쁘띠 베르도(Petit Verdot)는 프랑스 보르도 레드 품종이다. 쁘띠 베르도는 만생종으로 보르도 블렌딩 와인에 매우 소량 사용된다. 와인에 쁘띠 베르도를 쓰면, 색, 구조, 탄닌이 좋아지며, 바이올렛 향을 더할 수 있다. 쁘띠 베르도 품종은 프랑스 외에 캘리포니아, 칠레, 호주, 불가리아 등지에서도 재배되며, 카베르네 소비뇽 품종에 소량 섞는 일이 많다. 클래식한 보르도 블랜딩의 와인을 만드는데 구조감을 부여하는 역할로 소량 사용됨",5/5,4/5,5/5,5/5,"블랙 체리, 자두, 제비꽃, 라일락, 세이지","스틸턴 치즈, 바베큐, 비프 스튜, 멕시코 음식"
쁘띠 시라Petite Sirah,"쁘띠 시라는 원래 프랑스에서 생산되었으나 지금은 호주, 캘리포니아, 프랑스, 이스라엘에서도 생산되는 레드 품종이다. 쁘띠 시라는 두리프(Durif)라고도 불린다. 유전자 분석에 따르면, 부모 중 하나가 시라로 밝혀졌으며, 송이와 생산량이 시라 보다 적기 때문에 '쁘띠(Petite, 작은)'이 붙었다고 한다. 와인은 잉크처럼 진한 색을 띠며, 산미가 높고, 단단한 질감과 허브, 흑후추의 풍미를 지닌다. 또한 블루베리, 자두 풍미도 특징적으로 드러낸다고 알려져 있다. 입에서는 중간 맛이 좀 비며, 시라 와인에 비해 여운이 다소 짧다는 평가를 받는다.",5/5,3/5,5/5,5/5,"단 자두, 블루베리, 다크 초콜릿, 블랙 후추, 홍차","푹 삶은 고기, 바베큐, 캐서롤 오픈 요리, 육류 파스타 요리"
그르나슈Grenache,"그르나슈(Grenache)는 프랑스 남부 지역 레드 품종이다. 그르나슈 누이(Grenache Noir)라 부르기도 한다. 프랑스 외에도 전세계적으로 가장 널리 분포되어 재배되고 있다. 그르나슈는 스페인, 이탈리아 사르데냐, 호주, 캘리포니아에서 주로 재배된다. 스페인에서는 가르나챠(Garnacha) 혹은 가르나챠 틴타(Garnacha Tinta)로 불리며 이탈리아 에서는 칸노나우(Cannonau), 가르나챠 네그라(Garnacha negra) 등으로 블린다.",3/5,3/5,4/5,3/5,"말린 딸기, 구운 자두, 루비 레드 자몽, 가죽, 감초","아시아 음식, 스파이시한 향신료가 들어간 구운 치킨, 라타투유"
까리냥Carignan/Carignane,"까리냥(Carignan)은 남프랑스 레드 품종이다. 이 품종은 랑그독-루시옹 지역처럼 더운 기후에서 잘 자란다. 이 품종은 색이 짙으며, 타닌과 산미가 많다.",3/5,4/5,3/5,5/5,"말린 크랜베리, 라즈베리, 감초, 베이킹 향신료, 절인 고기","칠면조, 크랜베리, 구운 호박, 베이킹 향신료, 가금류"
알리칸테 부쉐Alicante Bouschet,"알리칸테 부쉐(Alicante Bouschet)는 알리칸테 앙리 부쉐(Alicante Henri Bouschet)라고도 부르는데 남프랑스 레드 품종이다. 이 품종은 보르도 남서부, 부르고뉴, 그리고 루아르 밸리에서 재배된다.",2/5,3/5,5/5,4/5,"블랙 체리, 블랙 후추, 올리브, 코코아","카르네 아사다, 데리야끼, 바베큐, 구운 채소"
말벡Malbec,"말벡(Malbec)은 아르헨티나 대표 레드 품종이다. 말벡은 프랑스 남서부 지역 까오르(Cahor)지역에서 유래한다. 프랑스 까오르의 말벡은 검은 과실과 장미 향이 살짝 스피며, 부드러운 와인이 된다. 전반적으로 동물적인 느낌과 시골스러움 그리고 타닌이 강한편이다. 보르도 지역에서는 와인을 부드럽게 할 목적으로 메를로와 함께 블렌딩되었다. 1852년 아르헨티나에 전해진 말벡은 보르도에서 가져간 포도 나무였고 말벡은 아르헨티나의 토양과 기후에 적응하며 수많은 변종을 나았다. 아르헨티나에서 가장 성공적인 말벡은 해발고도 1000~1100m사이에 위치한 포도원에서 자란 말벡으로 산미와 미네랄, 잘익은 잼, 주스,자두 풍미가 좋은 와인으로 완성된다. 칠레와 남호주에서도 말벡이 재배된다. 아르헨티나 말벡 와인은 어두운 보랏빛을 띠며, 자두와 바이올렛 향을 내며, 부드러운 타닌과 구조를 갖고 있다. 까오르의 말벡 와인은 건포도, 자두 껍질, 특징적으로 담배 향을 지닌다. 칠레와 남호주의 말벡은 바이올렛 향이 더욱 두드러지며, 아주 잘 익은 탄닌을 느낄 수 있다. 참고로 프랑스의 까오르(Cahors)에서는 오쎄후와(Auxerrois)는 말벡을 뜻하지만 알자스에서 오쎄후와(Auxerrois)는 전혀 별개의 화이트품종이다",3/5,3/5,4/5,3/5,"레드 자두, 블루베리, 바닐라, 달콤한 담배, 코코아","비프 엠파나다, 블루 치즈 버거, 볼레네제 파스타, 파히타"
가메이Gamay,"가메이(Gamay)는 프랑스 보졸레 레드 품종이다. 가메이는 화강암 토양에서 잘 자라며, 탄산 침용 방법(Carbonic Maceration)으로 양조된다. 가메이는 배, 바나나, 라즈베리, 흑후추와 체리 풍미를 지니며, 탄닌이 적고, 알코올 도수도 낮다. 산미가 아주 좋아서 가메이는 매우 신선한 레드 와인이 된다. 가메이로 만든 보졸레 누보(Beaujolais Nouveau)는 매년 11월 3번째 목요일에 출시되는 와인으로 전체 생산량의 절반 이상이 이 시기에 팔린다. 가메이로 만든 보졸레 크뤼(Beaujolais Cru)와인은 10개 마을에서 생산되며, 장기 숙성 잠재력이 높다. 라이트 바디, 신선한 붉은 과일, 캔디느낌의 아로마 그리고 붉은 체리, 딸기의 풍미를 지닌다.",1/5,4/5,2/5,2/5,"허클베리, 라즈베리, 제비꽃, 화분용 영양토, 바나나","구운 치킨, 구운 연어, 케이준 새우, 염소 치즈, 시금치 샐러드"
알리고테Aligote,"알리고테(Aligote)는 프랑스 화이트 품종이다. 이 품종은 프랑스 부르고뉴에서 피노누아 혹은 샤르도네가 적합치 않은 곳에 재배된다. 알리고테는 산미가 좋으며, 신선하고, 버터밀크 향을 느낄 수 있다. 오크 숙성에 적합하지 않다. 특징은 높은 산도, 사과와 레몬의 아로마, 가볍고 신선하며 약간의 허브맛을 가짐",1/5,5/5,1/5,1/5,"버터, 밀크, 레몬","해산물 요리, 소 우유 치즈, 굴, 담치류, 새우, 배스 생선"
마카베오Macabeo,마카베오(Macabeo)는 스페인 화이트 품종이다. 마카베오는 스페인 북부 외에 프랑스 랑그독-루시용(Languedoc-Rousillon)에서 주로 재배된다. 마카베오(Macabeo)는 스페인어로 마카뷰(Macabeu)라 부르기도 하는데 프랑스의 화이트 품종인 비우라(Viura) 의 동의어이다. 스페인의 북동부에 위치하고 있는 리오하 지역에서 널리 분포되어 재배되고 있다.,2/5,3/5,3/5,1/5,"꽃, 꿀, 자몽","샐러드, 가스파초, 페타 치즈, 연어, 숭어, 스시"
피노 뮈니에Pinot Meunier,"피노 뮈니에(Pinot Meunier)는 프랑스 레드 품종이다. 프랑스 상파뉴 지역에서 주로 재배된다. 피노 뮈니에는 농사가 잘 된 해이든 아니든 안정적인 생산량을 내며, 샴페인 블렌딩에서 바디와 향의 풍부함을 더해준다. 실제 상파뉴 지역에서 피노 뮈니에의 재배면적은 전체의 3분의 1정도를 차지한다. 뮈니에(Meunier)라는 이름은 방앗간(Meunier)에서 유래했는데, 포도 송이에 가루처럼 보이는 부분이 생기는 데서 붙여졌다. 와인에 아로마와 과실향을 부여함",1/5,5/5,2/5,2/5,"쥬시한 과일향, 라즈베리, 딸기, 시트러스","구운 닭, 오리 고기, 버섯이 포함된 스트로가노프, 구운 야채, 참치 혹은 연어"
나세타Nascetta,"나세타 (Nascetta)는 이탈리아 피에몬떼 지역에서 생산되는 화이트 품종이다. 뮈스까와 유사한 진한 꽃 향기, 열대 과일 향기 들이 있으며 신선하고 상큼한 사과와 시트러스 그리고 꿀향기도 느껴지는 와인을 만든다.",0/5,3/5,0/5,1/5,"사과, 시트러스, 꿀향기","해산물 리조또, 크림 소스를 이용한 요리, 염소 치즈, 가리비, 구운 연어나 송어"
코르비나Corvina,코르비나(Corvina)는 이탈리아 베네토와 북동쪽 지방에서 재배되는 레드 품종이다. 동의어로 코르비나 베로네제 (Corvina Veronese) 와 크루이나(Cruina)가 있다.,1/5,3/5,4/5,3/5,"체리, 플럼, 검은 자두","해산물 스튜, 구운 연어, 볼로네제 파스타"
라보소Raboso,"라보소(Raboso)는 이탈리아 북동부 레드 품종이다. 와인은 붉은 과실 풍미를 지니며, 근엄하고, 산미가 좋아 파스타 요리와 잘 어울린다. 야생 제비꽃과 집중도가 높은 모렐로 체리 향을 지닌다.",1/5,3/5,4/5,4/5,"붉은 과일, 야생 제비꽃, 모렐로 체리향","칠면조 요리, 비프 엠파나다, 블루 치즈 버거, 돼지 갈비, 브리 치즈"
따나Tannat,"따나(Tannat)는 프랑스 레드 품종이다. 이 품종은 주로 프랑스 남서부 지방, 특히 마디랑(Madiran)지역에서 재배된다. 우루과이에서는 대표 레드 품종으로 매우 중요하다. 따나는 피레네 산맥 근처 바스크 지방에서 발견된다. 이 품종은 탄닌이 매우 많으며, 카베르네 소비뇽 혹은 카베르네 프랑과 혼합된다. 따나는 검붉은 과실 풍미에 오트 숙성을 거치면 탄닌이 부드러워지며 복합성이 좋은 모습을 보인다. 다른 품종들과 섞여 로제 와인으로도 만들어진다. 우루과이에서는 프랑스 마디랑과 달리 그리 무겁지 않은 모습을 보이며, 피노누아 혹은 메를로와 혼합되거나 포트 와인 혹은 보졸레 와인같은 스타일로 양조된다. 강건하고 구조감이 좋은 와인. 타닌이 풍부해 숙성 잠재력이 높음. 라즈베리 아로마를 지님",0/5,4/5,4/5,0/5,"붉은 과일, 블랙 베리, 자두","프랑스 바게트, 해산물, 구운 야채, 베트남과 타이 음식 등 다양한 음식"
네비올로Nebbiolo,"네비올로(Nebbiolo)는 이탈리아 레드 품종이다. 네비올로라는 이름은 이탈리아어로 안개를 뜻하는 네비아(Nebbia)에서 유래했다. 네비올로는 고대 품종으로 포도원에서 재배되며 많은 변이를 일으킨 것으로 추정된다. 네비올로는 그 포도 송이의 어깨가 유난히 크며, 포도알은 중간 크기에 껍질은 어두운 보랏빛을 내며 두껍다. 네비올로는 만생종으로 10월말에 이르러서야 수확이 가능하다. 대부분 석회질이 풍부한 이회토에서 가장 잘 자라며, 이탈리아 북서부 피에몬테에서 주로 재배된다. 완성된 와인은 옅은 석류빛을 띠어 가볍고 부드러운 와인일거라는 인상을 주지만, 맛을 보면 높은 산도와 알코올, 견고하고 떫은 탄닌에 놀라게 된다. 하지만, 출시 초기에도 남다른 멋스러움을 뽐내며, 수준이 다른 와인인 점을 확실히 전달하는 와인이 된다. 보통 네비올로로 만든 와인은 10년 정도 숙성한 뒤 즐기는데, 숙성된 네비올로의 경우, 오렌지 빛이 간도는 엷은 석류빛에, 타르, 장미, 송로 버섯, 감초, 정향, 사향 등의 향을 낸다. 입에서는 숙성에 따라 부드러워진 산미와 탄닌을 느낄 수 있으며 믿기 힘들 정도로 강렬하고 긴 여운을 보여준다. 네비올로의 최상급 예는 피에몬테의 바롤로(Barolo)와 바르바레스코(Barbaresco)에서 찾을 수 있다. 이 외 호주, 미국 등지에서도 재배된다. 와인이 어릴때에는 타르와 장미 향이 많이나며 숙성이 되면서 제비꽃, 타르, 야생 허브, 체리, 라즈베리, 트러플, 담배, 자두 등의 아로마가 발전된다.",5/5,5/5,4/5,5/5,"장미, 첼리, 가죽, 토기, 아니스","구운 칠면조, 소 안심살, 프로슈토, 파르미지아노 레지아노 치즈, 부라타 치즈"
코슈Koshu,"코슈(Koshu)는 일본 화이트 품종이다. 코슈는 주로 일본 야마나시 현(Yamanashi)에서 자란다. 이 품종은 실크 로드를 통해 일본에 전해졌다. 코슈라는 이름은 야마나시 현의 과거 이름이다. 와인은 옅은 볏짚색을 띠며, 부드러운 시트러스와 복숭아 향을 낸다. 맛은 깔끔하며 신선하고, 일본 요리와 잘 어울린다. 라이트 바디, 두드러진 산미 그리고 강한 미네랄, 억제된느낌의 흰 복숭아, 감귤류의 풍미를 지님",2/5,3/5,3/5,1/5,"사계귤, 자스민, 흰 복숭아, 미네랄","테린, 문어 사시미, 오리 요리, 해산물, 조개류 음식"
"뮈스까 베일리 에이, 엠비에이Muscat Bailey A , MBAa",일본와인의 가장 대표적인 품종이다,,,,,,
