와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"렐름 셀라, 문 레이서","Realm Cellars, Moon Racer",https://www.wine21.com/13_search/wine_view.html?Idx=168431&lq=LIST,렐름 셀라  Realm Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 스택스 립 디스트릭트(Stags Leap District),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),Napa Valley Bordeaux Blend,Stags Leap District AVA,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,국순당,1/5,3/5,5/5,4/5,"배, 미네랄, 감초, 흙","바비큐, 양갈비, 파스타, 치즈",,
"렐름 셀라, 더 바드","Realm Cellars, The Bard",https://www.wine21.com/13_search/wine_view.html?Idx=168432&lq=LIST,렐름 셀라  Realm Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 쁘띠 시라  (Petite Sirah),Napa Valley Bordeaux Blend,Napa Valley AVA,,16~18 ℃,"스테이크, 그릴요리, 갈비, 양갈비, 블루치즈, 라자냐, 스튜 와 잘 어울린다.",,국순당,1/5,3/5,5/5,5/5,"배, 감초","양갈비, 라자냐",,
"매기 호크, 졸리","Maggy Hawk, Jolie",https://www.wine21.com/13_search/wine_view.html?Idx=168433&lq=LIST,잭슨 패밀리 와인   Jackson Family Wines,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),,,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*2017 빈티지: Wine Spectator 2020 Top 100 중 48위, Wine Spectator 93점",국순당,1/5,4/5,3/5,3/5,타르,"파스타, 버섯, 치즈",,
"매기 호크, 어플리트","Maggy Hawk, Afleet",https://www.wine21.com/13_search/wine_view.html?Idx=168434&lq=LIST,잭슨 패밀리 와인   Jackson Family Wines,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),,,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*2017 빈티지: Robert Parker 91+점, Wine Spectator 95점",국순당,1/5,4/5,3/5,3/5,"후추, 꿀","파스타, 버섯, 치즈",,
"매기 호크, 스토밍","Maggy Hawk, Stormin",https://www.wine21.com/13_search/wine_view.html?Idx=168435&lq=LIST,잭슨 패밀리 와인   Jackson Family Wines,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),,,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*2017 빈티지: Robert Parker 92점,국순당,1/5,4/5,3/5,3/5,"체리, 생강, 버섯","파스타, 버섯, 치즈",,
"매기 호크, 언포게터블","Maggy Hawk, Unforgettable",https://www.wine21.com/13_search/wine_view.html?Idx=168436&lq=LIST,잭슨 패밀리 와인   Jackson Family Wines,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),,,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*2017 빈티지: 90점,국순당,1/5,4/5,3/5,3/5,"잼, 시나몬","파스타, 버섯, 치즈",,
"애로우드, 나이츠 밸리 까베르네 소비뇽","Arrowood, Knights Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168437&lq=LIST,애로우드  Arrowood,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 나이츠 밸리(Knights Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec),Californian Cabernet Sauvignon,Knights Valley AVA,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",*2015 빈티지: Robert Parker 92점*2014 빈티지: Robert Parker 92점,국순당,1/5,3/5,4/5,4/5,"블랙베리, 블루베리, 자두, 제비꽃, 감초, 허브, 코코아","붉은육류, 바비큐, 양갈비, 파스타, 자두, 치즈",2년간 오크통 숙성 (35% 새 프렌치 오크),
"잭슨 패밀리 와인, 칼라단","Jackson Family Wines, Caladan",https://www.wine21.com/13_search/wine_view.html?Idx=168438&lq=LIST,잭슨 패밀리 와인   Jackson Family Wines,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),,Napa Valley AVA,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 훈제오리, 피자, 햄버거, 파스타, 한국음식 등과 잘 어울린다.",*James Suckling 2020 Top 100 USA 47위,국순당,1/5,3/5,5/5,4/5,"체리, 바닐라","훈제오리, 한국음식",20개월간 오크통 숙성 (75% 뉴 프렌치 오크통),
"에쉔호프 홀져, 로 화이트","Eschenhof Holzer, Raw White",https://www.wine21.com/13_search/wine_view.html?Idx=168439&lq=LIST,에쉔호프 홀져  Eschenhof Holzer,오스트리아(Austria),그뤼너 벨트리너 (Gruner Veltliner),,,,8~10 ℃,"돼지고기, 바비큐, 로스트 치킨, 흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 아시아요리 등과 잘 어울린다.",,국순당,1/5,4/5,2/5,1/5,"사과, 시트러스, 꽃, 허브","치킨, 흰살생선, 샐러드",,
"에쉔호프 홀져, 인베이더","Eschenhof Holzer, Invader",https://www.wine21.com/13_search/wine_view.html?Idx=168440&lq=LIST,에쉔호프 홀져  Eschenhof Holzer,오스트리아(Austria),뮐러 트루가우 (Muller Thurgau),,,,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",*오렌지와인,국순당,1/5,4/5,2/5,1/5,오렌지,"스시, 해산물, 식전주, 전채요리, 스낵",,
"에쉔호프 홀져, 다스 게홀즈","Eschenhof Holzer, Das Geholz",https://www.wine21.com/13_search/wine_view.html?Idx=168441&lq=LIST,에쉔호프 홀져  Eschenhof Holzer,오스트리아(Austria),로터 벨트리너 (Roter Veltliner),,,,8~10 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,국순당,1/5,4/5,2/5,1/5,"구아바, 시나몬, 아몬드, 오크","스시, 해산물, 파스타, 치즈",,
"에쉔호프 홀져, 더 오렌지","Eschenhof Holzer, The Orange",https://www.wine21.com/13_search/wine_view.html?Idx=168442&lq=LIST,에쉔호프 홀져  Eschenhof Holzer,오스트리아(Austria),로터 벨트리너 (Roter Veltliner),,,,12~14 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",*오렌지 와인,국순당,1/5,5/5,2/5,1/5,"살구, 오렌지, 홍차, 아몬드","스시, 해산물, 파스타, 치즈",,
"라르카, 네그로아마로 풀리아","L'Arca, Negroamaro Puglia",https://www.wine21.com/13_search/wine_view.html?Idx=168443&lq=LIST,라르카  L'Arca,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro),,Puglia IGT(IGP),13~14 %,16~18 ℃,초리죠와 같이 스파이시한 육류 등과 잘 어울린다.,,에노테카코리아,0/5,3/5,4/5,3/5,"육두구, 타바코",,,
"라르카, 프리미티보 풀리아","L'Arca, Primitivo Puglia",https://www.wine21.com/13_search/wine_view.html?Idx=168444&lq=LIST,라르카  L'Arca,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),,Puglia IGT(IGP),13~14 %,16~18 ℃,라구 파스타와 스테이크 등과 잘 어울린다.,,에노테카코리아,1/5,3/5,4/5,3/5,"블루베리, 자두, 시나몬","스테이크, 파스타",,
깔도라 꼴레 데이 벤티 몬테풀치아노 다브루쪼,Caldora Colle dei Venti Montepulciano d'Abruzzo,https://www.wine21.com/13_search/wine_view.html?Idx=168445&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 100%,,,13~14 %,16~18 ℃,"코스의 첫 요리부터 구운 육류, 치즈 등가 잘 어울린다.",,(주)와이넬,1/5,3/5,4/5,4/5,아몬드,치즈,,
"드럼헬러, 카베르네 소비뇽","Drumheller, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168446&lq=LIST,드럼헬러 와인즈  Drumheller WInes,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),카베르네 소비뇽 (Cabernet Sauvignon) 99% / 기타 품종 (Other Grapes) 1%,Washington State Cabernet Sauvignon,Columbia Valley AVA,14~15 %,16~18 ℃,"구운 바비큐, 파스타 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"자두, 감초","바비큐, 파스타, 자두",,
"드럼헬러, 메를로","Drumheller, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168447&lq=LIST,드럼헬러 와인즈  Drumheller WInes,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),메를로 (Merlot) 78% / 시라/쉬라즈 (Syrah/Shiraz) 22%,Washington State Merlot,Columbia Valley AVA,14~15 %,16~18 ℃,"구운 치킨, 스테이크, 양고기, 치즈 등과 잘 어울린다.",* Korea Wine Challenge 2022 Silver,,1/5,3/5,4/5,3/5,"블루베리, 라스베리, 자두, 비스켓, 초콜릿, 오크","그릴요리, 스테이크, 양고기, 오리로스, 치킨, 불고기, 양념갈비, 갈비찜, 파스타, 햄버거, 피자, 자두, 치즈",원액의 50% 정도는 10-12개월간 한 번 사용한 프랑스산과 미국산 오크통에서 숙성시켜 스파이시하며 스모키한 아로마를 형성,"줄기를 제거, 으깨진 상태로 발효통에 넣어 7-10일간 발효."
"드럼헬러, 샤도네이","Drumheller, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168448&lq=LIST,드럼헬러 와인즈  Drumheller WInes,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),샤르도네 (Chardonnay),Washington State Chardonnay,Columbia Valley AVA,13~14 %,10~12 ℃,"구운 치킨, 스테이크, 양고기, 치즈 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,미네랄,"베이컨, 꼬치구이, 소시지, 돼지고기, 양꼬치, 건육, 양념치킨, 닭강정, 후라이드, 오리로스, 치킨, 해산물, 만두, 오일파스타, 리조토, 서양요리, 중국요리, 치즈",,
"랜드마크, 오버룩 샤도네이","Landmark, Overlook Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168449&lq=LIST,랜드마크  Landmark,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),샤르도네 (Chardonnay),,Sonoma Coast AVA,14~15 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",*Robert Parker's The Wine Advocate 90점*Wine Enthusiast 90점*'Wine Spectator's top100'에 8회 리스팅,,1/5,3/5,3/5,1/5,레몬,"바비큐, 수육, 탕수육, 치즈",,
"랜드마크, 오버룩 피노 누아","Landmark, Overlook Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168450&lq=LIST,랜드마크  Landmark,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),피노 누아 (Pinot Noir),,Sonoma Coast AVA,14~15 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*Wine Enthusiast 91점, Wine Spectator 90점*CellarTracker 90점, 2019 The TEXSOM International Wine Awards Gold",,1/5,4/5,3/5,3/5,"딸기, 배, 감초, 삼나무, 가죽","파스타, 버섯, 치즈",,
"마운트 픽, 그래비티","Mount Peak, Gravity",https://www.wine21.com/13_search/wine_view.html?Idx=168451&lq=LIST,마운트 픽  Mount Peak,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County),쁘띠 시라  (Petite Sirah) / 산지오베제 (Sangiovese) / 진판델 (Zinfandel) / 카베르네 소비뇽 (Cabernet Sauvignon) / 그르나슈 (Grenache),,,15~16 %,16~18 ℃,"스테이크, 그릴요리, 양고기, 양갈비, 파스타, 다양한 치즈 등과 잘 어울린다.",*2014 빈티지: Cellar Tracker 92점,,1/5,3/5,4/5,4/5,,"파스타, 치즈",,
"마운트 피크, 래틀스네이크","Mount Peak, Rattlesnake",https://www.wine21.com/13_search/wine_view.html?Idx=168452&lq=LIST,마운트 픽  Mount Peak,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),진판델 (Zinfandel),,Sonoma Coast AVA,15~16 %,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.","*2016 빈티지: Robert Parker The Wine Advocate 94점, Wine Spectator 91점*2014 빈티지: Robert Parker The Wine Advocate 92점",,1/5,3/5,4/5,4/5,"블랙베리, 자두, 바닐라, 오크","살라미, 견과류, 치즈",,
"마운트 피크, 센티넬","Mount Peak, Sentinel",https://www.wine21.com/13_search/wine_view.html?Idx=168453&lq=LIST,마운트 픽  Mount Peak,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),카베르네 소비뇽 (Cabernet Sauvignon),,,15~16 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",*2016 빈티지: Wine Advocate 93점*2015 빈티지: Cellar Tracker 93점,,1/5,3/5,4/5,4/5,"블랙베리, 자두, 바닐라, 오크","양갈비, 치즈",,
본 오브 파이어 카베르네 소비뇽,Borne of Fire Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=168454&lq=LIST,본 오브 파이어  Borne of Fire,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),카베르네 소비뇽 (Cabernet Sauvignon),Washington State Cabernet Sauvignon,Columbia Valley AVA,13~14 %,16~18 ℃,"구운 바비큐, 파스타 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"체리, 석류, 건포도, 미네랄, 후추, 허브, 커피","바비큐, 파스타",,
본 오브 파이어 샤도네이,Borne of Fire Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=168455&lq=LIST,본 오브 파이어  Borne of Fire,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),샤르도네 (Chardonnay) 100%,Washington State Chardonnay,Columbia Valley AVA,13~14 %,16~18 ℃,"생선 요리, 크림 파스타 등과 잘 어울린다.",*2018 빈티지: Jeb Dunnock 90점,,1/5,3/5,2/5,1/5,"배, 꽃, 미네랄, 허브, 오크",파스타,,
"프레이 브라더스, 멜롯","Frei Brothers, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168457&lq=LIST,프레이 브라더스  Frei Brothers,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 드라이 크릭 밸리(Dry Creek Valley),메를로 (Merlot),,Dry Creek Valley AVA,14~15 %,16~18 ℃,"스테이크, 불고기, 닭고기 등의 육류요리와 잘 어울린다.",,,1/5,3/5,4/5,3/5,"감초, 토스트","닭고기, 불고기",,
"브라이들 우드, 샤도네이","Bridle Wood, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168458&lq=LIST,브라이들 우드  Bridle Wood,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County),샤르도네 (Chardonnay),,,14~15 %,8~10 ℃,"크림소스가 더해진 요리, 치즈 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"레몬, 꽃, 바닐라",치즈,,
"브라이들 우드, 피노누아","Bridle Wood, Monterey County Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168459&lq=LIST,브라이들 우드  Bridle Wood,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County),피노 누아 (Pinot Noir),,,14~15 %,14~16 ℃,"구운 치킨 요리, 파스타, 훈제 연어 요리 등과 잘 어울린다.",*2018 빈티지: Wine Enthusiast 91점*Decanter World Wine Awards 2016 Commended*International Wine & Spirit Competition 2016 Bronze*International Wine Challenge 2016 Commended*Mundus Vini Silver,,1/5,4/5,3/5,3/5,"배, 후추, 오크","치킨, 연어, 파스타",,
"브라이들 우드, 까베네 소비뇽","Bridle Wood, Paso Robles Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168460&lq=LIST,브라이들 우드  Bridle Wood,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah) / 메를로 (Merlot),,,13~14 %,16~18 ℃,"바비큐, 스테이크 등 육류 요리 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"배, 리치","스테이크, 바비큐",,
"윌리엄 힐, 센트럴 코스트 샤도네이","William Hill, Central Coast Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168461&lq=LIST,윌리엄 힐  William Hill,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),샤르도네 (Chardonnay),,,13~14 %,8~10 ℃,"해산물 요리, 크림 소스가 올라간 요리 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,해산물,,
"윌리엄 힐, 센트럴 코스트 피노누아","William Hill, Central Coast Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168462&lq=LIST,윌리엄 힐  William Hill,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),피노 누아 (Pinot Noir),,,14~15 %,14~16 ℃,"구운 치킨 요리, 돼지고기 요리 등과 잘 어울린다.",,,1/5,4/5,3/5,3/5,"체리, 오크",치킨,,
"윌리엄 힐, 나파밸리 까베르네 소비뇽","William Hill, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168463&lq=LIST,윌리엄 힐  William Hill,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),,Napa Valley AVA,15~16 %,16~18 ℃,"소고기 스테이크, 오리 고기 요리 등과 잘 어울린다.",*2013 빈티지: Wine Spectator 90점,,1/5,3/5,4/5,4/5,"자두, 감초",,,
"윌리엄 힐, 센트럴 코스트 까베르네 소비뇽","William Hill, Central Coast Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168464&lq=LIST,윌리엄 힐  William Hill,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,"소고기 스테이크, 오리 고기 요리 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"체리, 시나몬",,,
"프로버브, 까베네 쇼비뇽","Proverb, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168465&lq=LIST,프로버브  Proverb,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah) / 쁘띠 베르도 (Petit Verdot) / 블렌드 (Blend ),,,13~14 %,16~18 ℃,"바비큐, 치즈 퐁듀 등과 잘 어울린다.",,,1/5,3/5,4/5,3/5,"블랙베리, 바닐라","바비큐, 치즈",,
"프로버브, 멜롯","Proverb, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168466&lq=LIST,프로버브  Proverb,미국(U.S.A) / 캘리포니아(California),메를로 (Merlot) / 쁘띠 시라  (Petite Sirah) / 블렌드 (Blend ),,,12~13 %,16~18 ℃,"토마토 소스(마리나라) 요리, 치킨 등과 잘 어울린다.",,,1/5,4/5,3/5,3/5,"체리, 자두, 바닐라",치킨,,
"프로버브, 소비뇽 블랑","Proverb, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168467&lq=LIST,프로버브  Proverb,미국(U.S.A) / 캘리포니아(California),소비뇽 블랑 (Sauvignon Blanc) / 알바리뇨 (Albarino(Alvarinho)) / 슈냉 블랑 (Chenin Blanc) / 블렌드 (Blend ),,,13~14 %,8~10 ℃,"토마토 바질 스프, 후라이드 치킨 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"살구, 파인애플",,,
"프로버브, 로제","Proverb, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=168468&lq=LIST,프로버브  Proverb,미국(U.S.A) / 캘리포니아(California),그르나슈 (Grenache) / 바르베라 (Barbera) / 템프라니요 (Tempranillo) / 진판델 (Zinfandel) / 피노 그리 (Pinot Gris),,,12~13 %,10~12 ℃,"시저 샐러드, 해산물 요리 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,미네랄,"해산물, 샐러드",,
