와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,숙성,양조,스타일
"프레시넷, 아이스 까바 로제","Freixenet, ICE Cava Rose",https://www.wine21.com/13_search/wine_view.html?Idx=166358&lq=LIST,프레시넷  Freixenet,스페인(Spain) / 페네데스(Penedes),그르나슈 (Grenache) / 피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),12~13 %,6~8 ℃,"해산물, 샐러드, 에피타이저, 디저트 등과 잘 어울린다.",,금양인터내셔날,2/5,2/5,3/5,1/5,"배, 시트러스, 리치, 아니스","해산물, 샐러드, 디저트",,,,
"페렐라다, 3 핀케스","Perelada, 3 Finques",https://www.wine21.com/13_search/wine_view.html?Idx=166359&lq=LIST,페렐라다  Perelada [Castillo de Perelada],스페인(Spain) / 엠포르다(Emporda(Amporda)),쌩쏘 (Cinsault) 60% / 가르나차  (Garnacha) 18% / 메를로 (Merlot) 12% / 기타 품종 (Other Grapes) 10%,13~14 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 흙","스테이크, 양갈비",,,,
"페렐라다, 투란도트","Perelada, Turandot",https://www.wine21.com/13_search/wine_view.html?Idx=166360&lq=LIST,페렐라다  Perelada [Castillo de Perelada],스페인(Spain) / 엠포르다(Emporda(Amporda)),쌩쏘 (Cinsault) 49% / 가르나차  (Garnacha) 33% / 시라/쉬라즈 (Syrah/Shiraz) 7% / 기타 품종 (Other Grapes) 11%,13~14 %,15~17 ℃,"소고기, 스튜, 스테이크, 양갈비, 버섯, 하몽, 견과류 와 잘 어울린다.",,,1/5,3/5,5/5,5/5,,"양갈비, 하몽, 버섯, 견과류",,,,
"앙리 지로, 퓌 드 셴 브뤼 MV13","Henri Giraud, Fut de Chene Brut MV13",https://www.wine21.com/13_search/wine_view.html?Idx=166361&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 70% / 샤르도네 (Chardonnay) 30%,,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",*Robert Parker 96점,크리스탈와인,1/5,5/5,2/5,1/5,오크,"스시, 샐러드, 과일, 치즈, 디저트",,,,
크루즈 스파클링 트레디션,Cruse Sparkling Tradition,https://www.wine21.com/13_search/wine_view.html?Idx=166362&lq=LIST,크루즈 와인  Cruse Wine,미국(U.S.A) / 캘리포니아(California) / 노스 코스트(North Coast),샤르도네 (Chardonnay) 85% / 피노 누아 (Pinot Noir) 15%,,6~8 ℃,"스시, 회, 해산물, 랍스터, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트, 스낵 등과 잘 어울린다.",*2016 빈티지: 261케이스 생산,크리스탈와인,1/5,4/5,2/5,1/5,,"스시, 샐러드, 과일, 치즈",North Coast AVA,,,
"쓰리 딥스, 더 쇼 말벡","Three Thieves, The Show Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=166363&lq=LIST,쓰리 딥스  Three Thieves,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 92% / 카베르네 소비뇽 (Cabernet Sauvignon) 8%,13~14 %,15~17 ℃,"바비큐, 스테이크, 양고기 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,오크,"스테이크, 바비큐, 양고기",,,,
"앙시앙 땅, 그랑 블루","Anciens Temps, Grande Bleu",https://www.wine21.com/13_search/wine_view.html?Idx=166364&lq=LIST,앙시앙 땅  Anciens Temps,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon) 50% / 시라/쉬라즈 (Syrah/Shiraz) 50%,13~14 %,15~17 ℃,"다양한 육류 요리, 각종 치즈 등과 잘 어울린다.",,동원와인플러스,1/5,3/5,4/5,3/5,,치즈,,,,
비벨로 로쏘 스위트,Vivello Rosso Sweet,https://www.wine21.com/13_search/wine_view.html?Idx=166365&lq=LIST,체비코  Cevico,이탈리아(Italy),산지오베제 (Sangiovese) 90% / 기타 품종 (Other Grapes) 10%,9 %,12~14 ℃,"다양한 치즈, 견과류, 말린 과일, 디저트, 티라미슈, 페스트리, 건육 등과 잘 어울린다.",*당도 50g/l,하이트진로,5/5,2/5,3/5,2/5,"배, 효모","건육, 과일, 견과류, 치즈",,,,
"까르피네토, 파니토 브뤼","Carpinetto, Farnito Brut",https://www.wine21.com/13_search/wine_view.html?Idx=166366&lq=LIST,까르피네토  Carpinetto,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) 100%,,6~8 ℃,"생선, 흰고기, 크림소스로 요리된 음식, 파마산 치즈, 파마산 치즈로 요리된 음식 등과 잘 어울린다.","*1998 Wine Spectator Top 100*International Wine & Spirit Competition(IWSC), 1994, 2003 “Winemaker of the Year' 수상*Wine Spectator's Grand Tour, 전세계 200대 중요 와인 생산자 중 하나로 선정*Opera Wine (organised by Wine Spectator), 이탈리아 100대 가장 중요한 와인 생산자 중 하나로 선정",국순당,1/5,4/5,3/5,1/5,,,,,,
"아우사스, 인터프레타시온","Ausas, Interpretacion",https://www.wine21.com/13_search/wine_view.html?Idx=166367&lq=LIST,오사스 보데가스 이 비네도스  Ausas Bodegas y Vinedos,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 100%,15~16 %,15~17 ℃,"붉은 육류, 붉은 살 생선, 익힌 채소, 단단한 치즈, 훈제 음식, 염장 음식, 밀가루 음식 등과 잘 어울린다.",*2016 빈티지: Wine Advocate 95점,금양인터내셔날,1/5,4/5,5/5,5/5,"딸기, 허브, 오크","채소, 치즈",,,,
"안토니오 아레즈, 카날라스 틴토","Antonio Arraez, Canallas Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=166368&lq=LIST,보데가 안토니오 아레즈  Bodegas Antonio Arraez,스페인(Spain) / 발렌시아(Valencia),템프라니요 (Tempranillo) 50% / 모나스트렐 (Monastrell) 50%,13~14 %,15~17 ℃,"붉은 육류, 해산물, 샐러드, 단단한 치즈, 밀가루 음식, 매운 음식, 디저트, 과일 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,3/5,3/5,바닐라,"해산물, 샐러드, 과일, 치즈, 디저트",Utiel DO(DOP),,,
"안토니오 아레즈, 카날라스 블랑코","Antonio Arraez, Canallas Blanco",https://www.wine21.com/13_search/wine_view.html?Idx=166369&lq=LIST,보데가 안토니오 아레즈  Bodegas Antonio Arraez,스페인(Spain) / 발렌시아(Valencia),메르세게라 (Merseguera) 50% / 모스카텔 (Moscatel) 50%,12~13 %,6~8 ℃,"해산물, 샐러드, 단단한 치즈, 과일 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,3/5,1/5,시트러스,"해산물, 샐러드, 과일, 치즈",Utiel DO(DOP),,,
"솔리타, 스파클링 브뤼","Solita, Sparkling Brut",https://www.wine21.com/13_search/wine_view.html?Idx=166370&lq=LIST,솔리타  Solita,스페인(Spain),파르디나 (Pardina) 50% / 베바 (Beba) 50%,11~12 %,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,1/5,1/5,배,"스시, 해산물, 식전주, 전채요리, 스낵",,,,
"솔리타, 모스카토 스파클링","Solita, Moscato Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=166371&lq=LIST,솔리타  Solita,스페인(Spain),모스카토  (Moscato ) 100%,6~7 %,6~8 ℃,"채소, 부드러운 치즈, 밀가루 음식, 매운 음식, 디저트, 과일 등과 잘 어울린다.",,금양인터내셔날,4/5,2/5,1/5,1/5,"열대과일, 자스민","채소, 과일, 치즈, 디저트",,,,
"오스본, 솔라즈 메를로 카베르네 소비뇽","Osbone, Solaz Merlot Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166372&lq=LIST,오스본  Osborne,스페인(Spain),메를로 (Merlot) 65% / 카베르네 소비뇽 (Cabernet Sauvignon),13~14 %,15~17 ℃,"붉은 육류, 단단한 치즈, 피자, 파스타 등과 잘 어울린다.",,금양인터내셔날,2/5,3/5,3/5,3/5,,치즈,,,,
"아리스토스, 두케","Aristos, Duque",https://www.wine21.com/13_search/wine_view.html?Idx=166373&lq=LIST,아리스토스  Aristos,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.","*2012 빈티지: James Suckling 94점, Robert Parker 94점",에노테카코리아,1/5,2/5,5/5,4/5,오크,"양갈비, 치즈",,,,
"아리스토스, 두케사","Aristos, Duquesa",https://www.wine21.com/13_search/wine_view.html?Idx=166374&lq=LIST,아리스토스  Aristos,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay) 100%,14~15 %,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.","*2012 빈티지: James Suckling 96점, Robert Parker 95점",에노테카코리아,1/5,3/5,3/5,1/5,"리치, 자스민, 흰꽃, 미네랄, 오크, 효모","닭고기, 광어, 농어, 연어, 수육, 탕수육, 치즈",,,,
"아리스토스, 바론","Aristos, Baron",https://www.wine21.com/13_search/wine_view.html?Idx=166375&lq=LIST,아리스토스  Aristos,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 80% / 말벡 (Malbec) 15% / 카르메네르 (Carmenere) 5%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.","*2012 빈티지: James Suckling 92점, Robert Parker 93점",에노테카코리아,1/5,2/5,4/5,4/5,"허브, 오크","양갈비, 치즈",,,,
"베리 브라더스 &  & 러드, 네로 다볼라","Berry Bros. & Rudd, Nero d'Avola",https://www.wine21.com/13_search/wine_view.html?Idx=166376&lq=LIST,베리 브라더스 & 러드  Berry Bros. & Rudd,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola) 100%,14 %,16~18 ℃,토마토 소스 베이스의 파스타 또는 피자와 잘 어울린다.,,,1/5,3/5,3/5,3/5,,,Sicilia DOC(DOP),,,
"베리 브라더스 & 러드, 피노 누아","Berry Bros. & Rudd, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=166377&lq=LIST,베리 브라더스 & 러드  Berry Bros. & Rudd,프랑스(France) / 서던 프랑스(Southern France),피노 누아 (Pinot Noir) 100%,13.5 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,3/5,체리,"파스타, 버섯, 치즈",Pays d'Oc IGP,,,
"베리 브라더스 & 러드, 프로세코","Berry Bros. & Rudd, Prosecco",https://www.wine21.com/13_search/wine_view.html?Idx=166378&lq=LIST,베리 브라더스 & 러드  Berry Bros. & Rudd,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,11 %,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,"사과, 꽃","스시, 해산물, 식전주, 전채요리, 스낵",Prosecco DOC(DOP),,,
"알패션, 그랑 샤도네이","Alpasion, Grand Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=166379&lq=LIST,알패션  Alpasion,아르헨티나(Argentina) / 멘도사(Mendoza),샤르도네 (Chardonnay) 100%,14~15 %,8~10 ℃,"해물 파스타, 야채 플레이트, 치즈 등과 잘 어울린다.","*2018 빈티지: Robert Parker 90점, 2185병 생산",,1/5,3/5,3/5,1/5,"배, 바닐라, 오크","파스타, 야채, 치즈",,,,
"알패션, 프라이빗 셀렉션","Alpasion, Private Selection",https://www.wine21.com/13_search/wine_view.html?Idx=166380&lq=LIST,알패션  Alpasion,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 56% / 시라/쉬라즈 (Syrah/Shiraz) 23% / 쁘띠 시라  (Petite Sirah) 12% / 카베르네 프랑 (Cabernet Franc) 9%,15~16 %,15~17 ℃,"양고기, 라구 파스타, 훈연 고기 등과 잘 어울린다.","*2016 Decanter World Wine Awards Commended*2016 Wines of Argentina Gold*13,700병 생산",,1/5,3/5,5/5,5/5,"바닐라, 가죽","양고기, 파스타",,,,
"아카데미아, 로제 스푸만테","Accademia, Rose Spumante",https://www.wine21.com/13_search/wine_view.html?Idx=166381&lq=LIST,아카데미아  Accademia,이탈리아(Italy) / 베네토(Veneto),피노 누아 (Pinot Noir) / 라보소 (Raboso),11~12 %,8~10 ℃,"식전주, 생선 등과 잘 어울린다.",,,2/5,3/5,2/5,1/5,"사과, 꽃",식전주,,,,
"아카데미아, 프로세코 스푸만테 블루","Accademia, Prosecco Spumante Blue",https://www.wine21.com/13_search/wine_view.html?Idx=166382&lq=LIST,아카데미아  Accademia,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,11~12 %,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,2/5,3/5,2/5,1/5,시트러스,"스시, 해산물, 식전주, 전채요리, 스낵",,,,
"샹빠뉴 리에바르 르니에, 브뤼","Champagne Liebart-Regnier, Les Sols Bruns Brut",https://www.wine21.com/13_search/wine_view.html?Idx=166383&lq=LIST,샹파뉴 리에바르 르니에  Champagne Liebart-Regnier,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 60% / 피노 누아 (Pinot Noir) 20% / 샤르도네 (Chardonnay) 20%,12~13 %,6~8 ℃,타임이 올라간 마리네이드 소고기에 올리브 오일을 드리즐한 카르파쵸 등과 잘 어울린다.,*2018 Decanter Bronze Medal,,1/5,4/5,2/5,1/5,시트러스,소고기,Champagne AOC(AOP),,,
"애므리, 노블 빈스 까베르네 소비뇽","Aimery, Nobles Vignes Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166384&lq=LIST,쉬르 다르크 [씨에르 다르퀴]  Sieur d'Arques,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 리무(Limoux),카베르네 소비뇽 (Cabernet Sauvignon) 100%,13~14 %,15~17 ℃,"그릴드 미트, 고기 스튜, 포르치니 버섯을 함께 올린 송아지 고기 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,,버섯,,,,
"애므리, 노블 빈스 쉬라","Aimery, Nobles Vignes Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=166385&lq=LIST,쉬르 다르크 [씨에르 다르퀴]  Sieur d'Arques,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 리무(Limoux),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,15~17 ℃,"양고기, 소프트 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"양고기, 치즈",Pays d'Oc IGP,,,
"애므리, 노블 빈스 샤도네이","Aimery, Nobles Vignes Chardonaay",https://www.wine21.com/13_search/wine_view.html?Idx=166386&lq=LIST,쉬르 다르크 [씨에르 다르퀴]  Sieur d'Arques,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 리무(Limoux),샤르도네 (Chardonnay) 100%,12~13 %,6~8 ℃,"식전주, 생선, 조개, 바질을 올린 그릴드 새우 요리 등과 잘 어울린다.",*2017 International Wine Challenge Commended*2000 Chardonnay-du-Monde Bronze,,1/5,3/5,2/5,1/5,,"새우, 식전주",Pays d'Oc IGP,,,
"로베르토 보에르지오, 랑게 네비올로 디산프란체스코","Roberto Voerzio, Langhe Nebbiolo Disanfrancesco",https://www.wine21.com/13_search/wine_view.html?Idx=166387&lq=LIST,로베르토 보에르지오  Roberto Voerzio,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),네비올로 (Nebbiolo) 100%,13~14 %,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,4/5,"감초, 허브, 오크","붉은육류, 파스타, 치즈",Langhe DOC(DOP),,,
"로베르토 보에르지오, 바롤로 토릴리오네","Roberto Voerzio, Barolo Torriglione",https://www.wine21.com/13_search/wine_view.html?Idx=166388&lq=LIST,로베르토 보에르지오  Roberto Voerzio,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,14 %,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,에노테카코리아,1/5,4/5,5/5,4/5,"체리, 가죽","붉은육류, 파스타, 치즈",Barolo DOCG(DOP),,,
"로베르토 보에르지오, 바롤로 포싸티","Roberto Voerzio, Barolo Fossati",https://www.wine21.com/13_search/wine_view.html?Idx=166389&lq=LIST,로베르토 보에르지오  Roberto Voerzio,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,14~14.5 %,16~18 ℃,"트러플, 양갈비, 스튜, 그릴요리, 버섯, 갈비, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.","*2015 빈티지: Robert Parker 95점, Wine Enthusiast 95점",에노테카코리아,1/5,4/5,5/5,5/5,"레드커런트, 장미, 미네랄","양갈비, 프로슈토, 라자냐",Barolo DOCG(DOP),,,
"로베르토 보에르지오, 바롤로 포싸티 카세 네레","Roberto Voerzio, Barolo Fossati Case Nere",https://www.wine21.com/13_search/wine_view.html?Idx=166390&lq=LIST,로베르토 보에르지오  Roberto Voerzio,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,14~15 %,16~18 ℃,"트러플, 양갈비, 스튜, 그릴요리, 버섯, 갈비, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.",,에노테카코리아,1/5,4/5,5/5,5/5,,"양갈비, 프로슈토, 라자냐",Barolo DOCG(DOP),,,
"쥬세뻬 코르테제, 랑게 돌체토","Giuseppe Cortese, Langhe Dolcetto",https://www.wine21.com/13_search/wine_view.html?Idx=166391&lq=LIST,쥬세뻬 코르테제  Giuseppe Cortese,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),돌체토 (Dolcetto) 100%,12~13 %,16~18 ℃,"돼지고기, 햄, 베이컨, 바비큐, 닭고기, 흰살생선, 생선찜, 프로슈토, 전, 동그랑땡, 편육, 파스타 와 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,3/5,"자두, 미네랄","프로슈토, 닭고기, 파스타, 자두",Langhe DOC(DOP),,,
"쥬세뻬 코르테제, 랑게 비앙코 스카풀린","Giuseppe Cortese, Langhe Bianco Scapulin",https://www.wine21.com/13_search/wine_view.html?Idx=166392&lq=LIST,쥬세뻬 코르테제  Giuseppe Cortese,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),샤르도네 (Chardonnay) 100%,13~14 %,10~12 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리 등과 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,1/5,"복숭아, 감귤, 미네랄, 아몬드, 오크","해산물, 복숭아",Langhe DOC(DOP),,,
"시카모어 레인, 카베르네 소비뇽","Sycamore Lane, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166393&lq=LIST,트린체로 패밀리 이스테이트  Trinchero Family Estate,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,12~13 %,15~17 ℃,"치킨, 스테이크, 양고기, 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 바닐라, 오크","스테이크, 양고기, 치킨, 파스타",California AVA,,,
"시카모어 레인, 메를로","Sycamore Lane, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=166394&lq=LIST,트린체로 패밀리 이스테이트  Trinchero Family Estate,미국(U.S.A) / 캘리포니아(California),메를로 (Merlot) 100%,13~14 %,15~17 ℃,"닭고기, 소고기, 양고기, 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 자두, 허브","소고기, 양고기, 닭고기, 파스타",California AVA,,,
"시카모어 레인, 샤도네","Sycamore Lane, Chardonaay",https://www.wine21.com/13_search/wine_view.html?Idx=166395&lq=LIST,트린체로 패밀리 이스테이트  Trinchero Family Estate,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) 100%,13~14 %,10~12 ℃,"해산물, 가금류 요리, 돼지갈비, 크림파스타, 부드러운 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,"감귤, 버터","돼지, 가금류, 해산물, 치즈",California AVA,,,
"시카모어 레인, 피노 그리지오","Sycamore Lane, Pinot Grigio",https://www.wine21.com/13_search/wine_view.html?Idx=166396&lq=LIST,트린체로 패밀리 이스테이트  Trinchero Family Estate,미국(U.S.A) / 캘리포니아(California),피노 그리지오 (Pinot Grigio) 100%,13~14 %,10~12 ℃,"한식, 샐러드, 해산물, 치즈 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"배, 꽃","해산물, 한식, 샐러드, 치즈",California AVA,,,
