와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"폰세카, 루비 포트","Fonseca, Ruby Port",https://www.wine21.com/13_search/wine_view.html?Idx=162142&lq=LIST,폰세카  Fonseca,포르투갈(Portugal) / 도우루(Douro),블렌드 (Blend ),Portuguese Port,16~18 ℃,별도의 칠링 없이 블루 치즈와 함께 즐기거나 디저트 와인으로 즐기기에 손색 없다. 숙성 없이 영하게 마시기에 좋은 스타일이다.,신세계엘앤비,5/5,2/5,5/5,3/5,체리,"치즈, 디저트",,20 %,,,
"폰세카, 빈 27 포트","Fonseca, Bin 27 Port",https://www.wine21.com/13_search/wine_view.html?Idx=162143&lq=LIST,폰세카  Fonseca,포르투갈(Portugal) / 도우루(Douro),블렌드 (Blend ),Portuguese Port,16~18 ℃,"식후에 다크 초콜릿, 초콜릿 브라우니, 트러플 등과 잘 어울린다.",신세계엘앤비,5/5,2/5,5/5,2/5,오크,"트러플, 초콜릿",,,*International Wine Challenge 금메달 수상,,
"폰세카, 10년 숙성 타우니 포트","Fonseca, 10 Year Old Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=162144&lq=LIST,폰세카  Fonseca,포르투갈(Portugal) / 도우루(Douro),블렌드 (Blend ),Portuguese Port,16~18 ℃,"살짝 칠링해 디저트 와인으로 마시거나 볶은 아몬드, 각종 베리, 다크 초콜릿, 블루 치즈와 곁들이면 잘 어울린다.",신세계엘앤비,2/5,1/5,5/5,2/5,,치즈,,,*International Wine Challenge 동메달 수상*'Decanter' ★★★ 3 stars,,
"폰세카, 20년 숙성 타우니 포트","Fonseca, 20 Year Old Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=162145&lq=LIST,폰세카  Fonseca,포르투갈(Portugal) / 도우루(Douro),블렌드 (Blend ),Portuguese Port,16~18 ℃,"아몬드, 무화과, 캐러멜 풍미와 잘 어울린다. 살짝 칠링해 크렘 브륄레 혹은 산딸기, 견과류와 곁들이면 훌륭한 마리아주를 이룬다.",신세계엘앤비,2/5,1/5,5/5,2/5,시나몬,"딸기, 견과류",,,*2014 Decanter World Wine Awards 금메달*2011 Ultimate Wine Challenge 92점*Wine Spectator 94점*Wine Enthusiast 94점,,
"폰세카, 빈티지 포트","Fonseca, Vintage Port",https://www.wine21.com/13_search/wine_view.html?Idx=162149&lq=LIST,폰세카  Fonseca,포르투갈(Portugal) / 도우루(Douro),블렌드 (Blend ),Portuguese Port,16~18 ℃,호두나 블루치즈처럼 풍미가 강한 치즈와 잘 어울린다. 말린 살구나 무화과 등 건과일과도 잘 어울리며 음식 없이 와인 본연의 향과 맛을 즐겨도 좋다.,신세계엘앤비,5/5,3/5,5/5,4/5,초콜릿,"과일, 호두",,,"*2009 빈티지: Wine Advocate 94점, Wine Spectator 95점, Decanter 19/20점*2000 빈티지: Wine Advocate 95점, Wine Spectator 92-94점*1994 빈티지: Wine Spectator 100점(1997년 Top 100 1위)*1992 빈티지: Wine Enthusiast 94점, Robert Parker - The World’s Greatest Wine Estates 2005 97점*1985 빈티지: Wine Advocate 93점, Robert Parker - Wine Buyers Guide 90점, Wine Spectator 95점",,
689 화이트 나파 밸리,689 White Napa Valley,https://www.wine21.com/13_search/wine_view.html?Idx=162151&lq=LIST,프리미어 와인 그룹  Premier Wine Group,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 비오니에 (Viognier) / 뮈스까 (Muscat),Californian White Blend,10~12 ℃,"그릴에 구운 치킨, 랍스터, 크랩 케이크, 화이트 소스의 해산물 파스타",신세계엘앤비,1/5,3/5,3/5,1/5,"망고, 꽃, 오크, 꿀","치킨, 파스타, 케이크",Napa Valley AVA,,,,
"피치니, 히에론 몬테풀치아노 다브루쪼","Piccini, Hieron Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=162152&lq=LIST,피치니  Piccini,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 100%,Italian Montepulciano d'Abruzzo,16~18 ℃,"그릴에 구운 육류요리, 토마토소스 피자, 파스타",신세계엘앤비,1/5,4/5,3/5,3/5,체리,육류요리,Montepulciano d'Abruzzo DOC(DOP),,,,
"피치니, 히에론 까베르네 소비뇽","Piccini, Hieron Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162153&lq=LIST,피치니  Piccini,이탈리아(Italy) / 시칠리아(Sicilia),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Southern Italy Red,16~18 ℃,"그릴에 구운 육류요리, 토마토소스 피자, 파스타",신세계엘앤비,1/5,3/5,3/5,3/5,,육류요리,,,,,
피치니 그란 프루넬로,Piccini Gran Prugnello,https://www.wine21.com/13_search/wine_view.html?Idx=162154&lq=LIST,피치니  Piccini,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 60% / (Ciliegolo) 30% / 말바시아 (Malvasia) 10%,Central Italy Red,16~18 ℃,"그릴에 구운 육류요리, 토마토소스 피자, 파스타",신세계엘앤비,1/5,3/5,3/5,3/5,감초,육류요리,,,,,
아뮤즈 부셰 '썬 드렌치드 테이블',Amuse Bouche 'Sun Drenched Table',https://www.wine21.com/13_search/wine_view.html?Idx=162155&lq=LIST,아뮤즈 부셰  Amuse Bouche,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),메를로 (Merlot) 96% / 카베르네 프랑 (Cabernet Franc) 4%,Californian Bordeaux Blend,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 훈제오리, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",씨에스알와인,1/5,3/5,5/5,4/5,,"햄, 훈제오리, 한국음식, 치즈",Napa Valley AVA,,*Robert Parker 94점*Wine Spectator 90점,,
"아뮤즈 부셰, 리차드 G. 피터슨 피노 누아","Amuse Bouche, Richard G. Peterson Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162156&lq=LIST,아뮤즈 부셰  Amuse Bouche,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County) / 산타 루치아 하이랜즈(Santa Lucia Highlands),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",씨에스알와인,1/5,4/5,3/5,3/5,"미네랄, 오크, 버섯","파스타, 버섯, 치즈",Santa Lucia Highlands AVA,,,,
"파시스, 불독","Paxis, Bulldog",https://www.wine21.com/13_search/wine_view.html?Idx=162157&lq=LIST,DFJ 비노스  DFJ Vinhos,포르투갈(Portugal) / 리스본(Lisboa),투리가 나시오날 (Touriga Nacional) 34% / 틴타 로리즈 (Tinta Roriz) 33% / 투리가 프란카 (Touriga Franca) 33%,,16~18 ℃,"바베큐 요리, 치즈 오븐 파스타, 야채 오븐 구이 등과 잘 어울린다.",씨에스알와인,1/5,3/5,4/5,4/5,,"파스타, 야채, 치즈",,,,,
"샴페인 쟈끄쏭, 아비즈 데고르쥬멍 타르디프","Champagne Jacquesson, AVIZE Degorgement Tardif",https://www.wine21.com/13_search/wine_view.html?Idx=162158&lq=LIST,샴페인 자크송  Champagne Jacquesson,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",씨에스알와인,1/5,5/5,4/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",Champagne AOC(AOP),,*Robert Parker 92점*Wine Spectator 89점,,
샤또 드 트레시 푸이 퓌메,Chateau de Tracy Pouilly-Fume,https://www.wine21.com/13_search/wine_view.html?Idx=162159&lq=LIST,샤또 드 트레시  Chateau de Tracy,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 뿌이-퓌메(Pouilly-Fume),소비뇽 블랑 (Sauvignon Blanc) 100%,Upper Loire White,8~10 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",씨에스알와인,1/5,4/5,3/5,1/5,,,Pouilly-Fumé AOC(AOP),,"*2017 빈티지: Wine Enthusiast 91점*2015 빈티지: Wine Spectator 91점, Wine Enthusiast 92점",,
"샤또 드 트레시, 마드모아젤 드 티","Chateau de Tracy, Mademoiselle de T",https://www.wine21.com/13_search/wine_view.html?Idx=162160&lq=LIST,샤또 드 트레시  Chateau de Tracy,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 뿌이-퓌메(Pouilly-Fume),소비뇽 블랑 (Sauvignon Blanc) 100%,Upper Loire White,10~12 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",씨에스알와인,1/5,4/5,3/5,1/5,,,Pouilly-Fumé AOC(AOP),,*2018 빈티지: Wine Enthusiast 89점*2016 빈티지: Wine Spectator 90점,,
샤토 뒤 로 보르도 수페리에,"Chateau du Lort, Bordeaux Superieur",https://www.wine21.com/13_search/wine_view.html?Idx=162161&lq=LIST,샤토 뒤 로  Chateau du Lort,프랑스(France) / 보르도(Bordeaux) / 보르도 쒸뻬리외르(Bordeaux Superieur),메를로 (Merlot) 64% / 쁘띠 베르도 (Petit Verdot) 18% / 카베르네 소비뇽 (Cabernet Sauvignon) 18%,Bordeaux Red,16~18 ℃,"스테이크, 로스트비프, 훈제오리, 바비큐, 소시지, 수육, 숙성 치즈, 파스타, 피자 등과 잘 어울린다.",씨에스알와인,1/5,3/5,3/5,3/5,타르,"훈제오리, 수육, 치즈",Bordeaux Supérieur AOC(AOP),,,,
샤토 몽라베르 생테밀리옹 그랑 크뤼,Chateau Montlabert Saint-Emillion Grand Cru,https://www.wine21.com/13_search/wine_view.html?Idx=162162&lq=LIST,샤또 몽라베르  Chateau Montlabert,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹 그랑 크뤼(Saint-Emilion Grand Cru),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),Bordeaux Saint-Émilion,16~18 ℃,"스테이크, 훈제오리, 치킨, 바비큐, 소시지, 브리 치즈와 잘 어울린다.",씨에스알와인,1/5,3/5,5/5,5/5,,스테이크,Saint-Émilion Grand Cru AOC(AOP),,,,
샤또 로쉐이론 생테밀리옹 그랑 크뤼,Chateau Rocheyron Saint-Emilion Grand Cru,https://www.wine21.com/13_search/wine_view.html?Idx=162163&lq=LIST,샤또 로쉐이론  Chateau Rocheyron,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),Bordeaux Saint-Émilion,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",씨에스알와인,1/5,3/5,4/5,4/5,,치즈,Saint-Émilion Grand Cru AOC(AOP),,"*2016 빈티지: Robert Parker 92점, Wine Spectator 93점, James Suckling 98점*2015 빈티지: Robert Parker 90점, Wine Spectator 93점, James Suckling 97점*2014 빈티지: Robert Parker 92점, Wine Spectator 90점, James Suckling 96점",,
"실버고스트, 소비뇽 블랑","Silver Ghost, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=162164&lq=LIST,실버고스트  Silver Ghost,칠레(Chile) / 센트럴 밸리(Central Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,Chilean Sauvignon Blanc,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,미네랄,,,,,,
"실버고스트, 리제르바 샤도네이","Silver Ghost, Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162165&lq=LIST,실버고스트  Silver Ghost,칠레(Chile) / 라펠 밸리(Rapel Valley),샤르도네 (Chardonnay) 100%,Chilean Chardonnay,16~18 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"감귤, 버터","바비큐, 수육, 탕수육, 치즈",,,,,
"실버고스트, 카베르네소비뇽","Silver Ghost, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162166&lq=LIST,실버고스트  Silver Ghost,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 살라미, 프로슈토, 파스타, 한국음식 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"바비큐, 양갈비, 파스타",,,,,
"실버고스트, 리제르바 카베르네 소비뇽","Silver Ghost, Cabernet Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162167&lq=LIST,실버고스트  Silver Ghost,칠레(Chile) / 라펠 밸리(Rapel Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 살라미, 프로슈토, 파스타, 한국음식 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"바비큐, 양갈비, 파스타",,,,,
"매티스, 우버블렌드","Mathis, Uberblend",https://www.wine21.com/13_search/wine_view.html?Idx=162168&lq=LIST,매티스 와이너리  Mathis Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 밸리(Sonoma Valley),쁘띠 시라  (Petite Sirah) 45% / 그르나슈 (Grenache) 40% / 까리냥 (Carignan/Carignane) 12% / 알리칸테 부쉐 (Alicante Bouschet) 3%,,16~18 ℃,"로스트비프, 스테이크, 그릴요리, 바비큐, 다양한 치즈, 불고기, 족발, 순대, 피자, 파스타 등과 잘 어울린다.",씨에스알와인,1/5,3/5,5/5,3/5,,"바비큐, 치즈",Sonoma Valley AVA,,,,
"후프스, 후플라 나파 밸리 레드 블랜드","Hoopes, Hoopla Napa Valley Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=162170&lq=LIST,훕스   Hoopes Vineyard,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),메를로 (Merlot) 87% / 말벡 (Malbec) 7% / 쁘띠 베르도 (Petit Verdot) 4% / 카베르네 소비뇽 (Cabernet Sauvignon) 2%,,16~18 ℃,"소고기, 양고기, 치즈",,1/5,3/5,4/5,4/5,"고수, 오크, 크림","소고기, 양고기, 치즈",Napa Valley AVA,,*Robert Parker 90점,,
"잉글눅, 니바움 에스테이트 1882 까베르네 소비뇽","Inglenook, Niebaum Estate 1882 Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162171&lq=LIST,잉글눅  Inglenook,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 러더포드(Rutherford),카베르네 소비뇽 (Cabernet Sauvignon) 93% / 카베르네 프랑 (Cabernet Franc) 5% / 메를로 (Merlot) 2%,,16~18 ℃,"소고기, 송아지고기, 치즈",,1/5,4/5,5/5,5/5,체리,치즈,Rutherford AVA,,,,
샤또 레 마레쇼,Chateau les Marechaux,https://www.wine21.com/13_search/wine_view.html?Idx=162172&lq=LIST,샤또 레 마레쇼  Chateau les Marechaux,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 88% / 카베르네 소비뇽 (Cabernet Sauvignon) 8% / 카베르네 프랑 (Cabernet Franc) 4%,,16~18 ℃,"소고기, 양고기, 치즈",,1/5,3/5,4/5,3/5,"블루베리, 오크","소고기, 양고기, 치즈",Côtes de Bordeaux AOC(AOP),,,,
샤또 레 그랑 마레쇼,Chateau les Grands Marechaux,https://www.wine21.com/13_search/wine_view.html?Idx=162173&lq=LIST,샤또 레 마레쇼  Chateau les Marechaux,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 88% / 카베르네 프랑 (Cabernet Franc) 8% / 카베르네 소비뇽 (Cabernet Sauvignon) 4%,,16~18 ℃,"소고기, 양고기, 치즈",,1/5,3/5,4/5,4/5,"블루베리, 배, 오크","소고기, 양고기, 치즈",Côtes de Bordeaux AOC(AOP),,*James Suckling 90점*Wine Spectator 89점,,
"뵈브 암발, 크레망 드 부르고뉴 라 그랑 꼬뜨","Veuve Ambal, Cremant de Bourgogne La Grande Cote",https://www.wine21.com/13_search/wine_view.html?Idx=162174&lq=LIST,뵈브 암발  Veuve Ambal,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 80% / 피노 누아 (Pinot Noir) 20%,,6~8 ℃,"식전주, 샐러드, 치즈",,1/5,4/5,3/5,1/5,"모과, 리치, 잼, 미네랄, 꿀","식전주, 샐러드, 치즈",Crémant de Bourgogne AOC(AOP),,,,
"뵈브 암발, 크레망 드 부르고뉴 그랑 뀌베 로제","Veuve Ambal, Cremant de Bourgogne Grande Cuvee Rose",https://www.wine21.com/13_search/wine_view.html?Idx=162175&lq=LIST,뵈브 암발  Veuve Ambal,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 가메이 (Gamay) / 샤르도네 (Chardonnay),,7~9 ℃,"샐러드, 치킨, 오리",,1/5,3/5,3/5,1/5,,"치킨, 샐러드",Crémant de Bourgogne AOC(AOP),,*2015 Medaille d' Argent Silver medal*Concours des Burgondia Gold medal,,
"뵈브 암발, 크레망 드 부르고뉴 그랑 뀌베 브뤼","Veuve Ambal, Cremant de Bourgogne Grande Cuvee Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162176&lq=LIST,뵈브 암발  Veuve Ambal,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 알리고테 (Aligote) / 가메이 (Gamay),,6~8 ℃,"샐러드, 치킨, 치즈",,1/5,4/5,3/5,1/5,"리치, 꽃, 브리오슈, 버터","치킨, 샐러드, 치즈",Crémant de Bourgogne AOC(AOP),,*2015 Medaille d' Or Gold medal*2015 Vinalies Internationales Gold medal*2015 Medaille d' Or Paris Gold medal,,
"뵈브 암발, 블랑 드 블랑 드미섹","Veuve Ambal, Blanc de Blancs Demi Sec",https://www.wine21.com/13_search/wine_view.html?Idx=162177&lq=LIST,뵈브 암발  Veuve Ambal,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) / 알리고테 (Aligote) / 마카베오 (Macabeo),,6~8 ℃,"샐러드, 씨푸드, 치즈",,3/5,3/5,2/5,1/5,,"씨푸드, 샐러드, 치즈",,,,,
"뵈브 암발, 블랑 드 블랑 브뤼","Veuve Ambal, Blanc de Blancs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162178&lq=LIST,뵈브 암발  Veuve Ambal,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) / 알리고테 (Aligote) / 마카베오 (Macabeo),,6~8 ℃,"샐러드, 씨푸드, 치즈",,1/5,4/5,2/5,1/5,,"씨푸드, 샐러드, 치즈",,,,,
"비비 그라츠, 볼라마타","Bibi Graetz, Bollamatta",https://www.wine21.com/13_search/wine_view.html?Idx=162179&lq=LIST,비비 그라츠  Bibi Graetz,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 100%,,6~8 ℃,"해산물을 곁들인 샐러드, 랍스터 등의 갑각류, 튀김 요리 등과 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,1/5,"라스베리, 오렌지, 생강, 아몬드","튀김, 샐러드",Toscana IGT(IGP),12 %,* 2021 Decanter World Wine Awards 90점* Robert M. Parker Jr. 90점,,
테오필 브뤼,Theophile Brut,https://www.wine21.com/13_search/wine_view.html?Idx=162180&lq=LIST,샹파뉴 테오필  Champagne Theophile,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 40% / 샤르도네 (Chardonnay) 33% / 피노 뮈니에 (Pinot Meunier) 20%,French Champagne,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",에노테카코리아,1/5,5/5,3/5,1/5,크림,"스시, 샐러드, 과일, 치즈, 디저트",Champagne AOC(AOP),12~13 %,,,
테오필 브뤼 로제,Theophile Brut Rose,https://www.wine21.com/13_search/wine_view.html?Idx=162181&lq=LIST,샹파뉴 테오필  Champagne Theophile,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 47% / 샤르도네 (Chardonnay) 33% / 피노 뮈니에 (Pinot Meunier) 20%,French Champagne,7~9 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",Champagne AOC(AOP),12~13 %,,,
"무릴라, 프락시스 피노 누아","Moorilla, Praxis Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162182&lq=LIST,무릴라  Moorilla,호주(Australia) / 태즈매니아(Tasmania),피노 누아 (Pinot Noir) 100%,Australian Pinot Noir,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,2/5,"체리, 자두, 오크","파스타, 버섯, 자두, 치즈",,13~14 %,,,
"무릴라, 뮤즈 피노 누아","Moorilla, Muse Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162183&lq=LIST,무릴라  Moorilla,호주(Australia) / 태즈매니아(Tasmania),피노 누아 (Pinot Noir) 100%,Australian Pinot Noir,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,4/5,4/5,3/5,"장미, 오크","파스타, 버섯, 치즈",,13~14 %,*2014 빈티지: Wine Front 92점,,
