와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"헤르다데 파코 도 콘데, 시라","Herdade Paco do Conde, Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=173964&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙베리, 라스베리, 장미, 피망, 후추","소고기, 돼지고기, 갈비찜, 아시아요리",15~16 %,
"헤르다데 파코 도 콘데, 화이트","Herdade Paco do Conde, White",https://www.wine21.com/13_search/wine_view.html?Idx=173965&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),안타웅 바즈 (Antao Vaz) / 아린토 (Arinto),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"복숭아, 사과, 시트러스, 열대과일, 미네랄","생선회, 해산물, 한식, 샐러드, 복숭아",13~14 %,
"헤르다데 파코 도 콘데, 와인메이커스 셀렉션","Herdade Paco do Conde, Winemakers Selection",https://www.wine21.com/13_search/wine_view.html?Idx=173966&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),시라/쉬라즈 (Syrah/Shiraz) / 알리칸테 부쉐 (Alicante Bouschet) / 투리가 나시오날 (Touriga Nacional),,,,,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙체리, 말린과일, 붉은꽃, 후추, 오크","소고기, 돼지고기, 훈제오리, 아시아요리",15~16 %,
"헤르다데 파코 도 콘데, 투리가 나시오날 앤 시라","Herdade Paco do Conde, Touriga Nacional and Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=173967&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),투리가 나시오날 (Touriga Nacional) / 시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,,,1/5,3/5,4/5,4/5,"레드커런트, 블랙체리, 바닐라, 오크","소고기, 바비큐, 불고기, 서양요리",14~15 %,
"헤르다데 파코 도 콘데, 비냐 도 콘데 레드","Herdade Paco do Conde, Vinha do Conde Red",https://www.wine21.com/13_search/wine_view.html?Idx=173968&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),아라고네즈 (Aragonez) / 트린카데이라 (Trincadeira) / 투리가 나시오날 (Touriga Nacional),,,,,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 후추, 다크초콜릿, 오크","스테이크, 바비큐, 육포, 양념갈비",13~14 %,
"테누타 몬테마뇨, 무사 몬페라토 비앙코","Tenuta Montemagno, Musae Monferrato Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=173969&lq=LIST,테누타 몬테마뇨  Tenuta Montemagno,이탈리아(Italy) / 피에몬테(Piemonte) / 몬페라토(Monferrato),소비뇽 블랑 (Sauvignon Blanc),,Monferrato DOC(DOP),부드럽게 압착한 포도를 저온 침용 후 스테인리스 스틸에서 발효.,몇 달간 앙금 접촉 숙성 후 병입 및 지하셀러에서 추가 숙성.,8~10 ℃,"* 2019 Vin - Gambero Rosso 2021* 2018 Vin - Gambero Rosso 2020 / I Vini di Veronelli 2020: 3stars / Bibenda2020: 3glasses* 2017 Vin - Gambero Rosso 2019 / I Vini di Veronelli 2019: 3stars  / Drinks Business 2019: BRONZE* 2015 Vin - I Vini di Veronelli 2017: 3stars* 3가지 소비뇽 블랑 클론을 블랜딩한 개성 강한 화이트 와인이며 연간 10,000병 한정 생산.* 무사는 고대 그리스로마 신화에서 시, 음악 및 다른 예술 분야를 관장하는 아홉 여신들 중의 하나인 뮤즈(Muses)에서 유래함.",비노에이치,1/5,4/5,1/5,1/5,"복숭아, 자몽, 감귤, 레몬, 바나나, 아카시아, 흰꽃, 허브","광어, 초밥, 생선회, 해산물, 씨푸드, 나물, 비빔밥, 오일파스타, 동남아요리, 아시아요리, 튀김, 샐러드, 복숭아, 과일",,
"테누타 몬테마뇨, 비올라 몬페라토 로쏘","Tenuta Montemagno, Violae Monferrato Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=173970&lq=LIST,테누타 몬테마뇨  Tenuta Montemagno,이탈리아(Italy) / 피에몬테(Piemonte) / 몬페라토(Monferrato),바르베라 (Barbera) / 시라/쉬라즈 (Syrah/Shiraz),Italian Barbera,Monferrato DOC(DOP),10년 수령의 올드 바인에서 선별한 포도를 반복적인 펌핑을 통해 와인 추출하고 8일간 발효,"30% 배럴, 나머지 바리크 숙성 후 병입.",16~18 ℃,"* 2019 Vin - Gambero Rosso 2021 / Vini di Veronelli 2021* 2018 Vin - Gambero Rosso 2020 / Bibenda 2020: 3glasses* 2017 Vin - Gambero Rosso 2019 / Vini di Veronelli 2019* 테누타 몬테마뇨의 가장 아로마가 돋보이는 와인이며 연간 13~14,000병 한정 생산. 비올라는 바이올렛(Violet)에서 유래.",비노에이치,1/5,3/5,4/5,3/5,"블랙커런트, 체리, 크랜베리, 라스베리, 자두, 석류, 오렌지, 감초, 민트, 타바코, 오크, 가죽","그릴요리, 스테이크, 양고기, 훈제오리, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 리조또, 자두, 랑그르, 고다, 브리, 페타",,
"테누타 몬테마뇨, 루버 그리뇰리노 다스티","Tenuta Montemagno, Ruber Grignolino d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=173972&lq=LIST,테누타 몬테마뇨  Tenuta Montemagno,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),그리뇰리노 (Grignolino),,Grignolino d’Asti DOC(DOP),30년 수령의 올드 바인에서 선별한 포도를 부드럽게 추출해 20여도 온도에서 발효 및 숙성 후 병입.,,16~18 ℃,"* 2019 Vin - Gambero Rosso 2021 / Vini di Veronelli 2021* 2018 Vin - Gambero Rosso 2020 / Bibenda 2020: 3glasses* 2017 Vin - Gambero Rosso 2019 / Vini di Veronelli 2019 / Drinks Business 2019: BRONZE* 테누타 몬테마뇨의 숨은 보석같은 와인이며 연간 4,000병 한정 생산. 루버는 레드(Red)에서 유래.* 그리뇰리노는 몬페라토에서 가장 오래된 토착 품종 중 하나로 씨앗이 매우 많음을 의미하는 그라놀라Gragnola)에서 유래했으며 압착 시 다량의 탄닌이 추출.* 프란체스코 교황이 사랑하는 와인이 그리뇰리노 와인이었으며 필록세라 질병으로 보다 피해를 많이 받아 더욱 더 희귀한 와인.",비노에이치,1/5,3/5,3/5,4/5,"블랙커런트, 레드커런트, 체리, 라스베리, 장미, 아니스, 허브","그릴요리, 스테이크, 돼지고기, 양꼬치, 훈제오리, 불고기, 갈비찜, 족발, 수육, 토마토파스타, 리조토, 치즈, 체다, 로크포르, 블루치즈, 스모크",,
"테누타 몬테마뇨, 노빌리스 루케 디 카스타뇰 몬페라토","Tenuta Montemagno, Nobilis Ruche di Castagnole Monferrato",https://www.wine21.com/13_search/wine_view.html?Idx=173973&lq=LIST,테누타 몬테마뇨  Tenuta Montemagno,이탈리아(Italy) / 피에몬테(Piemonte) / 몬페라토(Monferrato),루쉐 (Ruche),,Ruchè di Castagnole Monferrato DOCG(DOP),부드럽게 압착한 포도를 3일간 10도에서 사전 발효 및 추출하고 이후 7-8일간 반복적인 펌핑을 통해 발효.,,16~18 ℃,"* 2018 Vin - Gambero Rosso 2021 / Vini di Veronelli 2021* 2017 Vin - Gambero Rosso 2019 / Bibenda 2019:4glasses / Decanter 2019:BRONZE / Mundus Vini 2020:BRONZE / Vini di Veronelli 2019* 테누타 몬테마뇨의 숨은 고귀한 와인이며 연간 17~18,000병 한정 생산. 노빌리스는 고귀함을 뜻하는(Noble)에서 유래.* 루케는 피에몬테 토착품종으로 재배하기 까다로워 1950년대 전멸 위기였으나 1960년대 포도 품종학 지식이 월등했던 돈 자코모 카우다 수도사가 카스타뇰라 몬페라토 성당에 발령받아 오면서 루케의 전성기가 시작되었고, 그 결과 루케 디카스타뇰 몬페라토는 1980년 DOC등급, 2010년 DOGC등급으로 승급. 미사주로도 사용되었으며 종교 축일와인으로 많은 사랑을 받고 있음.",비노에이치,1/5,3/5,3/5,3/5,"블랙체리, 체리, 라스베리, 제비꽃, 장미, 꽃, 후추, 시나몬, 유칼립투스","그릴요리, 스테이크, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 한국음식, 라자냐, 파스타, 버섯, 치즈, 파르미지아노, 그라노파다노, 모짜렐라",,
"테누타 몬테마뇨, 미스테리움 바르베라 다스티 수페리오레","Tenuta Montemagno, Mysterium Barbera d'Asti Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=173974&lq=LIST,테누타 몬테마뇨  Tenuta Montemagno,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Italian Barbera,Barbera d'Asti DOCG(DOP),에스테이트에서 가장 오래된 7-80년 수령의 올드 바인에서 선별한 포도를 반복적인 펌핑을 통해 와인 추출하고 바리크에서 20일간 발효 및 숙성.,최소 18개월간 대형 배럴에서 추가 숙성 후 병입.,16~18 ℃,"* 2018 Vin - Mundus Vini 2023: Best of Show Barbera d'Asti / Mundus Vini 2023: GRAND GOLD* 2017 Vin - Mundus Vini 2022: Best of Show Barbera d'Asti / GRAND GOLD - Mundus Vini 2022* 2016 Vin - Mundus Vini 2021: GOLD / The Italian Wine Competition 2021: GOLD  / IWSC 2020: 92점, SIVER  / Gambero Rosso 2020* 테누타 몬테마뇨의 주력 와인이며 연간 19,000병 한정 생산. 미스테리움은 미스터리(Mystery)에서 유래.",비노에이치,1/5,3/5,4/5,4/5,"블랙체리, 체리, 라스베리, 자두, 후추, 바닐라, 감초, 유칼립투스, 흙","그릴요리, 송아지, 스테이크, 돼지고기, 양꼬치, 건육, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 피자, 자두, 치즈, 파르미지아노, 카망베르, 그라노파다노",,
"테누타 몬테마뇨, 소라너스 바롤로","Tenuta Montemagno, Soranus Barolo",https://www.wine21.com/13_search/wine_view.html?Idx=173975&lq=LIST,테누타 몬테마뇨  Tenuta Montemagno,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),Italian Barolo,Barolo DOCG(DOP),40년 수령의 올드 바인에서 선별한 포도를 반복적인 펌핑을 통해 와인 추출하고 20일간 발효,최소 24개월 간 배럴 오크 숙성 후 병입.,16~18 ℃,"* 2015 Vin - Gambero Rosso 2021 / Vini di Veronelli 2021 / Grand International Wine Award 2020: GOLD / Decanter 2021: SILVER* 2013 Vin - I Vini di Veronelli 2019 / Decanter 2019: GOLD / Bibenda 2020: 4glasses / Drinks Business 2019: BRONZE* 테누타 몬테마뇨의 자부심이자 아이콘 와인이며 연간 5,000병 한정 생산. 소라너스는 로마 신이었던 소라노(Sorano)에서 유래.",비노에이치,1/5,4/5,4/5,4/5,"체리, 크랜베리, 라스베리, 제비꽃, 장미, 후추, 바닐라, 시나몬, 허브, 카라멜, 모카, 초콜릿","스테이크, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 리조토, 버섯, 말린과일, 말린과일, 견과류, 치즈, 파르미지아노, 브리, 그라노파다노, 블루치즈, 콩테",,
"안톨리니, 발폴리첼라 클라시코","Antolini, Valpolicella Classico",https://www.wine21.com/13_search/wine_view.html?Idx=173976&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),Italian Valpolicella Red,Valpolicella DOC(DOP),10월 수확한 후 자동으로 온도 제어가 되는 스테인리스 통에서 7일 동안 포도 압착 및 발효.,스테인리스 스틸 탱크와 오크통에서 9~11개월 동안 숙성시킨 후 병입.,16~18 ℃,"* 마라노 디 발폴리첼라 (Marano di Valpolicella Classico)와 산 피에트로(San Pietro) 지역의 최대 40년 올빈에서 수확한 포도로 생산.* 해발 150~350m, 점토와 석회질의 토양으로 이루어져 있으며, 연간 생산량 : 5~7,000병.",비노에이치,1/5,4/5,2/5,2/5,"블랙체리, 블랙베리, 말린과일, 미네랄, 바닐라, 시나몬, 허브","스튜, 소고기, 스테이크, 양갈비, 불고기, 족발, 라자냐, 파스타, 파르미지아노, 브리, 그라노파다노, 블루치즈, 그뤼에르",,
"안톨리니, 코르비나 베로네제 '치오돌리'","Antolini, Corvina Veronese 'Ciodoli'",https://www.wine21.com/13_search/wine_view.html?Idx=173977&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 베로나(Verona),코르비나 (Corvina) / 코르비노네 (Corvinone),Italian Valpolicella Red,,9월 말~10월 중순 수확한 후 자동으로 온도 제어가 되는 스테인리스 통에서 7일 동안 포도 압착 및 발효.,스테인리스 스틸 탱크와 오크통에서 12개월 동안 숙성시킨 후 병입하고 추가 6개월 숙성 후 출시.,16~18 ℃,"* 마라노 디 발폴리첼라 (Marano di Valpolicella Classico)와 산 피에트로(San Pietro) 지역의 최대 40년 올빈에서 수확한 포도로 생산.* 해발 150~350m, 점토와 석회질의 토양으로 이루어져 있으며, 연간  7,000병 한정 생산.",비노에이치,1/5,4/5,2/5,2/5,"레드커런트, 블랙베리, 체리, 블루베리, 장미, 바닐라, 정향, 시나몬, 허브","소고기, 스테이크, 돼지고기, 양갈비, 불고기, 양념갈비, 갈비찜, 한식, 리조토, 피자, 치즈, 파르미지아노, 그라노파다노, 콩테",,
"안톨리니, 발폴리첼라 클라시코 수페리오레 '페르세가'","Antolini, Valpolicella Classico Superiore 'Persega",https://www.wine21.com/13_search/wine_view.html?Idx=173978&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),Italian Valpolicella Red,Valpolicella DOC(DOP),10월 초 수확한 후 자동으로 온도 제어가 되는 스테인리스 통에서 7~10일 동안 포도 압착 및 발효.,오크통에서 12개월 동안 숙성시킨 후 병입.,16~18 ℃,"* 발폴리첼라 클라시코 수페리오레 '페르세가'는 마라노 디 발폴리첼라(Marano di Valpolicella Classico) 지역에서 엄선하여 수확한 포도로 생산.* 약 1.2 헥타르에 달하는 '페르세가' 포도밭은 해발 250m에 위치하고 있으며, 점토와 석회질의 토양으로 이루어져 있고, 연간 6,000~7,000병 한정 생산.",비노에이치,1/5,4/5,2/5,2/5,"레드커런트, 체리, 라스베리, 자두, 장미, 정향, 시나몬, 가죽","스튜, 소고기, 스테이크, 양갈비, 불고기, 양념갈비, 족발, 한식, 라자냐, 리조토, 견과류, 파르미지아노, 체다, 카망베르, 그라노파다노",,
"안톨리니, 발폴리첼라 리파소 클라시코 수페리오레","Antolini, Valpolicella Ripasso Classico Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=173979&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),Italian Ripasso,Valpolicella Ripasso DOC(DOP),10월 한달 동안 수확한 후 자동으로 온도 제어가 되는 스테인리스 통에서 7일 동안 포도 압착 및 발효. 2월 1차 발효된 와인과 말린 아마로네와 레치오토의 남은 포도 껍질들과 함께 5~7일 동안 2차 발효.,오크 배럴과 체리 우드 배럴에서 12개월 숙성하고 병입 및 추가 3~6개월 숙성 후 출시.,16~18 ℃,"* 1970년부터 심은 약 50년 수령의 포도나무에서 수확하며, 연간 18,000~20,000병 한정 생산.",비노에이치,1/5,3/5,4/5,3/5,"블랙체리, 체리, 라스베리, 자두, 잼, 말린자두, 장미, 붉은꽃, 바닐라, 정향, 시나몬, 커피, 오크","그릴요리, 스테이크, 양갈비, 양고기, 불고기, 갈비찜, 족발, 갈비탕, 라자냐, 파스타, 리조토, 견과류, 파르미지아노, 브리, 까망베르, 그라노파다노, 블루치즈",,
"안톨리니, 테오브로마","Antolini, Theobroma",https://www.wine21.com/13_search/wine_view.html?Idx=173980&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 베로나(Verona),카베르네 소비뇽 (Cabernet Sauvignon) / 크로아티나 (Croatina),,,"40~50일 건조시킨 포도를 6~8일 동안 저온에서 침용 과정을 거친 후,  스테인리스 통에서 15일간 숙성.",오크 배럴에서 12개월 숙성하고 병입 및 추가 3~6개월 숙성 후 출시.,16~18 ℃,"* 발폴리첼라 마라노 마을 언덕과 카리아노, 산 피에트로에서 1999부터 심은 약 20년 이상 수령의 포도나무에서 손 수확한 포도로 생산. 연간 3,000~4,000병 한정 생산.",비노에이치,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 크랜베리, 바닐라, 감초, 초콜릿, 가죽","그릴요리, 스테이크, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 파스타, 리조토, 피자, 치즈, 파르미지아노, 고다, 브리, 그라노파다노, 블루치즈",,
"안톨리니, 아마로네 델라 발폴리첼라 클라시코 '모로피오'","Antolini, Amarone della Valpolicella Classico 'Moropio'",https://www.wine21.com/13_search/wine_view.html?Idx=173981&lq=LIST,안톨리니  Antolini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Amarone,Amarone della Valpolicella DOCG(DOP),"90~120일 건조시켜 3~40% 농축된 포도를 7~10일 동안 저온에서 침용 과정을 거친 후, 스테인리스 통에서 20일간 숙성.","오크, 체리, 밤, 뽕나무 배럴에서 24개월 숙성하고 병입 및 추가 6~12개월 숙성 후 출시.",16~18 ℃,"* 발폴리첼라 마라노 마을 언덕에 위치한 '모로피오' 이름의 싱글 빈야드에서 손 수확한 포도로 생산되는 퀄리티 높은 와인으로, 연간 8,000~9,000 병 생산.",비노에이치,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 잼, 건포도, 말린자두, 꽃, 감초, 초콜릿, 꿀","그릴요리, 소고기, 돼지고기, 양갈비, 불고기, 양념갈비, 갈비찜, 족발, 한식, 리조토, 햄버거, 피자, 말린과일, 말린과일, 견과류, 치즈, 파르미지아노, 체다, 고다, 브리, 그라노파다노, 블루치즈, 콩테",,
