와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급,알코올,숙성,양조
"루이 막스 수드, 르 봉 땅","Louis Max Sud, Le Bon Temps",https://www.wine21.com/13_search/wine_view.html?Idx=165305&lq=LIST,루이 막스  Louis Max,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),피노 누아 (Pinot Noir) 100%,Languedoc-Roussillon Red,15~17 ℃,"구운 스테이크, 가금류 요리 등과 잘 어울린다.",동원와인플러스,1/5,4/5,3/5,2/5,,"스테이크, 가금류",,Pays d'Oc IGP,13~14 %,,
"고세, 쁘띠 두세르 로제 엑스트라 드라이","Gosset, Petite Douceur Rose Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=165306&lq=LIST,샴페인 고세  Gosset [Champagne Gosset],프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 60% / 피노 누아 (Pinot Noir) 40%,,6~8 ℃,"달콤한 디저트, 소프트 치즈, 딸기 쉬폰 케이크, 스파이시한 태국 음식이나 한국 음식 등과 잘 어울린다.",레뱅,1/5,4/5,3/5,1/5,"자몽, 꽃","딸기, 치즈",*2019 Bettane & Desseauve 17점*2018 Wine & Spirits 90점*2017 Wine Enthusiast 91점,Champagne AOC(AOP),12~13 %,,
"비디갈 와이너리, 포르타 6 띤또","Vidigal Winery, Porta 6 Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=165307&lq=LIST,비디갈 와이너리  Vidigal Winery,포르투갈(Portugal) / 리스본(Lisboa),아라고네즈 (Aragonez) 50% / 카스텔라옹 (Castelao) 40% / 투리가 나시오날 (Touriga Nacional) 10%,,15~17 ℃,"삼겹살, 로스구이, 샤브샤브, 스테이크, 토마토 파스타 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,3/5,,파스타,* 2023 대한민국 주류 대상 구대륙 레드 와인 부문 대상* 2022 대한민국 주류 대상 구대륙 레드 와인 부문 대상* 2021 대한민국 주류 대상 구대륙 레드 와인 부문 대상* 2020 Korea Wine Challenge Sliver* 2019 Korea Wine Challenge Gold,,12~13 %,,
"비디갈 와이너리, 포르타 6 브랑코","Vidigal Winery, Porta 6 Branco",https://www.wine21.com/13_search/wine_view.html?Idx=165308&lq=LIST,비디갈 와이너리  Vidigal Winery,포르투갈(Portugal) / 리스본(Lisboa),페르나오 피레스 (Fernao Pires) 60% / 아린토 (Arinto) 30% / 모스카텔 (Moscatel) 10%,Portuguese Moscatel,8~10 ℃,"오일 파스타, 감바스 알 아히요, 매콤한 한식 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,1/5,미네랄,"한식, 파스타",* 2022 대한민국 주류 대상 스파클링 와인 부문 대상* 2019 KWC 은메달,,12~13 %,,
"델리카토, 1924 더블 블랙 까베르네 소비뇽","Delicato, 1924 Double Black Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165309&lq=LIST,델리카토 패밀리 빈야드  Delicato Family Vineyards - DFV,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),카베르네 소비뇽 (Cabernet Sauvignon) 81% / 말벡 (Malbec) 7% / 쁘띠 시라  (Petite Sirah) 6% / 기타 품종 (Other Grapes) 6%,Californian Cabernet Sauvignon,15~17 ℃,"숯불 베이컨 치즈버거, 매콤한 소시지, BBQ 소스가 묻혀진 돼지 등갈비 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,3/5,"블랙베리, 무화과, 잼, 토스트",치즈,"*2019 Wine Enthusiast 87점*2018 Wine Enthusiast Best Buy 88점*2018 Monterey International Wine Competition Gold, 92점*2018 Winemaker Challenge International Wine Competition Gold, 92점*델리카토의 역사를 담은 1924",California AVA,15~16 %,원액의 일부 버번 배럴 최소 2개월 숙성,
샤또 그랑 페랑 테르 아무레즈,Chateau Grand Ferrand Terre Amoureuse,https://www.wine21.com/13_search/wine_view.html?Idx=165310&lq=LIST,보르도 비네암  Bordeaux Vineam,프랑스(France) / 보르도(Bordeaux) / 보르도 쒸뻬리외르(Bordeaux Superieur),메를로 (Merlot) 80% / 카베르네 소비뇽 (Cabernet Sauvignon) 20%,,15~17 ℃,"소스가 진한 파스타, 경성 중경성의 치즈 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,1/5,,"파스타, 치즈",*2016 Concours Amphore 금메달,Bordeaux AOC(AOP),13~14 %,,
샤또 그랑 페랑,Chateau Grand Ferrand,https://www.wine21.com/13_search/wine_view.html?Idx=165311&lq=LIST,보르도 비네암  Bordeaux Vineam,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 90% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Bordeaux Red,15~17 ℃,"붉윤 육류, 가금류, 파스타류, 피자류, 치즈류 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,3/5,후추,"가금류, 치즈",,Bordeaux AOC(AOP),13~14 %,,
"보르도 비네암, 바이오 풀 보르도","Vineam, Bio Full Bordeaux",https://www.wine21.com/13_search/wine_view.html?Idx=165312&lq=LIST,보르도 비네암  Bordeaux Vineam,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 100%,Bordeaux Red,15~17 ℃,"과일, 치즈, 케이크 등의 디저트류 및 아페리티프 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,2/5,체리,"아페리티프, 과일, 치즈",,Bordeaux AOC(AOP),12~13 %,,
"비네암, 바이오 풀 말벡","Bordeaux Vineam, Bio Full Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=165313&lq=LIST,보르도 비네암  Bordeaux Vineam,프랑스(France) / 보르도(Bordeaux) / 엉트르-두-메르(Entre-Deux-Mers),말벡 (Malbec) 100%,,15~17 ℃,"소스가 진한 육류, 가금류, 한우 구이류, 불고기, 갈비찜 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,3/5,,가금류,,,13~14 %,,
"알타 비스타, 엑스트라 브뤼 블랑 드 블랑","Alta Vista, Extra Brut Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=165314&lq=LIST,알타 비스타  Alta Vista,아르헨티나(Argentina) / 멘도사(Mendoza),샤르도네 (Chardonnay) 100%,,6~8 ℃,"연어를 비롯한 각종 회, 초밥 등의 해산물 요리와 잘 어울린다.",레뱅,1/5,4/5,2/5,1/5,파인애플,해산물,* 2019 대한민국 주류대상 5만원 미만 스파클링와인 부문 '대상'* 2024 James Suckling 90점* 2018 Wine Advocate 91점* 2017 Argentina Wine Awards - Argentina Best Sparkling Wine,,13~14 %,,
"발레벨보, 핑크 모스카토 스푸만테","Vallebelbo, Pink Moscato Spumante",https://www.wine21.com/13_search/wine_view.html?Idx=165315&lq=LIST,발레벨보  Vallebelbo,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ) 100%,Italian Asti,6~8 ℃,"페이스트리, 타르트 등의 디저트 류와 잘 어울린다.",레뱅,4/5,2/5,2/5,1/5,,,,,6~7 %,,
"라포스톨, 레드 블렌드 리미티드 에디션","Lapostolle, Red Blend Limited Edition",https://www.wine21.com/13_search/wine_view.html?Idx=165316&lq=LIST,라포스톨 [까사 라포스톨]  Lapostolle [Casa Lapostolle],칠레(Chile) / 라펠 밸리(Rapel Valley),시라/쉬라즈 (Syrah/Shiraz) 30% / 카르메네르 (Carmenere) 25% / 메를로 (Merlot) 23% / 카베르네 소비뇽 (Cabernet Sauvignon) 22%,,15~17 ℃,"불고기, 양갈비, 돼지갈비, 스테이크 등과 잘 어울린다.",레뱅,1/5,3/5,4/5,4/5,"크랜베리, 후추","스테이크, 돼지, 양갈비, 불고기","*4가지 품종의 환상적인 협주곡을 느껴 볼 수 있는 와인*라포스톨의 뛰어난 양조 기술, 철학, 떼루아가 1병으로 모두 압축된 와인",,14~15 %,,
"아네쿱, 프리골드 틴토","Anecoop, Freegold Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=165317&lq=LIST,아네쿱  Anecoop,스페인(Spain) / 발렌시아(Valencia),그르나슈 (Grenache) 15% / 모스카토  (Moscato ) 85%,Spanish Red,6~8 ℃,"해산물, 파스타, 매운 음식, 샐러드, 디저트류 등과 잘 어울린다.",,3/5,2/5,2/5,2/5,"체리, 딸기, 크랜베리, 열대과일","해산물, 파스타, 샐러드, 디저트",,,12~13 %,,
"아네쿱, 프리골드 블랑","Anecoop, Freegold Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165318&lq=LIST,아네쿱  Anecoop,스페인(Spain) / 발렌시아(Valencia),모스카토  (Moscato ) 100%,,6~8 ℃,"해산물, 파스타, 매운 음식, 샐러드, 디저트류 등과 잘 어울린다.",,4/5,2/5,3/5,1/5,"배, 오렌지, 자스민","해산물, 파스타, 샐러드, 디저트",,,11~12 %,,
"아네쿱, 아마티스타 틴토 드 프리마베라","Anecoop, Amatista Tinto De Primavera",https://www.wine21.com/13_search/wine_view.html?Idx=165319&lq=LIST,아네쿱  Anecoop,스페인(Spain) / 발렌시아(Valencia),모스카토  (Moscato ) / 템프라니요 (Tempranillo),Spanish Red,8~10 ℃,"해산물, 파스타, 치즈, 샐러드, 디저트류 등과 잘 어울린다.",,3/5,3/5,2/5,2/5,"체리, 크랜베리, 라스베리, 서양배, 붉은꽃","해산물, 파스타, 샐러드, 치즈, 디저트",,,8~9 %,,
"아네쿱, 아마티스타 모스카토","Anecoop, Amatista Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=165320&lq=LIST,아네쿱  Anecoop,스페인(Spain) / 발렌시아(Valencia),모스카토  (Moscato ) 100%,,6~8 ℃,"해산물, 파스타, 치즈, 샐러드, 디저트류 등과 잘 어울린다.",,4/5,2/5,2/5,1/5,배,"해산물, 파스타, 샐러드, 치즈, 케이크, 디저트",,,4~5 %,,
"장 로롱, 꼬뜨 뒤 론 라 갈레티에르","Jean Loron, Cotes du Rhone La Galetiere",https://www.wine21.com/13_search/wine_view.html?Idx=165321&lq=LIST,메종 장 로롱  Maison Jean Loron,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),Southern Rhône Red,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈와 잘 어울린다.",더블유에스통상,1/5,3/5,3/5,3/5,"체리, 자두, 감초, 가죽","바비큐, 양념갈비, 자두, 치즈",*2016 빈티지: 2017 International Wine Challenge Bronze,Côtes du Rhône AOC(AOP),,,유기농 인증
"보데가 팔라시오, 코스메 팔라시오 V.S","Bodegas Palacio, Cosme Palacio Vendimia Seleccionada",https://www.wine21.com/13_search/wine_view.html?Idx=165322&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) 100%,Spanish Red,15~17 ℃,"육류, 치즈 등과 잘 어울린다.",더블유에스통상,1/5,3/5,4/5,3/5,오크,치즈,"*2016 빈티지: Wine Enthusiast 89점, Stephen Tanzer 90점*2010 New Wave Spanish Awards Top 100",,,,
"보데가 팔라시오, 코스메 팔라시오 크리안자","Bodegas Palacio, Cosme Palacio Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=165323&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) 100%,,15~17 ℃,"붉은 육류, 숙성 치즈 등과 잘 어울린다.",더블유에스통상,1/5,3/5,3/5,3/5,"체리, 아몬드, 오크",치즈,* Tim Atkin 93점,,,,
"보데가 팔라시오, 코스메 팔라시오 레세르바","Bodegas Palacio, Cosme Palacio Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=165324&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) 100%,Spanish Red,15~17 ℃,"육류, 버섯, 후추나 허브향이 강한 음식 등과 잘 어울린다.",,1/5,3/5,5/5,4/5,바닐라,버섯,,,,,
"보데가 팔라시오, 라 포다 알바리뇨","Bodegas Palacio, La Poda Albarino",https://www.wine21.com/13_search/wine_view.html?Idx=165325&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 리아스 바이사스(Rias Baixas),알바리뇨 (Albarino(Alvarinho)) 100%,Spanish Albariño,10~12 ℃,"모든 해산물 요리, 일식 요리 등과 잘 어울린다.",더블유에스통상,1/5,3/5,3/5,1/5,"시트러스, 감귤, 레몬, 흰꽃, 미네랄","초밥, 생선회, 해산물, 동남아요리, 아시아요리, 샐러드, 과일",,,,,
"보데가 팔라시오, 라 포다 소비뇽 블랑","Bodegas Palacio, La Poda Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165326&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 루에다(Rueda),소비뇽 블랑 (Sauvignon Blanc) 100%,Spanish Sauvignon Blanc,8~10 ℃,식전 요리 등과 잘 어울린다.,더블유에스통상,1/5,4/5,2/5,1/5,"미네랄, 허브",,,,,,
"보데가 팔라시오, 라 포다 템프라니요","Bodegas Palacio, La Poda Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=165327&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 95% / 카베르네 소비뇽 (Cabernet Sauvignon) 5%,Spanish Cabernet Sauvignon,15~17 ℃,"파스타, 리조또, 구운 고기, 샤퀴테리 등과 잘 어울린다.",더블유에스통상,1/5,3/5,4/5,3/5,,,,,,,
"보데가 팔라시오, 라 포다 틴타 데 토로","Bodegas Palacio, La Poda Tinta de Toro",https://www.wine21.com/13_search/wine_view.html?Idx=165328&lq=LIST,보데가 팔라시오  Bodegas Palacio,스페인(Spain) / 토로(Toro),틴타 데 또로  (Tinta de Toro) 100%,,15~17 ℃,바베큐 등과 잘 어울린다.,더블유에스통상,1/5,3/5,4/5,3/5,"체리, 토스트",,* International Wine Challenge 2019 - Commended,,,,
"테누타 산타 까테리나, 살리도로","Tenuta Santa Caterina, Salidoro",https://www.wine21.com/13_search/wine_view.html?Idx=165329&lq=LIST,테누타 산타 까테리나  Tenuta Santa Caterina,이탈리아(Italy) / 피에몬테(Piemonte),샤르도네 (Chardonnay) 75% / 소비뇽 블랑 (Sauvignon Blanc) 25%,Northern Italy White,8~10 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"배, 시트러스, 열대과일, 미네랄, 건초",치즈,,,,,
"배럴 버너, 샤르도네","Barrel Burner, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165330&lq=LIST,배럴 버너  Barrel Burner,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),샤르도네 (Chardonnay) / 루산느 (Roussanne) / 마르산느 (Marsanne),Californian Chardonnay,8~10 ℃,"흰 육류, 크림 베이스의 음식 등과 잘 어울린다.",더블유에스통상,1/5,3/5,3/5,1/5,"열대과일, 바닐라, 토스트",,*2016 빈티지: Wine Enthusiast 91점,Paso Robles AVA,,,
"배럴 버너, 카베르네 소비뇽","Barrel Burner, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165331&lq=LIST,배럴 버너  Barrel Burner,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,15~17 ℃,"잘 구워진 패티의 햄버거, 프라임 립 등과 잘 어울린다.",더블유에스통상,1/5,3/5,4/5,4/5,"배, 바닐라, 오크","햄, 햄버거",*2016 빈티지: Wine Enthusiast 91점,Paso Robles AVA,,,
"아이언스톤, 로다이 올드바인 진판델","Ironstone, Lodi Old Vine Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=165332&lq=LIST,아이언스톤  Ironstone,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) / 시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 시라  (Petite Sirah),Californian Zinfandel,15~17 ℃,"돼지고기, 소고기, 가금류, 치오치노(캘리포니아 스타일의 토마토 베이스의 해산물 스튜), 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"자두, 오크","가금류, 해산물, 자두, 치즈","*2014 빈티지: California State Fair Wine Competition Gold, 95점*2013 빈티지: 2016 San Francisco Chronicle Gold",California AVA,,,
"바리나스, 모나스트렐 오가닉","Barinas, Monastrell Organic",https://www.wine21.com/13_search/wine_view.html?Idx=165333&lq=LIST,바리나스  Barinas,스페인(Spain),모나스트렐 (Monastrell),Spanish Monastrell,15~17 ℃,"붉은 육류, 스테이크, 그릴요리, 소시지, 불고기, 갈비찜 등 과 잘 어울린다.",레뱅,1/5,3/5,4/5,3/5,,소시지,,,13~14 %,,
"풀뽀로꼬, 상그리아 카토캔","Pulpoloco, Sangria Cartocan",https://www.wine21.com/13_search/wine_view.html?Idx=165334&lq=LIST,풀뽀로꼬  Pulpoloco,스페인(Spain),템프라니요 (Tempranillo),,6~8 ℃,"샐러드, 야채, 튀김, 다양한 치즈, 견과류 등과 잘 어울린다.",레뱅,3/5,1/5,3/5,1/5,딸기,"튀김, 견과류, 치즈","*2017 San Francisco Label Design Competition Gold, Convino Silver*2018 London Wine Competition Silver*환경 친화적인 패키지, 카토캔(냉장 없이 15개월 보관 가능)*트렌디한 패키지와 최상의 품질의 샹그리아",,5.5 %,,
"몽그라스, 리라 그랑 레세르바 까베르네 소비뇽","Montgras, LYRA Gran Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165335&lq=LIST,몽그라스  MontGras,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,15~17 ℃,"파스타, 돼지고기, 그릴류의 소고기 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,4/5,허브,"소고기, 파스타",,,13~14 %,,
"노통, 리제르바 샤르도네","Norton, Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165336&lq=LIST,노통  Norton,아르헨티나(Argentina) / 멘도사(Mendoza),샤르도네 (Chardonnay) 100%,Argentinian Chardonnay,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,1/5,"미네랄, 바닐라, 오크","바비큐, 수육, 탕수육, 치즈",*2018 빈티지: Descorchados 90점,,13~14 %,,
"노통,콜렉시온 말벡","Norton, Coleccion Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=165337&lq=LIST,노통  Norton,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,Argentinian Malbec,15~17 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,,"스테이크, 중국요리",,,13~14 %,,
"노통, 콜렉시온 샤르도네","Norton, Coleccion Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165338&lq=LIST,노통  Norton,아르헨티나(Argentina) / 멘도사(Mendoza),샤르도네 (Chardonnay) 100%,Argentinian Chardonnay,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,1/5,"사과, 꽃, 바닐라","바비큐, 수육, 탕수육, 치즈",,,13~14 %,,
"엘 하워드, 리제르바 메를로","El Howard, Reserva Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=165339&lq=LIST,비냐 마올라  Vina Maola,칠레(Chile) / 센트럴 밸리(Central Valley),메를로 (Merlot) 100%,Chilean Merlot,15~17 ℃,"가벼운 파스타, 가금류 요리 등과 잘 어울린다.",에노테카코리아,1/5,2/5,3/5,3/5,체리,"가금류, 파스타",,,13~14 %,,
"엘 하워드, 리제르바 샤르도네","El Howard, Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165340&lq=LIST,비냐 마올라  Vina Maola,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay) 100%,Chilean Chardonnay,8~10 ℃,"파스타, 패산물 요리 등과 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,1/5,바닐라,파스타,,,11~12 %,,
"엘 하워드, 리제르바 소비뇽 블랑","El Howard, Reserva Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165341&lq=LIST,비냐 마올라  Vina Maola,칠레(Chile) / 센트럴 밸리(Central Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,Chilean Sauvignon Blanc,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,1/5,구즈베리,,,,11~12 %,,
"엘 하워드, 리제르바 카베르네 소비뇽","El Howard, Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165342&lq=LIST,비냐 마올라  Vina Maola,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,15~17 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 치즈, 한국음식 과 잘 어울린다.",에노테카코리아,1/5,2/5,4/5,3/5,리치,"버섯, 치즈",,,13~14 %,,
