와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"몰리두커, 유포리아","Mollydooker, Euphoria",https://www.wine21.com/13_search/wine_view.html?Idx=172920&lq=LIST,몰리두커  Mollydooker,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),베르델호 (Verdelho) 100%,8~10 ℃,"치킨, 생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"살구, 시트러스, 라임, 레몬, 파인애플, 흰꽃, 꽃, 허브","양념치킨, 닭고기, 치킨, 소라, 해산물, 문어숙회, 씨푸드, 잡채, 한식, 수육, 중국요리, 양장피, 동남아요리, 아시아요리, 튀김, 샐러드, 과일",,,씨에스알와인,,,,
"몰리두커, 썸머 오브 69","Mollydooker, Summer of 69",https://www.wine21.com/13_search/wine_view.html?Idx=172921&lq=LIST,몰리두커  Mollydooker,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),베르데호 (Verdejo) 100%,10~12 ℃,"생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",1/5,3/5,2/5,1/5,"살구, 복숭아, 시트러스, 레몬, 파인애플, 흰꽃, 허브","스시, 생선회, 흰살생선, 해산물, 떡볶이, 파스타, 오일파스타, 동남아요리, 아시아요리, 튀김, 샐러드",,,씨에스알와인,,,,
"펜리 이스테이트, 블루잇 스프링스 쉬라즈","Penley Estate, Blewitt Springs Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=172923&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,16~18 ℃,,1/5,3/5,4/5,3/5,"구즈베리, 체리, 바닐라, 시나몬, 허브, 초콜릿",,,,비케이 트레이딩,Australian Shiraz,14~15 %,발효 후 오크 숙성,
"펜리 이스테이트, 야라밸리 피노누아","Penley Estate, Yarra Valley Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172924&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"구즈베리, 레드커런트, 라스베리, 장미, 꽃, 로즈마리, 헤이즐넛, 초콜릿","로스트비프, 소고기, 육회, 바비큐, 건육, 양념치킨, 닭강정, 씨푸드, 족발, 편육, 수육, 크림파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 치즈, 브리, 콩테",,,,Australian Shiraz,13~14 %,발효 후 프렌치 오크 숙성,
"펜리 이스테이트, 클라렌던 까베르네 소비뇽","Penley Estate, Clarendon Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=172925&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,,1/5,3/5,4/5,4/5,"레드커런트, 블루베리, 블랙커런트, 피망, 오크, 코코아, 초콜릿",,,,비케이 트레이딩,Australian Cabernet Sauvignon,14~15 %,50년 이상 된 포도나무에서 수확 후 오크 숙성,
"보데가스 페르난도 카스트로, 푸엔테 데 루호 비노 틴토 세코","Bodegas Fernando Castro, Fuente de Rujo Vino Tinto Secco",https://www.wine21.com/13_search/wine_view.html?Idx=172926&lq=LIST,보데가스 페르난도 카스트로  Bodegas Fernando Castro,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) / 기타 품종 (Other Grapes),16~18 ℃,"블고기, 양념갈비,  바비큐, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"블랙커런트, 레드커런트, 블랙체리, 블랙베리, 자두, 후추, 감초",자두,,,오지노와인,Spanish Tempranillo,11~12 %,,
"알렉스 감발, 부르고뉴 알리고떼","Alex Gambal, Bourgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=172927&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote),8~10 ℃,,1/5,3/5,3/5,1/5,"청사과, 시트러스, 흰꽃",,Bourgogne Aligoté AOC(AOP),,하이트진로,Burgundy White,,,
"알렉스 감발, 쌩-또방 루즈","Alex Gambal, Saint Aublin Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=172928&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 생-오방(Saint-Aubin),피노 누아 (Pinot Noir),14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 딸기, 장미, 제비꽃",,,,,Burgundy Côte de Beaune Red,,,
"알렉스 감발, 뫼르소 꺄스떼뜨","Alex Gambal, Meursault 'Les Casses-Tetes'",https://www.wine21.com/13_search/wine_view.html?Idx=172929&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,8~10 ℃,,1/5,3/5,3/5,1/5,"사과, 흰꽃, 백합, 부싯돌, 미네랄, 아몬드, 버터",,Meursault AOC(AOP),,하이트진로,Burgundy Côte de Beaune White,,,
"알렉스 감발, 뽀마르","Alex Gambal, Pomard",https://www.wine21.com/13_search/wine_view.html?Idx=172930&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir) 100%,14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 라스베리, 크랜베리, 장미, 제비꽃",,,,하이트진로,Burgundy Côte de Beaune Red,,,
"알렉스 감발, 뉘 생 조르쥬 프리미에 크뤼 '끌로 데 아르지예르'","Alex Gambal, Nuit-Saint George 1er Cru 'Clos des Argilieres'",https://www.wine21.com/13_search/wine_view.html?Idx=172931&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 라스베리, 장미, 제비꽃",,Nuits-Saint-Georges 1er Cru AOC(AOP),,하이트진로,Burgundy Côte de Nuits Red,,,
"알렉스 감발, 뿔리니 몽라쉐 프리미에 크뤼 '르 까이예레'","Alex Gambal, Puligny-Montrachet 1er Cru 'Le Cailleret'",https://www.wine21.com/13_search/wine_view.html?Idx=172932&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),8~10 ℃,,1/5,3/5,3/5,1/5,"청사과, 흰꽃, 백합, 버터",,,,,Burgundy Côte de Beaune White,,,
"알렉스 감발, 바따르 몽라쉐 그랑 크뤼","Alex Gambal, Bartard-Montrachet Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=172933&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),8~10 ℃,,1/5,3/5,3/5,1/5,"백합, 흰꽃, 버터",,Bâtard-Montrachet Grand Cru AOC(AOP),,하이트진로,Burgundy Côte de Beaune White,,,
"알렉스 감발, 슈발리에 몽라쉐 그랑 크뤼","Alex Gambal, Chevalier-Montrachet Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=172934&lq=LIST,알렉스 감발  Alex Gambal,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,8~10 ℃,,1/5,3/5,3/5,1/5,"시트러스, 백합, 흰꽃, 아카시아, 버터, 치즈",,Chevalier-Montrachet Grand Cru AOC(AOP),,,Burgundy Côte de Beaune White,,,
"샴페인 꼴렛, 엑스트라 브뤼 프르미에 크뤼","Champagne Collet, Extra Brut 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=172935&lq=LIST,샴페인 꼴렛  Champagne Collet,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 40% / 피노 누아 (Pinot Noir) 40% / 피노 뮈니에 (Pinot Meunier) 20%,7~9 ℃,"굴 튀김(Oyster Basket)과 같이 요오드가 풍부한 요리와 페어링 시 최상의 매력을 보여준다. 캐비어, 랍스터 마리니에 또는 화이트 트러플 향이 가미한 새우 판나 코타와 같은 구르메 요리와도 페어링이 훌륭하다.",1/5,5/5,3/5,1/5,"서양배, 레몬, 미네랄, 브리오슈, 효모","랍스터, 생굴, 라자냐, 파스타, 탕수육, 트러플, 샐러드, 꽁떼",Champagne AOC(AOP),,,French Champagne,12~13 %,,
"도멘 티베르, 생 베랑 부아 드 페","Domaine Thibert, Saint-Veran Bois de Fee",https://www.wine21.com/13_search/wine_view.html?Idx=172936&lq=LIST,도멘 티베르  Domaine Thibert,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 생-베랑(Saint-Veran),샤르도네 (Chardonnay) 100%,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"살구, 백도, 서양배, 레몬, 아카시아, 흰꽃, 미네랄, 부싯돌, 헤이즐넛, 삼나무, 오크","오리고기, 훈제오리, 치킨, 연어, 장어구이, 해산물, 조개구이, 동그랑땡, 잡채, 오일파스타, 탕수육, 치즈, 에멘탈, 블루치즈, 콩테",,,,,,,
"도멘 티베르, 생 베랑 샴 롱드","Domaine Thibert, Saint-Veran Champ Rond",https://www.wine21.com/13_search/wine_view.html?Idx=172937&lq=LIST,도멘 티베르  Domaine Thibert,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 생-베랑(Saint-Veran),샤르도네 (Chardonnay) 100%,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"청사과, 레몬, 흰꽃, 꽃, 미네랄, 삼나무, 버터, 오크","오리고기, 훈제오리, 닭고기, 연어, 장어구이, 해산물, 조개구이, 동그랑땡, 잡채, 오일파스타, 피자, 탕수육, 체더, 치즈, 브리, 콩테",,,,,,,
"도멘 티베르, 푸이 뱅젤 레 롱게이","Domaine Thibert, Pouilly-Vinzelles Les Longeays",https://www.wine21.com/13_search/wine_view.html?Idx=172938&lq=LIST,도멘 티베르  Domaine Thibert,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-뱅즐레(Pouilly-Vinzelles),샤르도네 (Chardonnay) 100%,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"모과, 살구, 복숭아, 자몽, 헤이즐넛, 아몬드, 꿀","오리고기, 훈제오리, 치킨, 연어, 장어구이, 해산물, 새우, 동그랑땡, 파스타, 피자, 복숭아, 치즈, 체다, 브리, 꽁떼, 모짜렐라",,,,,,,
"도멘 티베르, 푸이 퓌세 비네 블랑쉬","Domaine Thibert, Pouilly-Fuisse Vignes Blanches",https://www.wine21.com/13_search/wine_view.html?Idx=172939&lq=LIST,도멘 티베르  Domaine Thibert,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-퓌세(Pouilly-Fuisse),샤르도네 (Chardonnay) 100%,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 생선구이, 장어구이, 해산물, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"서양배, 시트러스, 감귤, 레몬껍질, 아카시아, 꽃, 감초, 브리오슈, 버터, 오크","훈제오리, 닭고기, 오리로스, 연어, 장어구이, 해산물, 새우, 킹크랩, 동그랑땡, 파스타, 피자, 치즈, 브리, 블루치즈, 꽁떼, 콩테",,,,,,,
"지아꼬모 그리말디, 로에로 아르네이스","Giacomo Grimaldi, Roero Arneis",https://www.wine21.com/13_search/wine_view.html?Idx=172940&lq=LIST,지아꼬모 그리말디  Giacomo Grimaldi,이탈리아(Italy) / 피에몬테(Piemonte),아르네이스 (Arneis) 100%,10~12 ℃,"스시, 회, 새우, 다양한 치즈, 아시아요리, 동남아요리, 건육, 피자, 파스타 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"살구, 레몬, 아카시아, 자스민, 흰꽃","건육, 살라미, 스시, 생선회, 사시미, 새우, 파스타, 피자, 동남아요리, 아시아요리, 샐러드, 치즈, 크림치즈",,,씨에스알와인,,,,
"소호, 핑크 쉽 소비뇽 블랑","Soho, Pink Sheep Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172941&lq=LIST,소호  Soho,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),8~10 ℃,"광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"배, 시트러스, 레몬껍질, 열대과일","광어, 스시, 생선회, 농어, 생선 까르파치오, 해산물, 문어숙회, 조개구이, 동남아요리, 아시아요리, 튀김, 야채, 샐러드, 과일, 치즈, 리코타, 크림치즈, 모짜렐라",,,씨에스알와인,New Zealand Sauvignon Blanc,,,
"소호, 바비 피노 누아","Soho, Bobby Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172942&lq=LIST,소호  Soho,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir) 100%,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 다양한 치즈와 잘 어울린다.",1/5,3/5,3/5,2/5,"아카시아, 제비꽃, 장미","송아지, 로스트비프, 바비큐, 훈제오리, 참치, 불고기, 한식, 편육, 파스타, 리조토, 송이버섯, 치즈, 파르미지아노, 체다, 고다, 그라노파다노, 리코타",,,씨에스알와인,New Zealand Pinot Noir,,,
"소호, 지기 피노 그리","Soho, Ziggy Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=172943&lq=LIST,소호  Soho,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 그리 (Pinot Gris),8~10 ℃,"해산물, 조개구이, 굴요리, 아시아요리, 동남아요리, 매운음식 등과 잘 어울린다.",1/5,4/5,1/5,1/5,"청사과, 배, 시트러스, 라임","시푸드, 해산물, 게살, 조개구이, 새우, 킹크랩, 한국음식, 편육, 나물, 어묵, 수육, 중국요리, 탕수육, 동남아요리, 아시아요리, 매운음식, 튀김, 식전주, 샐러드, 리코타, 크림치즈, 모짜렐라",,,씨에스알와인,New Zealand Pinot Gris,,,
"지아꼬모 그리말디, 랑게 소비뇽","Giacomo Grimaldi, Langhe Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=172944&lq=LIST,지아꼬모 그리말디  Giacomo Grimaldi,이탈리아(Italy) / 피에몬테(Piemonte),소비뇽 블랑 (Sauvignon Blanc) 100%,10~12 ℃,"농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"살구, 복숭아, 레몬, 흰꽃, 미네랄","광어, 흰살생선, 장어구이, 해산물, 새우, 동남아요리, 아시아요리, 튀김, 야채, 샐러드, 복숭아, 리코타, 크림치즈",,,신세계엘앤비 / 씨에스알와인,,,,
"리버 팜, 소비뇽 블랑","River Farm, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172945&lq=LIST,리버팜  River Farm,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) 100%,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"구즈베리, 복숭아, 시트러스, 라임, 레몬","생선구이, 연어, 해산물, 씨푸드, 조개구이, 잡채, 한식, 편육, 나물, 오일파스타, 서양요리, 탕수육, 동남아요리, 아시아요리, 튀김, 식전주, 야채, 샐러드, 복숭아, 치즈, 고다, 페타",,,,New Zealand Sauvignon Blanc,,,
"네이키드, 소비뇽 블랑","Nakd, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172946&lq=LIST,네이키드  Nakd,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) 100%,8~10 ℃,"농어, 광어, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"복숭아, 시트러스, 라임, 레몬, 엘더플라워, 아카시아, 흰꽃","광어, 생선회, 해산물, 조개구이, 새우, 잡채, 한식, 나물, 오일파스타, 서양요리, 아시아요리, 동남아음식, 튀김, 야채, 샐러드, 복숭아, 리코타, 크림치즈, 모짜렐라",,*2023 대한민국 주류대상 '신대륙 화이트 와인부문 대상' 수상,씨에스알와인,New Zealand Sauvignon Blanc,,,
"네이키드, 실버 소비뇽 블랑","Nakd, Silver Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172947&lq=LIST,네이키드  Nakd,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),8~10 ℃,"광어, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"구즈베리, 복숭아, 서양배, 시트러스, 자몽, 라임, 레몬, 엘더플라워, 흰꽃","광어, 스시, 생선회, 해산물, 조개구이, 새우, 잡채, 나물, 오일파스타, 동남아요리, 아시아요리, 튀김, 식전주, 야채, 샐러드, 리코타, 크림치즈, 모짜렐라",,,씨에스알와인,New Zealand Sauvignon Blanc,,,
"도멘 드 라 자나스, 꼬뜨 뒤 론 레 가리그","Domaine de la Janasse, Cotes du Rhone Les Garrigues",https://www.wine21.com/13_search/wine_view.html?Idx=172948&lq=LIST,도멘 드 라 자나스  Domaine de la Janasse,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) 100%,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 체리, 라스베리, 후추, 허브, 오크, 젖은흙","스튜, 소고기, 스테이크, 양갈비, 불고기, 양념갈비, 갈비찜, 한국음식, 라자냐, 서양요리, 버섯, 치즈, 파르미지아노, 고다, 브리, 블루치즈, 콩테",,,씨에스알와인,,,,
