와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,숙성,양조
"콜긴, 캐리아드","Colgin Cellars, Cariad",https://www.wine21.com/13_search/wine_view.html?Idx=163183&lq=LIST,콜긴  Colgin Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot) / 메를로 (Merlot),,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 버섯, 한국음식 과 잘 어울린다.",나라셀라,1/5,3/5,5/5,5/5,,"스테이크, 양갈비, 버섯",Napa Valley AVA,"*2017 빈티지: Robert Parker 96+점*2016 빈티지: Robert Parker 100점*2015 빈티지: Robert Parker 98+점*2014 빈티지: Robert Parker 96점, Wine Spectator 96점*2013 빈티지: Robert Parker 98점, Wine Spectator 93점*2010 빈티지: Robert Parker 100점*2007 빈티지: Robert Parker 100점*2005 빈티지: Robert Parker 100점",,
컨티뉴엄 프리미어 나파 밸리,Continuum PNV,https://www.wine21.com/13_search/wine_view.html?Idx=163184&lq=LIST,컨티뉴엄  Continuum Estate,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),,,17~19 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 버섯, 한국음식 과 잘 어울린다.",나라셀라,1/5,4/5,5/5,5/5,,"스테이크, 양갈비, 버섯",Napa Valley AVA,"*PNV Auction 17회 출품작 (생산량: 24병/750ml, 18병/1500ml)",,
"덕혼, 나파 밸리 쓰리 팜스 빈야드 멀롯","Duckhorn, Napa Valley Three Palms Vineyard Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=163185&lq=LIST,덕혼 와인 컴퍼니   Duckhorn Wine Company,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),메를로 (Merlot),Californian Merlot,,16~18 ℃,"스테이크, 로스트비프, 훈제오리, 불고기, 파스타, 다양한 치즈 등과 잘 어울린다.",나라셀라,1/5,3/5,5/5,4/5,미네랄,"훈제오리, 불고기, 파스타, 치즈",Napa Valley AVA,"*2017 빈티지: 2020 Wine Spectator TOP 100 중 15위, Wine Spectator 93점, James Suckling 94점, US Wine Review Online 100점*2015 빈티지: Wine Enthusiast 93점, 2017 Wine Spectator TOP 100 중 1위*2014 빈티지: 2017 Wine Spectator TOP 100 중 1위",,
"페데리코 파테니나, 까바 브뤼 로제","Federico Parternina, Cava Brut Rose",https://www.wine21.com/13_search/wine_view.html?Idx=163186&lq=LIST,페데리코 파테니나  Federico Paternina,스페인(Spain) / 페네데스(Penedes),모나스트렐 (Monastrell) 70% / 피노 누아 (Pinot Noir) 30%,Spanish Cava,11.5 %,6~8 ℃,크림소스를 가미한 해산물 혹은 파스타 그리고 식전주로 잘 어울린다.,신세계엘앤비,1/5,3/5,2/5,1/5,"배, 버터","해산물, 파스타, 식전주",Cava DO(DOP),*2016 Decanter World Wine Awards 은메달*2016 IWSC 동메달,,
꼰데 데 카스텔로 로드리고 레드,Conde de Castelo Rodrigo Red,https://www.wine21.com/13_search/wine_view.html?Idx=163187&lq=LIST,아데가 코퍼레이티바 데 피구에이라 데 카스텔로 로드리고  Adega Cooperativa de Figueira de Castelo Rodrigo,포르투갈(Portugal),투리가 나시오날 (Touriga Nacional) 50% / 아라고네즈 (Aragonez) 50%,,13.5 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 이베리코 돼지고기, 감자튀김, 토마토파스타와 잘 어울린다.",,1/5,3/5,4/5,3/5,바닐라,,Castelo Rodrigo DOC(DOP),,,
"웬티, 베이어 랜치 까베르네 쇼비뇽","Wente, Beyer Ranch Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=163188&lq=LIST,웬티 빈야드  Wente Vineyards,미국(U.S.A) / 캘리포니아(California) / 앨러미다 카운티(Alameda County) / 리버모어 밸리(Livermore Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,13.5 %,17~19 ℃,"닭고기, 돼지고기, 양념한 쇠고기 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"쇠고기, 닭고기",Livermore Valley AVA,,,
"산타 이네스, 셀렉션 샤도네이","Santa Ines, Selection Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=163189&lq=LIST,산타 이네스  Santa Ines,칠레(Chile) / 아콩카구아(Aconcagua) / 카사블랑카 밸리(Casablanca Valley),샤르도네 (Chardonnay) 100%,Chilean Chardonnay,13~14 %,8~10 ℃,연어요리 또는 소스를 얹은 생선요리 등과 잘 어울린다.,,1/5,3/5,4/5,1/5,,연어,,,,
"산타 이네스, 셀렉션 까베르네 쇼비뇽","Santa Ines, Selection Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=163190&lq=LIST,산타 이네스  Santa Ines,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,14~15 %,17~19 ℃,붉은 육류 요리와 숙성이 잘 된 치즈 등과 잘 어울린다.,,1/5,3/5,4/5,4/5,"체리, 오크",치즈,,,,
"산타 이네스, 셀렉션 까르미네르","Santa Ines, Selection Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=163191&lq=LIST,산타 이네스  Santa Ines,칠레(Chile) / 마이포 밸리(Maipo Valley),카르메네르 (Carmenere) 90% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Chilean Carménère,14.5 %,17~19 ℃,"육즙이 살아 있는 스테이크, 스파이시한 동양 음식 등과 잘 어울린다.",,1/5,3/5,5/5,4/5,"피망, 바닐라, 오크",스테이크,,,,
"산타 이네스, 셀렉션 시라","Santa Ines, Selection Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=163192&lq=LIST,산타 이네스  Santa Ines,칠레(Chile) / 코킴보(Coquimbo) / 초아파 밸리(Choapa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Chilean Syrah,14~15 %,17~19 ℃,육류 요리 및 오리와 같은 가금류 요리 등과 잘 어울린다.,,1/5,3/5,5/5,4/5,바닐라,가금류,,,,
샤또 퐁다흐자크 블랑,Chateau Fondarzac Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=163193&lq=LIST,샤또 퐁다흐자크  Chateau Fondarzac,프랑스(France) / 보르도(Bordeaux) / 엉트르-두-메르(Entre-Deux-Mers),소비뇽 블랑 (Sauvignon Blanc) 80% / 세미용 (Semillon) 20%,,12~13 %,8~10 ℃,"돼지고기, 닭고기, 구운 생선, 치즈 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,자몽,"닭고기, 치즈",Entre-Deux-Mers AOC(AOP),,,
샤또 라 란도뜨,Chateau La Landotte,https://www.wine21.com/13_search/wine_view.html?Idx=163194&lq=LIST,필립프 꾸리안  Philippe Courrian,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),카베르네 소비뇽 (Cabernet Sauvignon) 75% / 메를로 (Merlot) 25%,Bordeaux Médoc,13~14 %,17~19 ℃,"비프 스테이크, 양갈비, 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"배, 오크","양갈비, 치즈",Médoc AOC(AOP),,,
샤또 까스까데,Chateau Cascadais,https://www.wine21.com/13_search/wine_view.html?Idx=163195&lq=LIST,필립프 꾸리안  Philippe Courrian,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬르비에르(Corbieres),까리냥 (Carignan/Carignane) 32% / 시라/쉬라즈 (Syrah/Shiraz) 32% / 그르나슈 (Grenache) 28% / 무르베드르 (Mourvedre) 4% / 쌩쏘 (Cinsault) 4%,Languedoc-Roussillon Red,13~14 %,17~19 ℃,양고기 및 소시지 등 훈제 요리 등과 잘 어울린다.,,1/5,3/5,4/5,3/5,"꽃, 민트","소시지, 양고기",Corbières AOC(AOP),,,
르 따나 드 필리프 꾸리안,Le Tannat de Philippe Courrian,https://www.wine21.com/13_search/wine_view.html?Idx=163196&lq=LIST,필립프 꾸리안  Philippe Courrian,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬르비에르(Corbieres),따나 (Tannat) 100%,Languedoc-Roussillon Red,14~15 %,17~19 ℃,소고기 요리 및 각종 치즈 등과 잘 어울린다.,,1/5,3/5,4/5,4/5,"꽃, 시나몬, 타바코","소고기, 치즈",,,,
레 크리오뜨 메네투-살롱,Les Criotte Menetou-Salon,https://www.wine21.com/13_search/wine_view.html?Idx=163197&lq=LIST,도나시앙 바위오  Donatien Bahuaud,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 메네뚜-살롱(Menetou-Salon),소비뇽 블랑 (Sauvignon Blanc) 100%,Upper Loire White,12~13 %,8~10 ℃,"굴, 회 등의 신선한 해산물과 아스파라거스 등의 야채 구이, 치즈 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"시트러스, 꽃","해산물, 치즈",Menetou-Salon AOC(AOP),,,
상세르 블랑 N7,Sancerre Blanc N7,https://www.wine21.com/13_search/wine_view.html?Idx=163198&lq=LIST,도나시앙 바위오  Donatien Bahuaud,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc) 100%,Upper Loire White,12~13 %,9~11 ℃,"따뜻한 해산물 요리, 연성 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,1/5,미네랄,"해산물, 치즈",Sancerre AOC(AOP),*Korea Wine Challenge 2016 Gold Medal,,
"뱅상 꾸슈, 엘레강스 엑스트라 브뤼","Vincent Couche, Elegance Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=163199&lq=LIST,샹빠뉴 뱅상 꾸슈  Champagne Vincent Couche,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),French Champagne,12~13 %,6~8 ℃,"각종 에피타이저, 해산물, 스낵안주 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,배,"해산물, 스낵",Champagne AOC(AOP),*내추럴 샴페인*Wine Enthusiast 91점*Wine Advocate 90점,,
"뱅상 꾸슈, 샤르도네 드 몽구","Vincent Couche, Chardonnay de Mongueux",https://www.wine21.com/13_search/wine_view.html?Idx=163200&lq=LIST,샹빠뉴 뱅상 꾸슈  Champagne Vincent Couche,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,12~13 %,6~8 ℃,"목 넘김이 깔끔해서 와인만 즐겨도 좋고, 치즈 등 간단 안주 등과 잘 어울린다.",,1/5,4/5,4/5,1/5,"버터, 효모",치즈,Champagne AOC(AOP),*내추럴 샴페인,,
"보칸티노, 네로 다볼라","Boccantino, Nero d'Avola",https://www.wine21.com/13_search/wine_view.html?Idx=163201&lq=LIST,보칸티노  Boccantino,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola) 100%,Southern Italy Red,13 %,15~17 ℃,육류 요리 및 간단한 스낵 안주류 등과 잘 어울린다.,,1/5,3/5,3/5,3/5,바닐라,스낵,Sicilia IGT(IGP),,,
"알세뇨, 오가닉","Alceno, Organic",https://www.wine21.com/13_search/wine_view.html?Idx=163202&lq=LIST,보데가 알세뇨  Bodegas Alceno,스페인(Spain) / 후미야(Jumilla),모나스트렐 (Monastrell) 85% / 시라/쉬라즈 (Syrah/Shiraz) 15%,Spanish Red,14 %,17~19 ℃,"비프 스테이크, 양갈비 등 육류 요리 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"배, 커피",양갈비,Jumilla DO(DOP),,,
VH 피에스포트 골드크룁헨 리슬링 아우스레제,VH Piesporter Goldtropfchen Riesling Auslese,https://www.wine21.com/13_search/wine_view.html?Idx=163203&lq=LIST,페어아이니크테 호스피치엔  Verinigte Hospitien,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling) 100%,German Riesling,7~8 %,8~10 ℃,케이크 등 각종 디저트 등과 잘 어울린다.,,4/5,3/5,4/5,1/5,"무화과, 미네랄",,Auslese(QmP),,,
쓰리 라이온즈 까베르네 메를로,Three Lions Cabernet Merlot,https://www.wine21.com/13_search/wine_view.html?Idx=163204&lq=LIST,플란타제넷 와인즈  Plantagenet Wines,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),카베르네 소비뇽 (Cabernet Sauvignon) 70% / 메를로 (Merlot) 30%,Australian Bordeaux Blend,14~15 %,17~19 ℃,"등심구이, 양갈비 등 레드 미트 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,오크,양갈비,,*Great Southern & Gographe에서 생산된 포도를 사용,,
쓰리 라이온즈 쉬라즈,Three Lions Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=163205&lq=LIST,플란타제넷 와인즈  Plantagenet Wines,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,14~15 %,17~19 ℃,"에멘탈 치즈, 소스를 얹은 육류 요리, 스파이스한 가금류 요리 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"블루베리, 커피",가금류,,*Great Southern & Gographe에서 생산된 포도를 사용,,
쓰리 라이온즈 피노 누아,Three Lions Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=163206&lq=LIST,플란타제넷 와인즈  Plantagenet Wines,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),피노 누아 (Pinot Noir),Australian Pinot Noir,14~15 %,15~17 ℃,"닭고기, 오리고기등 가금류, 치즈, 중화요리 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"바닐라, 오크",치즈,,*Mount Barker에서 생산된 포도를 사용,,
쓰리 라이온즈 소비뇽 블랑,Three Lions Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=163207&lq=LIST,플란타제넷 와인즈  Plantagenet Wines,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),소비뇽 블랑 (Sauvignon Blanc) 100%,Australian Sauvignon Blanc,12~13 %,8~10 ℃,"해산물, 피자, 파스타 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"구즈베리, 자몽, 파인애플",해산물,,,,
쓰리 라이온즈 샤도네이,Three Lions Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=163208&lq=LIST,플란타제넷 와인즈  Plantagenet Wines,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 그레이트 서던(Great Southern),샤르도네 (Chardonnay) 100%,Australian Chardonnay,13~14 %,10~12 ℃,신선한 샐러드와 해산물 요리 등과 잘 어울린다.,,1/5,3/5,3/5,1/5,"복숭아, 감귤","해산물, 샐러드",,,,
제르젠티 네로다볼라 & 산지오베제,Gergenti Nero d'Avola & Sangiovese,https://www.wine21.com/13_search/wine_view.html?Idx=163209&lq=LIST,칸티나 소시올레 파오리니  Cantina Sociale Paolini,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola) / 산지오베제 (Sangiovese),Southern Italy Red,13~14 %,16~18 ℃,그릴에 구운 스테이크 등 각종 육류 요리와 스파이시한 치즈 등과 잘 어울린다.,,1/5,3/5,3/5,3/5,,"스테이크, 치즈",Sicilia IGT(IGP),,,
제르젠티 그릴로 & 피노 그리지오,Gergenti Grillo & Pinot Grigio,https://www.wine21.com/13_search/wine_view.html?Idx=163210&lq=LIST,칸티나 소시올레 파오리니  Cantina Sociale Paolini,이탈리아(Italy) / 시칠리아(Sicilia),그릴로 (Grillo) 70% / 피노 그리지오 (Pinot Grigio) 30%,Southern Italy White,13~14 %,8~10 ℃,"각종 해산물 요리, 연성 치즈, 가벼운 에피타이저 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,미네랄,"해산물, 치즈",Sicilia IGT(IGP),,,
잼잘 스위트 모스카토,Jam Jar Sweet Moscato,https://www.wine21.com/13_search/wine_view.html?Idx=163211&lq=LIST,잼잘 와인스  Jam Jar Wines,남아프리카(South Africa) / 웨스턴 케이프(Western Cape),모스카토  (Moscato ) 100%,,13 %,6~8 ℃,"과일, 디저트, 치즈, 닭고기 등과 잘 어울린다.",,4/5,2/5,2/5,1/5,"오렌지, 꽃","닭고기, 과일, 치즈, 디저트",,,,
잼잘 스위트 쉬라즈,Jam Jar Sweet Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=163212&lq=LIST,잼잘 와인스  Jam Jar Wines,남아프리카(South Africa) / 웨스턴 케이프(Western Cape),시라/쉬라즈 (Syrah/Shiraz) 100%,South African Syrah,13 %,14~15 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,4/5,2/5,3/5,2/5,잼,양갈비,,,,
돔 페리뇽 P2,Dom Perignon P2,https://www.wine21.com/13_search/wine_view.html?Idx=163213&lq=LIST,모엣 샹동  Moet & Chandon,프랑스(France) / 샹빠뉴(Champagne),샹파뉴 블렌드 (Champagne Blend),French Champagne,12~13 %,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"꽃, 미네랄, 로즈마리, 토스트","스시, 샐러드, 과일, 치즈, 디저트",Champagne AOC(AOP),,,
레 트와 망 그라브 화이트,Graves Blanc 'Les Tois Mains',https://www.wine21.com/13_search/wine_view.html?Idx=163214&lq=LIST,가람  Garam,프랑스(France) / 보르도(Bordeaux) / 그라브(Graves),소비뇽 블랑 (Sauvignon Blanc) 81% / 세미용 (Semillon) 19%,,12~13 %,10~12 ℃,"식전주보다는 음식과 함께하는 것이 더 어울리는 와인으로 적당한 소스가 더해진 해산물 요리, 닭이나 새우가 들어간 샐러드, 닭이나 돼지고기 요리 등은 무난히 잘 어울린다.",,1/5,4/5,4/5,1/5,"오크, 효모","식전주, 샐러드",,*첫빈티지: 2016년*한국인 남경화 대표가 프랑스 그라브에서 만든 화이트 와인,,
듀블 브뤼,Duble Brut,https://www.wine21.com/13_search/wine_view.html?Idx=163215&lq=LIST,페우디 [페우디 디 산 그레고리오]  Feudi [Feudi di San Gregorio],이탈리아(Italy) / 깜빠니아(Campania),팔랑기나 (Falanghina) 100%,,12.5 %,6~8 ℃,"이상적인 식전주로 좋으며, 생선회, 스시 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,식전주,Irpinia DOC(DOP),"*2016 빈티지: Robert Parker 88점, Wine Enthusiast 90점, Wine Spectator 88점",,
익스피리언스 까베르네 쇼비뇽,Experience Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=163216&lq=LIST,익스피어리언스 와인  Experience Wines,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 88% / 말벡 (Malbec) 12%,Californian Cabernet Sauvignon,14.2 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,5/5,4/5,"바닐라, 오크","양갈비, 치즈",Napa Valley AVA,"*2015 빈티지: Robert Parker 90점*생산량: 2,664케이스",,
"카사 로호, 오렌지 리퍼블릭","Casa Rojo, The Orange Republic",https://www.wine21.com/13_search/wine_view.html?Idx=163217&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 발데오라스(Valdeorras),고데요 (Godello) 100%,,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,1/5,"오렌지, 꽃, 효모","바비큐, 수육, 탕수육, 치즈",,,,
"카사 로호, 몰토 네그레","Casa Rojo, Molto Negre",https://www.wine21.com/13_search/wine_view.html?Idx=163218&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 까탈루냐(Cataluna),트레파트 (Trepat),Spanish Sparkling,,6~8 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,1/5,"오렌지, 꽃, 브리오슈","해산물, 수육, 탕수육, 치즈",Cava DO(DOP),,,
