생산지역,설명
시칠리아Sicilia,시칠리아(Sicilia 혹은 시실리Sicily)는 이탈리아의 와인 산지로 지중해의 한 중앙에 위치하고 있다. 시실리 섬은 이탈리아의 다른 지역들보다도 포도밭이 더 많이 분포되어 있다. 대부분의 포도들은 말려서 식재료로 사용을 하거나 달콤한 디저트 와인들을 만들기도 하는데 독특한 방식으로 만들어진 달콤한 강화 와인이자 시실리 내에 있는 지명의 이름을 딴 마르살라(Marsala)는 세계적으로 유명하다.
토스카나Toscana,"토스카나(Toscana)는 이탈리아의 대표 와인 산지다. 토스카나는 티레니아 해안(Thyrrhenian Coast)과 피렌체(Firenze)와 시에나(Siena)의 두 지역으로 나눠 볼 수 있다. 대부분의 포도원은 피사(Pisa)와 루카(Lucca)가 있는 내륙에 있지만, 그 기후는 온화한 해양성 기후여서 해안 지방의 와인들과 비슷한 와인들이 생산된다."
산타루치아 하이랜즈Santa Lucia Highlands,"산타 루치아 하이랜즈(Santa Lucia Highlands)는 미국 캘리포니아 몬터레이 카운티에 속하는 와인 산지다. 몬터레이만에서 불어오는 해풍의 영향으로 서늘한 지역에 속한다. 강수량이 반사막에 가까울 정도로 적으며 긴 생육 기간을 거친다. 사양토와 석회를 포함한 이암을 지닌다. 주요 품종은 피노 누아, 샤르도네, 약간의 리슬링, 피노 그리, 비오니에, 시라가 재배된다."
리스본Lisboa,
샹빠뉴Champagne,"샹빠뉴(Champagne)는 프랑스 북동부에 위치해 있으며, 세계에서 가장 유명한 스파클링 와인을 생산하는 곳이다. 이 지역은 고유의 기후, 토양, 그리고 엄격한 생산 규정으로 인해 독특하고 높은 품질의 샴페인을 만들어낸다. 샴페인 와인은 전통적인 방식으로 만들어지며, 주로 샤르도네, 피노 누아, 그리고 피노 뫼니에 포도 품종을 사용한다."
뿌이-퓌메Pouilly-Fume,"뿌이-퓌메(Pouilly-Fume)는 프랑스 루아르 밸리에 속하는 와인 산지다. 이곳은 소비뇽 블랑으로 유명하며 오직 드라이한 화이트 와인만 생산한다. 상세르의 소비뇽 블랑과 흔히 비교되곤 한다. 뿌이-퓌메는 부싯돌 향이 두드러지며, 강렬한 미네랄 풍미를 지닌다."
보르도 쒸뻬리외르Bordeaux Superieur,
생-떼밀리옹 그랑 크뤼Saint-Emilion Grand Cru,생-떼밀리옹 그랑 크뤼(Saint-Emilion Grand Cru)는 생-떼밀리옹 내 특급 포도원이라는 의미다.
생-떼밀리옹Saint-Emilion,"생떼밀리옹(Saint-Emilion)은 프랑스 보르도에 속하는 와인 산지다. 생떼밀리옹 포도원은 유네스코의 세계 문화유산으로 지정되었다. 영국인들은 생떼밀리옹 와인을 ""와인의 왕 (king of wines)""이라 부른다. 생떼밀리옹 포도원은 원형 극장 형태로 조성되어 <1000개의 성으로 이뤄진 언덕>이라는 별명을 얻었다."
센트럴 밸리Central Valley,"센트럴 밸리(Central Valley)는 칠레 중심부 와인 산지를 아우르는 명칭이다. 칠레의 수도인 산티아고(Santiago)에서 남쪽으로 320km정도 떨어진 마울레 밸리까지 속해있으며, 좌측으로는 태평양과 우측에 안데스 산맥이 자리하고 있다. 이 지역은 칠레 와인 생산의 핵심 지역이라고 볼 수 있으며 마이포 밸리, 라펠 밸리, 큐리코 밸리, 마울레 밸리 등이 이 지역에 속해 있다."
라펠 밸리Rapel Valley,"라펠 밸리(Rapel Valley)는 칠레 와인 산지다. 라펠 밸리(Rapel Valley)의 준지역인 콜차구아(Colchagua)는 마이포(Maipo)의 남서쪽에 위치하고 있으며 더 따뜻하다. 라펠 밸리 와인은 견고한 구조의 마이포 밸리 와인과는 대조적으로 나무 딸기 향의 피니쉬와 함께 들장미나, 블랙 베리 향을 낸다."
소노마 밸리Sonoma Valley,"소노마 밸리(Sonoma Valley)는 캘리포니아 와인의 발상지로 알려진 곳으로, 다양한 기후와 토양이 어우러져 독특하고 품질 높은 와인을 생산하는 산지이다. 이곳은 역사적인 와인 양조 전통과 현대적인 기술이 조화를 이루며, 고유한 테루아를 바탕으로 세계적인 명성을 얻고 있다."
러더포드Rutherford,"러더포드(Rutherford)는 미국 캘리포니아 주 나파 밸리의 중심부에 위치한 고유의 와인 산지로, 이 지역은 주로 고급 레드 와인 생산으로 유명하다."
보르도Bordeaux,"보르도(Bordeaux)는 프랑스의 중요한 와인 산지다. 조화, 섬세와 균형은 세계에서 가장 많이 팔리는 보르도 AOC와인 특성을 표현하는 단어들이다. 보르도 AOC는 보르도에서 가장 큰 아펠라시옹이다."
부르고뉴Bourgogne,"부르고뉴(Bourgogne)는 프랑스 대표 와인 산지로, 부르고뉴(영어로 버건디Burgundy)의 포도원 중에는 2000년이 넘는 역사를 지닌 곳이 있을 정도로 부르고뉴는 유서 깊은 와인 산지다. 서기 약 300년경, 갈로 로마 시대, 한 로마 황제의 적극적인 진흥 정책으로 부르고뉴의 포도원은 급속히 발전했다."
태즈매니아Tasmania,태즈매니아(Tasmania)는 호주의 와인 산지다. 태즈매니아는 좁고 폭풍에 요동치는 바스(Bass) 해협에 의해 호주 대륙으로부터 분리되어 있다. 호주의 최남단에 위치한 주인 태즈마니아(Tasmania)의 기후는 서늘한 유럽의 기후와 가장 비슷하다.
랑게Langhe,"랑게(Langhe)는 이탈리아 북서부의 와인 산지로 피에몬테에 속한다. 랑게는 이 지방 언어로 랑가(Langa)에서 유래했다. 남에서 동으로 흐르는 타나로(Tanaro)강 인근 언덕 지역에 포도원이 있다. 랑게의 와인, 치즈, 송로 버섯은 식도락가들에게 매우 유명하다. 유네스코는 2014년 랑게 지역을 문화 유산으로 지정해 이 지역의 포도 재배와 와인 양조 전통을 더욱 빛나게 했다."
키안티 클라시코Chianti Classico,키안티 클라시코를 이해하기 위해서는 토지과 지리적 특징을 아는게 필수적이다.
몬탈치노Montalcino,"몬탈치노(Montalcino)는 이탈리아 토스카나 주에 속하는 와인 산지다. 이 지역은 모래, 점토, 갈레스트로로 구성되며, 1982년 DOCG등급을 받았다."
까오르Cahors,"까오르(Cahors)는 프랑스 남서부에 위치하며, 특히 말벡 포도 품종으로 유명한 와인 생산 지역이다. 이 지역은 강력하고 풍부한 풀바디 와인을 생산하는 것으로 잘 알려져 있으며, Cahors 와인은 종종 그 깊은 색과 복잡한 풍미로 인식된다. 기후와 토양은 말벡 포도가 잘 자라게 하는 이상적인 조건을 제공한다."
러시안 리버 밸리Russian River Valley,"러시안 리버 밸리(Russian River Valley)는 캘리포니아 소노마 카운티에 위치한 와인 산지로, 서늘한 기후와 독특한 테루아를 바탕으로 세계적인 피노 누아(Pinot Noir)와 샤르도네(Chardonnay)의 명산지로 꼽힌다."
사우스 오스트레일리아South Australia,호주 대륙의 중앙에 위치한 사우스 오스트레일리아(South Australia)는 호주 와인의 50% 이상을 생산해내고 있으며 세계에서 가장 오래된 몇몇 포도나무를 가지고 있다.
바롤로Barolo,바롤로(Barolo)는 이탈리아 북서부 피에몬테에 속하는 와인 산지다. 바롤로는 전형적인 구릉 지대로 네비올로로 만든 와인으로 명성이 자자하다. 이 지역은 1980년 DOCG등급을 획득했다.
일본Japan,
바로사 밸리Barossa Valley,"바로사 밸리(Barossa Valley)는 호주의 와인 산지다. 바로사 밸리는 1847년부터 시작된 오랜 역사를 가지고 있으며 호주에서 가장 유명한 와인 지역 중 한 곳이다. 이 지역 기후는 흔히 매우 따뜻한 기후로 분류 되지만 실제로는 해발 고도가 낮은 지역은 적당히 따뜻한 수준, 고도가 높은 곳은 꽤 서늘하다. 실제 이 지역의 수확 시기 평균 기온은 서늘한 지역으로 잘 알려진 서호주의 마가렛 리버와 거의 동일하다."
사르데냐Sardegna,사르데냐(Sardegna)는 사르디니아(Sardinia)의 동의어 이다. 이 지역은 이탈리아에서 지중해로 떨어져 있는 와인 산지다. 사르데냐는 지리적인 위치 덕분에 이탈리아 지역들 중에서 가장 색다른 지역이 되었다.
빅토리아Victoria,빅토리아(Victoria)는 호주의 와인 산지다. 빅토리아는 호주 내륙의 남동쪽 모퉁이에 자리 잡고 있어 다른 와인 생산 지역에 비해 일반적으로 기후가 서늘하다.
히스코트Heathcôte,"히스코트(Heathcôte)는 호주 빅토리아주의 중부에 위치한 주요 와인 산지로, 특히 레드 와인으로 유명하다. 이 지역은 호주의 와인 역사에서 비교적 신생지로, 1960년대 후반부터 와인 생산이 본격적으로 시작되었다. Heathcote는 독특한 기후와 토양 덕분에 고품질의 와인을 생산하는 지역으로 자리잡았다."
오리건Oregon,"오리건(Oregon)은 미국 북서부 태평양 연안에 위치한 주로, 특히 피노 누아(피노 누아) 품종의 명산지로 알려져 있다. 이곳의 주요 와인 산지인 윌라멧 밸리(Willamette Valley)는 와인의 품질과 독특한 풍미로 국제적 명성을 얻고 있다. 오리건의 와인 특징을 이해하려면, 지역의 기후, 토양, 주요 품종에 대한 깊이 있는 이해가 필요하다."
엘퀴 밸리Elqui Valley,"엘퀴 밸리(Elqui Valley)는 칠레의 와인 산지다. 엘퀴 밸리는 아타카마 사막 남쪽 편에 위치한다. 전통적으로 이 지역은 칠레 전통 증류주인 피스코(Pisco)생산이 많았으나, 최근엔 풍미가 집중된 소비뇽 블랑과 시라를 재배하고 있다."
콜롬비아 밸리Columbia Valley,"콜럼비아 밸리(Columbia Valley)는 미국 북서부 워싱턴주에 속하는 와인산지다. 1984년도에 AVA로 등록 되었고, 면적은 약 1천 1백만 에이커(2021년기준)에 달한다. 워싱턴주 최대 포도 산지로 미국 전역의 3분의 1이상을 차지하고 있으며, 워싱턴주 와인 생산량의 98%가 이 곳에서 난다."
후미야Jumilla,"후미야(Jumilla)는 스페인 동남쪽 무르시아(Murcia)에 속하는 와인 산지다. 후미야의 명성은 로마 시대부터 시작되었으며 19세기 필록세라 재앙이 닥치지 않아 자신의 뿌리에서 자라는 포도로 와인을 만들 수 있었다. 하지만, 1989년 필록세라 피해를 입어 포도의 60%를 잃고 재식재했다."
마꽁Macon,"마꽁(Macon)은 프랑스 부르고뉴 지역의 와인 산지다. 마꽁은 11개 세부 지역을 아우른다. 이 지역은 샤르도네로 만든 화이트 와인, 가메이 혹은 피노 누아로 만든 레드 혹은 로제 와인을 생산한다."
마꽁-빌라쥬Macon-Villages,마꽁 빌라쥬(Macon-Villages)는 마꽁으로 표시된 와인보다 더욱 분명한 특성을 내는 26개의 마을을 합한 명칭이다.
리아스 바이샤스Rias Baixas,"리아스 바이사스(Rias Baixas)는 대서양을 접한 스페인 북서부 와인 산지다. 협동 조합과 작은 와이너리들이 와인을 생산한다. 비가 많이 오고 추운 겨울에 온화한 여름을 보낸다. 알바리뇨가 전체 생산량의 90 퍼센트를 차지하며, 토론테스와 고데요가 주로 재배된다. 레드 품종으로는 멘시아와 브란첼라오(Brancellao)가 재배된다."
비파바Vipava,
웨스턴 케이프Western Cape,"웨스턴 케이프(Western Cape)는 남아프리카 공화국의 주요 와인 생산지로, 이 지역은 다양한 기후와 토양을 바탕으로 다채로운 와인을 생산하고 있다. 남아프리카 공화국의 남서부에 위치해 있으며, Stellenbosch, Paarl, Franschhoek, Swartland, Constantia, Walker Bay 등의 여러 유명 와인 생산 지역이 있다. 각 지역은 고유의 특징을 가지고 있으며, 다양한 스타일의 와인을 생산하고 있다."
스페인Spain,"스페인(Spain)은 로마시대 이전부터 포도를 재배하였고, 8세기 경 스페인을 정복한 무어인들도 스페인에서 포도를 재배하였다. 스페인은 포도밭 면적이 세계 1위이며 생산량은 프랑스와 이탈리아에 이어 3위를 차지하고 있을 정도로 꽤 큰 와인 산지다."
툴룸Tulum,"툴룸(Tulum)은 아르헨티나 산 후안(San Juan)에 속하는 5개의 대표 와인 산지이자 이 중 가장 중요한 산지다. 시라, 보나르다, 말벡을 주로 재배한다."
뿔리아Puglia,"뿔리아(Puglia)는 이탈리아 남부의 와인 산지다. 뿔리아는 이탈리아 장화 모양 영토의 발뒤꿈치 부분에 위치하고 있으며, 풍부한 와인 생산이 한결같이 이어져 온 지역이다."
라인헤센Rheinhessen,"라인헤센(Rheinhessen)은 독일에서 가장 큰 와인 산지이다. 이 지역은 라인강의 왼쪽에 위치해 있으며, 주로 마인츠(Mainz), 비스바덴(Wiesbaden), 보름스(Worms) 등의 도시와 가깝다."
마울레 밸리Maule Valley,"마울레 밸리(Maule Valley)는 칠레의 와인 산지다. 마울레 밸리(Maule Valley)의 면적은 26,000ha이며 센트럴 밸리에서는 제일 큰 와인 생산 지역으로 센트럴 밸리의 남쪽에 있으며 200년 동안 와인을 생산을 해오는 지역이다. 이 지역에서는 아직까지 파이스(Pais)라는 토착 품종으로 와인이 만들어지며 이는 모두 자국 내에서 소비된다."
론Rhone,론(Rhône) 밸리는 프랑스의 대표 와인 산지다. 론 밸리는 프랑스 프랑스 비엔느(Vienne)에서 아비뇽 (Avignon)에 걸쳐 있다. 이 지역의 포도 재배와 와인 양조 역사는 약 2천 년이 넘는다. 이 지역 포도 재배자들은 최상의 와인를 양조하기 위하여 토양과 기후의 특성을 적극 활용하였으며 이렇게 해서 생산된 포도주를 “꼬뜨 뒤 론”(Côtes du Rhône) 와인이라 불렀다.
미네르브와Minervois,"미네르브와(Minervois)는 프랑스 남부에 위치해 있으며, 랑그독-루시용 지역에 속한다. 이곳은 주로 레드 와인 생산으로 유명하며, 와인은 깊고 풍부한 맛으로 잘 알려져 있다. 시라, 그르나슈, 무르베드르, 까리냥 등의 포도 품종이 복합적으로 어우러져 강렬하면서도 복잡한 향과 맛을 낸다."
발폴리첼라Valpolicella,"발폴리첼라(Valpolicella)는 이탈리아 베네토 주에 속하는 와인 산지다. 발폴리첼라는 4가지 스타일의 레드 와인을 만든다. 포도 품종은 모두 코르비나, 론디넬라, 몰리나라를 사용하는데, 가벼운 발폴리첼라부터 발폴리첼라 수페리오레(Valpolicella Superiore), 아마로네 (Amarone)그리고 가장 무거운 레치오토(Recioto)로 분류된다."
샤블리 프르미에 크뤼Chablis Premier Cru,샤블리 프리미에 크뤼(Chablis Premier Cru)는 73종에 달하며 17개의 명칭으로 불린다.
라랑드 드 뽀므롤Lalande de Pomerol,"라랑드 드 뽀므롤(Lalande de Pomerol)은 프랑스 보르도에 속하는 와인 산지다. 이 지역은 보르도 지역에서 동쪽으로 50 km 떨어진 곳으로, 리부른 시 북쪽에 위치해 있다. 포도 재배 지역은 수많은 경사지로 이루어져 있고, 2개의 마을(꼬뮌)에 걸쳐 분포되어 있다."
리무Limoux,"리무(Limoux)는 프랑스 남부의 랑그독 지역에 위치하며, 독특하고 다양한 와인을 생산하는 것으로 유명하다. 이 지역은 특히 스파클링 와인으로 잘 알려져 있으며, ""Blanquette de Limoux""라는 이름으로 양조된 전통방식의 스파클링 와인이 가장 유명하다. 이 방식은 샴페인 제조 방식보다도 오래되었다고 알려져 있으며, Limoux 지역이 스파클링 와인의 발상지 중 하나로 간주되는 이유이다."
랑그독-루씨옹Languedoc-Roussillon,"랑그독-루씨용(Languedoc Roussillon)은 프랑스 남부에 위치하며, 지중해 연안과 피레네 산맥 사이에 펼쳐져 있다. 이 지역은 프랑스 와인 생산의 중심지 중 하나로, 다양한 와인을 생산하는 넓은 포도밭으로 유명하다. 지중해 기후의 영향을 받아 따뜻하고 건조한 날씨를 보이며, 이는 포도 재배에 이상적인 환경을 제공한다."
쿠리코 밸리Curico Valley,"쿠리코 밸리(Curico Valley)는 칠레 중심부의 와인 산지 중 하나다. 쿠리코 밸리(Curico Valley)의 면적은 15,000ha이며 안데스 산맥의 경사지와 가운데 계곡의 평지, 그리고 해안을 향해 뻗은 경사지의 세 부분으로 구성되어 있다. 습도가 높은 해양성 기후이며 일교차가 포도 생장기에 15도가 넘는 지역이다. 칠레 와인 생산 지역 중 강수량이 많은 지역에 속한다."
이탈리아Italy,"이탈리아(Italy)는 프랑스와 앞 다투어 세계적으로 1, 2위를 하고 있는 최대 와인 생산 국가이다. 이태리 와인 역사는 4,000여 년 전, 선사시대까지 거슬러 올라간다. 당시 원시인들은 야생 포도를 밟아서 과일즙을 짜내었는데, 그것이 마치 마법에라도 걸린 것처럼 발효되면서 와인이 탄생되었다."
캘리포니아California,"캘리포니아(California) 포도원은 크게 3개 지역으로 나뉘는데, 샌프란시스코 북쪽 해안에 위치한 나파 밸리(Napa Valley)와 소노마 카운티(Sonoma County)지역, 캘리포니아 중부 내륙의 산 호아퀸 밸리(San Joaquin Valley), 그리고 남부 해안지역의 몬트레이 카운티(Monterey County)와 산타 클라라(Santa Clara)가 있다."
프랑스France,프랑스(France)는 세계적인 생산량과 소비량을 자랑하는 '와인 종주국'이다. 대부분의 최상위 와인들이 프랑스산이라 할 수 있다. 세계가 프랑스 와인에 집중하는 이유는 오랜 역사 뿐만 아니라 그 역사 속에서 포도 재배 및 양조 기술을 끊임없이 개발하고 발전시켰기 때문이다.
노르망디Normandi,노르망디(Normandi)는 더 이상 공식 와인 산지가 아님
마가렛 리버Margaret River,"마가렛 리버(Margaret River)는 서호주에 속하는 와인 산지로, 호주에서 가장 활동적이고 잘 알려진 와인 지역이다. 1970년대 초 해럴드 올모(Harold Olmo) 교수의 연구에 의해 발견되었으나 그 보다는 1965년 죤 글래스톤즈(John Gladstones) 박사의 연구가 이 지역의 형성에 더 큰 영향을 미쳤다. 마가렛 리버는 해양성 기후로 10월과 4월 사이의 강우량이 연중 강우량의 25% 미만이다."
콜차구아 밸리Cholchagua Valley,"콜차구아 밸리(Cholchagua Valley)는 칠레 중심부에 자리한 와인 산지다. 콜차구아 밸리는 '작은 호수들의 계곡'이란 의미를 지닌다. 이웃인 마이포 밸리에 비해 다소 서늘하지만 일정한 지중해성 기후를 지닌다. 화강암 토양이 주를 이루며, 말벡, 메를로, 샤르도네와 소비뇽 블랑이 성공적이다."
아르헨티나Argentina,"아르헨티나(Argentina)는 남미에서 중요한 와인 생산국 중 하나다. 1920년대에는 와인 생산량이 세계 5위에 달하는 와인 생산 대국이었으나, 국내 소비량이 워낙 많아 수출 물량이 많지 않았다. 당시의 와인은 내수 시장에 맞는 많은 양의 저렴한 테이블 와인이 주를 이루었다."
왈라 왈라 밸리Walla Walla Valley,"왈라 왈라 밸리(Walla Walla Valley)는 미국 북서부 워싱턴주에 속하는 와인 산지다. 왈라 왈라 밸리는 워싱턴에서 가장 오래된 일부 와이너리들의 본 고장이며, 워싱턴 주 내에서 와이너리들이 가장 밀집되어 있는 지역이다."
쀨리니-몽라셰Puligny-Montrachet,"쀨리니-몽라셰(Puligny-Montrachet)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본에 속하는 쀨리니-몽라셰는 샤샤뉴와 메르소 사이에 위치한다. 4개의 그랑 크뤼 포도원, 르 몽라셰(Le Montrachet), 슈발리에-몽라셰(Chevalier-Montrachet), 바타르-몽라셰(Bâtard-Montrachet), 비엔베뉘에-바타르-몽라셰(Bienvenues-Bâtard-Montrachet)가 있으며 쀨리니-몽라셰 와인의 명성을 얻게 한다."
멘도사Mendoza,"멘도사(Mendoza)는 아르헨티나의 대표 와인 산지다. 1561년 안데스 산맥의 동쪽에 위치한다. 이곳의 와인 생산량은 전국의 약 70%이상을 차지하며, 또한 80%의 고급 아르헨티나 와인을 생산하는 곳이기도 하다. 대부분 해발 600-1100m 고지대에 위치하며 145,686 헥타르 이상의 넓은 지역에 포도를 재배하고 있다."
산 후안San Juan,"산 후안(San Juan)은 아르헨티나에 위치한 와인 산지다. 멘도사의 바로 북쪽에 자리 잡고 있으며 60,000 헥타르의 규모다. 사토와 자갈이 많은 토양으로 인해 배수가 좋은 편이며 산 후안 강으로부터 풍부한 물을 얻는다. 재래 품종인 끄리오야와 세레사(Criolla and Cereza)의 생산량이 많으며 아페리티프 와인으로서 버머스, 뮈스까델, 셰리 등의 포도 품종들이 생산되고 있다."
우윰-존다Ullum-Zonda,"우윰-존다(Ullum-Zonda)는 아르헨티나 산 후안(San Juan)에 속하는 5개의 대표 와인 산지 중 하나다. 시라, 카베르네 소비뇽, 말벡을 주로 재배한다."
페네데스Penedes,"페네데스(Penedes)는 스페인의 카탈루냐 지방에 위치한 유명한 와인 생산 지역으로, 바르셀로나 남서쪽에 위치하고 있다. 이 지역은 주로 스페인의 샴페인에 해당하는 스파클링 와인인 카바(Cava)로 유명하다. 지중해 연안 언덕과 내륙 산맥 사이에 위치하여, 바다와 산의 보호 효과로 인해 포도 재배에 유리한 기후가 형성되었다. 가장 흔한 품종으로는 마카베오, 자렐로, 파렐라다가 있으며, 이는 카바 생산에 사용된다."
모레이 생 드니Morey-St-Denis,"모레이-생-드니(Morey-St-Denis)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 뉘에 속하며, 샹볼-뮈지니와 쥬브레-샹베르땅을 접하고 있다."
뽀마르Pommard,"뽀마르(Pommard)는 프랑스 부르고뉴 지역의 와인 산지다. 뽀마르는 꼬뜨 드 본에 속하며 이 지역에서 가장 힘찬 레드 와인이 생산된다. 뽀마르의 토양은 복합적이며, 철분함량이 높은 점토 비율이 높다. 따라서, 와인은 색이 진하고 상대적으로 탄닌이 느껴진다."
뉘-생-조르쥬Nuits-St-Georges,뉘-생-조르쥬(Nuits-St-Georges)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 뉘에 속하며 본래 이름은 뉘 혹은 쉬-수-본(Nuit-sous-Beaune)으로 알려져 있다. 19세기에 이르러 이 지역 최고 포도원의 이름 레 생 조르쥬(Les St. Georges)를 덧붙여 이름을 변경했다.
생-떼스테프Saint Estephe,생-떼스테프(Saint Estephe)는 프랑스 보르도에 속하는 와 인산지다. 생-떼스테프는 보르도 메독(Medoc)의 세부 산지 중에서 2번째로 큰 와인 생산지다.
몬테풀치아노Montepulciano,"몬테풀치아노(Montepulciano)는 이탈리아 토스카나 주에 속하는 와인 산지다. 몬테풀치아노는 시에나의 남동쪽 언덕에 자리하며, DOCG등급을 받았다. 와인은 산지오베제를 주품종으로 하며, 프루놀료(Prugnolo)를 혼합하여 만든다. 이 지역은 온화한 기후에 점토가 많은 토양이라 탄닌이 많고 흙내음이 강한 레드 와인이 생산된다."
온타리오Ontario,"온타리오(Ontario)는 캐나다에서 2번째로 큰 와인 산지다. 최고의 아이스 와인이 이곳에서 생산되고 있으며, 대부분의 와이너리들이 역사적인 나이아가라 온 더 레이크(Niagara-on-the-lake) 라는 곳에서 포도를 재배하고 있다. 이 지역은 프랑스 보르도와 북부 캘리포니아와 같은 위도에 위치하고 있는 곳이다."
키안티Chianti,"키안티(Chianti)는 이탈리아 토스카나의 와인 산지다. 이 지역은 키안티 클라시코(Chianti Classico) DOCG지역을 포함해 여러 세부 산지들을 아우르고 있다. 토양은 석회질 점토와 모래 점토 질이며, 온화한 기후를 지닌다."
소노마 카운티Sonoma County,소노마 카운티(Sonoma County)는 미국 캘리포니아에 속하는 와인 산지다. 소노마에 본격적인 와인 산업의 기반을 구축한 것은 1823년 프란체스카 수도원에 포도를 심었던 호세 알티메라(Jose Altimera) 신부였다.
까탈루냐Cataluna,"까탈루냐(Cataluna)는 스페인 북동부에 자리한 지역으로 11개의 스페인 원산지 명칭 통제 지역을 아우르고 있다. 화이트 품종으로는 스페인 2대 품종인 빠레야다(Parellada), 마카베오(Macabeo), 자렐로(Xarello)를 재배하며, 이곳의 해산물 요리와 잘 어울린다."
라인가우Rheingau,라인가우(Rheingau)는 독일의 와인 산지다. 라인가우 지역은 북쪽 타우너스 언덕(Taunus Hills)의 무성한 숲의 긴 언덕 중턱에서부터 남쪽으로 라인강의 경계선까지 뻗어 있다. 라인가우는 독일에서 가장 중심이 되는 와인 산지로 매우 오랜 전통을 지닌 가족 단위의 와인 생산자들이 많다.
꼬뜨 뒤 론Côtes du Rhone,꼬뜨 뒤 론(Côtes du Rhone)은 거의 모든 론 와인에 대한 명칭이며 120여개 마을이 관련되어 있다. 탄산 침용 방법으로 만들어지는 젊고 과실향이 풍부한 와인부터 오크통 숙성을 시키는 전통적인 와인에 이르기까지 매우 다양한 스타일의 레드 와인이 만들어진다. 대부분 와인은 협동 조합에서 생산된다.
만두리아Manduria,
우코 밸리Uco Valley,"우코 밸리(Uco Valley)는 아르헨티나에 위치한 와인 산지다. 멘도사 남쪽으로 80 킬로미터 떨어진 와인 산지로 가장 흥미로운 발전이 이뤄지는 중요한 와인 산지다. 해발 고도가 850-1100 미터 높이로 높으며 일교차가 커서 당과 조화를 이루는 산미, 페놀계 화합물의 숙성이 잘되는 곳이다. 멘도사 지역 최고 수준의 샤르도네와 토론테스 말벡이 주로 생산되는데, 이곳의 말벡은 꽃향을 지니는 점이 특징이다."
루한 데 쿠요lujan de cuyo,
