생산자,설명
샤또 라 크루아 데 랑베르뜨Chateau La Croix des Lamberts,"샤또 라 크루아 데 랑베르뜨(Chateau La Croix des Lamberts)는 4세대에 걸쳐 운영해온 훼밀리 샤또이다. 도르도뉴와 갸론 강의 오른쪽에 위치한 아름다운 샤또이며, 2세기에 로마가 포도를 재배 하기 시작하면서 이 지역의 포도재배 역사가 시작되었다. 부르 항은 와인 선적지로써 중세에 많은 와인이 운반되어 지면서 부르 지역에 많은 포도가 재배 되었다."
샴페인 델푸르Champagne Delfour,
샤또 페조Chateau Faizeau,샤또 페조(Chateau Faizeau)는 몽따뉴 생떼밀리옹 구릉지의 가장 꼭대기에 자리잡고 있다. 몽따뉴 생떼밀리옹은 Tertre de Calon으로 알려져 있으며 그 의미는 작은 Faize라는 뜻이며 Faize는 1137년에 건립된 Faize 베네딕트 수녀원과 연관있다. 포도는 18세기 부터 재배되었으며 진흙과 석회토 및 모래가 혼합된 토양으로 되어있다.
슈발 깡까Cheval Quancard,슈발캉가드 (CHEVAL QUANCARD) 는 1844년부터 보르도 와인 생산 전문 기업으로 보르도 지역의 대표적인 와인 네고시앙이다.
조셉 드루앙Joseph Drouhin,
야닉 알레노 & 미셸 샤푸티에Yannick Alleno & Michel Chapoutier,
비달 플뢰리Vidal-Fleury,"비달 플뢰리 (Vidal Fleury)는 1781년에 와인제조자로서 설립되었다. 또한 2세기가 지난 지금까지도 지속적으로 경영되어 왔으며 비달 플러뤼 소유의 포도밭은 Coti-Rotie지역에 있고, Rhone Valley에서도 가장 오래된 포도농장이다."
도멘 바롱 드 로칠드Barons de Rothschild [Domaines Barons de Rothschild],도멘 바롱 드 로칠드(Barons de Rothschild)는 수 년동안 매일 편안하게 마실 수 있는 레인지의 와인들을 만들며 그 중 가문과 지인들의 요청으로 만들게 된 브랜드다.
삐에르 아마디유Pierre Amadieu,"삐에르 아마디유(Pierre Amadieu)는 1929년 7헥타르의 가족 포도원에서 시작되며 설립됐다. 프로방스의 심장부 지역의 지공다스에 위치해 있다. 지공다스에서 가장 넓은 약 140헥타르의 포도원을 소유하고 있으며, 삐에르 아마디유 가족이 운영하고 다수의 시설에서 발효부터 병입까지 처리되고 있다."
메종 드 뽀므리Maison de Pommery,메종 드 뽀므리 (Maison de Pommery)는 샹파뉴 랭스 남부에 큰 영토를 차지하고 있으며 지역 내에서 빈야드를 직접 소유한 유일한 와인하우스 이기도 하다(19ha).
프리에르 로크Prieure Roch,
샤또 당글레Chateau D'angles,
바통 앤 게스띠에Barton & Guestier [B&G],"바통 앤 게스띠에 (Barton & Guestier) 와인은 프랑스 수출 1위 와인으로 2005년 미국과 아일랜드, 러시아 등에서 프랑스 와인 판매 1위를 차지한 프랑스 대표 와인이다."
울프베르제Wolfberger,"울프베르제(WolfBerger)는 알자스 와인을 생산하는 주요 플레이어로 알려진 와이너리이다. 1902년 에기셍의 와인 메이커들은 알자스 지역의 첫 협동조합을 설립하였고, 그 이후 최고급의 와인을 만들어내기 위해 환경을 가꾸고 혁신과 발전을 거듭해왔다."
"샤또 까농Chateau Canon, 1st Grand Cru Classe B","샤또 까농(Chateau Canon)의 포도밭은 18세기 초반, 장 비에에 의해 생 마르땡 성당 주변에 조성되어 처음에는 샤또의 이름이 끌로 생 마르땡(Clos St.-Martin)이었으나 1760년 자크 카농(Jacques Kanon)에게 팔리면서 샤또 카농으로 이름이 바뀌었다. 1760년 Jacques Kanon 이 쌩떼밀리옹 지역의 좋은 경사를 가진 Saint Martin 빈야드를 구입하여 Canon이란 새로운 이름을 지었다."
도멘 타땅Domaine Tatin,
아케르만Ackerman,"아케르만(Ackerman)은 1811년 장 밥티스트 아케르만이 루아르 소뮈르에 설립한 메종으로 200년의 역사를 갖고 있는 루아르 밸리에서 가장 오래된 와이너리이자, 루아르 지역뿐 아니라 스파클링 와인계의 세계적인 리더 회사다."
조닌Zonin,"조닌 (Zonin)은 1821년부터 개인이 소유한 포도밭으로 면적으로는 이태리 최대를 자랑한다. 이들은 전세계 92개국에 수출하며, 최고의 와인 양조 기술을 자랑한다. 본사는 이태리 북동부에 위치한 비첸자 (Vicenza) 지방의 감벨라라(Gambellara)에 위치하고 있다."
보데가스 아라고네사스Bodegas Aragonesas,
악시알 비노스Axial Vinos,
폰타나프레다Fontanafredda,폰타나프레다(Fontanafredda) 는 이태리 피에몬테의 '랑게'의 심장부에 위치한 '왕의 와이너리'로 규모 및 품질 모두에서 '최고의 바롤로'를 생산하는 와이너리이다.
비나 구아레나Vina Guarena,
뻬레 벤뚜라Pere Ventura,"뻬레 벤뚜라(Pere Ventura)는 60.5 ha의 와이너리 소유의 빈야드와 123ha의 포도원 지역 재배자들과 장기 계약을 하여 기술팀과 관리하고 있으며, 스페인 최초로 샴페인 제조 방식으로 스페인의 우수한 퀄리티의 까바를 생산하고 있는 것이 특징적이다."
비네도스 엘 쏠레도Vinedos el Soleado,
루나 베베리데Luna Beberide,
펠리스 솔리스Felix Solis,"펠리스 솔리스 (Felix Solis) 는 전 세계 10위의 와인 생산 업체로 스페인 주요 산지를 거점으로 한 스페인 최대 와인 회사이다. 생산물량의 45%는 내수로, 55%는 수출로 판매되고 있다. 스페인 주요 소비 와인 중 대부분이 펠리스 솔리스의 와인일 정도로 내수 점유율이 월등히 높으며, 전세계 85개국으로 수출 하고 있다."
마르께스 데 모니스뜨롤 [마르께스 데 모니스트롤]Marques de Monistrol,마르께스 데 모니스트롤 (Marques de Monistrol) 은 1882년 페네데스(Penedè;s) 지역의 중심부인(Sant Sadurní; d´;Anoia)에 설립된 마르께스 데 모니스뜰로는 100년 이상의 리져브 와인과 까바를 생산해온 깊은 역사를 지닌 와이너리이다. 산트 사두니 다놀라 지역에서 가장 큰 싱글빈야드 소유하고 있다.(420헥타르)
세드로Cedro,
샌드만Sandeman,샌드만(Sandeman) 하우스 1790년에 조지 샌드만(George Sandeman)에 의해 설립되었다. 그의 와인비즈니스에 대한 찬란한 비전은 포트와 셰리에 특화된 와인상사를 설립하기 위해 300파운드를 빌려준 그의 아버지에 의해 시작되었다.
모젤란드Moselland,
조르쥬 비구르Georges Vigouroux,"조르쥬 비구르(Georges Vigouroux)는 100년 이상 와인사업을 이어오고 있으며, 다음 세대에서도 그들의 전통과 노하우를 이어가기 위해 항상 노력해온 덕분에 현재까지도 큰 명성을 이어오고 있다."
피터 메르테스Peter Mertes,"피터 메르테스(Peter Mertes)사는 1924년 오너이자 마스터 와인 메이커인 피터 메르테스에 의해 독일 모젤(Mosel)의 작은 마을인 민하임(Minheim)에 설립되었다. 피터 메르테스는 와인 시장의 성장세보다 항상 한발 앞서서 행동하였고, 그의 와인에 대한 열정과 ;의지는, 400년 이상 지속되 온 메르테스(Mertes) 가문의 대대로 내려온 전통이다. 피터 메르테스는 그의 와인을 생산과 동시에 직접 고객들과의 소통을 원했다."
빌라 칼치나이아Villa Calcinaia,
푸카리Purcari,푸카리(Pucari)는 신의 물방울 15권에서 영국왕실에서 사랑하는 숨은 명주로 소개되어지고 있다. 18세기로 거슬러 올라가는 몰도바 공화국을 대표하는 최고의 프리미엄 와이너리로 동유럽에 있어서 문화적인 중요성을 가진 와이너리이다.
앙고브Angove,"앙고브(Angove)는 1886년 닥터 윌리암 토마스 앙고브에 의해 설립된 와이너리이다. 영국에서 호주로의 이주 이후, 호주 와인에 대한 묘한 매력에 빠지게 된 그는, 포도나무와 와인 메이킹에 대한 다양한 연구를 하므로서 가족경영 와이너리 설립의 기틀을 마련한다."
보스타반Bostavan,"보스타반(Bostavan) 와이너리는 세계적으로 인정받고 있는 와인 생산, 수출국인 몰도바 공화국 남부에 위치하며 매 시즌 20,000톤의 포도를 가공 할 수 있는 현대적인 공장에서 자체소유의 포도밭에서 재배된 포도를 가지고 화이트, 로제, 레드, 스파클링, 아이스 와인 등 다양한 와인을 생산하고 있으며, 총 15만리터 이상의 와인을 저장 할 수 있는 저장탱크를 보유하고 있다."
휴 해밀턴Hugh Hamilton,"휴 해밀턴(Hugh Hamilton Wines)은 호주에서 가장 오래된 와인 가족입니다. 186년의 와인 역사를 가진 이 가족은 1837년에 남호주에 처음으로 포도를 심고 와인을 생산했습니다. 100% 가족 소유이며, 메리 해밀턴은 6대째 이 회사를 관리하고 있습니다. 맥라렌 베일 지역은 뛰어난 기후, 지리적 특성 및 유서 깊은 포도나무 덕분에 품질로 유명합니다."
데마짓Demazet,"데마짓(Demazet)은 Rhone Valley와 Mont Ventoux 사이 지역의 Key Player 들의 특징을 결합한, Morieres Les Avignon의 Terres d'Avignon 셀러들과 Mazan의 Canteperdrix 셀러들의 연합체이다. Mazet은 작은 집이라는 프로방스 용어로, Demazet이라는 이름은 두 집, 즉 'deux mazets의 결혼을 의미한다."
베린저 빈야드Beringer Vineyards,"베린저 빈야드(Beringer Vineyards)는 현재 미국에서 가장 오래 운영되어 오고 있는 역사적인 와이너리 가운데 하나로 1876년, 미국 캘리포니아 나파 밸리의 정착한 독일인 형제 제이콥 베린저(Jacob Beringer)와 프레드릭 베린저(Fredrick Beringer)에 의해 역사가 시작되었다."
오린 스위프트Orin Swift,"오린 쉬프트 (Orin Swift) 와이너리의 첫 작품 더 프리즈너(The Prisoner”\)는 Wine Spectator 100대 와인 에도 선정될 만큼, Zinfandel, Cabernet Sauvignon, Syrah Petite Sirah ,Charbono를 잘 브랜딩하여 풍부한 과일향과 발랜스가 극히 뛰어난 매우 마시기 좋은 와인이라는 평을 받았다."
카니버Carnivor,
울프 블라스Wolf Blass,울프 블라스 (Wolf Blass) 는 와인 블렌딩의 달인으로 유명하다. 울프블라드만의 독창성을 지니고 있으며 그 블랜딩의 예술적 기술은 지역별로 다양한 향의 조화를 준다. 그 결과로 1976년 8월 Wolf Blass Black Label은 출시 3년만에 로얄 멜버른 와인쇼의 최고 영예상인 지미 왓슨 트로피를 받기도 했다.
치엘로 에 테라Cielo e Terra,치엘로 에 테라(Cielo e Terra)는 1908년에 세워진 가족 경영 와이너리로서 레스토랑에서 사용하는 와인을 양조하는 것으로 시작한 뒤 와인의 품질로 명성을 얻으며 차츰 성장하여 현재는 이탈리아 전역의 유명 와이너리들을 소유하고 있는 대규모 와인 기업이 되었다. 저렴한 테이블 와인부터 최고급 와인에 이르는 모든 레인지를 망라한 와인 생산으로 명성이 높다.
샤또 부르고조네Chateau Burgozone,"샤또 부르고조네(Chateau Burgzone)는 불가리 오리아호보 지역에 위치하는 가족 경영회사로, 자사 소유 포도밭의 포도를 써서 양조하는 몇 안되는 불가리아 양조장이다. 이곳은 유수의 포도산지인 토스카나, 코트 뒤 론, 보르도와 비슷한 지리적 특성을 가진 토양으로 이상적인 프리미엄 와인 생산지로 꼽힌다."
피터 르만Peter Lehmann,"피터 르만(Peter Lehmann) 와인은 매년 런던에서 개최되는 세계적 권위의 국제 와인 및 주류 품평회에서 2003, 2006년 올해의 와인 생산자 및 베스트 호주 와인 생산자로 선정(International Wine & Spirit Competition, London UK) 되었으며, 전세계 와인 매니아들의 찬사를 받고 있다."
킬리카눈Kilikanoon,
비냐 마이포Vina Maipo,비냐 마이포 (Vina Maipo) 는 1948년에 Santiago de Chile에서 38km 남쪽에 위치한 Buin Country에 있는 Maipo 도시에서 시작되었다. Maipo는 인디언 원주민들에 의한 공격을 방어하기 위해 1583년에 요새도시로 만들어졌다.
발두지Balduzzi,발두지(Balduzzi)는 17세기이래 이탈리아 삐에몬떼 지방에서 와인을 양조해 왔다.
산타 캐롤리나Santa Carolina,산타 캐롤리나(Santa Carolina)는 1875에 돈 루이스 페레이라 코타포스(Don Luis Pereira Cotapos)가 칠레에서 와인양조 사업을 야심차게 계획하면서 시작된다.
무윈 에스테이트 와인즈Muwin Estate Wines,
엘 에스테코El Esteco,"엘 에스테코(El Esteco)는 프랑스 이주민 다비드와 살바도르 미쉘이 1892년에 와이너리를 설립하며 아르헨티나에서 포도주 양조법의 선구자가 되었다. 엘 에스테코는 세계에서 가장 감탄할 만한 경치를 자랑하는 The Calchaqui Valley 의 중심부에 위치하고 있으며, 1000에이커 포도밭에 와이너리의 모든 정신을 담아 훌륭한 와인을 생산해내고 있다. Amaru 시리즈는 칼차퀴 밸리 원주민들이 섬기던 신의 이름이다. '"
마주앙Majuang,
메네골리Menegolli,메네골리(Menegolli)는 1450년에 세워진 역사 깊은 와이너리로 2003년부터 와이너리를 재 정비하여 비약적인 발전을 이루었다.
도멘 뮈르뮈리움Domaine Mur-Mur-Ium,
도멘 드니 까레Domaine Denis Carre,"드니 까레(Domaine Denis Carre)는 와인과는 전혀 관련 없는 가문에서 태어 났다. 하지만 10대 때에 그의 고향 부르고뉴에서 몇 년 동안 포도를 수확하고 빈티지에 참여할 수 있는 기회가 우연히 생겼고, 그 기간 동안 자신이 진정으로 무엇을 하고 싶은지를 찾게 되었다."
샤또 그랑 히발롱Chateau Grand Rivallon,
로랑 페리에Laurent Perrier,로랑 페리에 (Laurent Perrier) 의 빈티지 삼페인은 가장 빈티지가 좋은 해에만 생산되는 와인으로 매년 생산되지 않는 아주 귀한 샴페인으로 독특하고 아주 특출한 와인이다. 로랑페리에 하우스의 스타일인 향속의 깨끗함과 신선함을 잘 보여진다.
보 주아Beau Joie,
미쉘 린취 - 장 미쉘 까즈Michel Lynch - Jean Michel Cazes,미쉘린치(Michel Lynch) 는 Bages지역에 위치한 와이너리로 보르도 와인의 역사적 명성을 지닌 샤또 린치 바쥬(Châ;teau Lynch-Bages)의 창시자의 이름이기도 한다.
샤또 글로리아Chateau Gloria,"샤또 글로리아 (Chateau Gloria) 의 창시자인 Henri Martin 의 원래 직업은 통 제작자 였다. 그러나 1939년, 그는 와인 제조자가 되기로 결심하였다. 그의 일생의 목표는 Chateau Gloria 를 탄생시키는 것이었다."
레 꾸르띠네Les Courtines,
브험파Beaurempart,
드 샹섹de chansec,
셀렉션 34Selection 34,셀렉션 34(Selection 34)는 랑그독 지역에서 생산되며 3대째 와인을 만들고 있는 “헤유니 스바장”의 와인메이커 쟝 피에르에 의해 생산된다. 20헥타르의 포도밭에서 소규모의 부띠크 와인을 생산하는 것으로 유명하다. 강함속에 부드러움이 있는 조화로운 와인을 만들어 내는 것으로 정평이 나있다.
코르테 마이넨테Corte Mainente,
보데가스 볼베르Bodegas Volver,"보데가스 볼베르(Bodegas Volver)는 조지 오도네즈와 협력자들의 프로젝트 와이너리이다. 포도원은 살리나스 도시의 남서쪽, 피노소 도시의 북동쪽에 위치하고 있다. 스페인 와인 양조에서 가장 오래된 지역인 Alicante에서 생산된다."
도멘 뒤 클렛Domaine du Coulet,
보데가스 루손Bodegas Luzon,"보데가스 루손(Bodegas Luzon)는 1916년 이후부터 커다란 규모의 전통적인 와인양조 산업에 종사하던 가족들에 의해 1996년에 설립되었다. 설립 당시 고품질, 훌륭한 구조 그리고 농축된 와인양조의 목표를 가지고 시작을 하였는데, 이를 위해 포도밭의 관리, 보호, 제한생산, 최적시기의 추수 그리고 발효와 숙성과정의 관리, 그리고 마지막으로의 병입까지의 전 공정을 거쳐 심혈을 기울인 결과 후미쟈 지역에서 최고의 명성을"
보데가스 로페즈 모레나스Bodegas Lopez Morenas S.L,보데가스 로페즈 모레나스(Bodegas Lopez Morenas)는 1943년 가족경영으로 시작하여 1990년에 대대적인 투자와 공격적인 경영으로 대규모 와이너리로 성장하게 되었다. 와이너리의 오너이자 와인메이커인 ‘돈 마뉴엘 로페즈(Dong Manuel Lopez Morenas)’는 3대째 대를 이어 로페즈가의 전통과 역사를 현대에 맞게 조화롭게 성장시키고 있다.
레알 깜빠니아 벨라Real Companhia Velha,"레알 비니꼴라 벨라(Real Companhia Velha) 는 포르투갈 북부 도우루 강변의 여러 포도원 중에서 가장 좋은 위치에 있는 포도원에서 재배한 포도로 양조한다. 1756년 설립된 와이너리로 약 260년의 정통을 가지고 있는 포르투갈 최대 정통있고 유서깊은 와이너리다. 2,3세대 가족경영으로 운영되고 있다."
퀸타 다스 카라바스Quinta das Carvalhas,
바인굿 루이스 군트럼Weingut Louis Guntrum,바인굿 루이스 군트럼 (Weingut Louis Guntrum)은 1545년 독일 황제 카를(Karl)5세가 인정한 군트럼 와인지역에 위치하는 와이너리로 1648년 부터 가족경영으로 현재 11대가 그 전통과 군트럼만의 개성이 내려오고 있으며 전 세계 60개국에 수출되고 있다.
마크 헤롤드Mark Herold,
링구아 프랑카Lingua Franca,
끌로 케브라다 드 마쿨Clos Quebrada de Macul,"끌로 케브라디 드 마쿨 (Clos Quebrada de Macul)은 칠레의 변호사인 Ricardo Pena, 그의 형인 Jorge와 파트너인 David Williams의 소유로 1995년에 창립되었다. Clos Quebrada de Macul은 산티아고 시의 관문인 Macul지역에 위치한 35헥타르의 땅에서 포도를 수확한다."
보데가 깔리아Bodegas Callia,
도멘 아르노 에 소피Domaine Arnaud et Sophie,도멘 아르노 에 소피(Domaine Arnaud et Sophie)는 본 로마네의 새로운 커플 생산자 중 하나이다. 'Cors Paratoux'와 'Les Petits Monts'의 경계에 위치한 본 마을에 위치해 있으며 2016년이 그들의 첫 빈티지 와인이다.
보데가스 디. 마테오스Bodegas D. Mateos,
루이 로드레Louis Roederer,"루이 로드레(Louis Roederer)는 1776년 그의 삼촌이 설립한 샴페인 회사를 물려받고 1833년 되던 해에 회사이름을 루이 로드레라고 명명하였다. 그의 샴페인의 명성은 유럽 전체로 퍼져 나갔고 특히 당시 세력과 명망이 높았던 러시아 황실에 까지 알려져, 러시아 황제가 애호하는 샴페인이 되었다."
마르케스 데 무리에타Marques de Murrieta,"마르케스 데 무리에타(Marques de Murrieta) 는 1852 년 Mr. Luciano Murriteta에 의해 설립되었다. 1983 년 Creixell 의 백작인 Mr. Vincente Cebrian 이 Marques de Murrieta 를 사들여, 가족경영 와이너리인 동시에 명확한 비즈니스 철학을 가지고 와이너리를 경영하기 시작하였다."
클레인 콘스탄시아Klein Constantia,클레인 콘스탄시아(Klein Constantia)의 역사는 1685년 남아프리카 공화국 케이프타운의 10대 사령관 시몬 반 더 스텔(Simon Van der Stel)이 콘스탄시아(Constantia)라고 이름 지은 사유지에서 시작됐습니다.
도멘 쟝 클로드 쿠르토Domaine Jean-Claude Courtault,도멘 쟝 클로드 쿠르토(Domaine Jean-Claude Courtault)는 1984년에 ‘쟝 클로드 쿠르토’가 시작했다. 1995년에 현재 포도밭의 70% 되는 면적을 확보하고 가족경영을 이루면서 안정적인 와이너리의 모습을 갖추었다. 와인은 강렬한 과실미가 특징이며 이는 오너가 추구하는 와인의 캐릭터이다.
쟝테 팡시오Geantet-Pansiot,쟝테 팡시오(Geantet-Pansiot)는 부르고뉴 쥬브레 샹베르탕 지역에서 시작하여 포도 재배와 와인 양조에 관한 깊이 있는 연구와 투자를 통해 빠른 속도로 성장하였다. 남성적이고 힘 있는 Gevrey Chambertin 지역 와인 스타일에 비해 섬세하면서도 복합 미 넘치는 스타일로 인정받고 있다.
프랑수아 럼Francois Lumpp,
도멘 프랑수아 프이예Domain Francois Feuillet,도멘 프랑수아 프이예(Domaine Francois Feuillet)는 유명 아웃도어 브랜드의 CEO이자 손꼽히는 자산가였던 프랑수아 프이예가 부르고뉴 와인을 너무 사랑한 나머지 직접 포도밭을 구입하여 와인 양조가가 되면서 시작되었다.
샤또 꼬스 데스뚜르넬Chateau Cos d’Estournel,"샤또 꼬스 데스뚜르넬 (Chateau Cos d'Estournel)은 보르도에서 가장 오래된 샤또 가운데 하나로, 대주교이자 보르도의 주요 지주였던 베르트랑 드 고트가 1305년 교황 클레망 5세로 등극하면서 와이너리에 그의 이름이 붙었다."
샤또 샤스 스플린Chateau Chasse Spleen,샤또 샤스 스플린 (Chateau Chasse Spleen)은 1976년 Merlaut Villars Family 가 구매한 후 Bernadette Villars 여사(따이양 그룹의 설립자인 Jacques Merlaut 의 외동딸)와 따이양(Taillan) 그룹의 결정을 통해 80년대 말부터 그랑 크뤼 수준 이상의 와인을 생산하고 있다. 메독(Medoc) 지역에서는 전 공정에서 유일하게 여과를 하지 않고 생산하는 와인으로 와인 제조 과정은 전통적인 방법을 사용하고 있다. 메독 지역의 그랑
"샤또 라그랑쥬Chateau Lagrange, Grand Cru Classe,3rd Cru","샤또 라그랑쥬(Chateau Lagrange)는 보르도 메독 지구의 생줄리앙(Saint-Julien)에 위치한 총 113ha 빈야드에서 포도를 재배하고 있다. 연간 총 300,000병 정도를 생산하고 있다."
"샤또 깔롱 세귀르Chateau Calon-Segur, Grand Cru Classe,3rd Cru",
샤또 고다르Chateau Godard,
샤또 레 람보Chateau Les Rambauds,
샤또 마르탱Chateau Martin,
샤또 벨비즈Chateau Belvize,
샤또 오 플로랭Chateau Haut Florin,
콘데 데 카랄Conde de Caralt,"콘데 데 카랄(Conde de Caralt) 와이너리는 카랄 백작 가문의 호세 마리아 데 카랄 보렐(Jose Maria de Caralt Borrell)에 의해 세워진 와이너리이다. 1964년 첫 빈티지를 생산하였고, 비교적 짧은 역사에도 불구하고 스페인 내 와이너리 가문 출신의 와인메이커인 가브리엘 서버비올라(Gabriel Suberviola)의 경험과 노하우를 바탕으로 그 뛰어난 품질을 인정 받을 수 있었다."
"샤또 쿠테Château Coutet, 1st Grand Cru Classe - Barsac",
"샤또 끌리망Chateau Climens, 1st Cru Classe - Barsac",
샤또 프티 보크Chateau Petit Bocq,
"샤토 랭쉬 바쥬Chateau Lynch Bages, Grand Cru Classe,5th Cru",샤토 랭쉬 바쥬 (Chateau Lynch Bages) 란 이름은 오랜 고대의 작은 촌락 이름인 Bages 에서 유래되었다. 16세기 이후로 똑같은 마을 경계와 구획을 유지해 왔다. Lynch라는 지명 또한 1749-1824 년 까지 이 지역이 Lynch 가에 속했기 때문이다.
샤또 디켐Chateau d'Yquem - Premier Cru Supèrieur,"샤또 디켐(Chateau d'Yquem)은 훌륭한 스위트 와인은 우연한 발견으로 양조되기 시작한 와인이지만, 특별한 자연과 기후 조건의 정확한 결합이 필요하며 또한 비용과 시간을 요하는 일이라 매년 생산되지 않는다. 훌륭한 화이트 와인이 생산되기 위해서는 풍부한 자원, 오랜 전통, 그리고 근면한 완벽주의도 절대적으로 필요한 요소들이지만 여기에 자연의 은총이 따라야 한다."
샤또 펠랑 세귀르Chateau Phelan segur,"샤또 펠랑 세귀르 (Chateau Phelan Segur) 는 쌩떼스테프 와인의 전형적이고 대표적 와인이라 할수있다. 메독지역의 4개 마을 (마고, 쌩줄리앙, 뽀이약 그리고 쌩떼스테프)중 가장 북쪽에 위치한 쌩떼스테프 마을은 메독지역에서 가장 추운 지역에 자리잡고 있다."
안델루나Andeluna [Bodega Andeluna],"안델루나 (Andeluna Cellars)는 아르헨티나 최고의 퀄리티 와인 생산자가 되는 것을 목표로 하여 2003년도에 설립되었다. 디켄터, 와인스펙테이터, 와인 엔튜지애스트, 등의 수많은 와인 평론지 및 대회를 통하여 안델루나의 와인은 그 품질을 인정받고 있다."
도멘 르플레브Domaine Leflaive,
엘레베Eleve,
폴 자불레 애네Paul Jaboulet Aine,폴 자불레 애네(Paul Jaboulet Aine)는 1834년 자불레 가문의 앙뚜안 자불레(Antoine Jaboulet)가 론지방의 에르미타쥬(Hermitage)와 크로제 에르미타쥬(Crozes Hermitage)지역의 포도밭을 구입하면서 그 역사가 시작되었다. 그의 아들인 폴(Paul)과 앙리(Henri)가 세를 확장시켰으며 아들 폴의 이름을 따 현재의 이름이 되었다.
피에트라돌체Pietradolce,피에트라돌체(Pietradolce)는 ‘달콤한돌’이라는 의미를 지니고 있으며 2005년에 시칠리아에 설립되었다. 지중해 최대의 섬 시칠리아에는 아름다운 모든 것들이 담겨 있다. 특히 세계3대 활화산으로 이야기되는 에트나(Etna) 화산이 자리하여 그 영향으로 무기질이 풍부한 화산토를 기반으로 포도가 재배된다.
캄파니아 데 비노 트리코Compania de Vinos Trico,
나누메아 콜른드Nanumea COLNED,나누메아 콜른드(Nanumea COLNED)사는 40개 종류 이상의 식품군을 세계 각국에 수출하고 있는 수출 전문 스페인 기업이다. 높은 품질로 10년간 다져온 국내외 인지도를 바탕으로 전 세계로 진출하고 있는 글로벌 기업이다.
라모스 핀토Ramos Pinto,라모스 핀토(Ramos Pinto)는 루이 로드레의 진취적인 경영이 돋보이는 고급 포트 와인 브랜드다. 1880년에 설립된 라모스 핀토는 1890년대에 카를로스 국왕의 전용 포트로 납품될 만큼 오래전부터 품질을 인정받은 와이너리다. 1990 년부터는 ‘황제의 샴페인’ 루이 로드레사에 속하게 되면서 활발하게 세계시장으로 진출하고 있다.
