생산자,설명
볼레로Bolero [B2B],"2012년에 설립된 Bolero & Company는 조지아의 와인 및 브랜디 증류주 생산 및 수출 산업에서 탁월한 능력을 보여주는 와이너리이다. Kakheti에 자체 와이너리와 브랜디 생산 시설을 보유하고 있으며, Bolero & Company는 ""K and Georgian Spirit"" LLC, ""Universal Spirits"" LLC, ""Gruzvinprom"" LLC, ""Bolero & Company"" LLC 및 ""Winery Kachreti"" LLC 등 여러 자회사를 산하에"
바지아니 컴퍼니Vaziani Company [B2B],"바지아니(Vaziani)는 조지아의 전통적인 와이너리로 유명한 Telavi 와이너리를 기반으로 1982년에 설립되었다. 국제 표준 기준에 부합하는 현대적인 장비와 시설을 갖추고, 스틸 와인, 오크 숙성한 클래식한 와인, 그리고 크베브리에서 숙성한 조지아 전통 와인을 생산하고 있다."
샬비노Shalvino [B2B],"샬비노(Shalvino), Shalva Gvaramadze Winer의 약어로, 2007년 부터 고품질의 와인을 생산해왔다. 120개 이상의 크베브리를 보유하고 있고, 조지아 전통 방식으로 와인을 양조하고 있다. 생산 와인의 일부를 수출 하고 있지만, 조지아 내수 시장의 수요가 더 크며, 조지아 내에서 더 유명한 와이너리이다."
갭스테드 에스테이트Gapsted Estate,"Gapsted Estate, located in Victoria's High Country, is a family-owned award-winning Australian winery with a strong focus on emerging and alternative varieties. Established in 1997, the collaboration of winemakers and viticulturalists used their combined expertise to select the ideal site in North East Victoria. The construction of the winery began with storage and fermentation tanks constructed o"
와이너리 첼티Winery chelti [B2B],와이너리 첼티의 역사는 Kakheti 지역에서 Mirianashvili 가문이 만든 첫번째 와인 셀러에서부터 거슬러 올라간다. 한동안 죽어있던 가문의 전통은 2001년 첼티 와이너리의 설립자이자 최고 경영자인 Giorgi Mirianashvili에 의해 되살아났다.
JSC 트빌비노JSC Tbilvino [B2B],"Address - 2 David Sarajishvili Ave., Tbilisi, Georgia 0153 Tel - +995322651625 Website - www.tbilvino.ge"
도레미DoReMi [B2B],도레미(DoReMi)는 와인을 사랑하는 두 친구로부터 시작했습니다. 2014년부터 유기농 와인을 만들기 시작하였으며 사명은 고대 조지아 기술을 사용하여 최고의 유기농 와인을 만드는 것이 목표가 되었습니다.
이클립스 와이너리Eclipse Winery [B2B],"이클립스(Eclipse)의 창립자들은 수년간 IT 업계에 종사해 온 파트너이자 동지들입니다. 수학적인 사고방식, 창의적 사고, 야심찬 계획을 갖고 와인을 사랑하는 사람들이며 그들은 와이너리 건설을 시작하기 전에 캘리포니아, 프랑스, 이탈리아의 상징적인 와이너리를 방문하여 귀중한 경험을 얻었습니다. 이클립스는 조지아, 폴란드, 우크라이나, UAE, 이탈리아, 러시아 출신의 엔지니어, 기술자, 양조학자, 소믈리에, IT 및 SMM"
이클립스 와이너리Eclipse Winery,이클립스(Eclipse)의 창립자들은 수년간 IT 업계에 종사해 온 파트너이자 동지들이다.
조지안 와인 하우스Georgian Wine House [B2B],"주소 - N 26, Tamar Mepe str., V quarter, Gori 1400, Georgia 대표번호 - +995 591 05 14 42 대표 - Zaza Kikabidze, Tatia Kikabidze, Nino Kikabidze, Vasil Dvali, Sergey Sumarokov, Dmitry Alexandrov"
메마니Meamani [B2B},"메아마니(Meamani)는 창립 이래 최고 품질의 조지아 와인과 기타 주류를 생산하는 브랜드로 자리매김해 왔습니다. 회사의 목표는 조지아의 독특한 와인을 세계에 소개하는 것입니다. 조지아 테이블 와인, PDO 와인, 프리미엄 와인, 크베브리 와인, 차차, 조지아 브랜디 등의 제품이 메아마니에서 생산됩니다."
바지수바니 에스테이트Vazisubani Estate,"바지수바니 에스테이트(Vazisubani Estate)는 조지아 문화, 와인 제조, 환대 및 전통의 역동적인 허브입니다."
텔라비 올드 셀라Telavi Old Cellar [B2B],"텔라비 올드 셀라(Telavi Old Cellar)는 아르칠리 우티아쉬빌리(Archili Utiashvili)에 의해 2011년에 설립되었다. 치난달리 지역의 해발 510 미터에 위치한 쿠르지헬라우리 마을의 밭에서 1970년 부터 포조 재배를 시작했다. 고령의 포도 나무는 와인에 특별한 풍미를 부여하고, 수확량을 줄이고, '그린 하베스트(Green Harvest)' 를 수행함으로써, 와인의 품질을 높이기 위해 노력하고 있다. 또한 환경 친화적이고 유기농법을 사"
바지수바니 에스테이트Vazisubani Estate [B2B],"바지수바니 에스테이트(Vazisubani Estate)는 조지아 문화, 와인 제조, 환대 및 전통의 역동적인 허브입니다. 1800년대에 이 화려한 사유지는 유명한 귀족 술칸 차브차바제(Sulkhan Chavchavadze)의 소유였습니다. 당시 와인 제조 분야의 선구자인 차브차바제는 1891년에 에스테이트와 포도원을 설립했습니다. 한때 귀족 사회의 휴양지였던 이 곳은 오늘날 19개의 객실을 갖춘 고급 부티크 호텔과 와인 양조장으로 세련되게 재탄생"
비니그마Vinigma,비니그마(Vinigma)는 스위스 북부의 프랑스와 독일에 국경을 맞대고 있는 바젤 지역에 기반을 둔 와이너리 입니다. 보통의 와인너리가 포도밭에 근접해 있는 것과는 다르게 비니그마의 와인 양조장은 도시 중심에 위치해 있습니다.
텔리아니 밸리Teliani Valley,"텔리아니 밸리(Teliani Valley)는 1997년에 설립된 신생 와이너리이지만, 가장 생동감 있고, 역동감 있는 와인을 만드는 와이너리 중 하나이다. 와인의 발상지인 조지아의 양조 전통에, 현대적인 양조 기술을 접목하여 도전적인 와인을 생산하고 있다."
므테비노Mtevino [B2B],므테비노(MTEVINO)는 고대 조지아 전통을 바탕으로 2018년에 설립되었습니다. 공장은 사가레호(Sagarejo) 지역 마을 카스미(Khashmi)의 카헤티(Kakheti)에 위치하고 있습니다. 25헥타르의 대지에 펼쳐진 포도밭 한가운데에 자리한 와인 저장고는 카슈미의 그림 같은 풍경과 조화를 이룹니다.
페리 와인즈Pery Wines,페리 와인즈(Pery Wines)는 조지아 와인 문화를 바탕으로 현대적인 라이프스타일을 창조한다.
페리 와인즈Pery Wines [B2B],와인을 마시면 인생이 더욱 즐거워집니다. 페리 와인즈(Pery Wines)는 조지아 와인 문화를 바탕으로 현대적인 라이프스타일을 창조합니다. 이들의 목표는 조지아 포도 품종으로 일상 생활을 단순화하고 일상 생활에 더 많은 레이어를 더하는 것입니다.
퀴메리오니Qimerioni[B2B],퀴메리오니(QIMERIONI) 와이너리는 조지아에서 가장 유명한 와인 제조 지역인 카헤티(Kakheti) 위치한 포도원에서 뛰어난 품질의 프리미엄 와인을 생산하는 데 전념하고 있습니다.
