생산자,설명
비비 그라츠Bibi Graetz,"비비그라츠(Bibi Graetz & Testamatta)는 별로 주목받지 못했던 이태리 피렌체 근교에서 카나이오로, 코로리노 같은 알려지지 않은 포도품종을 적극적으로 사용하여 새로운 스타일 의 슈퍼 토스카나를 창조하여 세계 와인업계에 혜성같이 등장한 화제의 와인 생산자다."
샹파뉴 테오필Champagne Theophile,샹파뉴 테오필(Champagne Theophile)은 19세기 피카소와 샤갈도 즐겼던 파리 몽파르나쓰 예술가들이 애정한 샴페인이다.
무릴라Moorilla,"무릴라(Moorilla)는 타즈마니아 호바트에서 북쪽으로 15km에 위치하며, 이 지역에서 두번째로 오래된 와이너리다. 50년 전에 처음 Moorilla Vineyard가 조성 되었으며 현재는 타즈마니아에서 가장 유명한 관광명소인 Mona(Museum of Old and New Art) 그룹이 소유 하고 있다. 총 3개의 포트폴리오의 다양한 품종을 소량 생산하며 매우 높은 품질을 자랑한다."
엘비오 코뇨Elvio Cogno,"엘비오 코뇨(Elvio Cogno)는 랑게 지역 노벨로 마을의 작은 언덕 브리코 라베라 정상에 위치하고 있으며, 18세기 영주의 고택을 와이너리로 개조하여 사용하고, 총 11헥타르의 포도밭을 운영하고 있다."
코르테 지아라Corte Giara,
까디라오Ca’di Rajo Wines,까디라오(Ca’di Rajo Wines) 는 패션업체의 합작으로 엡실론 (Epsilon) 이라는 와인을 탄생시켰다. 엡실론 (Epsilon)은 그리스 알파벳의 중 5번째 “ε” 로 “평범하지 않고 색다르다.” 라는 의미를 가지고 있다.
반피Banfi,까스텔로 반피 (Castello Banfi) 의 기원은 1950년대로 거슬러 올라간다. 당시 미국 최대 와인 수입사 반피 빈트너의 존 마리아니(John Mariani) 회장은 이탈리아 태생으로 1910년에 미국에서 와인수입사를 설립한 이후 큰 성공을 거두었다. 이후 모국인 이탈리아에 최고의 와이너리를 건립하여 최상의 와인을 생산하고자 하는 포부를 품게 된다. 철저한 분석과 연구를 통해 건립된 까스뗄로 반피는 1978년 와이너리 문을 열었다.
샤또 뒤 세드르Chateau du Cedre,샤또 뒤 세드르(Chateau du Cedre)는 프랑스 서남부 꺄오르(Cahors)에서 유기농으로 포도를 재배해 와인을 만드는 가족경영 와이너리다. 와이너리를 운영하는 Verhaeghe 가문은 20세기 초 플랑드르 지역에서 꺄오르 지역으로 터전을 옮겨 정착했다. 1958년 Charles Verhaeghe와 그의 부인 Marie-Therese가 소유지에 포도나무를 심기 시작했고 1973년에 첫 와인을 병입했다. 부부의 두 아들 Jean-Marc와 Pascal이 그 뒤를 이어 현재
시부미 놀 빈야드Shibumi Knoll Vineyards,시부미 놀(Shibumi Knoll)은 열렬한 와인 애호가이자 수집가였던 Don Ross가 그의 아내와 함께 시작한 부티크 와이너리다. NASA에서 엔지니어로 일하던 그는 아폴로 호가 처음 달에 상륙했던 프로젝트에도 참가했었다. NASA에서 일하면서도 늘 스스로를 ‘와인 마니아(wine geek)’라고 표현했다.
바로크Barokes,"바로크(Barokes)는 특허 받은 “Vinsafe” 기술로 알루미늄 캔의 무게를 최소화하면서도 와인의 품질은 유지하며, 가볍고 휴대가 편리해 캠핑이나 피크닉 등 야외활동에 적합한 와인이 탄생했다. 바로크 캔 와인은 일본시장 진출을 시작으로 대만, 홍콩 등 아시아 지역 외에 북미, 유럽 등지에서 빠르게 성장하고 있는 브랜드이다."
지디 바이라GD Vijra,지디 바이라(GD Vijra)는 피에몬테 지방의 바롤로 마을 서쪽에 위치한 가족경영 와이너리이다. 1972년 Aldo Vajra와 그의 아내 Milena가 평범한 삶에서 귀농하여 와이너리를 설립 해 지금껏 가족경영 체제로 세 자녀와 함께 운영하고 있다.
로저 뿌이용Roger Pouillon,로저 뿌이용​(Roger Pouillon)은 샴페인 지방에서 대대로 양조용 포도를 재배했다. 와인양조에 대한 꿈을 갖고 있던 Roger Pouillon이 1947년에 비로소 자신의 이름을 걸고 샴페인을 만들기 시작했다. 와인양조 전문가이자 그의 삼촌 Louis Baulant와 아내 Bernedette가 양조장 일을 도왔다.
부르노 지아코사Bruno Giacosa,"브루노 지아코사(Bruno Giacosa)는 피에몬테 지방에서 3대 째 포도를 재배하고 와인을 만드는 가문에서 운영하는 와이너리이다. 이 와이너리는 두 개의 회사로 나눠져 있다. ‘브루노 지아코사’ 라인은 네고시앙 컨셉으로 포도 농가와 계약해 와인을 만들며, ‘팔레토’는 와이너리 소유의 최상급 크뤼 포도밭 20헥타르에서 바롤로, 바르바레스코를 만든다. 포도밭은 다르지만 두 브랜드 모두 쿠네오에 위치한 작은 마을 Neive"
시라유리 와이너리Shirayuri Winery,"시라유리 와이너리(Shirayuri Winery)는 1939년 설립됐으며, 현재 3대인 우치다 다카오가 운영하고 있는 가족 경영 와이너리다. 와이너리의 주력 브랜드인 「로리안(L’ORIENT)」은 프랑스어로 동양을 의미하며, 유럽에 뒤떨어지지 않는 좋은 품질의 와인을 만든다는 철학을 담고 있다."
쏜 클락Thorn Clarke,"쏜 클락 (Thorn Clarke)은 6대째 바로사 밸리에서 포도재배 및 와인양조 관련업에 종사하며 집안의 전통을 잇고 있는 가족 경영 와이너리이다. 이 가문은‘바로사 밸리가 보여줄 수 있는 가장 최상의 와인을 만들자’라는 하나의 목표와 신념을 바탕으로 늘 기본에 충실하였고 그 결과,뛰어난 품질을 자랑하는 고급 와인을 꾸준히 생산해 오고 있다."
비네티 자냐타Vigneti Zanatta,
브라운 브라더스Brown Brothers,브라운 브라더스(Brown Brothers)는 1889년에 설립한 가족경영 와이너리 이다. 소비자들의 취향을 알고 이를 존중하며 훌륭한 와인들을 생산해 냄으로써 그들에게 적절한 대응으로 보답하는 것이 와인 산업의 핵심이라고 여긴다. 브라운 브라더스의 와인들은 소비자들의 기호와 성향에 매우 민감하며 시장이 요구하는 스타일에 신중을 기한다.
에라스Erath,"에라스(Erath Winery)의 설립자인 딕 에라스(Dick Erath)는 오리건 와인의 파이오니어 중에 한 사람이다. 폴 핀타리치(Paul Pintarich)가 쓴, '딕 에라스와 오리건 초기 와인메이커(Dick Erath and the Early Winemakers)'에 의하면, 그가 피노 누아로 만든 와인에 빠지기 시작한 것은 부르고뉴의 올드 빈티지 와인들을 테이스팅하고 나서부터 라고 한다."
산 페드로San Pedro,"산 페드로(San Pedro)의 역사는 1865년 칠레 최대 규모로서, 가장 고품격의 와이너리를 표방하며 열정적인 기업가인 보니파시오와 호세 그레고리오 꼬레아 알바노 형제에 의해 시작되었다."
도멘 생미셸Domaine Ste.Michelle,"도멘 생미셸 (Domaine Ste.Michelle)은 1967년에 설립된 와이너리로 워싱턴주를 오늘날의 프리미엄 와인 산지의 반열에 올려 놓은 주역이다. 역사와 규모, 품질의 3가지 측면에서 모두 1위를 달리는 명실상부한 워싱턴주의 간판이라 할수 있다. 1991년 보르도 빈엑스포에서 다른 유럽 와인들을 누르고 금상을 수상하면서, 이 지역 와인을 세계에 처음 알리게 되었다."
보데가 알세뇨Bodegas Alceno,"보데가 알세뇨(Bodegas Alceno)는 가족경영 와이너리이며 후미야 지역 중앙부에 위치하고 있다. 1870년부터 와인을 양조하였으며 후미야 지역 와인을 처음으로 교역한 곳이기도 하다. 와이너리는 1870년부터 토지를 소유하고있었고, 현재는 Bastida 가족의 소유다. 새롭고 현대적인 테크닉을 접목시켜 양조 제조과정을 발전시킴으로 품질을 높였다."
까브 드 루그니Cave de Lugny,"까브 드 루그니(Cave de Lugny)는 부르고뉴 제일의 생산량을 자랑하는 생산자로 연간 약 1300만병을 생산하고 있다.(부르고뉴 화이트 와인은 전체 생산량의 10%를 차지하고 있다.) 또한 마꼬네 와인의 30%를 생산하며, 프랑스 AOP 생산자 중 탑10에 들어가는 경작지를 소유하고 있다.(1400 헥타르의 AOP 빈야드)"
아티스Attis,아티스(ATTIS)는 2000년에 설립된 3대째 와인 재배자인 Fariña 가족의 와이너리다. 아버지인 Robustiano는 자신의 아들인 Baldomero와 Robustiano Jr. 에게 자신의 와인 양조법 및 사업 운영을 관리하는 비법을 전수하고 있다.
바틱Batic,바틱(Batic)은 고대 와인의 환생이자 제 4의 와인이라고 불린다. 오렌지 와인의 명가로도 손꼽힌다.
알타 와이너리Alta Winery,"알타 와이너리(Alta Winery)는 아틀라스 피크 (Atlas Peak) 동쪽 경사면, 해발 1,650ft. 나파밸리 고지대에 포도가 자라기 이상적인 환경을 토대로, 2008년 Fred Oliai가 설립한 가족중심 와이너리이다."
페스토니 패밀리 에스테이트 와이너리Pestoni Family Estate Winery,"페스토니 패밀리 에스테이트 와이너리(Pestoni Family Estate Winery)는 나파밸리 내 매력적인 ""Rutherford"" 지역 이름을 사용한 와이너리인 Rutherford Grove Winery는 1993년 스위스-이탈리아 계통인 페스토니(Pestoni) 일가에 의해 만들어진 부티크와이너리다."
바인 클리프 와이너리Vine Cliff Winery,"바인 클리프 와이너리 (Vine Cliff Winery) 는 1870년 George Yount estate에서시작되었다. 몇 번의 Owner가 바뀌는 과정에서 1990년,Nell Sweeney가 와이너리를 매입하며 그녀는 한 차원 높은 와이너리의 역사를 다시 쓰기 시작한다."
디스텔Distell,
비니 갈리시아Vini Galicia,"비니 갈리시아(Vini Galicia)는 45년 된 전통 가족 경영 방식의 와이너리 이며, 시간당 10000병 생산 가능한 큰 규모의 와이너리 이고, ISO 9001:2000 품질인증을 받았으며,BRC (British Retail Consortium) 에서 고급 품질 인증 또한 받았다."
핀카 라스 모라스Finca Las Moras,"핀카 라스 모라스(Finca Las Moras)는 산 후안(San Juan) 지역에 위치해 있다. 산 후안 지역에는 46,000헥타르 면적의 와인생산지가 조성되어 있으며, 아르헨티나 와인 양조의 오아시스로 불리는 튤룸, 페데르날, 존다 계곡 옆에 자리를 잡고 있다. 산 후안 깊은 계곡의 '블랙베리 나무 열매'를 뜻하는 'Moras'로 와이너리명을 지을만큼, 핀카 라스 모라스 와이은 고향의 떼루아를 온전히 보여준다."
미켈레 끼아를로Michele Chiarlo,"미켈레 끼아를로 (Michele Chiarlo) 와이너리는 1956년 바르베라 다스띠(Barbera d';Asti) 생산의 중심 지역인 칼라만드라나(Calamandrana)에 지금의 소유주에 의해 설립 되었다. 이 와이너리는 좋은 포도원을 사들이고, 바롤로(Barolo)와 가비(Gavi) 지역에 두 개의 저장고를 건설 하는 등 점차 활동범위를 넓혀가고 있다."
산 마르짜노San Marzano [Feudi di San Marzano],산마르짜노(Feudi di San Marzano)는 타란티노의 만데리아에 위치해 있는 뿔리아 지방의 가장 위대한 협동 조합이다.
블랑 키에트Blankiet Estate,"블랑 키에트(Blankiet Estate)는 1996년 Claude and Katherine Blankiet에 의해 설립됐다. 세계 유명 와인 생산지 나파밸리, 그 안에서도 마야카마스(Mayacamas) 산 서쪽 언덕 욘빌(Yountville) 위에 자리잡았다."
블루넌Blue nun,블루넌(Blue nun)은 오늘날 독일에서 생산되는 새로운 스타일의 와인과 세련된 포장으로 혀 뿐만 아니라 눈까지 즐겁게 한다. 세계 유수의 요리사와 와인 초보자부터 전문가에 이르기 까지 모든 이들의 찬사를 받는 독일 와인은 까다로운 입맛을 만족시키고 그 어떤 때와 장소에서도 잘 어울릴 만큼 그 종류가 무척 다양하다.
알베르 비쇼Albert Bichot,알베르 비쇼 (Albert Bichot) 는 1831년 설립되어 6대째 가족 소유로 승계되어 온 부르고뉴의 TOP 5 생산자 중 하나이다. 스웨덴 왕실 공식 와인 공급업체이며 대한항공 퍼스트 클래스 서빙와인으로 널리 우수성을 인정받고 있는 알베르 비쇼는 최근 10여년 동안 부르고뉴 와인을 이끌어가는 선두주자로서 독창적이고 혁신적으로 운영되고 있다.
깔베Calvet,"깔베 (Calvet)는 1818년 이래 깔베만의 독특한 저온 발효 제조와 블랜딩, 매년 1/3씩 교체되는 프랑스 오크통 숙성, 70% 습도 유지 등의 엄격한 품질관리로 가장 프랑스다운 정통 와인을 만들어 오고 있다. 또한 깔베의 상징인 빨간색 상표와 힘찬 날개짓하는 독수리의 모양은 전세계 와인 애호가들에게 진정한 프랑스 와인의 상징으로 알려져 왔다."
인비나 와이너리Invina Winery,
칸티네 리온도Cantine Riondo,
도멘 롱 드파키Domaine Long Depaquit,
샤또 보리유Chateau Beaulieu,
비노블 봉피스Vignobles Bonfils,
메종 지네스떼Maison Ginestet,메종 지네스테 (Ginestet & Company)는 1897년 페르난드 지네스테(Fernand Ginestet)에 의해 보르도 네고시앙으로서 발카랑 강변에 설립되었다. 그의 사업이념에 따라 지네스테는 와인재배와 네고시앙으로의 역할을 결합한 사업을 진행하였는데 이것이 그가 오늘날 보르도 와인의 개척자라고 불리는 이유이다.
샤또 드 라 네글리Chateau de La Negly,"샤또 드 라 네글리(Chateau de La Negly)는 석회질 고원인 La Clape의 동쪽 언덕에 위치해 있으며, 매우 뛰어난 태양에 노출 되어 있는 50헥타르의 포도원으로 집에서 500미터 밖에 떨어지지 않은 바다를 향해있다. 토양은 La Clape의 고원 언덕의 바위 부스러기에서 생긴 모래 침적토로 이루어져 있으며, 침적토는 주로 석회질이기 때문에 여름 동안에는 수분이 토양에 투과되어 땅에 수분이 적절히 유지되도록 해준다."
쎄뇨우렛 프레Seignouret Freres,
샤또 삐에르피트Chateau Pierrefitte,
샤토 생미셸Chateau Ste.Michelle,"1934년에 설립된 샤토 생미셸은 미국 와인의 기준을 세운 최초의 '워싱턴주 프리미엄 와인 브랜드'이다. 1967년부터 유럽 전통 포도 품종으로 다채로운 스타일의 워싱턴주 와인을 선보였으며, 현재 워싱턴주의 AVA 등급 체계의 기반이 된 혁신적인 와이너리로 유명하다."
까사 베르디Casa Verdi,
깐티네 스가르지 루이지Cantine Sgarzi Luigi,깐티네 스가르지 루이지(Cantine Sgarzi Luigi)는 1933년부터 와인 생산을 시작했다. 기업 소유의 포도원에서 고품질 유기농 와인을 양조하기 위해 이탈리아 각 지역의 최고만을 선별해 작업한다.
털리 와인 셀러Turley Wine Cellars,
떼땅져Taittinger,떼땅져(Taittinger)는 1734년부터 시작된 고급 샴페인 생산자이다. 1차 세계 대전 당시 Ch. De Marquetterie에 주둔했던 군 장교 피에르 떼땅져가 종전과 함께 포도밭과 샤또를 구입. 1930년대에 떼땅저 (Taittinger)로 명명했다. 샤도네의 함량이 높아 특히 여성들에게 크게 어필하는 부드러운 샴페인 이다.
몬도 델 비노MGM Mondo del Vino,"몬도델비노 스파(MONDODELVINO SPA, MDV)는 1991년에 알페오 마르티니(Alfeo Martini), 로저 갭 (Roger Gabb), 그리고 크리스토프 맥(Christoph Mack)이라는 세 명의 열정 넘치는 와인 전문가들과 와인양조자가 설립한 선도적인 이탈리아 와인 그룹이다."
메종 부에이Maison Bouey,"메종 부에이(Maison Bouey)는 1958년 설립된 100% 가족소유 업체로 규모 면에서 보르도 450개 네고시앙 중 매출액 기준 top10위 내에 있다. 가족 소유 업체로는 1위. 2000년부터 아시아 시장 판매를 시작으로 현재 중국, 일본 등 와인을 판매, 전체 매출의 40%를 해외시장에 수출하고 있다."
일포지오네Il Poggione,일 포지오네(Il Poggione)는 1980년 설립된 최고의 부르넬로 디 몬탈치노 생산자 중 하나로 콜 지방의 Sant’Angelo의 전통적인 마을에 자리잡고 있다. 이 와이너리의 역사는 19세기로 거슬러 올라간다.
빅하우스Big House,빅 하우스(Big House)는 미국의 3대 와인 회사중의 하나인 THE WINE GROUP 사의 브랜드이다. 몬터레이 카운티의 솔레다드에 위치하며 지중해의 포도종을 사용해 신세계의 와인 메이킹을 행하고 있다.
뷔스넬Busnel,
제너두Xanadu,"​자나두(Xanadu)는 마가렛 리버 메인타운에서 4킬로미터 떨어진 곳에 위치하고 있는 아름다운 해안을 따라 지역 와인의 개성을 잘 반영하고 있는 선구자 적인 역할을 하고 있는 와이너리로, 1968년 아일랜드 출신인 존 라간이 설립 호주의 대표적인 좋은 와인의 산지에서 꾸준히 발전시켜 왔다."
마운트 랜기 지란Mount Langi Ghiran,"마운트 랜기 지란(Mount Langi Ghiran)은 현재 라스본 가문에 의해 예링스테이션, 자나두 와인과 함께 많은 성공을 이뤄오고 있다. 1963년 이탈리아 이민자였던 프래틴 가문은 빅토리아에 섬세한 베네토를 꿈꾸며, 토지를 구매 가꾸기 시작했다. 이후 오랜 기간의 노력 끝에 현재의 포도원이 탄생하게 되고, 1981년 오랜 노력끝에 첫번째 빈티지가 출시된다."
루이스 펠리페 에드워즈Luis Felipe Edwards,"루이스 펠리페 에드워즈, 이하 LFE (Luis Felipe Edwards)의 와인에 대한 철학은 이 한마디로 표현할 수 있다. 와인은 생산자의 거울이므로 전통과 품질이 고스란히 글라스 속에 표현되므로 생산 함에 있어서 보다 나은 와인을 위해 모든 생산 요소인 최고의 토양, 포도나무, 사람과 설비에 투자를 한다."
스프링 밸리 빈야드Spring Valley Vineyard,스프링 밸리 빈야드(Spring Valley Vineyard)는 미국 워싱턴 주 왈라 왈라 밸리(Walla Walla Valley)에 위치한 프리미엄 부띠끄 와이너리이다.
데블스 코너Devil's Corner,데블스 코너(Devil's Corner)는 125년 역사를 보유한 호주의 TOP 브랜드인 브라운 브라더스가 2000년에 새롭게 소개한 호주 타즈마니아 지역의 와인이다.
도멘 뒤작Domaine Dujac,
엘리오 알타레Elio Altare,엘리오 알타레(Elio Altare)는 세계에서 가장 위대한 와인메이커 중 하나로 세계적으로 잘 알려져 있다. 알타레는 바롤로 지역의 셀라와 포도밭의 테크닉적인 혁명을 일으킨 장본인이기도 하다. 엘리오 알타레의 와인들은 모던 테크닉이 어떻게 전통적인 방식과 동시에 어우러져 명작을 만들어 내는가를 보여준다.
트라피체Trapiche,"트라피체 (Trapiche) 는 안데스 산기슭의 멘도사에 위치하고 있는 세계에서 가장 잘 알려진 아르헨티나 와인 브랜드이다. 1883년 설립된 트라피체는, 그 시작부터 품질 좋은 와인 생산에 그 목적을 두었으며 프랑스 와인에 버금가는 와인을 만들어냈다."
발레벨보Vallebelbo,"발레벨보 (Vallebelbo) 는 이태리 와인업계의 선두주자 중 하나이다. 신중한 사업 진행에도 불구하고, Vallebelbo는 자신들의 배경인 Langhe의 뿌리를 잃지 않아왔다. Vallebelbo는 아름다운 시골에 위치한 600ha의 소유지를 D.O.C 등급와인의 재배와 제조에 할애하고 있다. Vallebelbo는 이탈리아 최고의 Mocato d';Asti 제조자들을 보유하고 있음을 자랑할 뿐 아니라,국내외의 와인 제조자들에게 신뢰받는 기업으로도 유명하다."
샤또 드 라뚜르Chateau de La Tour,"샤또 드 라뚜르 (Chateau de La Tour) 는 프랑스 부르고뉴(Bourgogne) 지역의 끌로 드 부죠(Clos de Vougeot) 그랑크뤼 포도밭 위에 지어진 샤또이다. 1890년, 현재의 오너인 라베(Labet) 그리고 데슐렛트 (Dechelette) 가문의 선조들에 의해 지어졌다."
프레시넷Freixenet,프레시넷 (Freixenet) 은 1985년부터 확고부동한 전세계 No 1 스파클링 와인 브랜드이자 스페인 까바 (스파클링 와인) 수출량의 56% (2010/2011기준)를 책임지고 있다. 프레시넷은 1914년에 ‘라 프레시네다 (La Freixeneda)’를 소유한 페르에르 (Ferrer)가문과 이미 19세기부터 남미로 와인을 수출했던 스페인의 와인 선두주자인 살라(Sala)가문의 자녀가 결혼을 하면서 설립되었다.
콘차이 토로Concha y Toro,"콘차이 토로 (Concha y Toro)는 칠레 역사의 황금 시대동안에 살았던 정열적인 정치가인 돈 멜초르 드 콘차이 토로 (Don Melchor de Concha y Toro)와 엄격했던 사학가인 마르께스 드 카사 콘차(Marques de Casa Concha), 두 창립자의 이름을 자랑스럽게 기린 것이다."
타스카 달메리타Tasca d'Almerita,"타스카 달메리타 (Tasca d'Almerita) 는 타스카 가문의 토지에 대한 열정과 기술적인 혁신에 대한 고려, 그리고 영토에 대한 깊은 존경을 항상 간직하며 농사를 지어왔다."
도멘 위베르 리니에Domaine Hubert Lignier,도멘 위베르 리니에(Domaine Hubert Lignier)는 1880년 Morey-St-Denis에 포도밭을 매입하며 역사가 시작되어 집중도와 구조감이 뛰어난 와인을 생산하는 것으로 오랜 기간 명성을 쌓아온 와이너리이다.
일 보로Il Borro,"일 보로(IL BORRO)는 이태리의 패션 왕국 살바토레 페라가모(Salvatore Ferragamo)가 토스카나에 소유하고 있는 와이너리로 패션에서 확인된 페라가모의 고집과 전통, 품격이 스며들어 단 기간에 중요 와인으로 자리잡았다."
까르피네토Carpinetto,"르피네토(Carpineto) 는 1967년 Antonio Mario Zaccheo와 Giovanni Carlo Sacchet에 의해 설립되었다. 그들은 최첨단 기술을 이용하여 전통적인 토스카나 와인을 만들겠다는 의지로, 셀러와 빈야드에 대한 새로운 실험과 연구개발을 통해 와인의 가치와 품질 향상을 이루었다."
롤라이오lolailo,
나파 셀라Napa Celllars,
CWCCWC,
생미셸 와인 에스테이트Ste.Michelle Wine Estates,샤토 생미셸의 모태인 생미셸 와인 에스테이트는 미국 워싱턴주에 1934년 설립되었다. 1967년에는 '워싱턴 프리미엄 와인 브랜드'를 모토로한 샤토 생미셸 브랜드가 설립된 해이다.
오스본Osborne,오스본 그룹(Osbome Group)은 200년 이상의 역사를 가지고 있는 가족 경영 와이너리이다. 1772년 설립 이후 와인 사업을 이어오다 1973년부터 글로벌 비즈니스에 초점을 두고 200년 이상 쌓아온 스페인 와인에 대한 전통 방식을 고수하며 세계 프리미엄 스페인 와인 카테고리로 사업을 확장하였다.
폴 홉스Paul Hobbs,"폴 홉스(Paul Hobbs)는 와인 계의 스티브 잡스로 불린다. 그는 처음으로 싱글 빈야드 와인을 정착시킨 캘리포니아 최고의 와인메이커로, 우아하고 정교한 와인을 만들기로 유명하다."
필립 토그니Philip Togni,필립 토그니(Philip Togni)는 미국 나파 밸리의 스프링 마운틴 지역에서 1981년 만들어졌다.
폴 로저Pol Roger,"폴 로저 (Pol Roger) 는 1849년 설립된 와이너리로 거대 자본으로 무장한 대기업들의 샴페인 하우스 사냥속에서도 외부 자본의 간섭없이 가족 승계로만 가문의 전통을 이어가고 있다. 생산과정 중 병돌리기(흐미아쥬, Remuage)를 기계의 힘을 빌리지 않고 수작업으로 진행하는 (직접 사람의 힘으로 흐미아쥬 과정을 진행하는) 유일한 샹파뉴 하우스이다."
비냐 프란시스코 드 아귀레Vina Francisco de Aguirre,"비냐 프란시스코 드 아귀레 (Vina Francisco de Aguirre)는 칠레 북부의 La Serena시를 건설한 스페인 정복자 Francisco de Aguirre를 기념하기 위하여 그의 이름을 땄다. 이 와이너리는 아타카마(산티아고시 북쪽 400km) 사막 남쪽, 태평양으로부터 약 35km 떨어진 지역에 위치해 있다."
르네 바르비에Rene Barbier,"르네 바르비에 (Rene Barbier) : 1870년, 포도나무 뿌리 진디가 프랑스의 포도밭을 망가뜨렸고 그 와이너리 중 하나가 Barbier 패밀리 소유의 와이너리였다. 이 때부터 Leon Barbier는 카탈로니아 지방으로 이주, 정착해서 Tarragona에 그의 회사를 설립했다."
루피노Ruffino,"루피노(Ruffino)는 토스카나의 7개의 주요 포도원과 9개의 작은 포도재배지역, 총 1,500 헥타아르 지역을 소유하고 있으며, 그 중 600 헥타아르의 빈야드에서 와인생산을 하고 있다."
슐로스 폴라즈Schloss Vollrads [Weingut Schloss Vollrads],"슐로스 폴라즈 (Weingut Schloss Vollrads) 는 최초 문헌이 1211년에 시작되며 2011년 11월 18일 와인판매 800주년을 맞는, 현존하는 세계에서 가장 오래된 와이너리로 중세시대부터 귀족이나 왕가에 와인을 납품한 귀한 와인이자 자타가 공인하는 독일 최고의 리슬링 와인 생산자이다."
도멘 드 라 솔리튜드Domaine de La Solitude,
비냐 코보스Vina Cobos,"비냐 코보스(Vina Cobos)는 오퍼스 원의 헤드 와인메이커 였던 폴 홉스(Paul Hobbs)가 미국 컬트 브랜드 Paul Hobbs 설립 후 아르헨티나에서 설립한 와이너리로 떼루아를 기반으로 한 아르헨티나 컬트 와이너리다. 아르헨티나 최초로 비평가 점수 100점을 받은 와이너리이며, 동시에 소비자 리뷰로만 이루어진 Vivino앱에서 선정한 아르헨티나 최고의 와인 ‘코보스(Cobos)’와 ‘볼투노(Volturno)’를 생산하고 있다."
